date,betten_belegt,betten_frei
2020-04-24,21,16
2020-04-25,21,16
2020-04-26,21,16
2020-04-27,22,15
2020-04-28,22,15
2020-04-29,19,18
2020-04-30,13,24
2020-05-01,13,24
2020-05-02,13,24
2020-05-03,13,24
2020-05-04,12,25
2020-05-05,12,25
2020-05-06,15,22
2020-05-07,14,23
2020-05-08,14,23
2020-05-09,11,26
2020-05-10,11,26
2020-05-11,10,27
2020-05-12,14,23
2020-05-13,12,23
2020-05-14,10,27
2020-05-15,11,26
2020-05-16,10,27
2020-05-17,10,27
2020-05-18,10,27
2020-05-19,10,27
2020-05-20,9,28
2020-05-21,11,24
2020-05-22,11,24
2020-05-23,8,27
2020-05-24,10,27
2020-05-25,7,27
2020-05-26,8,27
2020-05-27,4,31
2020-05-28,6,29
2020-05-29,7,30
2020-05-30,10,27
2020-05-31,11,26
2020-06-01,11,26
2020-06-02,9,28
2020-06-03,9,28
2020-06-04,11,26
2020-06-05,11,24
2020-06-06,13,22
2020-06-07,7,28
2020-06-08,7,28
2020-06-09,7,28
2020-06-10,10,27
2020-06-11,10,27
2020-06-12,10,27
2020-06-13,13,24
2020-06-14,12,25
2020-06-15,12,25
2020-06-16,12,25
2020-06-17,13,24
2020-06-18,14,23
2020-06-19,15,22
2020-06-20,16,21
2020-06-21,16,21
2020-06-22,16,21
2020-06-23,16,21
2020-06-24,15,22
2020-06-25,15,22
2020-06-26,15,22
2020-06-27,15,22
2020-06-28,14,23
2020-06-29,14,23
2020-06-30,15,22
2020-07-01,13,24
2020-07-02,11,24
2020-07-03,11,24
2020-07-04,12,23
2020-07-05,10,25
2020-07-06,11,24
2020-07-07,11,24
2020-07-08,8,27
2020-07-09,10,25
2020-07-10,11,24
2020-07-11,10,25
2020-07-12,10,25
2020-07-13,7,28
2020-07-14,7,28
2020-07-15,8,27
2020-07-16,8,27
2020-07-17,10,25
2020-07-18,13,22
2020-07-19,13,22
2020-07-20,9,26
2020-07-21,10,25
2020-07-22,10,25
2020-07-23,10,25
2020-07-24,11,24
2020-07-25,11,24
2020-07-26,12,23
2020-07-27,11,24
2020-07-28,12,23
2020-07-29,12,23
2020-07-30,8,27
2020-07-31,11,24
2020-08-01,11,24
2020-08-02,9,26
2020-08-03,10,25
2020-08-04,7,7
2020-08-05,7,7
2020-08-06,7,7
2020-08-07,8,6
2020-08-08,8,6
2020-08-09,9,5
2020-08-10,12,2
2020-08-11,12,2
2020-08-12,11,3
2020-08-13,11,3
2020-08-14,9,5
2020-08-15,9,5
2020-08-16,11,3
2020-08-17,11,3
2020-08-18,12,2
2020-08-19,8,6
2020-08-20,8,6
2020-08-21,6,8
2020-08-22,11,3
2020-08-23,9,5
2020-08-24,9,5
2020-08-25,10,4
2020-08-26,13,1
2020-08-27,13,1
2020-08-28,13,1
2020-08-29,12,2
2020-08-30,13,1
2020-08-31,10,4
2020-09-01,12,2
2020-09-02,12,2
2020-09-03,12,2
2020-09-04,12,2
2020-09-05,10,4
2020-09-06,6,8
2020-09-07,9,5
2020-09-08,10,4
2020-09-09,8,6
2020-09-10,8,6
2020-09-11,9,5
2020-09-12,10,4
2020-09-13,10,4
2020-09-14,13,1
2020-09-15,13,1
2020-09-16,13,1
2020-09-17,11,3
2020-09-18,11,3
2020-09-19,9,5
2020-09-20,6,8
2020-09-21,6,8
2020-09-22,9,5
2020-09-23,9,5
2020-09-24,12,2
2020-09-25,12,2
2020-09-26,12,2
2020-09-27,11,3
2020-09-28,8,6
2020-09-29,10,4
2020-09-30,11,3
2020-10-01,11,3
2020-10-02,10,4
2020-10-03,11,3
2020-10-04,10,4
2020-10-05,11,3
2020-10-06,14,0
2020-10-07,11,3
2020-10-08,13,1
2020-10-09,13,1
2020-10-10,12,2
2020-10-11,12,2
2020-10-12,12,2
2020-10-13,10,4
2020-10-14,9,5
2020-10-15,12,2
2020-10-16,11,3
2020-10-17,11,3
2020-10-18,11,3
2020-10-19,10,4
