date,betten_belegt,betten_frei
2020-04-24,116,153
2020-04-25,126,143
2020-04-26,117,151
2020-04-27,120,152
2020-04-28,128,142
2020-04-29,126,144
2020-04-30,132,137
2020-05-01,136,133
2020-05-02,112,155
2020-05-03,123,144
2020-05-04,115,152
2020-05-05,130,137
2020-05-06,133,135
2020-05-07,134,133
2020-05-08,127,138
2020-05-09,225,114
2020-05-10,119,118
2020-05-11,126,111
2020-05-12,126,115
2020-05-13,143,98
2020-05-14,139,109
2020-05-15,143,74
2020-05-16,139,76
2020-05-17,126,92
2020-05-18,120,99
2020-05-19,124,93
2020-05-20,118,99
2020-05-21,133,85
2020-05-22,137,83
2020-05-23,125,90
2020-05-24,123,90
2020-05-25,121,91
2020-05-26,128,88
2020-05-27,144,75
2020-05-28,126,89
2020-05-29,140,74
2020-05-30,139,73
2020-05-31,126,83
2020-06-01,140,82
2020-06-02,142,78
2020-06-03,139,82
2020-06-04,140,81
2020-06-05,143,78
2020-06-06,138,85
2020-06-07,138,85
2020-06-08,131,86
2020-06-09,141,83
2020-06-10,138,82
2020-06-11,150,75
2020-06-12,133,88
2020-06-13,143,83
2020-06-14,130,92
2020-06-15,134,88
2020-06-16,145,75
2020-06-17,153,73
2020-06-18,153,80
2020-06-19,151,82
2020-06-20,142,88
2020-06-21,136,91
2020-06-22,128,104
2020-06-23,139,93
2020-06-24,148,93
2020-06-25,142,90
2020-06-26,139,92
2020-06-27,133,94
2020-06-28,120,108
2020-06-29,115,113
2020-06-30,131,99
2020-07-01,150,85
2020-07-02,143,95
2020-07-03,153,84
2020-07-04,147,87
2020-07-05,136,96
2020-07-06,130,103
2020-07-07,136,97
2020-07-08,143,89
2020-07-09,143,89
2020-07-10,141,91
2020-07-11,146,89
2020-07-12,142,89
2020-07-13,123,109
2020-07-14,141,91
2020-07-15,144,88
2020-07-16,145,85
2020-07-17,142,90
2020-07-18,153,79
2020-07-19,151,85
2020-07-20,139,94
2020-07-21,146,87
2020-07-22,123,95
2020-07-23,126,96
2020-07-24,134,87
2020-07-25,134,83
2020-07-26,117,84
2020-07-27,115,94
2020-07-28,126,94
2020-07-29,133,87
2020-07-30,122,98
2020-07-31,133,82
2020-08-01,121,95
2020-08-02,120,102
2020-08-03,111,109
2020-08-04,124,45
2020-08-05,116,45
2020-08-06,106,50
2020-08-07,116,45
2020-08-08,108,53
2020-08-09,105,56
2020-08-10,103,57
2020-08-11,113,47
2020-08-12,122,37
2020-08-13,106,53
2020-08-14,102,56
2020-08-15,114,44
2020-08-16,99,59
2020-08-17,101,57
2020-08-18,105,53
2020-08-19,113,45
2020-08-20,114,43
2020-08-21,110,48
2020-08-22,109,49
2020-08-23,105,53
2020-08-24,103,55
2020-08-25,105,53
2020-08-26,106,52
2020-08-27,104,54
2020-08-28,113,46
2020-08-29,111,47
2020-08-30,97,61
2020-08-31,104,54
2020-09-01,108,50
2020-09-02,106,52
2020-09-03,109,49
2020-09-04,105,53
2020-09-05,100,58
2020-09-06,103,55
2020-09-07,105,53
2020-09-08,115,43
2020-09-09,111,47
2020-09-10,114,44
2020-09-11,116,42
2020-09-12,118,45
2020-09-13,117,46
2020-09-14,96,72
2020-09-15,112,51
2020-09-16,121,41
2020-09-17,122,41
2020-09-18,121,41
2020-09-19,117,45
2020-09-20,116,46
2020-09-21,111,51
2020-09-22,125,38
2020-09-23,125,38
2020-09-24,126,37
2020-09-25,123,39
2020-09-26,123,38
2020-09-27,123,38
2020-09-28,112,49
2020-09-29,125,37
2020-09-30,123,39
2020-10-01,121,42
2020-10-02,122,42
2020-10-03,128,36
2020-10-04,115,48
2020-10-05,115,49
2020-10-06,126,38
2020-10-07,116,48
2020-10-08,121,43
2020-10-09,119,45
2020-10-10,118,46
2020-10-11,109,55
2020-10-12,115,49
2020-10-13,108,56
2020-10-14,105,59
2020-10-15,110,54
2020-10-16,115,49
2020-10-17,108,55
2020-10-18,109,53
2020-10-19,107,56
2020-10-20,112,52
2020-10-21,116,48
2020-10-22,123,26
2020-10-23,120,32
2020-10-24,111,39
2020-10-25,109,32
2020-10-26,100,42
2020-10-27,113,30
2020-10-28,108,35
2020-10-29,115,28
2020-10-30,118,25
2020-10-31,114,28
2020-11-01,106,36
2020-11-02,100,44
2020-11-03,104,39
2020-11-04,102,42
2020-11-05,109,36
2020-11-06,116,30
2020-11-07,106,40
2020-11-08,99,54
2020-11-09,105,39
2020-11-10,113,31
2020-11-11,105,38
2020-11-12,111,34
2020-11-13,112,30
2020-11-14,108,33
2020-11-15,102,39
2020-11-16,107,36
2020-11-17,121,24
2020-11-18,130,31
2020-11-19,149,29
2020-11-20,148,29
2020-11-21,138,39
2020-11-22,132,40
2020-11-23,137,39
2020-11-24,136,38
2020-11-25,149,26
2020-11-26,148,27
2020-11-27,151,24
2020-11-28,146,25
2020-11-29,148,22
2020-11-30,148,24
2020-12-01,152,22
2020-12-02,151,21
2020-12-03,152,22
2020-12-04,154,21
2020-12-05,148,25
2020-12-06,149,24
2020-12-07,150,21
2020-12-08,155,15
2020-12-09,153,17
2020-12-10,151,23
2020-12-11,153,24
2020-12-12,145,31
2020-12-13,140,35
2020-12-14,146,30
2020-12-15,148,35
2020-12-16,148,35
2020-12-17,149,33
2020-12-18,141,40
2020-12-19,143,36
2020-12-20,150,29
2020-12-21,150,31
2020-12-22,148,32
2020-12-23,153,27
2020-12-24,148,32
2020-12-25,141,32
2020-12-26,149,29
2020-12-27,155,25
2020-12-28,154,25
2020-12-29,160,22
2020-12-30,160,22
2020-12-31,145,35
2021-01-01,140,39
2021-01-02,146,33
2021-01-03,148,30
2021-01-04,142,39
2021-01-05,153,36
2021-01-06,166,21
2021-01-07,162,27
2021-01-08,160,28
2021-01-09,160,25
2021-01-10,153,31
2021-01-11,154,35
2021-01-12,158,30
2021-01-13,160,29
2021-01-14,167,22
2021-01-15,166,23
2021-01-16,165,28
2021-01-17,165,28
2021-01-18,159,33
2021-01-19,168,24
2021-01-20,172,21
2021-01-21,168,24
2021-01-22,162,30
2021-01-23,163,29
2021-01-24,158,34
2021-01-25,159,36
2021-01-26,162,30
2021-01-27,167,26
2021-01-28,158,34
2021-01-29,161,31
2021-01-30,162,28
2021-01-31,156,32
2021-02-01,164,25
2021-02-02,162,26
2021-02-03,159,33
2021-02-04,164,28
2021-02-05,161,34
2021-02-06,161,33
2021-02-07,160,33
2021-02-08,159,34
2021-02-09,160,34
2021-02-10,156,33
2021-02-11,159,30
2021-02-12,160,29
2021-02-13,160,29
2021-02-14,151,35
2021-02-15,153,35
2021-02-16,159,29
2021-02-17,155,31
2021-02-18,161,22
2021-02-19,158,24
2021-02-20,156,24
2021-02-21,152,28
2021-02-22,156,29
2021-02-23,155,30
2021-02-24,155,31
2021-02-25,168,18
2021-02-26,162,20
2021-02-27,159,21
2021-02-28,159,22
2021-03-01,161,26
2021-03-02,158,31
2021-03-03,153,35
2021-03-04,151,36
2021-03-05,154,32
2021-03-06,150,36
2021-03-07,148,36
2021-03-08,157,29
2021-03-09,156,30
2021-03-10,156,30
2021-03-11,150,36
2021-03-12,150,36
2021-03-13,155,29
2021-03-14,148,36
2021-03-15,147,39
2021-03-16,163,22
2021-03-17,158,28
2021-03-18,163,24
2021-03-19,163,21
2021-03-20,159,25
2021-03-21,157,28
2021-03-22,152,34
2021-03-23,156,26
2021-03-24,156,26
2021-03-25,145,40
2021-03-26,156,27
2021-03-27,155,22
2021-03-28,150,27
2021-03-29,151,32
2021-03-30,152,35
2021-03-31,156,29
2021-04-01,154,31
2021-04-02,148,35
2021-04-03,142,40
2021-04-04,141,42
2021-04-05,145,38
2021-04-06,147,36
2021-04-07,155,29
2021-04-08,160,24
2021-04-09,159,25
2021-04-10,159,25
2021-04-11,151,30
2021-04-12,155,28
2021-04-13,165,18
2021-04-14,160,19
2021-04-15,155,25
2021-04-16,159,22
2021-04-17,156,24
2021-04-18,152,27
2021-04-19,151,31
2021-04-20,156,28
2021-04-21,161,25
2021-04-22,158,28
2021-04-23,165,21
2021-04-24,160,25
2021-04-25,156,29
2021-04-26,144,42
2021-04-27,157,29
2021-04-28,155,31
2021-04-29,151,33
2021-04-30,152,34
2021-05-01,152,32
2021-05-02,157,26
2021-05-03,163,22
2021-05-04,159,25
2021-05-05,159,25
2021-05-06,155,28
2021-05-07,153,30
2021-05-08,153,30
2021-05-09,144,37
2021-05-10,150,32
2021-05-11,153,32
2021-05-12,157,28
2021-05-13,160,23
2021-05-14,151,31
2021-05-15,144,37
2021-05-16,143,36
2021-05-17,156,27
2021-05-18,151,32
2021-05-19,149,33
2021-05-20,155,27
2021-05-21,152,33
2021-05-22,151,31
2021-05-23,151,30
2021-05-24,144,33
2021-05-25,149,31
2021-05-26,141,39
2021-05-27,143,38
2021-05-28,144,37
2021-05-29,140,37
2021-05-30,147,33
2021-05-31,153,32
2021-06-01,155,29
2021-06-02,157,24
2021-06-03,158,22
2021-06-04,150,31
2021-06-05,146,30
2021-06-06,148,28
2021-06-07,145,28
2021-06-08,149,28
2021-06-09,158,21
2021-06-10,149,28
2021-06-11,148,32
2021-06-12,151,29
2021-06-13,149,31
2021-06-14,145,37
2021-06-15,148,34
2021-06-16,160,24
2021-06-17,152,32
2021-06-18,148,37
2021-06-19,142,42
2021-06-20,143,41
2021-06-21,144,41
2021-06-22,152,34
2021-06-23,153,32
2021-06-24,145,39
2021-06-25,148,34
2021-06-26,147,33
2021-06-27,137,43
2021-06-28,146,32
2021-06-29,155,23
2021-06-30,156,25
2021-07-01,153,27
2021-07-02,154,26
2021-07-03,156,24
2021-07-04,157,23
2021-07-05,153,28
2021-07-06,161,20
2021-07-07,161,22
2021-07-08,158,24
2021-07-09,155,26
2021-07-10,154,27
2021-07-11,146,35
2021-07-12,148,33
2021-07-13,155,25
2021-07-14,155,24
2021-07-15,157,23
2021-07-16,148,34
2021-07-17,146,35
2021-07-18,150,31
2021-07-19,145,36
2021-07-20,146,36
2021-07-21,146,34
