date,betten_belegt,betten_frei
2020-04-24,40,29
2020-04-25,36,33
2020-04-26,38,31
2020-04-27,45,23
2020-04-28,44,24
2020-04-29,45,25
2020-04-30,39,31
2020-05-01,38,32
2020-05-02,35,35
2020-05-03,44,27
2020-05-04,45,26
2020-05-05,40,31
2020-05-06,51,20
2020-05-07,44,27
2020-05-08,40,31
2020-05-09,40,31
2020-05-10,40,31
2020-05-11,37,34
2020-05-12,41,30
2020-05-13,35,36
2020-05-14,34,37
2020-05-15,30,41
2020-05-16,29,42
2020-05-17,35,36
2020-05-18,31,40
2020-05-19,34,37
2020-05-20,37,34
2020-05-21,42,29
2020-05-22,42,29
2020-05-23,40,31
2020-05-24,36,35
2020-05-25,37,34
2020-05-26,31,40
2020-05-27,34,37
2020-05-28,45,26
2020-05-29,35,36
2020-05-30,35,36
2020-05-31,37,34
2020-06-01,35,36
2020-06-02,35,36
2020-06-03,37,34
2020-06-04,43,19
2020-06-05,37,34
2020-06-06,35,36
2020-06-07,35,36
2020-06-08,34,37
2020-06-09,34,37
2020-06-10,44,27
2020-06-11,36,35
2020-06-12,36,35
2020-06-13,38,33
2020-06-14,37,34
2020-06-15,32,39
2020-06-16,37,34
2020-06-17,44,27
2020-06-18,41,30
2020-06-19,45,26
2020-06-20,42,29
2020-06-21,43,28
2020-06-22,42,29
2020-06-23,44,26
2020-06-24,41,29
2020-06-25,39,32
2020-06-26,38,33
2020-06-27,51,20
2020-06-28,50,17
2020-06-29,49,18
2020-06-30,52,15
2020-07-01,54,13
2020-07-02,43,24
2020-07-03,41,26
2020-07-04,49,18
2020-07-05,48,19
2020-07-06,47,20
2020-07-07,46,21
2020-07-08,50,17
2020-07-09,50,17
2020-07-10,50,17
2020-07-11,57,20
2020-07-12,48,19
2020-07-13,50,17
2020-07-14,46,21
2020-07-15,47,20
2020-07-16,41,26
2020-07-17,47,20
2020-07-18,49,18
2020-07-19,46,21
2020-07-20,45,22
2020-07-21,42,22
2020-07-22,45,19
2020-07-23,46,18
2020-07-24,48,16
2020-07-25,43,21
2020-07-26,47,17
2020-07-27,43,21
2020-07-28,38,26
2020-07-29,39,23
2020-07-30,43,21
2020-07-31,40,24
2020-08-01,40,24
2020-08-02,42,23
2020-08-03,41,24
2020-08-04,39,24
2020-08-05,40,23
2020-08-06,38,25
2020-08-07,35,28
2020-08-08,33,30
2020-08-09,32,31
2020-08-10,39,24
2020-08-11,42,21
2020-08-12,50,13
2020-08-13,40,23
2020-08-14,47,16
2020-08-15,55,8
2020-08-16,52,11
2020-08-17,51,12
2020-08-18,54,9
2020-08-19,50,13
2020-08-20,52,11
2020-08-21,49,14
2020-08-22,49,14
2020-08-23,51,12
2020-08-24,53,10
2020-08-25,50,13
2020-08-26,48,15
2020-08-27,45,18
2020-08-28,46,17
2020-08-29,52,11
2020-08-30,47,16
2020-08-31,42,21
2020-09-01,42,21
2020-09-02,41,22
2020-09-03,52,11
2020-09-04,45,18
2020-09-05,45,18
2020-09-06,37,26
2020-09-07,42,21
2020-09-08,40,23
2020-09-09,39,24
2020-09-10,40,23
2020-09-11,35,28
2020-09-12,37,26
2020-09-13,43,20
2020-09-14,39,24
2020-09-15,39,24
2020-09-16,41,22
2020-09-17,36,27
2020-09-18,37,26
2020-09-19,43,20
2020-09-20,46,17
2020-09-21,40,23
2020-09-22,45,18
2020-09-23,40,23
2020-09-24,45,18
2020-09-25,45,18
2020-09-26,45,18
2020-09-27,46,17
2020-09-28,47,16
2020-09-29,47,16
2020-09-30,45,18
2020-10-01,43,20
2020-10-02,47,16
2020-10-03,41,22
2020-10-04,40,23
2020-10-05,43,20
2020-10-06,46,17
2020-10-07,48,15
2020-10-08,46,17
2020-10-09,42,21
2020-10-10,47,16
2020-10-11,43,20
2020-10-12,49,14
2020-10-13,48,15
2020-10-14,44,19
2020-10-15,40,23
2020-10-16,41,22
2020-10-17,44,19
2020-10-18,47,16
2020-10-19,47,16
2020-10-20,48,15
2020-10-21,49,14
2020-10-22,45,18
2020-10-23,48,14
2020-10-24,47,15
2020-10-25,45,17
2020-10-26,50,12
2020-10-27,51,11
2020-10-28,46,16
2020-10-29,46,16
2020-10-30,47,15
2020-10-31,47,15
2020-11-01,51,11
2020-11-02,47,11
2020-11-03,50,8
2020-11-04,47,11
2020-11-05,47,11
2020-11-06,42,16
2020-11-07,48,10
2020-11-08,43,15
2020-11-09,45,13
2020-11-10,46,12
2020-11-11,46,12
2020-11-12,44,14
2020-11-13,44,14
2020-11-14,45,13
2020-11-15,44,14
2020-11-16,46,12
2020-11-17,44,14
2020-11-18,44,14
2020-11-19,40,15
2020-11-20,37,18
2020-11-21,41,14
2020-11-22,35,11
2020-11-23,36,12
2020-11-24,37,11
2020-11-25,37,11
2020-11-26,37,11
2020-11-27,32,16
2020-11-28,29,19
2020-11-29,31,17
2020-11-30,29,19
2020-12-01,39,9
2020-12-02,36,12
2020-12-03,34,14
2020-12-04,33,15
2020-12-05,35,13
2020-12-06,33,15
2020-12-07,33,15
2020-12-08,40,15
2020-12-09,47,9
2020-12-10,48,8
2020-12-11,45,10
2020-12-12,48,7
2020-12-13,46,10
2020-12-14,46,9
2020-12-15,48,7
2020-12-16,48,8
2020-12-17,42,13
2020-12-18,43,12
2020-12-19,42,13
2020-12-20,40,15
2020-12-21,42,13
2020-12-22,40,15
2020-12-23,37,18
2020-12-24,41,14
2020-12-25,40,15
2020-12-26,40,15
2020-12-27,46,10
2020-12-28,43,12
2020-12-29,46,11
2020-12-30,44,12
2020-12-31,47,11
2021-01-01,47,10
2021-01-02,41,14
2021-01-03,44,11
2021-01-04,47,8
2021-01-05,44,11
2021-01-06,43,12
2021-01-07,43,13
2021-01-08,43,13
2021-01-09,45,14
2021-01-10,44,15
2021-01-11,45,14
2021-01-12,39,20
2021-01-13,44,15
2021-01-14,44,15
2021-01-15,36,23
2021-01-16,41,18
2021-01-17,45,14
2021-01-18,40,19
2021-01-19,42,17
2021-01-20,38,21
2021-01-21,43,16
2021-01-22,43,16
2021-01-23,49,10
2021-01-24,46,13
2021-01-25,41,18
2021-01-26,41,18
2021-01-27,43,16
2021-01-28,46,14
2021-01-29,50,10
2021-01-30,48,11
2021-01-31,45,14
2021-02-01,47,12
2021-02-02,45,14
2021-02-03,50,9
2021-02-04,47,12
2021-02-05,49,11
2021-02-06,42,17
2021-02-07,44,15
2021-02-08,45,14
2021-02-09,49,11
2021-02-10,45,14
2021-02-11,44,16
2021-02-12,49,10
2021-02-13,46,13
2021-02-14,44,15
2021-02-15,44,15
2021-02-16,40,19
2021-02-17,47,12
2021-02-18,41,18
2021-02-19,43,17
2021-02-20,45,15
2021-02-21,46,13
2021-02-22,49,10
2021-02-23,45,14
2021-02-24,46,13
2021-02-25,35,24
2021-02-26,39,20
2021-02-27,34,25
2021-02-28,36,23
2021-03-01,35,24
2021-03-02,36,23
2021-03-03,38,21
2021-03-04,42,17
2021-03-05,41,18
2021-03-06,37,22
2021-03-07,33,26
2021-03-08,38,21
2021-03-09,43,16
2021-03-10,42,17
2021-03-11,42,17
2021-03-12,44,16
2021-03-13,36,23
2021-03-14,37,22
2021-03-15,43,17
2021-03-16,43,16
2021-03-17,45,14
2021-03-18,42,17
2021-03-19,48,11
2021-03-20,50,9
2021-03-21,47,13
2021-03-22,48,10
2021-03-23,42,17
2021-03-24,52,7
2021-03-25,47,12
2021-03-26,46,13
2021-03-27,36,23
2021-03-28,35,24
2021-03-29,41,18
2021-03-30,47,12
2021-03-31,44,15
2021-04-01,45,14
2021-04-02,43,16
2021-04-03,43,16
2021-04-04,39,20
2021-04-05,42,17
2021-04-06,46,13
2021-04-07,39,20
2021-04-08,40,19
2021-04-09,35,24
2021-04-10,41,18
2021-04-11,38,21
2021-04-12,45,15
2021-04-13,42,17
2021-04-14,40,19
2021-04-15,52,9
2021-04-16,49,10
2021-04-17,48,12
2021-04-18,47,12
2021-04-19,45,14
2021-04-20,43,16
2021-04-21,46,13
2021-04-22,48,11
2021-04-23,41,18
2021-04-24,47,13
2021-04-25,49,10
2021-04-26,46,13
2021-04-27,48,11
2021-04-28,53,7
2021-04-29,52,8
2021-04-30,54,6
2021-05-01,49,10
2021-05-02,46,13
2021-05-03,48,11
2021-05-04,53,6
2021-05-05,53,6
2021-05-06,53,6
2021-05-07,56,3
2021-05-08,52,7
2021-05-09,54,5
2021-05-10,52,7
2021-05-11,51,8
2021-05-12,51,8
2021-05-13,50,9
2021-05-14,50,9
2021-05-15,49,10
2021-05-16,48,11
2021-05-17,43,16
2021-05-18,44,15
2021-05-19,50,9
2021-05-20,41,18
2021-05-21,39,20
2021-05-22,41,18
2021-05-23,43,16
2021-05-24,38,21
2021-05-25,40,19
2021-05-26,45,14
2021-05-27,42,17
2021-05-28,46,13
2021-05-29,45,14
2021-05-30,39,20
2021-05-31,44,15
2021-06-01,49,10
2021-06-02,50,9
2021-06-03,46,14
2021-06-04,47,13
2021-06-05,38,21
2021-06-06,40,19
2021-06-07,44,15
2021-06-08,51,8
2021-06-09,51,10
2021-06-10,37,22
2021-06-11,44,15
2021-06-12,43,16
2021-06-13,48,11
2021-06-14,52,7
2021-06-15,50,10
2021-06-16,48,12
2021-06-17,49,11
2021-06-18,49,10
2021-06-19,53,7
2021-06-20,50,9
2021-06-21,52,7
2021-06-22,42,17
2021-06-23,49,10
2021-06-24,44,15
2021-06-25,38,21
2021-06-26,43,16
2021-06-27,49,10
2021-06-28,46,13
2021-06-29,46,13
2021-06-30,50,9
2021-07-01,50,9
2021-07-02,52,7
2021-07-03,42,17
2021-07-04,49,10
2021-07-05,51,8
2021-07-06,51,8
2021-07-07,49,10
2021-07-08,47,12
2021-07-09,43,16
2021-07-10,41,19
2021-07-11,40,19
2021-07-12,44,15
2021-07-13,44,15
2021-07-14,39,20
2021-07-15,45,15
2021-07-16,52,8
2021-07-17,48,11
2021-07-18,52,8
2021-07-19,52,8
2021-07-20,48,13
2021-07-21,43,16
2021-07-22,40,19
2021-07-23,37,22
2021-07-24,41,18
2021-07-25,43,16
2021-07-26,47,13
2021-07-27,48,12
2021-07-28,48,11
2021-07-29,49,10
2021-07-30,42,17
2021-07-31,46,14
2021-08-01,43,17
2021-08-02,44,15
2021-08-03,46,13
2021-08-04,46,14
2021-08-05,39,20
2021-08-06,42,17
2021-08-07,49,11
2021-08-08,42,17
2021-08-09,48,11
2021-08-10,50,9
2021-08-11,49,10
2021-08-12,50,9
2021-08-13,53,8
2021-08-14,52,8
2021-08-15,49,10
2021-08-16,46,11
2021-08-17,49,8
2021-08-18,44,13
2021-08-19,45,13
2021-08-20,46,13
2021-08-21,42,18
2021-08-22,39,21
2021-08-23,44,16
2021-08-24,47,13
2021-08-25,43,17
2021-08-26,44,16
2021-08-27,41,17
2021-08-28,43,16
2021-08-29,45,14
2021-08-30,39,21
2021-08-31,44,16
2021-09-01,44,16
2021-09-02,45,15
2021-09-03,48,12
2021-09-04,47,13
2021-09-05,49,11
2021-09-06,47,13
2021-09-07,44,16
2021-09-08,40,20
2021-09-09,49,11
2021-09-10,47,13
2021-09-11,48,12
2021-09-12,49,11
2021-09-13,49,11
2021-09-14,48,12
2021-09-15,41,19
2021-09-16,47,13
2021-09-17,46,14
2021-09-18,44,16
2021-09-19,47,13
2021-09-20,48,12
2021-09-21,53,7
2021-09-22,52,8
2021-09-23,52,8
2021-09-24,49,11
2021-09-25,48,12
2021-09-26,46,12
2021-09-27,49,11
2021-09-28,53,7
2021-09-29,49,11
2021-09-30,41,19
2021-10-01,39,21
2021-10-02,39,21
2021-10-03,43,17
2021-10-04,46,14
2021-10-05,51,9
2021-10-06,51,9
2021-10-07,46,14
2021-10-08,47,13
2021-10-09,49,11
2021-10-10,43,17
2021-10-11,43,17
2021-10-12,50,10
2021-10-13,47,13
2021-10-14,48,12
2021-10-15,48,12
2021-10-16,52,8
2021-10-17,50,10
2021-10-18,53,7
2021-10-19,52,8
2021-10-20,50,10
2021-10-21,50,10
2021-10-22,40,8
2021-10-23,40,8
2021-10-24,36,12
2021-10-25,37,11
2021-10-26,36,12
2021-10-27,38,22
2021-10-28,47,13
2021-10-29,46,14
2021-10-30,49,11
2021-10-31,52,9
2021-11-01,51,9
2021-11-02,52,8
2021-11-03,50,10
2021-11-04,47,13
2021-11-05,46,14
2021-11-06,45,12
2021-11-07,47,10
2021-11-08,46,11
2021-11-09,45,12
2021-11-10,49,8
2021-11-11,47,10
2021-11-12,49,8
2021-11-13,51,6
2021-11-14,48,9
2021-11-15,46,11
2021-11-16,44,13
2021-11-17,39,21
2021-11-18,44,14
2021-11-19,45,12
2021-11-20,44,16
2021-11-21,48,12
2021-11-22,47,11
2021-11-23,50,9
2021-11-24,43,14
2021-11-25,44,13
2021-11-26,45,13
2021-11-27,45,13
2021-11-28,42,15
2021-11-29,42,15
2021-11-30,41,17
2021-12-01,37,20
2021-12-02,43,14
2021-12-03,41,16
2021-12-04,43,14
2021-12-05,43,14
2021-12-06,45,12
2021-12-07,47,13
2021-12-08,45,15
2021-12-09,44,13
2021-12-10,46,11
2021-12-11,46,11
2021-12-12,47,10
2021-12-13,42,15
2021-12-14,41,18
2021-12-15,42,18
2021-12-16,39,21
2021-12-17,43,17
2021-12-18,42,18
2021-12-19,40,20
2021-12-20,37,23
2021-12-21,38,22
2021-12-22,44,16
2021-12-23,40,20
2021-12-24,39,21
2021-12-25,40,20
2021-12-26,47,13
2021-12-27,46,14
2021-12-28,42,18
2021-12-29,40,17
2021-12-30,42,18
2021-12-31,43,17
2022-01-01,44,16
2022-01-02,43,17
2022-01-03,43,15
2022-01-04,41,19
2022-01-05,43,17
2022-01-06,39,20
2022-01-07,37,23
2022-01-08,36,21
2022-01-09,34,23
2022-01-10,34,26
2022-01-11,37,23
2022-01-12,30,30
2022-01-13,35,25
2022-01-14,40,20
2022-01-15,38,22
2022-01-16,38,20
2022-01-17,39,21
2022-01-18,39,21
2022-01-19,44,16
2022-01-20,40,20
2022-01-21,38,22
2022-01-22,39,21
2022-01-23,39,21
2022-01-24,44,16
2022-01-25,43,17
2022-01-26,43,17
2022-01-27,41,19
2022-01-28,40,20
2022-01-29,34,26
2022-01-30,32,28
2022-01-31,37,23
2022-02-01,36,24
2022-02-02,38,22
2022-02-03,32,28
2022-02-04,39,19
2022-02-05,37,20
2022-02-06,39,18
2022-02-07,40,17
2022-02-08,45,15
2022-02-09,40,20
2022-02-10,45,15
2022-02-11,48,12
2022-02-12,42,18
2022-02-13,40,20
2022-02-14,40,18
2022-02-15,38,21
2022-02-16,45,15
2022-02-17,44,16
2022-02-18,50,10
2022-02-19,44,16
2022-02-20,43,16
2022-02-21,39,18
2022-02-22,41,19
2022-02-23,43,17
2022-02-24,40,20
2022-02-25,42,18
2022-02-26,43,17
2022-02-27,44,16
2022-02-28,43,17
