date,betten_belegt,betten_frei
2020-04-24,45,24
2020-04-25,45,24
2020-04-26,48,27
2020-04-27,43,29
2020-04-28,47,28
2020-04-29,53,22
2020-04-30,51,25
2020-05-01,51,25
2020-05-02,49,27
2020-05-03,49,27
2020-05-04,50,26
2020-05-05,52,24
2020-05-06,48,26
2020-05-07,47,27
2020-05-08,45,28
2020-05-09,42,31
2020-05-10,43,33
2020-05-11,45,31
2020-05-12,48,28
2020-05-13,50,23
2020-05-14,51,22
2020-05-15,51,22
2020-05-16,46,27
2020-05-17,47,28
2020-05-18,47,28
2020-05-19,45,30
2020-05-20,44,29
2020-05-21,47,26
2020-05-22,46,27
2020-05-23,43,30
2020-05-24,41,32
2020-05-25,41,32
2020-05-26,46,27
2020-05-27,47,26
2020-05-28,47,26
2020-05-29,50,23
2020-05-30,45,28
2020-05-31,47,26
2020-06-01,47,26
2020-06-02,44,29
2020-06-03,48,25
2020-06-04,49,24
2020-06-05,49,24
2020-06-06,48,25
2020-06-07,48,25
2020-06-08,49,24
2020-06-09,54,19
2020-06-10,55,18
2020-06-11,49,24
2020-06-12,48,25
2020-06-13,49,24
2020-06-14,47,26
2020-06-15,48,25
2020-06-16,48,25
2020-06-17,50,23
2020-06-18,51,22
2020-06-19,49,24
2020-06-20,47,26
2020-06-21,47,26
2020-06-22,49,24
2020-06-23,53,20
2020-06-24,50,23
2020-06-25,48,25
2020-06-26,47,26
2020-06-27,47,26
2020-06-28,53,20
2020-06-29,54,19
2020-06-30,51,22
2020-07-01,54,19
2020-07-02,56,8
2020-07-03,54,7
2020-07-04,51,22
2020-07-05,52,21
2020-07-06,52,21
2020-07-07,54,19
2020-07-08,56,17
2020-07-09,52,21
2020-07-10,52,21
2020-07-11,54,19
2020-07-12,52,22
2020-07-13,55,7
2020-07-14,55,7
2020-07-15,55,6
2020-07-16,55,6
2020-07-17,56,8
2020-07-18,55,9
2020-07-19,53,11
2020-07-20,57,7
2020-07-21,54,10
2020-07-22,54,9
