date,betten_belegt,betten_frei
2020-04-24,23,27
2020-04-25,26,21
2020-04-26,31,17
2020-04-27,33,15
2020-04-28,31,15
2020-04-29,33,15
2020-04-30,32,18
2020-05-01,32,16
2020-05-02,29,19
2020-05-03,31,17
2020-05-04,31,17
2020-05-05,29,16
2020-05-06,25,23
2020-05-07,35,13
2020-05-08,34,14
2020-05-09,34,14
2020-05-10,34,15
2020-05-11,28,19
2020-05-12,26,21
2020-05-13,29,19
2020-05-14,35,12
2020-05-15,31,17
2020-05-16,31,17
2020-05-17,31,17
2020-05-18,31,17
2020-05-19,30,17
2020-05-20,30,18
2020-05-21,32,17
2020-05-22,31,18
2020-05-23,28,20
2020-05-24,32,17
2020-05-25,34,14
2020-05-26,37,11
2020-05-27,30,19
2020-05-28,29,20
2020-05-29,27,21
2020-05-30,20,27
2020-05-31,24,25
2020-06-01,30,18
2020-06-02,32,16
2020-06-03,37,12
2020-06-04,30,17
2020-06-05,35,13
2020-06-06,35,13
2020-06-07,35,13
2020-06-08,36,13
2020-06-09,40,10
2020-06-10,42,6
2020-06-11,33,15
2020-06-12,30,18
2020-06-13,34,14
2020-06-14,35,12
2020-06-15,35,14
2020-06-16,26,22
2020-06-17,36,12
2020-06-18,31,18
2020-06-19,28,20
2020-06-20,26,22
2020-06-21,28,20
2020-06-22,29,20
2020-06-23,29,19
2020-06-24,37,11
2020-06-25,37,17
2020-06-26,36,12
2020-06-27,30,19
2020-06-28,32,17
2020-06-29,36,12
2020-06-30,35,13
2020-07-01,33,19
2020-07-02,29,20
2020-07-03,34,14
2020-07-04,29,19
2020-07-05,28,20
2020-07-06,28,20
2020-07-07,29,19
2020-07-08,32,17
2020-07-09,33,15
2020-07-10,31,16
2020-07-11,30,17
2020-07-12,33,18
2020-07-13,36,13
2020-07-14,36,12
2020-07-15,38,10
2020-07-16,37,13
2020-07-17,33,15
2020-07-18,32,16
2020-07-19,28,20
2020-07-20,32,16
2020-07-21,35,13
2020-07-22,32,8
2020-07-23,36,11
2020-07-24,36,11
2020-07-25,34,14
2020-07-26,34,14
2020-07-27,35,13
2020-07-28,36,12
2020-07-29,37,11
2020-07-30,36,12
2020-07-31,39,9
2020-08-01,39,9
2020-08-02,37,11
2020-08-03,33,15
2020-08-04,40,12
2020-08-05,38,14
2020-08-06,42,10
2020-08-07,38,14
2020-08-08,37,15
2020-08-09,38,14
2020-08-10,38,14
2020-08-11,38,14
2020-08-12,38,14
2020-08-13,40,12
2020-08-14,38,14
2020-08-15,43,9
2020-08-16,41,11
2020-08-17,42,10
2020-08-18,41,11
2020-08-19,37,15
2020-08-20,37,15
2020-08-21,42,10
2020-08-22,44,8
2020-08-23,35,17
2020-08-24,38,14
2020-08-25,36,16
2020-08-26,41,11
2020-08-27,36,16
2020-08-28,36,16
2020-08-29,35,17
2020-08-30,32,20
2020-08-31,36,16
2020-09-01,41,11
2020-09-02,36,16
2020-09-03,41,11
2020-09-04,43,9
2020-09-05,41,11
2020-09-06,45,7
2020-09-07,42,10
2020-09-08,41,11
2020-09-09,38,14
2020-09-10,45,7
2020-09-11,43,9
2020-09-12,42,10
2020-09-13,37,15
2020-09-14,44,8
2020-09-15,47,5
2020-09-16,46,6
2020-09-17,44,8
2020-09-18,39,13
2020-09-19,33,19
2020-09-20,37,15
2020-09-21,38,14
2020-09-22,36,16
2020-09-23,38,14
2020-09-24,39,13
2020-09-25,40,12
2020-09-26,34,18
2020-09-27,36,16
2020-09-28,40,12
2020-09-29,39,13
2020-09-30,37,15
2020-10-01,28,24
2020-10-02,37,15
2020-10-03,39,13
2020-10-04,35,17
2020-10-05,37,15
2020-10-06,37,15
2020-10-07,33,19
2020-10-08,36,16
2020-10-09,36,16
2020-10-10,37,15
2020-10-11,41,11
2020-10-12,39,13
2020-10-13,41,11
2020-10-14,34,18
2020-10-15,31,21
2020-10-16,34,18
2020-10-17,40,12
2020-10-18,35,17
2020-10-19,35,17
2020-10-20,40,12
2020-10-21,36,16
2020-10-22,39,13
2020-10-23,43,9
2020-10-24,38,14
2020-10-25,35,17
2020-10-26,41,11
2020-10-27,38,14
2020-10-28,37,15
2020-10-29,32,20
2020-10-30,40,12
2020-10-31,34,18
2020-11-01,41,11
2020-11-02,39,13
2020-11-03,45,7
2020-11-04,38,14
2020-11-05,38,14
2020-11-06,43,9
2020-11-07,38,14
2020-11-08,37,15
2020-11-09,34,18
2020-11-10,35,17
2020-11-11,31,21
2020-11-12,43,9
2020-11-13,40,12
2020-11-14,40,12
2020-11-15,41,11
2020-11-16,42,10
2020-11-17,41,11
2020-11-18,41,11
2020-11-19,39,13
2020-11-20,34,18
2020-11-21,36,16
2020-11-22,37,15
2020-11-23,34,18
2020-11-24,34,18
2020-11-25,38,14
2020-11-26,41,11
2020-11-27,40,12
2020-11-28,44,8
2020-11-29,46,6
2020-11-30,49,3
2020-12-01,40,12
2020-12-02,34,11
2020-12-03,28,14
2020-12-04,30,12
2020-12-05,31,11
2020-12-06,30,12
2020-12-07,30,12
2020-12-08,36,6
2020-12-09,34,8
2020-12-10,34,8
2020-12-11,33,9
2020-12-12,34,8
2020-12-13,35,7
2020-12-14,34,8
2020-12-15,34,8
2020-12-16,36,6
2020-12-17,34,8
2020-12-18,38,4
2020-12-19,32,10
2020-12-20,36,6
2020-12-21,37,5
2020-12-22,35,7
2020-12-23,33,9
2020-12-24,33,9
2020-12-25,30,12
2020-12-26,28,14
2020-12-27,28,14
2020-12-28,31,11
2020-12-29,37,5
2020-12-30,34,8
2020-12-31,32,10
2021-01-01,34,8
2021-01-02,36,6
2021-01-03,37,5
2021-01-04,34,8
2021-01-05,39,3
2021-01-06,40,2
2021-01-07,39,3
2021-01-08,37,5
2021-01-09,37,5
2021-01-10,39,3
2021-01-11,37,5
2021-01-12,39,3
2021-01-13,37,5
2021-01-14,35,7
2021-01-15,33,9
2021-01-16,34,8
2021-01-17,36,6
2021-01-18,38,4
2021-01-19,36,6
2021-01-20,28,14
2021-01-21,30,12
2021-01-22,32,10
2021-01-23,31,11
2021-01-24,29,13
2021-01-25,38,4
2021-01-26,39,3
2021-01-27,39,3
2021-01-28,39,3
2021-01-29,41,1
2021-01-30,37,5
2021-01-31,36,6
2021-02-01,40,2
2021-02-02,40,2
2021-02-03,40,2
2021-02-04,39,3
2021-02-05,39,3
2021-02-06,38,4
2021-02-07,36,6
2021-02-08,36,6
2021-02-09,34,8
2021-02-10,36,6
2021-02-11,41,1
2021-02-12,35,7
2021-02-13,33,9
2021-02-14,31,11
2021-02-15,38,4
2021-02-16,36,6
2021-02-17,36,6
2021-02-18,38,4
2021-02-19,37,5
2021-02-20,34,8
2021-02-21,37,5
2021-02-22,35,7
2021-02-23,40,2
2021-02-24,39,3
2021-02-25,37,5
2021-02-26,38,4
2021-02-27,37,5
2021-02-28,37,5
2021-03-01,39,3
2021-03-02,37,5
2021-03-03,39,3
2021-03-04,35,7
2021-03-05,33,9
2021-03-06,30,12
2021-03-07,36,6
2021-03-08,38,4
2021-03-09,36,6
2021-03-10,36,6
2021-03-11,38,4
2021-03-12,38,4
2021-03-13,36,6
2021-03-14,39,3
2021-03-15,35,7
2021-03-16,34,8
2021-03-17,38,4
2021-03-18,39,3
2021-03-19,40,2
2021-03-20,40,2
2021-03-21,38,4
2021-03-22,39,3
2021-03-23,41,1
2021-03-24,38,4
2021-03-25,39,3
2021-03-26,38,4
2021-03-27,38,4
2021-03-28,35,7
2021-03-29,39,3
2021-03-30,39,3
2021-03-31,39,3
2021-04-01,40,2
2021-04-02,40,2
2021-04-03,40,2
2021-04-04,40,2
2021-04-05,35,7
2021-04-06,38,4
2021-04-07,39,3
2021-04-08,39,3
2021-04-09,31,11
2021-04-10,34,8
2021-04-11,36,6
2021-04-12,37,5
2021-04-13,40,2
2021-04-14,40,2
2021-04-15,41,1
2021-04-16,39,3
2021-04-17,38,4
2021-04-18,39,3
2021-04-19,40,2
2021-04-20,40,2
2021-04-21,41,1
2021-04-22,40,2
2021-04-23,39,3
2021-04-24,37,5
2021-04-25,40,2
2021-04-26,39,3
2021-04-27,40,2
2021-04-28,40,2
2021-04-29,41,1
2021-04-30,39,3
2021-05-01,36,6
2021-05-02,39,3
2021-05-03,41,1
2021-05-04,39,3
2021-05-05,41,1
2021-05-06,37,5
2021-05-07,35,7
2021-05-08,34,8
2021-05-09,36,6
2021-05-10,37,5
2021-05-11,36,6
2021-05-12,37,5
2021-05-13,34,8
2021-05-14,32,10
2021-05-15,30,12
2021-05-16,31,11
2021-05-17,31,11
2021-05-18,32,10
2021-05-19,38,4
2021-05-20,31,11
2021-05-21,34,8
2021-05-22,30,12
2021-05-23,36,6
2021-05-24,32,10
2021-05-25,34,8
2021-05-26,36,6
2021-05-27,35,7
2021-05-28,30,12
2021-05-29,28,14
2021-05-30,31,11
2021-05-31,31,11
2021-06-01,34,8
2021-06-02,36,6
2021-06-03,31,11
2021-06-04,30,12
2021-06-05,28,14
2021-06-06,28,14
2021-06-07,36,6
2021-06-08,38,4
2021-06-09,32,10
2021-06-10,38,4
2021-06-11,36,6
2021-06-12,37,5
2021-06-13,41,1
2021-06-14,36,6
2021-06-15,40,2
2021-06-16,34,8
2021-06-17,28,14
2021-06-18,33,9
2021-06-19,29,13
2021-06-20,25,17
2021-06-21,35,7
2021-06-22,37,5
2021-06-23,32,10
2021-06-24,29,13
2021-06-25,34,8
2021-06-26,34,8
2021-06-27,32,10
2021-06-28,36,6
2021-06-29,35,7
2021-06-30,31,11
2021-07-01,35,7
2021-07-02,35,7
2021-07-03,34,8
2021-07-04,35,7
2021-07-05,34,8
2021-07-06,30,12
2021-07-07,27,15
2021-07-08,32,10
2021-07-09,28,14
2021-07-10,25,17
2021-07-11,26,16
2021-07-12,29,13
2021-07-13,28,14
2021-07-14,36,6
2021-07-15,30,12
2021-07-16,33,9
2021-07-17,33,9
2021-07-18,37,5
2021-07-19,34,8
2021-07-20,36,6
2021-07-21,34,8
2021-07-22,34,8
2021-07-23,35,7
2021-07-24,34,8
2021-07-25,30,12
2021-07-26,28,14
2021-07-27,31,11
2021-07-28,29,13
2021-07-29,28,14
2021-07-30,33,9
2021-07-31,34,8
2021-08-01,29,13
2021-08-02,31,11
