date,betten_belegt,betten_frei
2020-05-19,4,3
2020-05-20,4,3
2020-05-21,4,3
2020-05-22,4,3
2020-05-23,4,3
2020-05-24,4,3
2020-05-25,3,4
2020-05-26,3,4
2020-05-27,4,3
2020-05-28,4,3
2020-05-29,4,3
2020-05-30,4,3
2020-05-31,4,3
2020-06-01,4,3
2020-06-02,3,4
2020-06-03,6,1
2020-06-04,6,1
2020-06-05,6,1
2020-06-06,6,1
2020-06-07,5,2
2020-06-08,4,3
2020-06-09,4,3
2020-06-10,4,3
2020-06-11,4,3
2020-06-12,4,3
2020-06-13,4,3
2020-06-14,4,3
2020-06-16,2,5
2020-06-17,2,5
2020-06-18,2,5
2020-06-19,2,5
2020-06-20,3,4
2020-06-21,3,4
2020-06-22,3,4
2020-06-23,3,4
2020-06-24,3,4
2020-06-25,3,4
2020-06-26,7,0
2020-06-27,7,0
2020-06-28,4,3
2020-06-29,4,3
2020-06-30,4,3
2020-07-01,4,3
2020-07-02,4,3
2020-07-03,6,1
2020-07-04,6,1
2020-07-05,6,1
2020-07-06,6,1
2020-07-07,7,0
2020-07-08,7,0
2020-07-09,5,2
2020-07-10,5,2
2020-07-11,5,2
2020-07-12,5,2
2020-07-13,5,2
2020-07-14,5,2
2020-07-15,5,2
2020-07-16,3,4
2020-07-17,4,3
2020-07-18,4,3
2020-07-19,4,3
2020-07-20,5,2
2020-07-21,5,2
2020-07-22,4,3
2020-07-23,6,1
2020-07-24,5,2
2020-07-25,5,2
2020-07-26,5,2
2020-07-27,4,3
2020-07-28,4,3
2020-07-29,4,3
2020-07-30,4,3
2020-07-31,3,4
2020-08-01,6,1
2020-08-02,6,1
2020-08-03,3,4
2020-08-04,5,2
2020-08-05,4,3
2020-08-06,5,2
2020-08-07,5,2
2020-08-08,5,2
2020-08-09,5,2
2020-08-10,3,4
2020-08-11,3,4
2020-08-12,2,5
2020-08-13,2,5
2020-08-14,3,4
2020-08-15,3,4
2020-08-16,6,1
2020-08-17,5,2
2020-08-18,5,2
2020-08-19,3,4
2020-08-20,4,3
2020-08-21,6,1
2020-08-22,4,3
2020-08-23,4,3
2020-08-24,1,6
2020-08-25,3,4
2020-08-26,3,4
2020-08-27,2,5
2020-08-28,2,5
2020-08-29,2,5
2020-08-30,2,5
2020-08-31,3,4
2020-09-01,3,4
2020-09-02,3,4
2020-09-03,3,4
2020-09-04,4,3
2020-09-05,3,4
2020-09-06,3,4
2020-09-07,4,3
2020-09-08,4,3
2020-09-09,6,1
2020-09-10,5,2
2020-09-11,5,2
2020-09-12,6,1
2020-09-13,4,3
2020-09-14,5,2
2020-09-15,6,1
2020-09-16,2,5
2020-09-17,2,5
2020-09-18,5,2
2020-09-19,5,2
2020-09-20,5,2
2020-09-21,3,4
2020-09-22,3,4
2020-09-23,2,5
2020-09-24,4,3
2020-09-25,6,1
2020-09-26,3,4
2020-09-27,2,0
2020-09-28,2,0
2020-09-29,4,3
2020-09-30,3,4
2020-10-01,5,2
2020-10-02,4,3
2020-10-03,4,3
2020-10-04,4,3
2020-10-05,4,3
2020-10-06,4,3
2020-10-07,5,2
2020-10-08,4,3
2020-10-09,4,3
2020-10-10,3,4
2020-10-11,3,4
2020-10-12,3,4
2020-10-13,5,2
2020-10-14,4,3
2020-10-15,4,3
2020-10-16,3,4
2020-10-17,7,0
2020-10-18,7,0
2020-10-19,4,3
2020-10-20,5,2
2020-10-21,3,4
2020-10-22,3,4
2020-10-23,7,0
2020-10-24,7,0
2020-10-25,5,2
2020-10-26,4,3
2020-10-27,5,2
2020-10-28,6,1
2020-10-29,5,2
2020-10-30,2,5
2020-10-31,3,4
2020-11-01,2,5
2020-11-02,3,4
2020-11-03,5,2
2020-11-04,3,4
2020-11-05,4,3
2020-11-06,4,3
2020-11-07,4,3
2020-11-08,4,3
2020-11-09,3,4
2020-11-10,2,5
2020-11-11,2,5
2020-11-12,5,2
2020-11-13,5,2
2020-11-14,4,3
2020-11-15,4,3
2020-11-16,5,2
2020-11-17,3,4
2020-11-18,3,4
2020-11-19,3,4
2020-11-20,2,5
