date,betten_belegt,betten_frei
2020-04-24,20,32
2020-04-25,20,32
2020-04-26,21,28
2020-04-27,20,29
2020-04-28,24,25
2020-04-29,24,27
2020-04-30,28,26
2020-05-01,26,25
2020-05-02,25,24
2020-05-03,20,32
2020-05-04,20,36
2020-05-05,20,31
2020-05-06,22,29
2020-05-07,24,28
2020-05-08,21,31
2020-05-09,24,27
2020-05-10,21,30
2020-05-11,20,31
2020-05-12,18,33
2020-05-13,17,34
2020-05-14,19,31
2020-05-15,20,31
2020-05-16,18,35
2020-05-17,20,33
2020-05-18,17,34
2020-05-19,21,30
2020-05-20,20,31
2020-05-21,23,28
2020-05-22,19,32
2020-05-23,20,31
2020-05-24,20,31
2020-05-25,18,33
2020-05-26,16,35
2020-05-27,22,29
2020-05-28,19,32
2020-05-29,19,32
2020-05-30,18,33
2020-05-31,11,40
2020-06-01,15,39
2020-06-02,20,31
2020-06-03,19,33
2020-06-04,17,34
2020-06-05,20,31
2020-06-06,18,33
2020-06-07,20,33
2020-06-08,21,37
2020-06-09,21,36
2020-06-10,18,39
2020-06-11,22,36
2020-06-12,20,38
2020-06-13,16,38
2020-06-14,18,38
2020-06-15,15,39
2020-06-16,18,33
2020-06-17,19,32
2020-06-18,25,26
2020-06-19,22,29
2020-06-20,21,31
2020-06-21,23,35
2020-06-22,24,27
2020-06-23,22,29
2020-06-24,20,31
2020-06-25,16,35
2020-06-26,27,24
2020-06-27,24,26
2020-06-28,24,26
2020-06-29,22,28
2020-06-30,18,31
2020-07-01,18,31
2020-07-02,20,32
2020-07-03,22,27
2020-07-04,21,28
2020-07-05,21,28
2020-07-06,21,30
2020-07-07,23,28
2020-07-08,22,29
2020-07-09,24,29
2020-07-10,19,31
2020-07-11,16,34
2020-07-12,19,31
2020-07-13,23,27
2020-07-14,23,28
2020-07-15,21,30
2020-07-16,21,30
2020-07-17,23,28
2020-07-18,19,32
2020-07-19,20,31
2020-07-20,20,31
2020-07-21,21,30
2020-07-22,22,29
2020-07-23,22,29
2020-07-24,25,26
2020-07-25,22,29
2020-07-26,23,28
2020-07-27,19,32
2020-07-28,26,25
2020-07-29,16,35
2020-07-30,21,33
2020-07-31,22,29
2020-08-01,20,31
2020-08-02,17,34
2020-08-03,17,34
2020-08-04,20,23
2020-08-05,23,20
2020-08-06,23,20
2020-08-07,18,25
2020-08-08,24,19
2020-08-09,22,21
2020-08-10,22,21
2020-08-11,19,24
2020-08-12,22,21
2020-08-13,20,23
2020-08-14,22,21
2020-08-15,15,28
2020-08-16,19,24
2020-08-17,19,24
2020-08-18,16,27
2020-08-19,20,23
2020-08-20,22,21
2020-08-21,20,23
2020-08-22,19,24
2020-08-23,16,27
2020-08-24,16,27
2020-08-25,17,26
2020-08-26,21,22
2020-08-27,15,28
2020-08-28,18,25
2020-08-29,17,26
2020-08-30,19,24
2020-08-31,20,23
2020-09-01,21,22
2020-09-02,23,20
2020-09-03,22,21
2020-09-04,17,26
2020-09-05,16,27
2020-09-06,19,24
2020-09-07,20,23
2020-09-08,21,22
2020-09-09,22,21
2020-09-10,18,25
2020-09-11,21,20
2020-09-12,21,20
2020-09-13,20,21
2020-09-14,15,26
2020-09-15,19,25
2020-09-16,18,13
2020-09-17,23,8
2020-09-18,20,11
