date,betten_belegt,betten_frei
2020-04-24,21,17
2020-04-25,18,20
2020-04-26,19,19
2020-04-27,22,16
2020-04-28,21,17
2020-04-29,23,15
2020-04-30,23,16
2020-05-01,23,17
2020-05-02,21,18
2020-05-03,24,17
2020-05-04,20,18
2020-05-05,25,16
2020-05-06,25,17
2020-05-07,20,19
2020-05-08,17,21
2020-05-09,21,19
2020-05-10,21,18
2020-05-11,21,18
2020-05-12,21,19
2020-05-13,25,29
2020-05-14,21,27
2020-05-15,22,26
2020-05-16,17,30
2020-05-17,18,29
2020-05-18,20,26
2020-05-19,17,29
2020-05-20,20,29
2020-05-21,19,30
2020-05-22,18,30
2020-05-23,22,28
2020-05-24,17,31
2020-05-25,19,30
2020-05-26,18,29
2020-05-27,16,30
2020-05-28,14,32
2020-05-29,14,32
2020-05-30,10,36
2020-05-31,13,33
2020-06-01,11,35
2020-06-02,13,33
2020-06-03,13,33
2020-06-04,13,33
2020-06-05,18,28
2020-06-06,15,31
2020-06-07,15,31
2020-06-08,17,29
2020-06-09,16,30
2020-06-10,15,31
2020-06-11,16,30
2020-06-12,13,33
2020-06-13,20,28
2020-06-14,21,25
2020-06-15,16,30
2020-06-16,16,30
2020-06-17,20,26
2020-06-18,18,28
2020-06-19,15,31
2020-06-20,14,32
2020-06-21,13,33
2020-06-22,14,32
2020-06-23,17,29
2020-06-24,19,27
2020-06-25,20,26
2020-06-26,26,20
2020-06-27,16,30
2020-06-28,18,28
2020-06-29,16,30
2020-06-30,9,33
2020-07-01,9,33
2020-07-02,17,25
2020-07-03,16,26
2020-07-04,18,24
2020-07-05,12,30
2020-07-06,13,29
2020-07-07,10,32
2020-07-08,13,29
2020-07-09,10,32
2020-07-10,19,23
2020-07-11,19,23
2020-07-12,17,25
2020-07-13,19,23
2020-07-14,16,26
2020-07-15,15,27
2020-07-16,17,25
2020-07-17,10,32
2020-07-18,10,32
2020-07-19,10,30
2020-07-20,11,31
2020-07-21,14,28
2020-07-22,16,26
2020-07-23,19,23
2020-07-24,18,24
2020-07-25,21,31
2020-07-26,20,20
2020-07-27,15,27
2020-07-28,17,25
2020-07-29,15,27
2020-07-30,16,26
2020-07-31,15,27
2020-08-01,17,25
2020-08-02,20,22
2020-08-03,20,22
2020-08-04,18,29
2020-08-05,17,30
2020-08-06,19,32
2020-08-07,21,30
2020-08-08,16,31
2020-08-09,17,27
2020-08-10,20,24
2020-08-11,13,34
2020-08-12,15,32
2020-08-13,15,32
2020-08-14,11,36
2020-08-15,15,29
2020-08-16,10,34
2020-08-17,11,36
2020-08-18,10,37
2020-08-19,12,35
2020-08-20,16,31
2020-08-21,16,35
2020-08-22,15,36
2020-08-23,14,30
2020-08-24,13,38
2020-08-25,12,39
2020-08-26,16,35
2020-08-27,19,32
2020-08-28,16,35
2020-08-29,20,25
2020-08-30,17,28
2020-08-31,15,34
2020-09-01,19,32
2020-09-02,15,36
2020-09-03,16,35
2020-09-04,21,30
2020-09-05,18,33
2020-09-06,20,25
2020-09-07,20,31
2020-09-08,17,34
2020-09-09,20,31
2020-09-10,20,31
2020-09-11,24,27
2020-09-12,13,32
2020-09-13,12,33
2020-09-14,20,31
2020-09-15,23,28
2020-09-16,24,27
2020-09-17,22,29
2020-09-18,20,31
2020-09-19,21,30
2020-09-20,20,25
2020-09-21,19,26
2020-09-22,22,29
2020-09-23,21,30
2020-09-24,25,26
2020-09-25,22,29
2020-09-26,15,30
2020-09-27,15,30
2020-09-28,20,31
2020-09-29,22,29
2020-09-30,23,28
2020-10-01,20,31
2020-10-02,28,23
2020-10-03,23,22
2020-10-04,21,24
2020-10-05,25,26
2020-10-06,24,27
2020-10-07,25,26
2020-10-08,26,25
2020-10-09,24,27
2020-10-10,19,26
2020-10-11,22,23
2020-10-12,28,23
2020-10-13,27,24
2020-10-14,27,24
2020-10-15,22,29
2020-10-16,21,30
2020-10-17,18,33
2020-10-18,12,33
2020-10-19,17,34
2020-10-20,21,30
2020-10-21,23,28
2020-10-22,18,33
2020-10-23,18,33
2020-10-24,19,27
2020-10-25,18,27
2020-10-26,23,28
2020-10-27,21,30
2020-10-28,23,28
2020-10-29,22,29
2020-10-30,20,31
2020-10-31,18,27
2020-11-01,17,28
2020-11-02,25,26
2020-11-03,25,26
2020-11-04,25,26
2020-11-05,22,29
2020-11-06,22,29
2020-11-07,23,28
2020-11-08,22,24
2020-11-09,24,27
2020-11-10,22,29
2020-11-11,25,26
2020-11-12,23,28
2020-11-13,22,26
2020-11-14,22,23
2020-11-15,23,22
2020-11-16,24,25
2020-11-17,25,24
2020-11-18,27,23
2020-11-19,22,29
2020-11-20,24,25
2020-11-21,21,24
2020-11-22,21,24
2020-11-23,21,24
2020-11-24,21,24
2020-11-25,26,25
2020-11-26,22,13
2020-11-27,22,11
2020-11-28,21,12
2020-11-29,18,14
2020-11-30,20,12
2020-12-01,21,11
2020-12-02,17,14
2020-12-03,22,9
2020-12-04,21,10
2020-12-05,20,4
2020-12-06,17,7
2020-12-07,20,4
2020-12-08,22,2
2020-12-09,22,2
2020-12-10,23,2
2020-12-11,22,2
2020-12-12,23,2
2020-12-13,18,6
2020-12-14,22,2
2020-12-15,23,2
2020-12-16,24,1
2020-12-17,21,3
2020-12-18,21,3
2020-12-19,23,2
2020-12-20,21,3
2020-12-21,21,3
2020-12-22,21,3
2020-12-23,19,5
2020-12-24,17,7
2020-12-25,17,7
2020-12-26,16,8
2020-12-27,16,8
2020-12-28,17,7
2020-12-29,17,7
2020-12-30,21,3
2020-12-31,18,6
2021-01-01,16,8
2021-01-02,16,8
2021-01-03,19,5
2021-01-04,21,2
2021-01-05,17,7
2021-01-06,19,4
2021-01-07,16,7
2021-01-08,16,7
2021-01-09,17,4
2021-01-10,15,6
2021-01-11,15,8
2021-01-12,22,2
2021-01-13,19,4
2021-01-14,25,0
2021-01-15,19,4
2021-01-16,21,2
2021-01-17,20,3
2021-01-18,18,4
2021-01-19,17,7
2021-01-20,17,6
2021-01-21,20,3
2021-01-22,22,1
2021-01-23,26,0
2021-01-24,20,3
2021-01-25,22,2
2021-01-26,23,2
2021-01-27,22,2
2021-01-28,23,1
2021-01-29,20,3
2021-01-30,20,3
