date,betten_belegt,betten_frei
2020-04-24,54,21
2020-04-25,54,21
2020-04-26,56,19
2020-04-27,52,23
2020-04-28,51,23
2020-04-29,52,23
2020-04-30,53,23
2020-05-01,51,21
2020-05-02,60,12
2020-05-03,58,14
2020-05-04,56,16
2020-05-05,56,16
2020-05-06,58,14
2020-05-07,57,15
2020-05-08,55,17
2020-05-09,63,29
2020-05-10,66,25
2020-05-11,43,43
2020-05-12,46,37
2020-05-13,49,36
2020-05-14,60,42
2020-05-15,65,37
2020-05-16,59,29
2020-05-17,59,31
2020-05-18,55,34
2020-05-19,50,43
2020-05-20,49,40
2020-05-21,46,43
2020-05-22,55,38
2020-05-23,58,40
2020-05-24,53,42
2020-05-25,55,41
2020-05-26,55,47
2020-05-27,54,48
2020-05-28,55,49
2020-05-29,56,50
2020-05-30,57,49
2020-05-31,55,48
2020-06-01,63,41
2020-06-02,53,36
2020-06-03,56,35
2020-06-04,50,39
2020-06-05,54,37
2020-06-06,52,47
2020-06-07,48,49
2020-06-08,53,39
2020-06-09,65,38
2020-06-10,49,44
2020-06-11,51,42
2020-06-12,51,41
2020-06-13,53,35
2020-06-14,51,42
2020-06-15,49,40
2020-06-16,50,55
2020-06-17,61,42
2020-06-18,64,44
2020-06-19,58,52
2020-06-20,49,55
2020-06-21,48,46
2020-06-22,54,49
2020-06-23,55,36
2020-06-24,51,40
2020-06-25,47,44
2020-06-26,55,36
2020-06-27,65,42
2020-06-28,66,40
2020-06-29,68,40
2020-06-30,64,41
2020-07-01,59,44
2020-07-02,59,34
2020-07-03,57,36
2020-07-04,59,39
2020-07-05,61,38
2020-07-06,57,38
2020-07-07,53,50
2020-07-08,52,56
2020-07-09,52,54
2020-07-10,42,63
2020-07-11,37,54
2020-07-12,41,50
2020-07-13,42,47
2020-07-14,41,48
2020-07-15,47,42
2020-07-16,38,45
2020-07-17,34,51
2020-07-18,42,67
2020-07-19,45,67
2020-07-20,46,62
2020-07-21,49,60
2020-07-22,45,47
2020-07-23,40,52
2020-07-24,58,54
2020-07-25,68,49
2020-07-26,67,48
2020-07-27,73,42
2020-07-28,66,49
2020-07-29,67,53
2020-07-30,63,53
2020-07-31,66,50
2020-08-01,67,57
2020-08-02,59,65
2020-08-03,60,65
2020-08-04,62,90
2020-08-05,67,82
2020-08-06,67,82
2020-08-07,62,87
2020-08-08,63,86
2020-08-09,67,82
2020-08-10,64,85
2020-08-11,66,97
2020-08-12,76,87
2020-08-13,74,72
2020-08-14,70,77
2020-08-15,75,67
2020-08-16,74,66
2020-08-17,60,68
2020-08-18,62,66
2020-08-19,60,68
2020-08-20,59,88
2020-08-21,63,84
2020-08-22,56,57
2020-08-23,59,54
2020-08-24,58,53
2020-08-25,63,51
2020-08-26,57,55
2020-08-27,66,50
2020-08-28,59,54
2020-08-29,66,45
2020-08-30,58,53
2020-08-31,58,55
2020-09-01,60,53
2020-09-02,63,50
2020-09-03,58,53
2020-09-04,63,48
2020-09-05,63,51
2020-09-06,57,54
2020-09-07,56,57
2020-09-08,64,48
2020-09-09,60,53
2020-09-10,61,52
2020-09-11,57,56
2020-09-12,59,54
2020-09-13,58,55
2020-09-14,58,55
2020-09-15,66,47
2020-09-16,63,50
2020-09-17,63,50
2020-09-18,71,42
2020-09-19,73,40
2020-09-20,61,52
2020-09-21,57,56
2020-09-22,60,39
2020-09-23,51,26
2020-09-24,53,24
2020-09-25,57,20
2020-09-26,56,21
2020-09-27,55,22
2020-09-28,56,21
2020-09-29,61,16
2020-09-30,62,15
2020-10-01,62,15
2020-10-02,59,18
2020-10-03,56,21
2020-10-04,53,24
2020-10-05,53,24
2020-10-06,55,22
2020-10-07,56,21
2020-10-08,48,29
2020-10-09,51,26
2020-10-10,55,22
2020-10-11,53,21
2020-10-12,56,19
2020-10-13,50,24
2020-10-14,56,18
2020-10-15,54,20
2020-10-16,60,17
2020-10-17,59,15
2020-10-18,57,17
2020-10-19,59,15
2020-10-20,61,16
2020-10-21,60,14
2020-10-22,61,13
2020-10-23,63,11
2020-10-24,63,11
2020-10-25,64,10
2020-10-26,66,8
2020-10-27,64,10
2020-10-28,60,14
2020-10-29,65,9
2020-10-30,58,17
2020-10-31,58,16
2020-11-01,56,18
2020-11-02,54,20
2020-11-03,52,22
2020-11-04,55,19
2020-11-05,55,19
2020-11-06,53,21
2020-11-07,56,16
2020-11-08,52,20
2020-11-09,54,20
2020-11-10,63,11
2020-11-11,56,18
2020-11-12,56,18
2020-11-13,54,20
2020-11-14,57,17
2020-11-15,57,17
2020-11-16,58,16
2020-11-17,58,13
2020-11-18,63,8
2020-11-19,62,9
2020-11-20,61,10
2020-11-21,55,18
2020-11-22,51,22
2020-11-23,47,26
2020-11-24,47,20
2020-11-25,53,20
2020-11-26,54,19
2020-11-27,59,14
2020-11-28,53,14
2020-11-29,50,17
2020-11-30,52,15
2020-12-01,58,15
2020-12-02,57,16
2020-12-03,54,17
2020-12-04,56,16
2020-12-05,50,15
2020-12-06,47,18
2020-12-07,51,14
2020-12-08,51,14
2020-12-09,56,12
2020-12-10,52,17
2020-12-11,59,13
2020-12-12,61,8
2020-12-13,60,9
2020-12-14,52,17
2020-12-15,55,14
2020-12-16,56,13
2020-12-17,57,13
2020-12-18,58,12
2020-12-19,60,9
2020-12-20,54,15
2020-12-21,60,10
2020-12-22,54,15
2020-12-23,52,17
2020-12-24,49,20
2020-12-25,49,20
2020-12-26,53,16
2020-12-27,48,21
2020-12-28,46,23
2020-12-29,49,13
2020-12-30,47,15
2020-12-31,54,8
2021-01-01,56,6
2021-01-02,56,7
