date,betten_belegt,betten_frei
2020-04-24,45,6
2020-04-24,2,6
2020-04-25,45,6
2020-04-25,2,6
2020-04-26,44,6
2020-04-26,2,6
2020-04-27,44,6
2020-04-27,0,8
2020-04-28,46,2
2020-04-28,2,6
2020-04-29,48,2
2020-04-29,2,6
2020-04-30,45,5
2020-04-30,2,6
2020-05-01,45,6
2020-05-01,2,6
2020-05-02,42,9
2020-05-02,1,7
2020-05-03,43,8
2020-05-03,1,7
2020-05-04,44,7
2020-05-04,1,7
2020-05-05,41,10
2020-05-05,2,6
2020-05-06,44,7
2020-05-06,4,4
2020-05-07,46,5
2020-05-07,2,6
2020-05-08,49,2
2020-05-08,2,6
2020-05-09,49,2
2020-05-09,3,5
2020-05-10,48,3
2020-05-10,4,4
2020-05-11,47,4
2020-05-11,7,17
2020-05-12,44,7
2020-05-12,8,12
2020-05-13,45,6
2020-05-13,7,13
2020-05-14,50,1
2020-05-14,10,10
2020-05-15,46,5
2020-05-15,9,11
2020-05-16,47,4
2020-05-16,7,1
2020-05-17,48,3
2020-05-17,6,2
2020-05-18,44,7
2020-05-18,11,13
2020-05-19,46,5
2020-05-19,15,9
2020-05-20,46,5
2020-05-20,14,10
2020-05-21,43,8
2020-05-21,5,3
2020-05-22,46,5
2020-05-22,4,4
2020-05-23,48,3
2020-05-23,4,4
2020-05-24,49,2
2020-05-24,3,5
2020-05-25,46,5
2020-05-25,3,5
2020-05-26,46,5
2020-05-26,1,5
2020-05-27,47,5
2020-05-27,4,5
2020-05-28,47,4
2020-05-28,6,2
2020-05-29,47,4
2020-05-29,4,5
2020-05-30,47,4
2020-05-30,4,4
2020-05-31,48,3
2020-05-31,4,4
2020-06-01,48,3
2020-06-01,3,5
2020-06-02,48,0
2020-06-02,3,5
2020-06-03,47,0
2020-06-03,3,3
2020-06-04,47,0
2020-06-04,3,3
2020-06-05,43,4
2020-06-05,1,5
2020-06-06,48,3
2020-06-06,1,5
2020-06-07,39,6
2020-06-07,1,5
2020-06-08,45,6
2020-06-08,0,6
2020-06-09,45,6
2020-06-09,0,6
2020-06-10,44,7
2020-06-10,0,5
2020-06-11,46,5
2020-06-11,0,4
2020-06-12,42,9
2020-06-12,0,5
2020-06-13,46,5
2020-06-13,0,5
2020-06-14,42,9
2020-06-14,0,5
2020-06-15,44,7
2020-06-15,4,3
2020-06-16,44,7
2020-06-16,4,3
2020-06-17,43,8
2020-06-17,2,6
2020-06-18,43,8
2020-06-18,4,4
2020-06-19,43,8
2020-06-19,5,2
2020-06-20,45,6
2020-06-20,5,2
2020-06-21,41,10
2020-06-21,5,2
2020-06-22,46,5
2020-06-22,5,2
2020-06-23,45,6
2020-06-23,2,6
2020-06-24,47,4
2020-06-24,4,4
2020-06-25,49,2
2020-06-25,1,7
2020-06-26,46,7
2020-06-26,1,7
2020-06-27,43,8
2020-06-27,1,7
2020-06-28,44,7
2020-06-28,1,8
2020-06-29,43,8
2020-06-29,1,8
2020-06-30,43,7
2020-06-30,1,7
2020-07-01,42,8
2020-07-01,1,7
2020-07-02,47,4
2020-07-02,1,7
2020-07-03,46,3
2020-07-03,1,7
2020-07-04,47,0
2020-07-04,1,7
2020-07-05,48,4
2020-07-05,3,5
2020-07-06,46,1
2020-07-06,3,5
2020-07-07,43,4
2020-07-07,3,5
2020-07-08,44,4
2020-07-08,4,4
2020-07-09,44,5
2020-07-09,3,5
2020-07-10,44,7
2020-07-10,3,5
2020-07-11,49,2
2020-07-11,2,7
2020-07-12,47,5
2020-07-12,2,7
2020-07-13,49,2
2020-07-13,2,7
2020-07-14,51,0
2020-07-14,2,7
2020-07-15,50,1
2020-07-15,4,4
2020-07-16,42,9
2020-07-16,5,2
2020-07-17,45,7
2020-07-17,3,5
2020-07-18,47,4
2020-07-18,3,5
2020-07-19,48,1
2020-07-19,4,4
2020-07-20,48,3
2020-07-20,4,4
2020-07-21,48,3
2020-07-21,2,7
2020-07-22,51,0
2020-07-22,2,7
2020-07-23,50,1
2020-07-23,4,4
2020-07-24,50,1
2020-07-24,3,5
2020-07-25,50,1
2020-07-25,3,5
2020-07-26,46,5
2020-07-26,1,7
2020-07-27,40,6
2020-07-27,1,7
2020-07-28,43,4
2020-07-28,4,4
2020-07-29,42,5
2020-07-29,2,6
2020-07-30,39,10
2020-07-30,4,4
2020-07-31,40,7
2020-07-31,3,5
2020-08-01,40,9
2020-08-01,3,5
2020-08-02,45,4
