date,betten_belegt,betten_frei
2020-04-24,43,19
2020-04-25,47,15
2020-04-26,49,13
2020-04-27,53,9
2020-04-28,44,18
2020-04-29,45,17
2020-04-30,42,20
2020-05-01,40,12
2020-05-02,39,13
2020-05-03,41,11
2020-05-04,44,8
2020-05-05,45,7
2020-05-06,47,5
2020-05-07,47,5
2020-05-08,48,4
2020-05-09,49,3
2020-05-10,45,7
2020-05-11,46,6
2020-05-12,51,1
2020-05-13,50,2
2020-05-14,49,3
2020-05-15,50,2
2020-05-16,52,0
2020-05-17,46,6
2020-05-18,48,4
2020-05-19,48,4
2020-05-20,49,3
2020-05-21,51,1
2020-05-22,45,7
2020-05-23,47,5
2020-05-24,47,5
2020-05-25,45,7
2020-05-26,47,5
2020-05-27,47,5
2020-05-28,47,5
2020-05-29,43,9
2020-05-30,36,15
2020-05-31,40,12
2020-06-01,31,21
2020-06-02,35,17
2020-06-03,42,10
2020-06-04,40,12
2020-06-05,40,12
2020-06-06,47,5
2020-06-07,47,5
2020-06-08,45,7
2020-06-09,44,8
2020-06-10,51,1
2020-06-11,45,7
2020-06-12,48,4
2020-06-13,47,5
2020-06-14,47,5
2020-06-15,44,8
2020-06-16,48,4
2020-06-17,46,6
2020-06-18,46,6
2020-06-19,50,2
2020-06-20,45,7
2020-06-21,40,12
2020-06-22,42,10
2020-06-23,48,4
2020-06-24,43,9
2020-06-25,48,4
2020-06-26,49,3
2020-06-27,43,9
2020-06-28,45,7
2020-06-29,45,7
2020-06-30,46,6
2020-07-01,42,10
2020-07-02,44,8
2020-07-03,45,7
2020-07-04,50,2
2020-07-05,49,3
2020-07-06,42,10
2020-07-07,44,8
2020-07-08,50,2
2020-07-09,45,7
2020-07-10,45,7
2020-07-11,50,2
2020-07-12,46,6
2020-07-13,45,7
2020-07-14,49,3
2020-07-15,49,3
2020-07-16,49,3
2020-07-17,50,2
2020-07-18,49,3
2020-07-19,48,4
2020-07-20,47,5
2020-07-21,46,6
2020-07-22,50,2
2020-07-23,50,2
2020-07-24,48,4
2020-07-25,48,4
2020-07-26,43,9
2020-07-27,45,7
2020-07-28,47,5
2020-07-29,49,3
2020-07-30,43,9
2020-07-31,43,9
2020-08-01,37,15
2020-08-02,38,14
2020-08-03,36,16
2020-08-04,49,3
2020-08-05,49,3
2020-08-06,53,18
2020-08-07,54,17
2020-08-08,53,18
2020-08-09,56,15
2020-08-10,57,14
2020-08-11,56,15
2020-08-12,55,16
2020-08-13,58,13
2020-08-14,52,19
2020-08-15,52,19
2020-08-16,52,19
2020-08-17,60,11
2020-08-18,57,14
2020-08-19,61,10
2020-08-20,61,10
2020-08-21,63,8
2020-08-22,62,9
2020-08-23,62,9
2020-08-24,58,13
2020-08-25,60,11
2020-08-26,51,1
2020-08-27,45,7
2020-08-28,46,6
2020-08-29,51,1
2020-08-30,49,3
2020-08-31,59,12
2020-09-01,59,12
2020-09-02,61,10
2020-09-03,64,7
2020-09-04,59,12
2020-09-05,61,10
2020-09-06,60,11
2020-09-07,59,12
2020-09-08,58,13
2020-09-09,55,16
2020-09-10,59,12
2020-09-11,56,15
2020-09-12,50,21
2020-09-13,44,27
2020-09-14,45,26
2020-09-15,54,17
2020-09-16,55,16
2020-09-17,61,10
2020-09-18,61,10
2020-09-19,61,10
2020-09-20,52,19
2020-09-21,60,11
2020-09-22,57,14
2020-09-23,56,15
2020-09-24,62,9
2020-09-25,60,11
2020-09-26,63,8
2020-09-27,63,8
2020-09-28,59,12
2020-09-29,62,9
2020-09-30,65,6
2020-10-01,65,6
2020-10-02,63,8
2020-10-03,63,8
2020-10-04,64,7
2020-10-05,59,12
2020-10-06,64,7
2020-10-07,60,11
2020-10-08,62,9
2020-10-09,62,9
2020-10-10,61,10
2020-10-11,60,11
2020-10-12,59,12
2020-10-13,64,7
2020-10-14,61,10
2020-10-15,58,13
2020-10-16,58,13
2020-10-17,61,10
2020-10-18,61,10
2020-10-19,61,10
2020-10-20,63,8
2020-10-21,59,12
2020-10-22,60,11
2020-10-23,64,7
2020-10-24,59,12
2020-10-25,54,17
2020-10-26,52,19
2020-10-27,57,14
2020-10-28,63,8
2020-10-29,58,13
2020-10-30,53,18
2020-10-31,59,12
2020-11-01,57,14
2020-11-02,59,12
2020-11-03,57,14
2020-11-04,61,10
2020-11-05,54,17
2020-11-06,56,15
2020-11-07,55,16
2020-11-08,56,15
2020-11-09,54,17
2020-11-10,62,9
2020-11-11,62,9
2020-11-12,60,11
2020-11-13,64,7
2020-11-14,67,4
2020-11-15,64,7
2020-11-16,63,8
2020-11-17,62,9
2020-11-18,61,10
2020-11-19,56,15
2020-11-20,64,7
2020-11-21,65,6
2020-11-22,61,10
2020-11-23,58,13
2020-11-24,61,10
2020-11-25,62,9
2020-11-26,61,10
2020-11-27,56,15
2020-11-28,60,11
2020-11-29,51,20
2020-11-30,50,21
2020-12-01,55,16
2020-12-02,59,12
2020-12-03,53,18
2020-12-04,56,15
2020-12-05,54,17
2020-12-06,47,24
2020-12-07,45,26
2020-12-08,50,21
2020-12-09,53,18
2020-12-10,52,19
2020-12-11,57,14
2020-12-12,54,17
2020-12-13,57,14
2020-12-14,57,14
2020-12-15,54,17
2020-12-16,59,14
2020-12-17,60,13
2020-12-18,55,18
2020-12-19,58,15
2020-12-20,55,18
2020-12-21,57,16
2020-12-22,58,15
2020-12-23,52,22
2020-12-24,54,20
2020-12-25,56,18
2020-12-26,53,21
2020-12-27,52,22
2020-12-28,51,23
2020-12-29,60,19
2020-12-30,61,18
2020-12-31,57,22
2021-01-01,63,16
2021-01-02,57,22
2021-01-03,61,18
2021-01-04,59,20
2021-01-05,67,12
2021-01-06,58,21
2021-01-07,58,21
2021-01-08,61,18
2021-01-09,63,16
2021-01-10,61,18
2021-01-11,59,20
2021-01-12,60,19
2021-01-13,60,19
2021-01-14,64,15
2021-01-15,62,17
2021-01-16,61,18
2021-01-17,55,24
2021-01-18,58,21
2021-01-19,58,21
2021-01-20,57,22
2021-01-21,60,19
2021-01-22,58,21
2021-01-23,54,25
2021-01-24,52,27
2021-01-25,56,23
2021-01-26,60,19
2021-01-27,60,19
2021-01-28,59,20
2021-01-29,60,19
2021-01-30,60,19
2021-01-31,59,20
2021-02-01,59,20
2021-02-02,59,20
2021-02-03,66,13
2021-02-04,66,13
2021-02-05,64,15
2021-02-06,59,20
2021-02-07,57,22
2021-02-08,59,20
2021-02-09,60,19
2021-02-10,66,13
2021-02-11,66,13
2021-02-12,65,14
2021-02-13,64,15
2021-02-14,62,17
2021-02-15,64,15
2021-02-16,66,13
2021-02-17,65,14
2021-02-18,66,13
2021-02-19,64,15
2021-02-20,63,16
2021-02-21,61,18
2021-02-22,63,16
2021-02-23,64,15
2021-02-24,64,15
2021-02-25,64,15
2021-02-26,64,15
2021-02-27,59,20
2021-02-28,55,24
2021-03-01,50,29
2021-03-02,62,17
2021-03-03,59,20
2021-03-04,62,17
2021-03-05,56,23
2021-03-06,55,24
2021-03-07,54,25
2021-03-08,51,28
2021-03-09,59,20
2021-03-10,63,16
2021-03-11,60,19
2021-03-12,59,20
2021-03-13,57,22
2021-03-14,51,28
2021-03-15,54,20
2021-03-16,53,21
2021-03-17,50,24
2021-03-18,58,16
2021-03-19,57,17
2021-03-20,55,19
2021-03-21,54,20
2021-03-22,57,17
2021-03-23,58,16
2021-03-24,61,13
2021-03-25,54,20
2021-03-26,60,14
2021-03-27,62,12
2021-03-28,58,16
2021-03-29,62,12
2021-03-30,63,11
2021-03-31,63,11
2021-04-01,61,13
2021-04-02,61,13
2021-04-03,62,12
2021-04-04,61,13
2021-04-05,62,12
2021-04-06,63,11
2021-04-07,63,11
2021-04-08,51,1
2021-04-09,51,1
2021-04-10,49,3
2021-04-11,46,3
2021-04-12,61,13
2021-04-13,64,11
2021-04-14,64,11
2021-04-15,63,12
2021-04-16,62,13
2021-04-17,58,14
2021-04-18,60,17
2021-04-19,63,14
2021-04-20,56,17
2021-04-21,58,15
2021-04-22,56,17
2021-04-23,54,19
2021-04-24,59,14
2021-04-25,57,16
2021-04-26,58,19
2021-04-27,61,16
2021-04-28,61,16
2021-04-29,59,18
2021-04-30,59,18
2021-05-01,60,17
2021-05-02,55,22
2021-05-03,57,20
2021-05-04,61,16
2021-05-05,59,18
2021-05-06,57,20
2021-05-07,55,22
2021-05-08,59,18
2021-05-09,57,20
2021-05-10,57,20
2021-05-11,64,13
2021-05-12,62,15
2021-05-13,60,17
2021-05-14,62,15
2021-05-15,63,14
2021-05-16,62,15
2021-05-17,60,17
2021-05-18,58,19
2021-05-19,62,15
2021-05-20,63,14
2021-05-21,63,14
2021-05-22,63,14
2021-05-23,52,22
2021-05-24,51,23
2021-05-25,54,20
2021-05-26,52,22
2021-05-27,53,21
2021-05-28,53,21
2021-05-29,58,16
2021-05-30,55,19
2021-05-31,62,12
2021-06-01,61,13
2021-06-02,57,17
2021-06-03,53,21
2021-06-04,55,19
2021-06-05,56,18
2021-06-06,52,22
2021-06-07,56,18
2021-06-08,58,16
2021-06-09,60,14
2021-06-10,59,15
2021-06-11,59,15
2021-06-12,59,15
2021-06-13,57,17
2021-06-14,60,14
2021-06-15,60,14
2021-06-16,62,12
2021-06-17,58,16
2021-06-18,55,19
2021-06-19,58,16
2021-06-20,57,17
2021-06-21,62,12
2021-06-22,61,13
2021-06-23,61,13
2021-06-24,64,10
2021-06-25,64,10
2021-06-26,64,10
2021-06-27,64,10
2021-06-28,66,8
2021-06-29,66,8
2021-06-30,64,10
2021-07-01,64,10
2021-07-02,65,9
2021-07-03,62,12
2021-07-04,61,13
2021-07-05,61,13
2021-07-06,66,8
2021-07-07,63,11
2021-07-08,67,7
2021-07-09,56,18
2021-07-10,60,14
2021-07-11,53,21
2021-07-12,54,20
2021-07-13,54,20
2021-07-14,55,19
2021-07-15,50,20
2021-07-16,44,26
2021-07-17,44,26
2021-07-18,47,23
2021-07-19,51,21
2021-07-20,51,21
2021-07-21,47,25
2021-07-22,54,18
2021-07-23,54,18
2021-07-24,55,17
2021-07-25,59,13
2021-07-26,59,13
2021-07-27,64,8
2021-07-28,64,8
2021-07-29,62,10
2021-07-30,57,15
2021-07-31,60,12
2021-08-01,59,13
2021-08-02,55,17
2021-08-03,57,15
2021-08-04,54,18
2021-08-05,55,17
2021-08-06,52,20
2021-08-07,52,20
2021-08-08,50,22
2021-08-09,60,12
2021-08-10,59,13
2021-08-11,48,4
2021-08-12,50,2
2021-08-13,49,3
2021-08-14,50,2
2021-08-15,47,5
2021-08-16,58,14
2021-08-17,58,14
2021-08-18,60,12
2021-08-19,60,12
2021-08-20,58,14
2021-08-21,57,15
2021-08-22,58,14
2021-08-23,57,15
2021-08-24,54,18
2021-08-25,50,22
2021-08-26,53,19
2021-08-27,58,14
2021-08-28,56,16
2021-08-29,53,19
2021-08-30,53,19
2021-08-31,54,18
2021-09-01,58,14
2021-09-02,58,14
2021-09-03,53,19
2021-09-04,56,16
2021-09-05,55,17
2021-09-06,55,17
2021-09-07,53,19
2021-09-08,44,8
2021-09-09,61,11
2021-09-10,65,7
2021-09-11,65,7
2021-09-12,64,8
2021-09-13,64,8
2021-09-14,65,7
2021-09-15,64,8
2021-09-16,52,0
2021-09-17,50,2
2021-09-18,47,5
2021-09-19,47,5
2021-09-20,48,4
2021-09-21,47,5
2021-09-22,47,5
2021-09-23,47,5
2021-09-24,50,2
2021-09-25,51,1
2021-09-26,48,4
2021-09-27,46,6
2021-09-28,50,2
2021-09-29,62,10
2021-09-30,60,12
2021-10-01,63,9
2021-10-02,64,8
2021-10-03,64,8
2021-10-04,64,8
2021-10-05,65,7
2021-10-06,51,1
2021-10-07,52,0
2021-10-08,51,1
2021-10-09,48,4
2021-10-10,47,5
2021-10-11,49,3
2021-10-12,49,3
2021-10-13,50,2
2021-10-14,48,4
2021-10-15,47,5
2021-10-16,42,10
2021-10-17,42,10
2021-10-18,43,9
2021-10-19,45,7
2021-10-20,46,6
2021-10-21,49,3
2021-10-22,50,2
2021-10-23,42,10
2021-10-24,47,5
2021-10-25,51,1
2021-10-26,50,2
2021-10-27,48,4
2021-10-28,51,1
2021-10-29,50,2
2021-10-30,48,4
2021-10-31,46,6
2021-11-01,48,4
2021-11-02,52,0
2021-11-03,48,4
2021-11-04,48,4
2021-11-05,45,7
2021-11-06,48,4
2021-11-07,48,4
2021-11-08,50,2
2021-11-09,50,2
2021-11-10,50,2
2021-11-11,52,0
2021-11-12,52,0
2021-11-13,50,2
2021-11-14,49,3
2021-11-15,47,5
2021-11-16,48,4
2021-11-17,50,2
2021-11-18,48,4
2021-11-19,47,5
2021-11-20,63,9
2021-11-21,64,8
2021-11-22,64,8
2021-11-23,64,8
2021-11-24,64,8
2021-11-25,63,9
2021-11-26,57,15
2021-11-27,56,16
2021-11-28,54,18
2021-11-29,59,13
2021-11-30,58,14
2021-12-01,59,13
2021-12-02,60,12
2021-12-03,60,12
2021-12-04,59,13
2021-12-05,60,12
2021-12-06,60,12
2021-12-07,61,11
2021-12-08,61,11
2021-12-09,60,12
2021-12-10,58,14
2021-12-11,59,13
2021-12-12,57,15
2021-12-13,57,15
2021-12-14,58,14
2021-12-15,59,13
2021-12-16,59,13
2021-12-17,59,13
2021-12-18,59,13
2021-12-19,59,13
2021-12-20,59,13
2021-12-21,53,19
2021-12-22,59,13
2021-12-23,58,14
2021-12-24,58,14
2021-12-25,58,14
2021-12-26,59,13
2021-12-27,59,13
2021-12-28,59,13
2021-12-29,55,17
2021-12-30,58,14
2021-12-31,57,15
