date,betten_belegt,betten_frei
2020-04-24,25,8
2020-04-25,20,8
2020-04-26,20,10
2020-04-27,21,7
2020-04-28,17,9
2020-04-29,21,7
2020-04-30,21,7
2020-05-01,20,6
2020-05-02,16,10
2020-05-03,15,13
2020-05-04,16,12
2020-05-05,14,14
2020-05-06,16,12
2020-05-07,16,12
2020-05-08,18,10
2020-05-09,14,14
2020-05-10,13,15
2020-05-11,14,14
2020-05-12,13,15
2020-05-13,13,15
2020-05-14,14,14
2020-05-15,36,11
2020-05-16,36,11
2020-05-17,105,11
2020-05-18,31,16
2020-05-19,28,19
2020-05-20,31,16
2020-05-21,28,19
2020-05-22,26,20
2020-05-23,32,15
2020-05-24,23,24
2020-05-25,29,16
2020-05-26,25,22
2020-05-27,26,21
2020-05-28,31,16
2020-05-29,34,13
2020-05-30,32,15
2020-05-31,30,17
2020-06-01,25,19
2020-06-02,29,18
2020-06-03,33,14
2020-06-04,34,13
2020-06-05,33,20
2020-06-06,27,26
2020-06-07,28,24
2020-06-08,29,24
2020-06-09,33,20
2020-06-10,34,19
2020-06-11,30,23
2020-06-12,32,21
2020-06-13,30,23
2020-06-14,31,22
2020-06-15,30,23
2020-06-16,31,22
2020-06-17,32,21
2020-06-18,27,26
2020-06-19,25,28
2020-06-20,23,30
2020-06-21,24,29
2020-06-22,27,26
2020-06-23,27,26
2020-06-24,26,27
2020-06-25,28,25
2020-06-26,28,25
2020-06-27,28,25
2020-06-28,28,23
2020-06-29,21,30
2020-06-30,29,22
2020-07-01,31,20
2020-07-02,26,25
2020-07-03,24,30
2020-07-04,31,23
2020-07-05,30,14
2020-07-06,33,12
2020-07-07,31,14
2020-07-08,32,13
2020-07-09,33,12
2020-07-10,31,14
2020-07-11,35,10
2020-07-12,32,13
2020-07-13,23,22
2020-07-14,29,16
2020-07-15,35,10
2020-07-16,31,14
2020-07-17,29,16
2020-07-18,34,11
2020-07-19,25,15
2020-07-20,33,21
2020-07-21,31,23
2020-07-22,33,21
2020-07-23,35,19
2020-07-24,34,20
2020-07-25,36,18
2020-07-26,32,21
2020-07-27,30,23
2020-07-28,32,22
2020-07-29,36,18
2020-07-30,35,19
2020-07-31,34,20
2020-08-01,33,23
2020-08-02,33,23
2020-08-03,27,27
2020-08-04,26,8
2020-08-05,24,10
2020-08-06,20,14
2020-08-07,20,14
2020-08-08,29,15
2020-08-09,26,18
2020-08-10,25,20
2020-08-11,28,15
2020-08-12,25,18
2020-08-13,23,21
2020-08-14,24,21
2020-08-15,24,20
2020-08-16,23,25
2020-08-17,24,20
2020-08-18,29,24
2020-08-19,34,19
2020-08-20,29,24
2020-08-21,33,20
2020-08-22,31,22
2020-08-23,32,24
2020-08-24,34,22
2020-08-25,29,27
2020-08-26,32,24
2020-08-27,37,19
2020-08-28,33,23
2020-08-29,40,16
2020-08-30,41,15
2020-08-31,42,14
2020-09-01,42,16
2020-09-02,39,16
2020-09-03,37,18
2020-09-04,37,18
2020-09-05,39,16
2020-09-06,43,12
2020-09-07,44,11
2020-09-08,41,14
2020-09-09,37,18
2020-09-10,38,17
2020-09-11,41,14
2020-09-12,39,16
2020-09-13,35,20
2020-09-14,33,22
2020-09-15,37,18
2020-09-16,40,15
2020-09-17,37,18
2020-09-18,35,22
2020-09-19,37,18
2020-09-20,34,20
2020-09-21,31,24
2020-09-22,32,23
2020-09-23,39,16
2020-09-24,40,14
2020-09-25,40,14
2020-09-26,37,17
2020-09-27,37,17
2020-09-28,36,18
2020-09-29,32,23
2020-09-30,36,19
2020-10-01,36,19
2020-10-02,37,18
2020-10-03,39,16
2020-10-04,37,18
2020-10-05,30,25
2020-10-06,34,21
2020-10-07,40,15
2020-10-08,33,22
2020-10-09,30,25
2020-10-10,29,26
2020-10-11,35,20
2020-10-12,38,17
2020-10-13,34,21
2020-10-14,33,22
2020-10-15,43,12
2020-10-16,43,12
2020-10-17,42,13
2020-10-18,29,26
2020-10-19,36,19
2020-10-20,36,19
2020-10-21,38,17
2020-10-22,35,20
2020-10-23,44,11
2020-10-24,39,16
2020-10-25,40,15
2020-10-26,39,16
2020-10-27,44,11
2020-10-28,40,15
2020-10-29,37,18
2020-10-30,40,15
2020-10-31,38,15
2020-11-01,42,11
2020-11-02,44,9
2020-11-03,42,13
2020-11-04,40,15
2020-11-05,35,20
2020-11-06,35,20
2020-11-07,37,16
2020-11-08,30,23
2020-11-09,27,28
2020-11-10,30,25
2020-11-11,42,13
2020-11-12,36,19
2020-11-13,35,20
2020-11-14,37,18
