date,betten_belegt,betten_frei
2020-04-24,14,11
2020-04-25,13,12
2020-04-26,11,14
2020-04-27,10,15
2020-04-28,12,13
2020-04-29,9,13
2020-04-30,17,5
2020-05-01,14,8
2020-05-02,11,11
2020-05-03,11,11
2020-05-04,9,13
2020-05-05,11,11
2020-05-06,8,14
2020-05-07,11,11
2020-05-08,16,6
2020-05-09,14,8
2020-05-10,14,8
2020-05-11,13,9
2020-05-12,15,12
2020-05-13,17,10
2020-05-14,17,10
2020-05-15,11,16
2020-05-16,13,14
2020-05-17,12,15
2020-05-18,12,15
2020-05-19,13,15
2020-05-20,13,14
2020-05-21,12,15
2020-05-22,12,15
2020-05-23,13,14
2020-05-24,12,15
2020-05-25,11,16
2020-05-26,12,15
2020-05-27,10,17
2020-05-28,9,17
2020-05-29,11,16
2020-05-30,14,13
2020-05-31,10,17
2020-06-01,12,15
2020-06-02,12,15
2020-06-03,10,17
2020-06-04,12,15
2020-06-05,13,14
2020-06-06,11,16
2020-06-07,12,15
2020-06-08,10,17
2020-06-09,15,12
2020-06-10,14,13
2020-06-11,11,15
2020-06-12,11,15
2020-06-13,10,17
2020-06-14,9,18
2020-06-15,8,19
2020-06-16,11,16
2020-06-17,9,18
2020-06-18,9,18
2020-06-19,10,17
2020-06-20,12,15
2020-06-21,11,16
2020-06-22,12,15
2020-06-23,8,19
2020-06-24,12,15
2020-06-25,8,19
2020-06-26,9,18
2020-06-27,10,17
2020-06-28,10,17
2020-06-29,9,18
2020-06-30,13,14
2020-07-01,11,16
2020-07-02,14,13
2020-07-03,14,13
2020-07-04,14,13
2020-07-05,14,13
2020-07-06,12,15
2020-07-07,13,14
2020-07-08,13,14
2020-07-09,9,18
2020-07-10,14,13
2020-07-11,15,12
2020-07-12,13,14
2020-07-13,12,15
2020-07-14,14,13
2020-07-15,13,14
2020-07-16,15,12
2020-07-17,14,13
2020-07-18,13,14
2020-07-19,11,16
2020-07-20,10,17
2020-07-21,14,13
2020-07-22,14,13
2020-07-23,14,13
2020-07-24,16,11
2020-07-25,14,13
2020-07-26,17,10
2020-07-27,14,13
2020-07-28,14,13
2020-07-29,16,11
2020-07-30,11,16
2020-07-31,15,12
2020-08-01,10,17
2020-08-02,9,18
2020-08-03,9,18
2020-08-04,11,8
2020-08-05,13,6
2020-08-06,14,5
2020-08-07,12,7
2020-08-08,15,4
2020-08-09,14,5
2020-08-10,12,7
2020-08-11,14,5
2020-08-12,12,7
2020-08-13,14,5
2020-08-14,13,6
2020-08-15,11,8
2020-08-16,13,6
2020-08-17,13,6
2020-08-18,13,6
2020-08-19,14,5
2020-08-20,13,6
2020-08-21,14,5
2020-08-22,12,7
2020-08-23,9,10
2020-08-24,8,11
2020-08-25,12,7
2020-08-26,15,4
2020-08-27,13,6
2020-08-28,12,7
2020-08-29,14,5
2020-08-30,16,3
2020-08-31,11,8
2020-09-01,16,3
2020-09-02,16,3
2020-09-03,15,4
2020-09-04,12,7
2020-09-05,9,10
2020-09-06,13,6
2020-09-07,10,9
2020-09-08,11,8
2020-09-09,14,5
2020-09-10,14,5
2020-09-11,15,4
2020-09-12,14,5
2020-09-13,14,5
2020-09-14,12,7
2020-09-15,16,3
2020-09-16,15,4
2020-09-17,13,6
2020-09-18,9,10
2020-09-19,11,8
2020-09-20,12,7
2020-09-21,12,7
2020-09-22,14,5
2020-09-23,16,3
2020-09-24,13,6
2020-09-25,11,8
2020-09-26,15,4
2020-09-27,15,4
2020-09-28,11,8
2020-09-29,16,3
2020-09-30,14,5
2020-10-01,15,4
2020-10-02,13,6
2020-10-03,14,5
2020-10-04,15,4
2020-10-05,15,4
2020-10-06,13,6
2020-10-07,17,2
2020-10-08,17,2
2020-10-09,15,4
2020-10-10,13,6
2020-10-11,13,6
