date,betten_belegt,betten_frei
2020-04-24,57,40
2020-04-25,58,36
2020-04-26,49,47
2020-04-27,59,34
2020-04-28,55,40
2020-04-29,53,43
2020-04-30,51,47
2020-05-01,70,37
2020-05-02,63,43
2020-05-03,60,45
2020-05-04,62,42
2020-05-05,74,27
2020-05-06,70,35
2020-05-07,79,23
2020-05-08,73,42
2020-05-09,76,28
2020-05-10,70,32
2020-05-11,69,34
2020-05-12,59,50
2020-05-13,63,33
2020-05-14,66,37
2020-05-15,54,53
2020-05-16,58,39
2020-05-17,60,34
2020-05-18,63,31
2020-05-19,59,33
2020-05-20,59,35
2020-05-21,61,34
2020-05-22,68,25
2020-05-23,70,26
2020-05-24,71,22
2020-05-25,63,32
2020-05-26,63,29
2020-05-27,68,25
2020-05-28,66,30
2020-05-29,46,32
2020-05-30,52,23
2020-05-31,50,27
2020-06-01,52,25
2020-06-02,52,25
2020-06-03,49,26
2020-06-04,54,20
2020-06-05,64,34
2020-06-06,71,27
2020-06-07,69,28
2020-06-08,70,26
2020-06-09,73,22
2020-06-10,66,30
2020-06-11,66,36
2020-06-12,49,28
2020-06-13,47,27
2020-06-14,44,26
2020-06-15,50,23
2020-06-16,51,24
2020-06-17,56,36
2020-06-18,55,39
2020-06-19,61,27
2020-06-20,60,27
2020-06-21,62,28
2020-06-22,53,37
2020-06-23,60,37
2020-06-24,61,34
2020-06-25,45,54
2020-06-26,55,49
2020-06-27,56,58
2020-06-28,58,58
2020-06-29,52,61
2020-06-30,64,49
2020-07-01,70,47
2020-07-02,63,35
2020-07-03,63,37
2020-07-04,61,42
2020-07-05,61,38
2020-07-06,56,30
2020-07-07,65,48
2020-07-08,57,41
2020-07-09,62,32
2020-07-10,64,41
2020-07-11,64,33
2020-07-12,58,42
2020-07-13,56,42
2020-07-14,61,50
2020-07-15,67,32
2020-07-16,69,34
2020-07-17,71,27
2020-07-18,68,34
2020-07-19,71,36
2020-07-20,64,44
2020-07-21,71,37
2020-07-22,79,24
2020-07-23,66,40
2020-07-24,67,39
2020-07-25,62,41
2020-07-26,65,37
2020-07-27,69,32
2020-07-28,68,36
2020-07-29,67,37
2020-07-30,72,33
2020-07-31,71,31
2020-08-01,75,25
2020-08-02,66,31
2020-08-03,67,43
2020-08-04,66,24
2020-08-05,66,30
2020-08-06,65,33
2020-08-07,67,31
2020-08-08,66,31
2020-08-09,68,29
2020-08-10,60,37
2020-08-11,62,35
2020-08-12,61,34
2020-08-13,62,30
2020-08-14,58,34
2020-08-15,50,43
2020-08-16,57,35
2020-08-17,59,37
2020-08-18,67,29
2020-08-19,70,25
2020-08-20,70,27
2020-08-21,75,22
2020-08-22,65,29
2020-08-23,59,32
2020-08-24,59,35
2020-08-25,71,22
2020-08-26,66,29
2020-08-27,66,29
2020-08-28,66,27
2020-08-29,68,26
2020-08-30,64,29
2020-08-31,65,31
2020-09-01,64,34
2020-09-02,69,28
2020-09-03,71,24
2020-09-04,62,33
2020-09-05,63,31
2020-09-06,68,26
2020-09-07,63,33
2020-09-08,67,30
2020-09-09,68,28
2020-09-10,69,27
2020-09-11,79,17
2020-09-12,71,23
2020-09-13,76,19
2020-09-14,71,21
2020-09-15,69,21
2020-09-16,77,13
2020-09-17,69,22
2020-09-18,68,25
2020-09-19,68,24
2020-09-20,73,19
2020-09-21,71,17
2020-09-22,68,22
2020-09-23,65,25
2020-09-24,63,26
2020-09-25,61,28
2020-09-26,56,33
2020-09-27,65,25
2020-09-28,62,29
2020-09-29,65,28
2020-09-30,69,24
2020-10-01,68,26
2020-10-02,67,26
2020-10-03,63,26
2020-10-04,62,30
2020-10-05,62,33
2020-10-06,63,32
2020-10-07,63,32
2020-10-08,62,34
2020-10-09,68,28
2020-10-10,66,29
2020-10-11,59,36
2020-10-12,62,33
2020-10-13,64,29
2020-10-14,66,27
2020-10-15,64,27
2020-10-16,64,20
2020-10-17,66,18
2020-10-18,68,17
2020-10-19,64,18
2020-10-20,62,22
2020-10-21,67,16
2020-10-22,64,19
2020-10-23,69,14
2020-10-24,73,11
2020-10-25,67,17
2020-10-26,74,10
2020-10-27,72,12
2020-10-28,69,15
2020-10-29,63,21
2020-10-30,63,21
2020-10-31,62,22
2020-11-01,59,25
2020-11-02,64,19
2020-11-03,63,20
2020-11-04,65,18
2020-11-05,61,23
2020-11-06,63,21
2020-11-07,56,28
2020-11-08,66,18
2020-11-09,69,15
2020-11-10,70,15
2020-11-11,70,15
2020-11-12,69,13
2020-11-13,67,13
2020-11-14,66,13
2020-11-15,65,15
2020-11-16,66,16
2020-11-17,65,15
2020-11-18,64,16
2020-11-19,63,18
2020-11-20,68,12
2020-11-21,62,18
2020-11-22,61,18
2020-11-23,62,20
2020-11-24,66,16
2020-11-25,66,16
2020-11-26,63,18
2020-11-27,60,20
2020-11-28,58,22
2020-11-29,61,19
2020-11-30,59,23
2020-12-01,60,21
2020-12-02,48,33
2020-12-03,66,15
2020-12-04,62,20
2020-12-05,59,23
2020-12-06,61,21
2020-12-07,62,20
2020-12-08,65,17
2020-12-09,67,16
2020-12-10,66,17
2020-12-11,66,17
2020-12-12,72,11
2020-12-13,72,11
2020-12-14,66,17
2020-12-15,65,17
2020-12-16,66,16
2020-12-17,69,13
2020-12-18,67,16
2020-12-19,62,21
2020-12-20,56,27
2020-12-21,65,18
2020-12-22,66,17
2020-12-23,68,15
2020-12-24,69,14
2020-12-25,65,16
2020-12-26,62,19
2020-12-27,58,23
2020-12-28,62,19
2020-12-29,62,18
2020-12-30,60,20
2020-12-31,60,20
2021-01-01,63,17
2021-01-02,61,20
2021-01-03,66,15
2021-01-04,67,14
2021-01-05,64,18
2021-01-06,68,13
2021-01-07,62,18
2021-01-08,67,14
2021-01-09,63,18
2021-01-10,61,20
2021-01-11,67,14
2021-01-12,67,16
2021-01-13,66,19
2021-01-14,73,12
2021-01-15,70,15
2021-01-16,73,12
2021-01-17,73,12
2021-01-18,71,14
2021-01-19,73,12
2021-01-20,72,14
2021-01-21,72,14
2021-01-22,73,13
2021-01-23,73,10
2021-01-24,67,16
2021-01-25,64,19
2021-01-26,68,15
2021-01-27,67,16
2021-01-28,71,12
2021-01-29,71,12
2021-01-30,76,7
2021-01-31,75,8
2021-02-01,78,5
2021-02-02,66,17
2021-02-03,69,14
2021-02-04,69,14
2021-02-05,69,13
2021-02-06,69,13
2021-02-07,63,19
2021-02-08,63,19
2021-02-09,69,11
2021-02-10,69,11
2021-02-11,66,12
2021-02-12,66,14
2021-02-13,69,12
2021-02-14,74,8
2021-02-15,68,15
2021-02-16,63,21
2021-02-17,68,16
2021-02-18,65,17
2021-02-19,65,17
2021-02-20,65,17
2021-02-21,66,16
2021-02-22,68,16
2021-02-23,72,13
2021-02-24,62,20
2021-02-25,72,13
2021-02-26,59,23
2021-02-27,75,7
2021-02-28,73,9
2021-03-01,73,12
2021-03-02,73,12
2021-03-03,75,9
2021-03-04,71,13
2021-03-05,73,11
2021-03-06,72,12
2021-03-07,69,16
2021-03-08,72,12
2021-03-09,67,17
2021-03-10,65,19
2021-03-11,77,9
2021-03-12,68,18
2021-03-13,69,17
2021-03-14,72,12
2021-03-15,73,11
2021-03-16,72,12
2021-03-17,73,11
2021-03-18,73,11
2021-03-19,71,13
2021-03-20,73,11
2021-03-21,70,14
2021-03-22,70,16
2021-03-23,76,10
2021-03-24,69,17
2021-03-25,70,16
2021-03-26,69,17
2021-03-27,74,11
2021-03-28,66,20
2021-03-29,63,21
2021-03-30,69,17
2021-03-31,65,21
2021-04-01,63,23
2021-04-02,65,21
2021-04-03,63,23
2021-04-04,64,22
2021-04-05,65,21
2021-04-06,54,20
2021-04-07,56,18
2021-04-08,57,17
2021-04-09,57,17
2021-04-10,63,11
2021-04-11,51,23
2021-04-12,66,20
2021-04-13,70,15
2021-04-14,65,19
2021-04-15,67,18
2021-04-16,64,21
2021-04-17,62,22
2021-04-18,67,17
2021-04-19,70,14
2021-04-20,67,18
2021-04-21,64,21
2021-04-22,60,25
2021-04-23,64,21
2021-04-24,71,14
2021-04-25,76,9
2021-04-26,74,11
2021-04-27,68,17
2021-04-28,71,13
2021-04-29,69,14
2021-04-30,70,13
2021-05-01,68,14
2021-05-02,71,12
2021-05-03,68,15
2021-05-04,69,14
2021-05-05,62,21
2021-05-06,67,17
2021-05-07,72,13
2021-05-08,75,10
2021-05-09,71,14
2021-05-10,74,10
2021-05-11,72,13
2021-05-12,74,11
2021-05-13,73,12
2021-05-14,72,11
2021-05-15,68,14
2021-05-16,68,14
2021-05-17,72,13
2021-05-18,74,11
2021-05-19,73,13
2021-05-20,79,6
2021-05-21,70,15
2021-05-22,65,17
2021-05-23,66,16
2021-05-24,66,17
