date,betten_belegt,betten_frei
2020-04-24,51,39
2020-04-25,52,39
2020-04-26,52,40
2020-04-27,55,35
2020-04-28,55,35
2020-04-29,51,39
2020-04-30,59,31
2020-05-01,55,35
2020-05-02,54,36
2020-05-03,54,36
2020-05-04,54,36
2020-05-05,53,37
2020-05-06,58,32
2020-05-07,56,34
2020-05-08,51,39
2020-05-09,51,39
2020-05-10,51,39
2020-05-11,52,38
2020-05-12,56,34
2020-05-13,52,38
2020-05-14,46,44
2020-05-15,47,43
2020-05-16,55,35
2020-05-17,53,37
2020-05-18,53,37
2020-05-19,49,41
2020-05-20,50,40
2020-05-21,48,42
2020-05-22,45,45
2020-05-23,51,39
2020-05-24,52,39
2020-05-25,46,45
2020-05-26,56,35
2020-05-27,52,39
2020-05-28,56,35
2020-05-29,49,42
2020-05-30,50,38
2020-05-31,52,37
2020-06-01,51,38
2020-06-02,51,39
2020-06-03,53,37
2020-06-04,54,36
2020-06-05,51,39
2020-06-06,59,38
2020-06-07,61,36
2020-06-08,54,36
2020-06-09,56,34
2020-06-10,53,37
2020-06-11,53,37
2020-06-12,56,34
2020-06-13,52,39
2020-06-14,56,33
2020-06-15,51,39
2020-06-16,56,34
2020-06-17,57,33
2020-06-18,64,32
2020-06-19,64,32
2020-06-20,51,39
2020-06-21,55,41
2020-06-22,50,46
2020-06-23,52,39
2020-06-24,58,33
2020-06-25,55,36
2020-06-26,58,33
2020-06-27,57,34
2020-06-28,61,30
2020-06-29,57,34
2020-06-30,54,37
2020-07-01,59,32
2020-07-02,52,39
2020-07-03,51,40
2020-07-04,54,37
2020-07-05,54,43
2020-07-06,65,20
2020-07-07,65,21
2020-07-08,68,18
2020-07-09,68,18
2020-07-10,75,11
2020-07-11,72,13
2020-07-12,73,12
2020-07-13,70,16
2020-07-14,68,18
2020-07-15,66,20
2020-07-16,66,20
2020-07-17,63,23
2020-07-18,64,22
2020-07-19,64,23
2020-07-20,67,20
2020-07-21,68,18
2020-07-22,69,17
2020-07-23,60,26
2020-07-24,37,13
2020-07-25,33,18
2020-07-26,63,24
2020-07-27,63,27
2020-07-28,69,21
2020-07-29,68,22
2020-07-30,66,24
2020-07-31,63,27
2020-08-01,64,26
2020-08-02,64,24
2020-08-03,58,32
2020-08-04,58,28
2020-08-05,52,34
2020-08-06,56,30
2020-08-07,54,32
2020-08-08,61,25
2020-08-09,60,26
2020-08-10,56,30
2020-08-11,59,27
2020-08-12,57,29
2020-08-13,58,28
2020-08-14,59,27
2020-08-15,56,30
2020-08-16,57,29
2020-08-17,61,25
2020-08-18,64,22
2020-08-19,60,26
2020-08-20,55,31
2020-08-21,55,31
2020-08-22,59,27
2020-08-23,54,32
2020-08-24,57,29
2020-08-25,64,22
2020-08-26,61,25
2020-08-27,59,27
2020-08-28,61,25
2020-08-29,58,28
2020-08-30,55,31
2020-08-31,56,30
2020-09-01,61,25
2020-09-02,60,26
2020-09-03,58,28
2020-09-04,64,22
2020-09-05,65,21
2020-09-06,65,21
2020-09-07,61,25
2020-09-08,65,20
2020-09-09,67,18
2020-09-10,66,20
2020-09-11,59,27
2020-09-12,62,24
2020-09-13,58,28
2020-09-14,58,28
2020-09-15,63,23
2020-09-16,62,24
2020-09-17,54,32
2020-09-18,60,26
2020-09-19,64,22
2020-09-20,58,28
2020-09-21,61,25
2020-09-22,65,21
2020-09-23,68,18
