date,betten_belegt,betten_frei
2020-04-24,22,9
2020-04-25,21,9
2020-04-26,19,11
2020-04-27,20,9
2020-04-28,24,8
2020-04-29,21,11
2020-04-30,22,10
2020-05-01,24,8
2020-05-02,23,8
2020-05-03,24,12
2020-05-04,23,7
2020-05-05,23,9
2020-05-06,24,6
2020-05-07,25,4
2020-05-08,26,6
2020-05-09,27,9
2020-05-10,22,14
2020-05-11,22,14
2020-05-12,21,15
2020-05-13,22,18
2020-05-14,26,10
2020-05-15,25,11
2020-05-16,24,12
2020-05-17,22,14
2020-05-18,21,15
2020-05-19,27,9
2020-05-20,26,10
2020-05-21,29,7
2020-05-22,28,8
2020-05-23,26,11
2020-05-24,23,11
2020-05-25,20,16
2020-05-26,22,14
2020-05-27,22,12
2020-05-28,19,17
2020-05-29,21,13
2020-05-30,24,11
2020-05-31,22,11
2020-06-01,22,11
2020-06-02,25,11
2020-06-03,26,9
2020-06-04,29,7
2020-06-05,29,4
2020-06-06,24,12
2020-06-07,25,12
2020-06-08,22,15
2020-06-09,23,14
2020-06-10,28,10
2020-06-11,24,14
2020-06-12,25,12
2020-06-13,26,11
2020-06-14,27,9
2020-06-15,22,15
2020-06-16,26,12
2020-06-17,24,16
2020-06-18,22,18
2020-06-19,27,10
2020-06-20,28,7
2020-06-21,24,12
2020-06-22,23,14
2020-06-23,19,17
2020-06-24,22,17
2020-06-25,17,22
2020-06-26,18,21
2020-06-27,24,15
2020-06-28,23,15
2020-06-29,26,13
2020-06-30,26,13
2020-07-01,20,19
2020-07-02,25,9
2020-07-03,20,17
2020-07-04,26,13
2020-07-05,22,17
2020-07-06,23,10
2020-07-07,25,8
2020-07-08,19,14
2020-07-09,24,9
2020-07-10,23,10
2020-07-11,21,12
2020-07-12,20,12
2020-07-13,19,13
2020-07-14,27,5
2020-07-15,24,17
2020-07-16,24,16
2020-07-17,27,13
2020-07-18,25,14
2020-07-19,26,13
2020-07-20,21,18
2020-07-21,28,11
2020-07-22,27,11
2020-07-23,23,15
2020-07-24,23,16
2020-07-25,20,19
2020-07-26,18,21
2020-07-27,21,18
2020-07-28,24,14
2020-07-29,18,21
2020-07-30,19,19
2020-07-31,19,20
2020-08-01,18,20
2020-08-02,16,23
2020-08-03,18,21
2020-08-04,19,23
2020-08-05,23,33
2020-08-06,25,31
