date,betten_belegt,betten_frei
2020-04-24,20,21
2020-04-25,19,22
2020-04-26,20,21
2020-04-27,23,14
2020-04-28,24,17
2020-04-29,24,17
2020-04-30,25,16
2020-05-01,27,14
2020-05-02,22,19
2020-05-03,25,16
2020-05-04,26,15
2020-05-05,22,19
2020-05-06,23,18
2020-05-07,25,16
2020-05-08,27,14
2020-05-09,24,17
2020-05-10,25,12
2020-05-11,26,13
2020-05-12,28,9
2020-05-13,22,13
2020-05-14,21,16
2020-05-15,25,12
2020-05-16,29,8
2020-05-17,25,12
2020-05-18,25,12
2020-05-19,23,14
2020-05-20,25,12
2020-05-21,26,11
2020-05-22,24,13
2020-05-23,24,13
2020-05-24,22,15
2020-05-25,24,13
2020-05-26,23,14
2020-05-27,22,15
2020-05-28,24,13
2020-05-29,23,14
2020-05-30,26,11
2020-05-31,24,13
2020-06-01,25,12
2020-06-02,21,16
2020-06-03,23,14
2020-06-04,25,12
2020-06-05,23,14
2020-06-06,25,12
2020-06-07,23,14
2020-06-08,20,17
2020-06-09,20,17
2020-06-10,21,16
2020-06-11,26,11
2020-06-12,26,11
2020-06-13,20,17
2020-06-14,19,18
2020-06-15,22,15
2020-06-16,21,16
2020-06-17,20,17
2020-06-18,22,15
2020-06-19,23,14
2020-06-20,23,14
2020-06-21,22,15
2020-06-22,24,13
2020-06-23,27,10
2020-06-24,24,13
2020-06-25,24,13
2020-06-26,29,8
2020-06-27,27,10
2020-06-28,26,11
2020-06-29,22,15
2020-06-30,24,13
2020-07-01,23,14
2020-07-02,22,15
2020-07-03,21,16
2020-07-04,18,19
2020-07-05,20,17
2020-07-06,20,17
2020-07-07,22,15
2020-07-08,20,17
2020-07-09,21,16
2020-07-10,20,17
2020-07-11,21,16
2020-07-12,24,13
2020-07-13,22,15
2020-07-14,22,15
2020-07-15,22,15
2020-07-16,24,13
2020-07-17,24,13
2020-07-18,25,12
2020-07-19,22,15
2020-07-20,25,12
2020-07-21,26,11
2020-07-22,22,15
2020-07-23,24,13
2020-07-24,22,15
2020-07-25,26,11
2020-07-26,28,9
2020-07-27,25,11
2020-07-28,28,8
2020-07-29,24,13
2020-07-30,24,13
2020-07-31,28,9
2020-08-01,26,11
2020-08-02,23,14
2020-08-03,22,15
2020-08-04,24,9
2020-08-05,20,13
2020-08-06,28,5
2020-08-07,19,14
2020-08-08,21,12
2020-08-09,20,13
2020-08-10,18,15
2020-08-11,21,12
2020-08-12,19,14
2020-08-13,16,17
2020-08-14,16,17
2020-08-15,20,13
2020-08-16,20,13
2020-08-17,15,18
2020-08-18,20,13
2020-08-19,26,7
2020-08-20,21,12
2020-08-21,20,13
2020-08-22,21,12
2020-08-23,28,5
2020-08-24,27,6
2020-08-25,26,7
2020-08-26,28,5
2020-08-27,25,8
2020-08-28,27,6
2020-08-29,27,6
2020-08-30,22,11
2020-08-31,22,9
2020-09-01,23,10
2020-09-02,22,11
2020-09-03,23,10
2020-09-04,24,9
2020-09-05,22,11
2020-09-06,25,8
2020-09-07,24,9
2020-09-08,20,13
2020-09-09,23,10
2020-09-10,22,11
2020-09-11,24,9
2020-09-12,22,11
2020-09-13,24,9
2020-09-14,23,10
2020-09-15,22,11
2020-09-16,25,8
2020-09-17,22,11
2020-09-18,22,11
2020-09-19,17,16
2020-09-20,19,14
2020-09-21,20,13
2020-09-22,25,8
2020-09-23,21,12
2020-09-24,22,11
2020-09-25,23,10
2020-09-26,22,11
2020-09-27,23,10
2020-09-28,26,7
2020-09-29,27,6
2020-09-30,22,11
2020-10-01,22,11
2020-10-02,23,10
2020-10-03,25,8
2020-10-04,24,9
2020-10-05,20,13
2020-10-06,22,11
2020-10-07,25,8
2020-10-08,22,11
2020-10-09,20,13
2020-10-10,20,13
2020-10-11,22,11
2020-10-12,22,11
2020-10-13,18,15
2020-10-14,18,15
2020-10-15,19,14
2020-10-16,23,10
