date,betten_belegt,betten_frei
2020-04-24,24,16
2020-04-25,23,17
2020-04-26,23,17
2020-04-27,19,21
2020-04-28,24,16
2020-04-29,20,20
2020-04-30,25,15
2020-05-01,24,16
2020-05-02,19,21
2020-05-03,25,15
2020-05-04,24,16
2020-05-05,19,21
2020-05-06,22,18
2020-05-07,21,19
2020-05-08,25,15
2020-05-09,25,15
2020-05-10,24,16
2020-05-11,22,18
2020-05-12,25,15
2020-05-13,24,16
2020-05-14,25,15
2020-05-15,26,14
2020-05-16,27,13
2020-05-17,23,17
2020-05-18,27,13
2020-05-19,27,13
2020-05-20,21,19
2020-05-21,25,15
2020-05-22,26,16
2020-05-23,26,14
2020-05-24,26,14
2020-05-25,22,18
2020-05-26,22,18
2020-05-27,25,15
2020-05-28,18,22
2020-05-29,24,16
2020-05-30,29,11
2020-05-31,25,15
2020-06-01,22,18
2020-06-02,22,18
2020-06-03,23,17
2020-06-04,22,18
2020-06-05,22,18
2020-06-06,22,18
2020-06-07,12,28
2020-06-08,18,22
2020-06-09,21,19
2020-06-10,20,18
2020-06-11,18,20
2020-06-12,25,13
2020-06-13,22,16
2020-06-14,21,17
2020-06-15,23,15
2020-06-16,25,13
2020-06-17,24,14
2020-06-18,20,18
2020-06-19,20,18
2020-06-20,22,16
2020-06-21,18,20
2020-06-22,18,20
2020-06-23,24,14
2020-06-24,22,16
2020-06-25,26,12
2020-06-26,25,13
2020-06-27,28,10
2020-06-28,26,12
2020-06-29,24,14
2020-06-30,19,19
2020-07-01,24,14
2020-07-02,24,14
2020-07-03,21,17
2020-07-04,29,9
2020-07-05,24,12
2020-07-06,26,12
2020-07-07,27,11
2020-07-08,21,17
2020-07-09,27,11
2020-07-10,29,9
2020-07-11,29,9
2020-07-12,29,9
2020-07-13,23,15
2020-07-14,26,12
2020-07-15,27,11
2020-07-16,24,14
2020-07-17,26,12
2020-07-18,23,15
2020-07-19,19,19
2020-07-20,19,19
2020-07-21,19,19
2020-07-22,16,22
2020-07-23,24,14
2020-07-24,20,18
2020-07-25,21,17
2020-07-26,22,16
2020-07-27,22,16
2020-07-28,21,17
2020-07-29,28,23
2020-07-30,28,23
2020-07-31,31,20
2020-08-01,31,20
2020-08-02,30,21
2020-08-03,32,19
2020-08-04,27,24
2020-08-05,29,22
2020-08-06,28,23
2020-08-07,27,24
2020-08-08,32,17
2020-08-09,32,17
2020-08-10,27,22
2020-08-11,33,16
2020-08-12,34,15
2020-08-13,34,15
2020-08-14,35,14
2020-08-15,32,17
2020-08-16,32,17
2020-08-17,30,19
2020-08-18,34,15
2020-08-19,33,16
2020-08-20,32,17
2020-08-21,33,16
2020-08-22,33,16
2020-08-23,35,14
2020-08-24,33,16
2020-08-25,34,15
2020-08-26,30,19
2020-08-27,32,17
2020-08-28,28,21
2020-08-29,33,16
2020-08-30,32,17
2020-08-31,30,19
2020-09-01,30,19
2020-09-02,32,17
2020-09-03,31,18
2020-09-04,29,20
2020-09-05,36,13
2020-09-06,29,20
2020-09-07,25,24
2020-09-08,28,21
2020-09-09,26,23
2020-09-10,28,21
2020-09-11,24,25
2020-09-12,29,20
2020-09-13,26,23
2020-09-14,25,24
2020-09-15,26,23
2020-09-16,36,13
2020-09-17,36,13
2020-09-18,29,20
2020-09-19,27,22
2020-09-20,28,21
2020-09-21,27,22
2020-09-22,30,19
2020-09-23,30,19
2020-09-24,30,19
2020-09-25,23,26
2020-09-26,25,24
2020-09-27,32,17
2020-09-28,34,15
2020-09-29,32,17
2020-09-30,33,16
2020-10-01,25,24
2020-10-02,31,18
2020-10-03,30,19
2020-10-04,28,21
2020-10-05,24,25
2020-10-06,26,23
2020-10-07,21,28
2020-10-08,24,25
2020-10-09,33,16
2020-10-10,34,15
2020-10-11,29,20
2020-10-12,26,23
2020-10-13,26,23
2020-10-14,29,20
2020-10-15,32,17
2020-10-16,33,16
2020-10-17,32,17
2020-10-18,30,19
2020-10-19,30,19
2020-10-20,31,18
2020-10-21,30,19
2020-10-22,35,14
2020-10-23,34,15
2020-10-24,34,15
2020-10-25,28,21
2020-10-26,28,21
2020-10-27,32,17
2020-10-28,30,19
2020-10-29,31,21
2020-10-30,30,20
2020-10-31,36,14
2020-11-01,29,20
2020-11-02,28,21
2020-11-03,33,16
2020-11-04,34,15
2020-11-05,30,19
2020-11-06,27,22
2020-11-07,34,15
2020-11-08,25,24
2020-11-09,28,21
2020-11-10,32,17
2020-11-11,34,15
2020-11-12,34,15
2020-11-13,28,21
2020-11-14,29,20
2020-11-15,29,20
2020-11-16,35,14
2020-11-17,30,19
2020-11-18,34,15
2020-11-19,28,21
2020-11-20,32,17
2020-11-21,35,14
2020-11-22,28,21
2020-11-23,30,19
2020-11-24,29,20
2020-11-25,28,21
2020-11-26,27,22
2020-11-27,27,22
2020-11-28,31,18
2020-11-29,29,20
2020-11-30,32,17
2020-12-01,32,17
2020-12-02,33,16
2020-12-03,33,16
2020-12-04,36,13
2020-12-05,37,12
2020-12-06,32,17
2020-12-07,33,16
2020-12-08,32,17
2020-12-09,32,17
2020-12-10,31,18
2020-12-11,34,15
2020-12-12,31,18
2020-12-13,31,18
2020-12-14,32,17
2020-12-15,31,18
2020-12-16,32,17
2020-12-17,29,20
2020-12-18,36,13
2020-12-19,27,22
2020-12-20,21,28
2020-12-21,29,20
2020-12-22,38,11
2020-12-23,29,20
2020-12-24,28,21
2020-12-25,27,22
2020-12-26,26,23
2020-12-27,23,26
2020-12-28,20,29
2020-12-29,28,21
2020-12-30,35,14
2020-12-31,31,18
2021-01-01,26,23
2021-01-02,30,19
2021-01-03,33,16
2021-01-04,29,20
2021-01-05,30,19
2021-01-06,28,21
2021-01-07,30,19
2021-01-08,30,19
2021-01-09,35,14
2021-01-10,30,19
2021-01-11,26,23
2021-01-12,32,17
2021-01-13,30,19
2021-01-14,29,20
2021-01-15,35,9
2021-01-16,33,11
2021-01-17,36,8
2021-01-18,37,7
2021-01-19,41,3
2021-01-20,32,12
2021-01-21,33,11
2021-01-22,35,9
2021-01-23,41,3
2021-01-24,35,9
2021-01-25,36,8
2021-01-26,36,8
2021-01-27,38,6
2021-01-28,34,10
2021-01-29,33,11
2021-01-30,30,14
2021-01-31,32,12
2021-02-01,37,7
2021-02-02,38,6
2021-02-03,39,5
2021-02-04,40,6
2021-02-05,39,7
2021-02-06,36,8
2021-02-07,31,13
2021-02-08,34,10
2021-02-09,34,10
2021-02-10,38,6
2021-02-11,37,7
2021-02-12,37,7
2021-02-13,37,7
2021-02-14,37,7
2021-02-15,34,10
2021-02-16,36,8
2021-02-17,37,7
2021-02-18,40,4
2021-02-19,36,8
2021-02-20,31,13
2021-02-21,32,12
2021-02-22,35,9
2021-02-23,36,8
2021-02-24,37,7
2021-02-25,35,9
2021-02-26,35,9
2021-02-27,33,11
2021-02-28,33,11
2021-03-01,36,8
2021-03-02,35,9
2021-03-03,30,14
2021-03-04,34,10
2021-03-05,32,12
2021-03-06,29,16
2021-03-07,31,14
2021-03-08,30,15
2021-03-09,35,10
2021-03-10,34,11
2021-03-11,32,13
2021-03-12,36,9
2021-03-13,39,6
2021-03-14,34,11
2021-03-15,36,9
2021-03-16,37,8
2021-03-17,37,8
2021-03-18,35,10
2021-03-19,39,6
2021-03-20,37,8
2021-03-21,32,13
2021-03-22,38,7
2021-03-23,35,10
2021-03-24,36,9
2021-03-25,33,12
2021-03-26,34,10
2021-03-27,34,10
2021-03-28,31,13
2021-03-29,36,8
2021-03-30,40,4
2021-03-31,39,5
2021-04-01,34,8
2021-04-02,39,3
2021-04-03,35,7
2021-04-04,34,8
2021-04-05,36,6
2021-04-06,31,11
2021-04-07,32,10
2021-04-08,33,9
2021-04-09,32,10
2021-04-10,31,11
2021-04-11,32,10
2021-04-12,32,10
2021-04-13,32,10
2021-04-14,32,10
2021-04-15,34,8
2021-04-16,32,10
2021-04-17,29,14
2021-04-18,29,14
2021-04-19,29,14
2021-04-20,30,13
2021-04-21,30,13
2021-04-22,34,9
2021-04-23,35,8
2021-04-24,35,8
2021-04-25,36,7
2021-04-26,33,10
2021-04-27,35,8
2021-04-28,32,11
2021-04-29,35,8
2021-04-30,28,15
2021-05-01,30,13
2021-05-02,30,13
2021-05-03,30,13
2021-05-04,29,14
2021-05-05,28,15
