date,betten_belegt,betten_frei
2020-04-24,59,43
2020-04-25,66,36
2020-04-26,64,38
2020-04-27,64,38
2020-04-28,62,40
2020-04-29,63,39
2020-04-30,60,40
2020-05-01,56,46
2020-05-02,56,46
2020-05-03,55,47
2020-05-04,55,48
2020-05-05,53,45
2020-05-06,52,46
2020-05-07,59,38
2020-05-08,63,34
2020-05-09,62,33
2020-05-10,59,36
2020-05-11,56,39
2020-05-12,52,36
2020-05-13,51,37
2020-05-14,54,32
2020-05-15,54,35
2020-05-16,52,35
2020-05-17,55,34
2020-05-18,54,34
2020-05-19,62,27
2020-05-20,58,29
2020-05-21,59,30
2020-05-22,51,38
2020-05-23,54,35
2020-05-24,52,38
2020-05-25,57,32
2020-05-26,57,33
2020-05-27,50,39
2020-05-28,60,27
2020-05-29,62,25
2020-05-30,69,18
2020-05-31,61,26
2020-06-01,61,26
2020-06-02,67,20
2020-06-03,62,25
2020-06-04,57,28
2020-06-05,63,24
2020-06-06,63,24
2020-06-07,59,28
2020-06-08,60,26
2020-06-09,65,22
2020-06-10,66,23
2020-06-11,61,28
2020-06-12,52,37
2020-06-13,59,30
2020-06-14,51,38
2020-06-15,53,36
2020-06-16,57,32
2020-06-17,59,30
2020-06-18,56,31
2020-06-19,61,26
2020-06-20,58,29
2020-06-21,59,28
2020-06-22,57,30
2020-06-23,52,35
2020-06-24,56,31
2020-06-25,59,28
2020-06-26,63,24
2020-06-27,59,36
2020-06-28,65,34
2020-06-29,66,29
2020-06-30,78,26
2020-07-01,77,27
2020-07-02,71,33
2020-07-03,72,32
2020-07-04,77,27
2020-07-05,76,28
2020-07-06,74,30
2020-07-07,75,29
2020-07-08,79,25
2020-07-09,80,24
2020-07-10,83,21
2020-07-11,81,25
2020-07-12,80,26
2020-07-13,69,35
2020-07-14,67,34
2020-07-15,69,34
2020-07-16,77,26
2020-07-17,77,26
2020-07-18,80,23
2020-07-19,79,25
2020-07-20,72,32
2020-07-21,72,32
2020-07-22,68,36
2020-07-23,77,27
2020-07-24,73,31
2020-07-25,72,32
2020-07-26,72,32
2020-07-27,80,24
2020-07-28,73,30
2020-07-29,71,33
2020-07-30,73,31
2020-07-31,69,35
2020-08-01,72,32
2020-08-02,77,29
2020-08-03,73,30
2020-08-04,75,33
2020-08-05,78,30
2020-08-06,78,30
2020-08-07,81,27
2020-08-08,82,26
2020-08-09,80,28
2020-08-10,51,29
2020-08-11,48,32
2020-08-12,46,34
2020-08-13,42,38
2020-08-14,70,38
2020-08-15,72,36
2020-08-16,64,44
2020-08-17,68,40
2020-08-18,80,28
2020-08-19,75,33
2020-08-20,74,34
2020-08-21,65,43
2020-08-22,68,40
2020-08-23,68,40
2020-08-24,67,41
2020-08-25,67,41
2020-08-26,74,34
2020-08-27,72,36
2020-08-28,69,39
2020-08-29,63,45
2020-08-30,65,43
2020-08-31,61,47
2020-09-01,53,55
2020-09-02,61,47
2020-09-03,69,39
2020-09-04,61,47
2020-09-05,55,53
2020-09-06,60,48
2020-09-07,63,45
2020-09-08,69,39
2020-09-09,62,46
2020-09-10,65,43
2020-09-11,62,46
2020-09-12,54,54
2020-09-13,55,53
2020-09-14,61,47
2020-09-15,73,35
2020-09-16,66,42
2020-09-17,65,43
2020-09-18,66,42
2020-09-19,53,55
2020-09-20,57,51
2020-09-21,62,46
2020-09-22,67,41
2020-09-23,67,41
2020-09-24,75,33
2020-09-25,74,34
2020-09-26,64,44
2020-09-27,68,40
2020-09-28,72,36
2020-09-29,70,38
2020-09-30,67,41
2020-10-01,69,39
2020-10-02,64,44
2020-10-03,67,41
2020-10-04,66,42
2020-10-05,74,34
2020-10-06,70,38
2020-10-07,77,31
2020-10-08,75,33
2020-10-09,72,36
2020-10-10,75,33
2020-10-11,67,41
2020-10-12,72,36
2020-10-13,74,34
2020-10-14,68,40
2020-10-15,72,36
2020-10-16,70,38
2020-10-17,68,40
2020-10-18,64,44
2020-10-19,61,47
2020-10-20,64,44
2020-10-21,66,42
2020-10-22,58,50
2020-10-23,64,44
2020-10-24,56,52
2020-10-25,56,52
2020-10-26,58,50
2020-10-27,61,47
2020-10-28,63,45
2020-10-29,68,40
2020-10-30,76,32
2020-10-31,77,30
2020-11-01,72,35
2020-11-02,64,44
2020-11-03,58,50
2020-11-04,52,56
2020-11-05,66,42
2020-11-06,72,36
2020-11-07,66,42
2020-11-08,61,47
2020-11-09,71,37
2020-11-10,71,37
2020-11-11,75,30
2020-11-12,76,32
2020-11-13,71,35
2020-11-14,77,29
2020-11-15,76,30
2020-11-16,77,29
2020-11-17,73,33
2020-11-18,73,33
2020-11-19,75,31
2020-11-20,74,32
2020-11-21,69,30
2020-11-22,62,37
2020-11-23,69,30
2020-11-24,76,23
2020-11-25,70,29
2020-11-26,67,32
2020-11-27,73,26
2020-11-28,77,22
2020-11-29,74,25
2020-11-30,71,28
2020-12-01,70,27
2020-12-02,70,26
2020-12-03,67,29
2020-12-04,66,30
2020-12-05,68,27
2020-12-06,71,24
2020-12-07,73,22
2020-12-08,69,26
2020-12-09,76,22
2020-12-10,74,24
2020-12-11,71,27
2020-12-12,78,20
2020-12-13,72,26
2020-12-14,71,27
2020-12-15,75,23
2020-12-16,78,21
2020-12-17,69,29
2020-12-18,75,23
2020-12-19,75,23
2020-12-20,72,26
2020-12-21,76,22
2020-12-22,75,23
2020-12-23,68,30
2020-12-24,65,29
2020-12-25,69,25
2020-12-26,71,23
2020-12-27,73,21
2020-12-28,72,23
2020-12-29,68,27
2020-12-30,71,24
2020-12-31,73,22
2021-01-01,71,24
2021-01-02,71,24
2021-01-03,66,29
2021-01-04,65,31
2021-01-05,73,26
2021-01-06,69,26
2021-01-07,67,28
2021-01-08,60,36
2021-01-09,61,35
2021-01-10,58,38
2021-01-11,62,34
2021-01-12,64,30
2021-01-13,77,17
2021-01-14,67,27
2021-01-15,74,20
2021-01-16,72,22
2021-01-17,73,20
2021-01-18,70,23
2021-01-19,75,18
2021-01-20,83,10
2021-01-21,80,13
2021-01-22,74,18
2021-01-23,76,15
2021-01-24,77,15
