date,betten_belegt,betten_frei
2020-04-24,301,205
2020-04-25,300,208
2020-04-26,282,225
2020-04-27,268,240
2020-04-28,290,225
2020-04-29,296,219
2020-04-30,289,226
2020-05-01,282,228
2020-05-02,269,243
2020-05-03,292,218
2020-05-04,293,220
2020-05-05,290,199
2020-05-06,289,203
2020-05-07,284,244
2020-05-08,296,231
2020-05-09,304,222
2020-05-10,282,244
2020-05-11,292,255
2020-05-12,306,239
2020-05-13,314,234
2020-05-14,308,221
2020-05-15,331,200
2020-05-16,321,208
2020-05-17,293,219
2020-05-18,289,227
2020-05-19,299,218
2020-05-20,308,207
2020-05-21,302,213
2020-05-22,293,219
2020-05-23,275,237
2020-05-24,268,244
2020-05-25,278,235
2020-05-26,291,222
2020-05-27,300,210
2020-05-28,296,214
2020-05-29,308,201
2020-05-30,315,194
2020-05-31,294,223
2020-06-01,289,228
2020-06-02,298,214
2020-06-03,308,196
2020-06-04,306,204
2020-06-05,308,202
2020-06-06,298,209
2020-06-07,297,210
2020-06-08,292,218
2020-06-09,292,200
2020-06-10,299,193
2020-06-11,305,191
2020-06-12,287,210
2020-06-13,288,208
2020-06-14,277,216
2020-06-15,290,221
2020-06-16,295,215
2020-06-17,321,199
2020-06-18,305,205
2020-06-19,311,199
2020-06-20,308,197
2020-06-21,298,205
2020-06-22,304,199
2020-06-23,313,189
2020-06-24,327,175
2020-06-25,317,185
2020-06-26,323,179
2020-06-27,321,184
2020-06-28,320,192
2020-06-29,297,203
2020-06-30,293,205
2020-07-01,318,186
2020-07-02,310,183
2020-07-03,308,183
2020-07-04,295,195
2020-07-05,285,208
2020-07-06,293,215
2020-07-07,293,215
2020-07-08,305,208
2020-07-09,313,197
2020-07-10,303,207
2020-07-11,305,205
2020-07-12,283,227
2020-07-13,274,236
2020-07-14,282,225
2020-07-15,311,198
2020-07-16,292,217
2020-07-17,315,197
2020-07-18,305,205
2020-07-19,285,225
2020-07-20,282,226
2020-07-21,294,227
2020-07-22,297,224
2020-07-23,303,217
2020-07-24,296,225
2020-07-25,295,226
2020-07-26,289,233
2020-07-27,296,226
2020-07-28,304,217
2020-07-29,313,210
2020-07-30,311,204
2020-07-31,316,197
