date,betten_belegt,betten_frei
2020-04-24,170,150
2020-04-25,172,135
2020-04-26,163,145
2020-04-27,170,138
2020-04-28,169,138
2020-04-29,168,137
2020-04-30,172,133
2020-05-01,159,146
2020-05-02,163,144
2020-05-03,165,141
2020-05-04,105,138
2020-05-05,163,65
2020-05-06,171,54
2020-05-07,185,59
2020-05-08,181,58
2020-05-09,183,51
2020-05-10,181,53
2020-05-11,192,58
2020-05-12,217,64
2020-05-13,238,53
2020-05-14,244,60
2020-05-15,244,59
2020-05-16,237,68
2020-05-17,236,68
2020-05-18,255,65
2020-05-19,262,57
2020-05-20,269,46
2020-05-21,260,54
2020-05-22,233,71
2020-05-23,238,66
2020-05-24,233,66
2020-05-25,238,67
2020-05-26,248,56
2020-05-27,253,50
2020-05-28,265,52
2020-05-29,283,49
2020-05-30,284,50
2020-05-31,278,56
2020-06-01,267,61
2020-06-02,250,48
2020-06-03,288,44
2020-06-04,269,49
2020-06-05,276,41
2020-06-06,264,54
2020-06-07,261,56
2020-06-08,259,58
2020-06-09,273,58
2020-06-10,255,42
2020-06-11,253,44
2020-06-12,236,61
2020-06-13,248,51
2020-06-14,240,60
2020-06-15,237,59
2020-06-16,250,48
2020-06-17,272,58
2020-06-18,272,57
2020-06-19,281,54
2020-06-20,273,54
2020-06-21,264,62
2020-06-22,265,63
2020-06-23,270,54
2020-06-24,281,48
2020-06-25,291,40
2020-06-26,284,47
2020-06-27,271,63
2020-06-28,263,68
2020-06-29,268,69
2020-06-30,258,72
2020-07-01,273,61
2020-07-02,264,71
2020-07-03,250,48
2020-07-04,238,50
2020-07-05,242,55
2020-07-06,246,47
2020-07-07,239,55
2020-07-08,244,49
2020-07-09,249,45
2020-07-10,243,51
2020-07-11,258,36
2020-07-12,248,45
2020-07-13,250,59
2020-07-14,249,60
2020-07-15,251,58
2020-07-16,262,47
2020-07-17,252,57
2020-07-18,252,57
2020-07-19,255,57
2020-07-20,253,59
2020-07-21,252,54
2020-07-22,254,52
2020-07-23,249,50
2020-07-24,251,53
2020-07-25,247,40
2020-07-26,260,38
2020-07-27,261,40
2020-07-28,260,41
2020-07-29,248,51
2020-07-30,247,57
2020-07-31,270,57
2020-08-01,247,41
2020-08-02,251,37
2020-08-03,251,35
2020-08-04,271,24
2020-08-05,252,40
2020-08-06,265,27
2020-08-07,264,28
2020-08-08,264,28
2020-08-09,263,29
2020-08-10,239,35
2020-08-11,225,22
2020-08-12,230,23
2020-08-13,239,14
2020-08-14,253,20
2020-08-15,250,37
2020-08-16,255,32
2020-08-17,254,33
2020-08-18,251,36
2020-08-19,255,32
2020-08-20,261,26
2020-08-21,253,34
2020-08-22,253,31
2020-08-23,251,33
2020-08-24,248,39
2020-08-25,252,33
2020-08-26,259,26
2020-08-27,264,21
2020-08-28,226,25
2020-08-29,228,23
2020-08-30,224,27
2020-08-31,234,31
2020-09-01,240,27
2020-09-02,240,27
2020-09-03,236,31
2020-09-04,234,33
2020-09-05,236,31
2020-09-06,230,37
2020-09-07,229,38
2020-09-08,228,39
2020-09-09,230,33
2020-09-10,272,25
2020-09-11,264,33
2020-09-12,263,34
2020-09-13,260,37
2020-09-14,253,44
2020-09-15,254,43
2020-09-16,253,44
2020-09-17,263,34
2020-09-18,258,39
2020-09-19,259,38
2020-09-20,258,39
2020-09-21,249,47
2020-09-22,259,37
2020-09-23,253,38
2020-09-24,271,21
2020-09-25,268,24
2020-09-26,274,18
2020-09-27,266,26
2020-09-28,255,35
2020-09-29,257,33
2020-09-30,257,33
2020-10-01,266,24
2020-10-02,265,26
2020-10-03,266,25
2020-10-04,268,23
2020-10-05,266,25
2020-10-06,269,22
2020-10-07,275,16
2020-10-08,269,22
2020-10-09,265,24
2020-10-10,270,19
2020-10-11,265,24
2020-10-12,267,23
2020-10-13,265,25
2020-10-14,263,27
2020-10-15,263,27
2020-10-16,268,23
2020-10-17,274,18
2020-10-18,269,23
2020-10-19,260,32
2020-10-20,258,34
2020-10-21,262,30
2020-10-22,256,36
2020-10-23,261,30
2020-10-24,250,41
2020-10-25,255,36
2020-10-26,267,26
2020-10-27,263,30
2020-10-28,262,33
2020-10-29,264,31
2020-10-30,271,22
2020-10-31,278,15
2020-11-01,265,28
2020-11-02,270,24
2020-11-03,272,24
2020-11-04,273,23
2020-11-05,272,22
2020-11-06,270,24
2020-11-07,272,22
2020-11-08,269,25
2020-11-09,276,20
2020-11-10,275,20
2020-11-11,273,22
2020-11-12,273,24
2020-11-13,275,22
2020-11-14,270,26
