date,betten_belegt,betten_frei
2020-04-24,9,25
2020-04-25,7,27
2020-04-26,9,25
2020-04-27,8,26
2020-04-28,10,24
2020-04-29,12,22
2020-04-30,14,20
2020-05-01,10,24
2020-05-02,7,27
2020-05-03,7,27
2020-05-04,7,27
2020-05-05,7,27
2020-05-06,8,26
2020-05-07,10,24
2020-05-08,10,24
2020-05-09,14,20
2020-05-10,10,24
2020-05-11,13,21
2020-05-12,13,21
2020-05-13,14,20
2020-05-14,14,20
2020-05-15,15,19
2020-05-16,16,18
2020-05-17,15,19
2020-05-18,17,17
2020-05-19,17,17
2020-05-20,14,20
2020-05-21,14,20
2020-05-22,14,20
2020-05-23,10,24
2020-05-24,7,27
2020-05-25,10,24
2020-05-26,14,20
2020-05-27,9,25
2020-05-28,9,25
2020-05-29,8,14
2020-05-30,9,13
2020-05-31,8,14
2020-06-01,8,14
2020-06-02,9,13
2020-06-03,11,11
2020-06-04,14,8
2020-06-05,13,9
2020-06-06,12,10
2020-06-07,11,11
2020-06-08,9,13
2020-06-09,12,10
2020-06-10,13,9
2020-06-11,15,7
2020-06-12,13,9
2020-06-13,10,12
2020-06-14,8,14
2020-06-15,10,12
2020-06-16,12,10
2020-06-17,10,12
2020-06-18,10,12
2020-06-19,10,12
2020-06-20,7,15
2020-06-21,9,13
2020-06-22,11,11
2020-06-23,11,11
2020-06-24,11,11
2020-06-25,13,9
2020-06-26,12,10
2020-06-27,9,13
2020-06-28,11,11
2020-06-29,8,14
2020-06-30,8,14
2020-07-01,10,12
2020-07-02,13,9
2020-07-03,9,13
2020-07-04,11,11
2020-07-05,11,11
2020-07-06,7,15
2020-07-07,8,14
2020-07-08,11,11
2020-07-09,11,11
2020-07-10,12,10
2020-07-11,11,11
2020-07-12,8,14
2020-07-13,9,13
2020-07-14,13,9
2020-07-15,13,9
2020-07-16,14,8
2020-07-17,15,7
2020-07-18,14,8
2020-07-19,12,10
2020-07-20,14,8
2020-07-21,17,15
2020-07-22,14,18
2020-07-23,16,16
2020-07-24,14,18
2020-07-25,13,19
2020-07-26,15,17
2020-07-27,12,20
2020-07-28,16,16
2020-07-29,14,18
2020-07-30,15,17
2020-07-31,15,17
2020-08-01,18,14
2020-08-02,12,20
2020-08-03,12,20
2020-08-04,7,25
2020-08-05,10,22
2020-08-06,10,22
2020-08-07,10,22
2020-08-08,8,24
2020-08-09,9,23
2020-08-10,13,19
2020-08-11,13,19
2020-08-12,14,18
2020-08-13,15,17
2020-08-14,13,19
2020-08-15,13,19
2020-08-16,13,19
2020-08-17,12,20
2020-08-18,14,18
2020-08-19,13,19
2020-08-20,15,17
2020-08-21,9,23
2020-08-22,11,21
2020-08-23,12,20
2020-08-24,14,18
2020-08-25,14,18
2020-08-26,17,15
2020-08-27,16,16
2020-08-28,12,20
2020-08-29,14,18
2020-08-30,12,20
2020-08-31,13,19
2020-09-01,15,17
2020-09-02,17,15
2020-09-03,16,16
2020-09-04,15,17
2020-09-05,16,16
2020-09-06,17,15
2020-09-07,16,16
2020-09-08,17,15
2020-09-09,14,18
2020-09-10,16,16
2020-09-11,14,18
2020-09-12,8,24
2020-09-13,9,23
2020-09-14,8,24
2020-09-15,8,24
2020-09-16,10,22
2020-09-17,16,16
2020-09-18,18,14
2020-09-19,15,17
2020-09-20,15,17
2020-09-21,15,17
2020-09-22,17,15
2020-09-23,13,19
2020-09-24,12,20
2020-09-25,10,22
2020-09-26,11,21
2020-09-27,12,20
2020-09-28,11,21
2020-09-29,13,19
2020-09-30,13,19
2020-10-01,12,20
2020-10-02,10,22
2020-10-03,11,21
2020-10-04,11,21
2020-10-05,8,24
2020-10-06,15,17
2020-10-07,11,21
2020-10-08,12,20
2020-10-09,13,19
2020-10-10,12,20
2020-10-11,12,20
2020-10-12,12,20
2020-10-13,10,22
2020-10-14,10,22
2020-10-15,12,20
2020-10-16,11,21
2020-10-17,9,23
2020-10-18,11,21
2020-10-19,8,24
2020-10-20,10,22
2020-10-21,10,22
2020-10-22,10,22
2020-10-23,9,23
2020-10-24,9,23
