date,betten_belegt,betten_frei
2020-04-24,48,61
2020-04-25,51,58
2020-04-26,52,57
2020-04-27,54,55
2020-04-28,71,39
2020-04-29,63,46
2020-04-30,66,44
2020-05-01,59,61
2020-05-02,64,56
2020-05-03,62,58
2020-05-04,62,58
2020-05-05,73,50
2020-05-06,68,52
2020-05-07,72,49
2020-05-08,67,54
2020-05-09,69,51
2020-05-10,67,54
2020-05-11,58,62
2020-05-12,70,50
2020-05-13,70,56
2020-05-14,65,61
2020-05-15,71,55
2020-05-16,73,53
2020-05-17,59,67
2020-05-18,60,66
2020-05-19,66,60
2020-05-20,67,59
2020-05-21,68,58
2020-05-22,68,58
2020-05-23,66,56
2020-05-24,62,60
2020-05-25,59,63
2020-05-26,64,62
2020-05-27,63,63
2020-05-28,67,59
2020-05-29,67,59
2020-05-30,64,58
2020-05-31,58,66
2020-06-01,60,64
2020-06-02,61,61
2020-06-03,62,64
2020-06-04,68,58
2020-06-05,68,58
2020-06-06,68,58
2020-06-07,66,60
2020-06-08,67,59
2020-06-09,65,61
2020-06-10,70,56
2020-06-11,62,68
2020-06-12,63,67
2020-06-13,64,59
2020-06-14,64,59
2020-06-15,60,62
2020-06-16,68,58
2020-06-17,63,63
2020-06-18,65,61
2020-06-19,73,53
2020-06-20,68,54
2020-06-21,64,58
2020-06-22,61,65
2020-06-23,67,59
2020-06-24,67,59
2020-06-25,73,53
2020-06-26,74,52
2020-06-27,77,49
2020-06-28,63,68
2020-06-29,63,72
2020-06-30,70,69
2020-07-01,75,64
2020-07-02,80,59
2020-07-03,75,64
2020-07-04,71,68
2020-07-05,63,76
2020-07-06,63,76
2020-07-07,67,72
2020-07-08,68,71
2020-07-09,73,66
2020-07-10,70,69
2020-07-11,66,73
2020-07-12,66,73
2020-07-13,63,76
2020-07-14,73,66
2020-07-15,76,63
2020-07-16,71,68
2020-07-17,66,73
2020-07-18,65,74
2020-07-19,58,81
2020-07-20,58,81
2020-07-21,62,77
2020-07-22,56,52
2020-07-23,56,53
2020-07-24,56,52
2020-07-25,57,51
2020-07-26,56,52
2020-07-27,56,52
2020-07-28,54,54
2020-07-29,53,55
2020-07-30,55,53
2020-07-31,55,53
2020-08-01,56,52
2020-08-02,52,56
2020-08-03,53,55
2020-08-04,64,45
2020-08-05,139,15
2020-08-06,135,19
2020-08-07,141,13
2020-08-08,141,13
2020-08-09,140,14
2020-08-10,140,14
2020-08-11,141,13
2020-08-12,142,12
2020-08-13,143,11
2020-08-14,142,12
2020-08-15,139,15
2020-08-16,135,19
2020-08-17,136,18
2020-08-18,144,10
2020-08-19,146,8
2020-08-20,138,16
2020-08-21,142,12
2020-08-22,140,14
2020-08-23,133,21
2020-08-24,138,16
2020-08-25,140,14
2020-08-26,137,17
2020-08-27,139,15
2020-08-28,138,16
2020-08-29,145,9
2020-08-30,138,16
2020-08-31,139,15
2020-09-01,148,6
2020-09-02,141,13
2020-09-03,144,10
2020-09-04,146,8
2020-09-05,47,72
2020-09-06,47,72
2020-09-07,45,74
2020-09-08,52,67
2020-09-09,46,73
2020-09-10,43,76
2020-09-11,41,78
2020-09-12,42,77
2020-09-13,41,78
2020-09-14,38,81
2020-09-15,44,75
2020-09-16,44,75
2020-09-17,44,75
2020-09-18,43,76
2020-09-19,36,83
2020-09-20,36,83
2020-09-21,31,88
2020-09-22,37,106
2020-09-23,36,107
2020-09-24,40,103
2020-09-25,42,101
2020-09-26,42,107
2020-09-27,38,111
2020-09-28,39,110
2020-09-29,33,151
2020-09-30,33,151
2020-10-01,33,151
2020-10-02,41,143
2020-10-03,31,153
2020-10-04,29,155
2020-10-05,39,145
2020-10-06,43,141
2020-10-07,42,142
2020-10-08,39,145
2020-10-09,39,145
2020-10-10,44,140
2020-10-11,38,146
2020-10-12,40,144
2020-10-13,43,141
2020-10-14,39,145
2020-10-15,39,145
2020-10-16,40,144
2020-10-17,38,146
2020-10-18,36,148
2020-10-19,37,147
2020-10-20,34,150
2020-10-21,68,116
2020-10-22,74,110
2020-10-23,81,103
2020-10-24,82,102
2020-10-25,93,91
2020-10-26,102,82
2020-10-27,103,81
2020-10-28,104,80
2020-10-29,115,69
2020-10-30,122,62
2020-10-31,108,72
2020-11-01,108,72
2020-11-02,114,70
2020-11-03,122,62
2020-11-04,129,55
2020-11-05,120,64
2020-11-06,121,63
2020-11-07,113,67
2020-11-08,96,84
2020-11-09,107,77
2020-11-10,101,83
2020-11-11,102,84
2020-11-12,98,88
2020-11-13,94,90
2020-11-14,85,95
2020-11-15,70,110
2020-11-16,76,110
2020-11-17,86,100
2020-11-18,72,116
2020-11-19,67,115
2020-11-20,62,117
2020-11-21,59,117
2020-11-22,58,118
2020-11-23,66,113
2020-11-24,70,109
2020-11-25,80,99
2020-11-26,82,97
2020-11-27,86,94
2020-11-28,93,83
2020-11-29,92,84
2020-11-30,94,85
2020-12-01,98,81
2020-12-02,107,72
2020-12-03,105,74
2020-12-04,105,74
2020-12-05,105,71
2020-12-06,108,68
2020-12-07,113,66
2020-12-08,123,56
2020-12-09,127,52
2020-12-10,135,45
2020-12-11,147,32
2020-12-12,159,17
2020-12-13,158,19
2020-12-14,160,19
2020-12-15,170,9
2020-12-16,169,10
2020-12-17,175,4
2020-12-18,164,15
2020-12-19,161,15
2020-12-20,159,17
2020-12-21,152,25
2020-12-22,151,25
2020-12-23,147,28
2020-12-24,148,24
2020-12-25,138,34
2020-12-26,137,34
2020-12-27,129,42
2020-12-28,122,49
2020-12-29,122,48
2020-12-30,120,51
2020-12-31,106,66
2021-01-01,102,70
2021-01-02,100,72
2021-01-03,94,78
2021-01-04,86,87
2021-01-05,85,88
2021-01-06,77,98
2021-01-07,77,98
2021-01-08,74,99
2021-01-09,76,97
2021-01-10,75,98
2021-01-11,69,104
2021-01-12,71,105
2021-01-13,64,112
2021-01-14,70,106
2021-01-15,68,108
2021-01-16,67,109
2021-01-17,64,109
2021-01-18,64,112
2021-01-19,71,106
2021-01-20,71,105
2021-01-21,63,113
2021-01-22,63,113
2021-01-23,63,113
2021-01-24,59,117
2021-01-25,59,117
2021-01-26,58,118
2021-01-27,58,118
2021-01-28,54,122
2021-01-29,57,119
2021-01-30,54,119
2021-01-31,54,119
2021-02-01,54,122
2021-02-02,54,122
2021-02-03,56,122
2021-02-04,54,122
2021-02-05,54,122
2021-02-06,57,119
2021-02-07,54,122
2021-02-08,51,125
2021-02-09,51,126
2021-02-10,50,128
2021-02-11,53,124
2021-02-12,53,124
2021-02-13,47,129
2021-02-14,45,131
2021-02-15,44,132
2021-02-16,46,130
2021-02-17,43,133
2021-02-18,45,132
2021-02-19,46,130
2021-02-20,44,132
2021-02-21,43,133
2021-02-22,43,133
2021-02-23,46,132
2021-02-24,43,134
2021-02-25,43,133
2021-02-26,43,133
2021-02-27,43,133
2021-02-28,44,132
2021-03-01,51,129
2021-03-02,49,130
2021-03-03,48,131
2021-03-04,50,129
2021-03-05,50,129
2021-03-06,42,131
2021-03-07,44,130
2021-03-08,49,131
2021-03-09,45,134
2021-03-10,45,134
2021-03-11,46,133
2021-03-12,48,132
2021-03-13,42,131
2021-03-14,37,136
2021-03-15,44,135
2021-03-16,44,135
2021-03-17,47,132
2021-03-18,45,134
2021-03-19,49,130
2021-03-20,40,133
2021-03-21,41,132
2021-03-22,43,136
2021-03-23,49,130
2021-03-24,48,131
2021-03-25,50,129
2021-03-26,52,127
2021-03-27,44,129
2021-03-28,43,130
2021-03-29,49,130
2021-03-30,51,128
2021-03-31,51,128
2021-04-01,54,126
2021-04-02,46,127
2021-04-03,46,127
2021-04-04,46,128
2021-04-05,46,127
2021-04-06,175,4
2021-04-07,178,2
2021-04-08,176,3
2021-04-09,176,3
2021-04-10,168,5
2021-04-11,170,3
2021-04-12,175,4
2021-04-13,177,2
2021-04-14,175,4
2021-04-15,178,1
2021-04-16,175,4
2021-04-17,171,2
2021-04-18,171,2
2021-04-19,176,3
2021-04-20,175,4
2021-04-21,179,0
2021-04-22,180,0
2021-04-23,179,0
2021-04-24,171,2
2021-04-25,172,1
2021-04-26,181,0
2021-04-27,180,0
2021-04-28,178,1
2021-04-29,174,5
2021-04-30,178,2
2021-05-01,168,5
2021-05-02,170,3
2021-05-03,173,6
2021-05-04,178,2
2021-05-05,175,4
2021-05-06,174,5
2021-05-07,171,8
2021-05-08,169,4
2021-05-09,170,3
2021-05-10,179,1
2021-05-11,175,4
2021-05-12,176,3
2021-05-13,174,0
2021-05-14,176,3
2021-05-15,173,4
2021-05-16,169,8
2021-05-17,175,8
2021-05-18,178,5
2021-05-19,178,5
2021-05-20,179,4
2021-05-21,177,6
2021-05-22,172,5
2021-05-23,165,12
2021-05-24,166,11
2021-05-25,178,5
2021-05-26,179,4
2021-05-27,176,7
2021-05-28,177,6
2021-05-29,168,9
2021-05-30,167,10
2021-05-31,177,6
2021-06-01,177,9
2021-06-02,183,4
2021-06-03,176,10
2021-06-04,177,9
2021-06-05,171,9
2021-06-06,168,12
2021-06-07,171,15
2021-06-08,180,6
2021-06-09,185,5
2021-06-10,185,5
2021-06-11,187,3
2021-06-12,175,15
2021-06-13,168,18
2021-06-14,180,6
2021-06-15,180,6
2021-06-16,177,9
2021-06-17,177,9
2021-06-18,177,9
2021-06-19,165,21
2021-06-20,166,20
2021-06-21,170,16
2021-06-22,176,14
2021-06-23,178,12
2021-06-24,178,10
2021-06-25,180,8
2021-06-26,174,13
2021-06-27,167,19
2021-06-28,171,15
2021-06-29,181,5
2021-06-30,181,9
2021-07-01,176,10
2021-07-02,181,6
2021-07-03,172,14
2021-07-04,164,23
2021-07-05,171,16
2021-07-06,169,17
2021-07-07,170,20
2021-07-08,178,11
2021-07-09,178,12
2021-07-10,171,23
2021-07-11,163,30
2021-07-12,170,23
2021-07-13,178,15
2021-07-14,182,11
2021-07-15,178,16
2021-07-16,171,22
2021-07-17,165,24
2021-07-18,163,26
2021-07-19,173,20
2021-07-20,174,17
2021-07-21,176,15
2021-07-22,172,15
2021-07-23,179,8
2021-07-24,172,16
2021-07-25,168,23
2021-07-26,175,16
2021-07-27,178,14
2021-07-28,178,13
2021-07-29,176,15
2021-07-30,176,15
2021-07-31,166,25
2021-08-01,166,25
2021-08-02,170,21
2021-08-03,172,19
2021-08-04,181,10
2021-08-05,179,12
2021-08-06,178,13
2021-08-07,172,19
2021-08-08,170,21
2021-08-09,178,13
2021-08-10,177,14
2021-08-11,176,16
2021-08-12,180,11
2021-08-13,177,14
2021-08-14,175,11
2021-08-15,170,15
2021-08-16,175,16
2021-08-17,177,18
2021-08-18,177,18
2021-08-19,173,22
2021-08-20,179,16
2021-08-21,169,16
2021-08-22,171,14
2021-08-23,177,14
2021-08-24,179,12
2021-08-25,182,13
2021-08-26,181,14
2021-08-27,180,15
2021-08-28,171,14
2021-08-29,169,16
2021-08-30,173,18
2021-08-31,178,17
2021-09-01,180,15
2021-09-02,178,17
2021-09-03,175,20
2021-09-04,170,19
2021-09-05,168,21
2021-09-06,168,27
2021-09-07,176,19
2021-09-08,179,16
2021-09-09,180,15
2021-09-10,178,17
2021-09-11,162,27
2021-09-12,164,25
2021-09-13,176,19
2021-09-14,182,13
2021-09-15,181,14
2021-09-16,175,20
2021-09-17,172,23
2021-09-18,169,20
2021-09-19,167,22
2021-09-20,176,19
2021-09-21,177,14
2021-09-22,178,13
2021-09-23,183,8
2021-09-24,181,10
2021-09-25,172,13
2021-09-26,177,8
2021-09-27,183,8
2021-09-28,181,14
2021-09-29,186,9
2021-09-30,51,15
2021-10-01,49,17
2021-10-02,37,22
2021-10-03,40,21
2021-10-04,45,22
2021-10-05,53,10
2021-10-06,56,11
2021-10-07,67,9
2021-10-08,67,11
2021-10-09,67,11
2021-10-10,58,16
2021-10-11,72,10
2021-10-12,80,14
2021-10-13,81,14
2021-10-14,76,17
2021-10-15,74,18
2021-10-16,72,15
2021-10-17,66,17
2021-10-18,72,17
2021-10-19,79,15
2021-10-20,73,16
2021-10-21,71,13
2021-10-22,71,10
2021-10-23,62,13
2021-10-24,58,16
2021-10-25,67,11
2021-10-26,67,12
2021-10-27,67,11
2021-10-28,70,10
2021-10-29,67,11
2021-10-30,54,15
2021-10-31,55,15
2021-11-01,65,11
2021-11-02,68,10
2021-11-03,71,8
2021-11-04,73,6
2021-11-05,72,7
2021-11-06,58,15
2021-11-07,56,17
2021-11-08,67,12
2021-11-09,67,7
2021-11-10,72,5
2021-11-11,70,8
2021-11-12,74,7
2021-11-13,67,8
2021-11-14,68,9
2021-11-15,83,5
2021-11-16,82,7
2021-11-17,81,6
2021-11-18,91,6
2021-11-19,97,6
2021-11-20,103,7
2021-11-21,104,10
2021-11-22,109,8
2021-11-23,121,8
2021-11-24,120,9
2021-11-25,123,8
2021-11-26,125,9
2021-11-27,123,8
2021-11-28,114,14
2021-11-29,126,8
2021-11-30,129,6
2021-12-01,131,7
2021-12-02,141,3
2021-12-03,128,6
2021-12-04,119,8
2021-12-05,111,12
2021-12-06,121,7
2021-12-07,118,8
2021-12-08,117,6
2021-12-09,125,4
2021-12-10,118,8
2021-12-11,119,3
2021-12-12,114,8
2021-12-13,113,9
2021-12-14,123,8
2021-12-15,127,6
2021-12-16,120,8
2021-12-17,123,7
2021-12-18,119,9
2021-12-19,120,8
2021-12-20,115,15
2021-12-21,128,7
2021-12-22,124,6
2021-12-23,113,7
2021-12-24,108,13
2021-12-25,111,8
2021-12-26,109,7
2021-12-27,109,11
2021-12-28,107,11
2021-12-29,97,13
2021-12-30,97,13
2021-12-31,84,17
2022-01-01,79,16
2022-01-02,82,12
2022-01-03,92,9
2022-01-04,93,8
2022-01-05,80,11
2022-01-06,76,12
2022-01-07,72,13
2022-01-08,63,11
2022-01-09,61,11
2022-01-10,60,12
2022-01-11,70,7
2022-01-12,64,11
2022-01-13,68,8
2022-01-14,59,13
2022-01-15,53,14
2022-01-16,45,21
2022-01-17,51,18
2022-01-18,65,6
2022-01-19,59,11
2022-01-20,62,7
2022-01-21,58,12
2022-01-22,51,12
2022-01-23,46,17
2022-01-24,56,14
2022-01-25,62,9
2022-01-26,60,10
2022-01-27,58,11
2022-01-28,55,14
2022-01-29,52,13
2022-01-30,52,11
2022-01-31,58,14
2022-02-01,60,11
2022-02-02,61,10
2022-02-03,59,12
2022-02-04,60,12
2022-02-05,60,7
2022-02-06,49,16
2022-02-07,56,18
2022-02-08,68,13
2022-02-09,71,12
2022-02-10,81,5
2022-02-11,83,7
2022-02-12,71,12
2022-02-13,66,17
2022-02-14,77,13
2022-02-15,86,12
2022-02-16,84,14
2022-02-17,87,11
2022-02-18,80,15
2022-02-19,70,16
2022-02-20,67,18
2022-02-21,74,15
2022-02-22,82,13
2022-02-23,86,9
2022-02-24,85,8
2022-02-25,85,17
2022-02-26,81,17
