date,betten_belegt,betten_frei
2020-04-24,10,7
2020-04-25,9,8
2020-04-26,8,9
2020-04-27,10,7
2020-04-28,10,7
2020-04-29,8,9
2020-04-30,11,6
2020-05-01,9,8
2020-05-02,7,10
2020-05-03,7,10
2020-05-04,8,9
2020-05-05,9,8
2020-05-06,8,9
2020-05-07,6,11
2020-05-08,9,8
2020-05-09,7,10
2020-05-10,9,8
2020-05-11,9,8
2020-05-12,10,7
2020-05-13,10,7
2020-05-14,10,7
2020-05-15,9,8
2020-05-16,9,8
2020-05-17,7,10
2020-05-18,8,9
2020-05-19,11,6
2020-05-20,10,7
2020-05-21,8,9
2020-05-22,10,7
2020-05-23,7,10
2020-05-24,7,10
2020-05-25,9,8
2020-05-26,9,8
2020-05-27,11,6
2020-05-28,11,6
2020-05-29,9,8
2020-05-30,10,7
2020-05-31,11,6
2020-06-01,10,7
2020-06-02,10,7
2020-06-03,10,7
2020-06-04,7,10
2020-06-05,9,8
2020-06-06,9,8
2020-06-07,9,8
2020-06-08,8,9
2020-06-09,11,6
2020-06-10,10,7
2020-06-11,10,7
2020-06-12,12,5
2020-06-13,11,6
2020-06-14,8,9
2020-06-15,10,7
2020-06-16,11,6
2020-06-17,10,7
2020-06-18,9,8
2020-06-19,8,9
2020-06-20,6,11
2020-06-21,7,10
2020-06-22,7,10
2020-06-23,8,9
2020-06-24,10,7
2020-06-25,5,12
2020-06-26,6,11
2020-06-27,6,11
2020-06-28,9,8
2020-06-29,11,6
2020-06-30,10,7
2020-07-01,8,9
2020-07-02,11,6
2020-07-03,9,8
2020-07-04,9,8
2020-07-05,9,8
2020-07-06,6,11
2020-07-07,10,7
2020-07-08,11,6
2020-07-09,7,10
2020-07-10,9,8
2020-07-11,9,8
2020-07-12,9,8
2020-07-13,8,9
2020-07-14,10,7
2020-07-15,9,8
2020-07-16,13,4
2020-07-17,12,5
2020-07-18,11,6
2020-07-19,10,7
2020-07-20,10,7
2020-07-21,7,10
2020-07-22,8,9
2020-07-23,8,9
2020-07-24,9,8
2020-07-25,10,8
2020-07-26,11,6
2020-07-27,9,8
2020-07-28,8,9
2020-07-29,8,9
2020-07-30,6,11
2020-07-31,9,8
2020-08-01,8,9
2020-08-02,9,9
2020-08-03,10,7
2020-08-04,11,6
2020-08-05,11,6
2020-08-06,11,6
2020-08-07,10,7
2020-08-08,12,5
2020-08-09,11,6
2020-08-10,12,5
2020-08-11,11,6
2020-08-12,12,5
2020-08-13,13,4
2020-08-14,8,9
2020-08-15,10,7
2020-08-16,9,8
2020-08-17,8,9
2020-08-18,9,8
2020-08-19,9,8
2020-08-20,9,8
2020-08-21,10,7
2020-08-22,8,9
2020-08-23,10,7
2020-08-24,11,6
2020-08-25,11,6
2020-08-26,10,7
2020-08-27,12,5
2020-08-28,13,4
2020-08-29,12,5
2020-08-30,14,3
2020-08-31,13,4
2020-09-01,12,5
2020-09-02,9,8
2020-09-03,10,7
2020-09-04,10,7
2020-09-05,10,7
2020-09-06,10,7
2020-09-07,10,7
2020-09-08,10,7
2020-09-09,9,8
2020-09-10,9,8
2020-09-11,7,10
2020-09-12,7,10
2020-09-13,7,10
2020-09-14,9,8
2020-09-15,12,5
2020-09-16,11,6
2020-09-17,9,8
2020-09-18,11,6
2020-09-19,12,5
2020-09-20,12,5
2020-09-21,12,5
2020-09-22,13,4
2020-09-23,12,5
2020-09-24,12,5
2020-09-25,11,6
2020-09-26,7,10
2020-09-27,9,8
2020-09-28,9,8
2020-09-29,11,6
2020-09-30,9,8
2020-10-01,6,11
2020-10-02,5,12
2020-10-03,3,14
2020-10-04,5,12
2020-10-05,5,12
2020-10-06,8,9
2020-10-07,9,8
2020-10-08,9,8
2020-10-09,9,8
2020-10-10,10,7
2020-10-11,13,4
2020-10-12,10,7
2020-10-13,10,7
2020-10-14,7,10
2020-10-15,11,6
2020-10-16,9,8
2020-10-17,10,5
2020-10-18,9,7
2020-10-19,9,8
2020-10-20,8,9
2020-10-21,8,9
2020-10-22,9,8
2020-10-23,9,8
2020-10-24,9,8
2020-10-25,7,10
2020-10-26,12,5
2020-10-27,12,5
2020-10-28,12,5
2020-10-29,11,6
2020-10-30,11,6
2020-10-31,12,5
2020-11-01,10,7
2020-11-02,12,1
2020-11-03,8,5
2020-11-04,7,6
2020-11-05,9,4
2020-11-06,9,4
2020-11-07,8,5
2020-11-08,9,4
2020-11-09,9,4
2020-11-10,10,3
2020-11-11,10,3
2020-11-12,13,0
2020-11-13,11,2
2020-11-14,9,4
2020-11-15,9,4
2020-11-16,10,3
2020-11-17,10,3
2020-11-18,10,3
2020-11-19,9,4
2020-11-20,11,2
2020-11-21,10,3
2020-11-22,10,3
2020-11-23,11,2
2020-11-24,11,2
2020-11-25,11,2
2020-11-26,10,3
2020-11-27,10,3
2020-11-28,10,3
2020-11-29,12,1
2020-11-30,12,1
2020-12-01,10,3
2020-12-02,12,1
2020-12-03,11,2
2020-12-04,12,1
2020-12-05,8,5
2020-12-06,10,3
2020-12-07,10,3
2020-12-08,11,2
2020-12-09,11,2
2020-12-10,11,2
2020-12-11,12,0
2020-12-12,8,4
2020-12-13,10,2
2020-12-14,9,3
2020-12-15,11,1
2020-12-16,10,2
2020-12-17,12,1
2020-12-18,13,0
2020-12-19,10,3
2020-12-20,12,0
2020-12-21,12,1
2020-12-22,11,2
2020-12-23,12,0
