date,betten_belegt,betten_frei
2020-04-24,12,10
2020-04-25,9,13
2020-04-26,10,12
2020-04-27,9,13
2020-04-28,10,12
2020-04-29,10,12
2020-04-30,10,12
2020-05-01,12,10
2020-05-02,8,14
2020-05-03,8,14
2020-05-04,9,13
2020-05-05,10,12
2020-05-06,10,12
2020-05-07,9,13
2020-05-08,10,12
2020-05-09,11,11
2020-05-10,11,11
2020-05-11,10,12
2020-05-12,14,8
2020-05-13,12,10
2020-05-14,9,9
2020-05-15,12,10
2020-05-16,10,12
2020-05-17,7,14
2020-05-18,9,13
2020-05-19,13,9
2020-05-20,12,10
2020-05-21,11,11
2020-05-22,13,9
2020-05-23,13,9
2020-05-24,15,7
2020-05-25,14,8
2020-05-26,14,8
2020-05-27,11,11
2020-05-28,14,8
2020-05-29,10,12
2020-05-30,9,13
2020-05-31,10,12
2020-06-01,11,11
2020-06-02,9,13
2020-06-03,13,9
2020-06-04,13,9
2020-06-05,12,10
2020-06-06,9,13
2020-06-07,10,12
2020-06-08,10,12
2020-06-09,11,11
2020-06-10,11,11
2020-06-11,12,10
2020-06-12,11,11
2020-06-13,13,9
2020-06-14,11,11
2020-06-15,13,9
2020-06-16,13,9
2020-06-17,11,11
2020-06-18,10,12
2020-06-19,11,11
2020-06-20,11,11
2020-06-21,13,9
2020-06-22,9,13
2020-06-23,13,9
2020-06-24,17,5
2020-06-25,15,7
2020-06-26,16,6
2020-06-27,14,8
2020-06-28,10,12
2020-06-29,12,10
2020-06-30,7,15
2020-07-01,9,13
2020-07-02,9,13
2020-07-03,6,16
2020-07-04,7,15
2020-07-05,9,13
2020-07-06,9,13
2020-07-07,11,11
2020-07-08,13,9
2020-07-09,14,8
2020-07-10,9,13
2020-07-11,12,10
2020-07-12,9,13
2020-07-13,9,13
2020-07-14,12,10
2020-07-15,12,10
2020-07-16,13,9
2020-07-17,10,12
2020-07-18,12,10
2020-07-19,11,11
2020-07-20,15,7
2020-07-21,11,11
2020-07-22,12,10
2020-07-23,15,7
2020-07-24,14,8
2020-07-25,14,8
2020-07-26,13,9
2020-07-27,15,7
2020-07-28,10,12
2020-07-29,12,10
2020-07-30,13,9
2020-07-31,12,10
2020-08-01,11,11
2020-08-02,10,12
2020-08-03,7,15
2020-08-04,11,5
2020-08-05,15,3
2020-08-06,16,2
2020-08-07,12,6
2020-08-08,13,5
2020-08-09,12,6
2020-08-10,13,5
2020-08-11,16,2
2020-08-12,13,5
2020-08-13,12,6
2020-08-14,13,5
2020-08-15,15,3
2020-08-16,14,4
2020-08-17,15,3
2020-08-18,14,4
2020-08-19,14,4
2020-08-20,15,3
2020-08-21,13,5
2020-08-22,9,9
2020-08-23,8,10
2020-08-24,6,12
2020-08-25,8,10
2020-08-26,8,10
2020-08-27,11,7
2020-08-28,9,9
2020-08-29,11,7
2020-08-30,12,6
2020-08-31,12,6
2020-09-01,12,6
2020-09-02,12,6
2020-09-03,11,7
2020-09-04,14,4
2020-09-05,10,8
2020-09-06,10,8
2020-09-07,11,7
2020-09-08,10,8
2020-09-09,13,5
2020-09-10,9,9
2020-09-11,11,7
2020-09-12,12,6
2020-09-13,13,5
2020-09-14,13,5
2020-09-15,13,5
2020-09-16,11,7
2020-09-17,11,7
2020-09-18,13,5
2020-09-19,13,5
2020-09-20,8,10
2020-09-21,10,8
2020-09-22,10,8
2020-09-23,10,8
2020-09-24,11,7
2020-09-25,14,4
2020-09-26,11,7
2020-09-27,11,7
2020-09-28,10,8
2020-09-29,11,7
2020-09-30,12,6
2020-10-01,15,3
2020-10-02,14,4
2020-10-03,13,5
2020-10-04,13,5
2020-10-05,11,7
2020-10-06,12,6
2020-10-07,13,5
2020-10-08,12,6
2020-10-09,14,4
2020-10-10,14,4
2020-10-11,14,4
2020-10-12,14,4
2020-10-13,15,3
2020-10-14,11,7
2020-10-15,12,6
2020-10-16,16,2
2020-10-17,13,5
2020-10-18,9,9
2020-10-19,7,11
2020-10-20,9,9
2020-10-21,11,7
2020-10-22,12,6
2020-10-23,10,8
2020-10-24,9,9
2020-10-25,13,5
2020-10-26,13,5
2020-10-27,12,6
2020-10-28,13,5
2020-10-29,11,7
2020-10-30,11,7
2020-10-31,8,10
2020-11-01,12,6
2020-11-02,12,6
2020-11-03,12,6
2020-11-04,16,2
2020-11-05,17,1
2020-11-06,12,6
2020-11-07,11,7
2020-11-08,10,8
2020-11-09,11,7
2020-11-10,11,7
2020-11-11,11,7
2020-11-12,10,8
2020-11-13,8,10
2020-11-14,11,7
2020-11-15,11,7
2020-11-16,10,8
2020-11-17,9,9
2020-11-18,13,5
2020-11-19,12,6
2020-11-20,9,9
2020-11-21,11,7
2020-11-22,10,8
2020-11-23,12,6
2020-11-24,9,9
2020-11-25,10,8
2020-11-26,14,4
2020-11-27,12,6
2020-11-28,11,7
2020-11-29,12,6
2020-11-30,13,5
2020-12-01,12,6
2020-12-02,12,6
2020-12-03,11,5
2020-12-04,9,7
2020-12-05,9,7
2020-12-06,6,10
2020-12-07,7,9
2020-12-08,16,0
2020-12-09,13,3
2020-12-10,13,3
2020-12-11,11,5
2020-12-12,10,5
2020-12-13,10,2
2020-12-14,9,3
2020-12-15,6,6
2020-12-16,7,5
2020-12-17,9,3
2020-12-18,10,2
2020-12-19,11,1
2020-12-20,12,0
2020-12-21,11,1
2020-12-22,14,1
2020-12-23,15,1
2020-12-24,13,1
2020-12-25,13,1
2020-12-26,13,1
2020-12-27,11,2
2020-12-28,13,0
2020-12-29,8,4
2020-12-30,12,0
2020-12-31,11,1
2021-01-01,11,1
2021-01-02,12,1
2021-01-03,11,2
2021-01-04,12,2
2021-01-05,14,1
2021-01-06,11,3
2021-01-07,14,1
2021-01-08,11,2
