date,betten_belegt,betten_frei
2020-04-24,42,23
2020-04-25,43,18
2020-04-26,46,15
2020-04-27,46,15
2020-04-28,44,17
2020-04-29,44,15
2020-04-30,40,22
2020-05-01,33,21
2020-05-02,25,16
2020-05-03,24,18
2020-05-04,21,21
2020-05-05,36,23
2020-05-06,38,21
2020-05-07,39,23
2020-05-08,43,18
2020-05-09,41,20
2020-05-10,36,22
2020-05-11,40,17
2020-05-12,36,21
2020-05-13,31,24
2020-05-14,38,21
2020-05-15,41,20
2020-05-16,45,14
2020-05-17,46,14
2020-05-18,46,14
2020-05-19,43,16
2020-05-20,41,17
2020-05-21,45,14
2020-05-22,41,19
2020-05-23,43,16
2020-05-24,42,19
2020-05-25,46,14
2020-05-26,51,9
2020-05-27,50,9
2020-05-28,45,15
2020-05-29,48,12
2020-05-30,47,13
2020-05-31,46,12
2020-06-01,52,8
2020-06-02,48,10
2020-06-03,47,12
2020-06-04,40,8
2020-06-05,53,6
2020-06-06,49,6
2020-06-07,44,16
2020-06-08,50,7
2020-06-09,43,13
2020-06-10,46,12
2020-06-11,50,18
2020-06-12,40,14
2020-06-13,36,22
2020-06-14,42,20
2020-06-15,42,26
2020-06-16,47,21
2020-06-17,52,16
2020-06-18,49,8
2020-06-19,47,9
2020-06-20,43,16
2020-06-21,43,17
2020-06-22,43,19
2020-06-23,41,20
2020-06-24,39,22
2020-06-25,43,18
2020-06-26,43,18
2020-06-27,46,14
2020-06-28,43,17
2020-06-29,45,15
2020-06-30,45,17
2020-07-01,45,17
2020-07-02,46,16
2020-07-03,46,16
2020-07-04,46,16
2020-07-05,46,16
2020-07-06,45,17
2020-07-07,45,17
2020-07-08,49,13
2020-07-09,36,9
2020-07-10,34,11
2020-07-11,34,11
2020-07-12,36,9
2020-07-13,37,8
2020-07-14,36,9
2020-07-15,46,16
2020-07-16,47,15
2020-07-17,47,15
2020-07-18,44,20
2020-07-19,44,20
2020-07-20,40,22
2020-07-21,43,19
2020-07-22,43,19
2020-07-23,46,16
2020-07-24,45,17
2020-07-25,41,21
2020-07-26,41,21
2020-07-27,43,19
2020-07-28,49,13
2020-07-29,48,14
2020-07-30,50,12
2020-07-31,50,12
2020-08-01,46,16
2020-08-02,44,18
2020-08-03,46,16
2020-08-04,45,21
2020-08-05,40,26
2020-08-06,42,24
2020-08-07,50,16
2020-08-08,39,20
2020-08-09,42,17
2020-08-10,38,24
2020-08-11,41,21
2020-08-12,46,16
2020-08-13,41,21
2020-08-14,41,21
2020-08-15,41,21
2020-08-16,47,15
2020-08-17,50,12
2020-08-18,51,11
2020-08-19,46,16
2020-08-20,40,14
2020-08-21,41,13
2020-08-22,40,14
2020-08-23,45,9
2020-08-24,46,16
2020-08-25,51,11
2020-08-26,50,12
2020-08-27,49,13
2020-08-28,55,7
2020-08-29,54,8
2020-08-30,52,10
2020-08-31,51,11
2020-09-01,48,14
2020-09-02,45,17
2020-09-03,49,13
2020-09-04,47,15
2020-09-05,47,15
2020-09-06,48,14
2020-09-07,51,11
2020-09-08,52,10
2020-09-09,51,11
2020-09-10,43,19
2020-09-11,42,20
2020-09-12,45,17
2020-09-13,45,17
2020-09-14,48,14
2020-09-15,46,16
2020-09-16,42,20
2020-09-17,45,17
2020-09-18,40,22
2020-09-19,48,14
2020-09-20,48,12
2020-09-21,47,15
2020-09-22,48,14
2020-09-23,49,13
2020-09-24,47,15
2020-09-25,46,16
2020-09-26,44,18
2020-09-27,44,18
2020-09-28,50,12
2020-09-29,50,12
2020-09-30,52,10
2020-10-01,48,14
2020-10-02,50,12
2020-10-03,50,12
2020-10-04,48,14
2020-10-05,51,11
2020-10-06,44,18
