date,betten_belegt,betten_frei
2020-04-24,71,52
2020-04-25,66,53
2020-04-26,49,69
2020-04-27,63,60
2020-04-28,70,53
2020-04-29,67,56
2020-04-30,68,55
2020-05-01,79,44
2020-05-02,75,48
2020-05-03,70,53
2020-05-04,63,60
2020-05-05,69,54
2020-05-06,78,37
2020-05-07,68,48
2020-05-08,74,41
2020-05-09,74,41
2020-05-10,68,47
2020-05-11,66,49
2020-05-12,66,44
2020-05-13,78,37
2020-05-14,76,39
2020-05-15,73,42
2020-05-16,80,36
2020-05-17,77,39
2020-05-18,84,42
2020-05-19,66,49
2020-05-20,80,35
2020-05-21,78,36
2020-05-22,72,43
2020-05-23,70,45
2020-05-24,73,44
2020-05-25,77,40
2020-05-26,75,40
2020-05-27,69,46
2020-05-28,72,40
2020-05-29,62,53
2020-05-30,75,40
2020-05-31,67,48
2020-06-01,69,46
2020-06-02,59,56
2020-06-03,66,49
2020-06-04,64,50
2020-06-05,65,54
2020-06-06,61,54
2020-06-07,58,55
2020-06-08,55,60
2020-06-09,63,52
2020-06-10,64,51
2020-06-11,71,44
2020-06-12,54,61
2020-06-13,58,58
2020-06-14,59,56
2020-06-15,55,60
2020-06-16,70,45
2020-06-17,74,44
2020-06-18,75,44
2020-06-19,78,41
2020-06-20,65,50
2020-06-21,62,53
2020-06-22,68,47
2020-06-23,74,41
2020-06-24,68,47
2020-06-25,73,42
2020-06-26,74,41
2020-06-27,72,44
2020-06-28,66,49
2020-06-29,59,56
2020-06-30,67,48
2020-07-01,71,44
2020-07-02,71,44
2020-07-03,72,43
2020-07-04,71,47
2020-07-05,57,61
2020-07-06,61,54
2020-07-07,71,44
2020-07-08,75,40
2020-07-09,75,39
2020-07-10,83,32
2020-07-11,81,30
2020-07-12,63,38
2020-07-13,65,44
2020-07-14,75,40
2020-07-15,81,34
2020-07-16,86,29
2020-07-17,82,28
2020-07-18,83,33
2020-07-19,75,35
2020-07-20,84,31
2020-07-21,81,33
2020-07-22,77,37
2020-07-23,83,32
2020-07-24,71,43
2020-07-25,75,40
2020-07-26,88,53
2020-07-27,88,50
2020-07-28,83,44
2020-07-29,90,37
2020-07-30,85,42
2020-07-31,91,36
2020-08-01,69,40
2020-08-02,62,54
2020-08-03,77,50
2020-08-04,75,46
2020-08-05,91,40
2020-08-06,80,37
2020-08-07,78,39
2020-08-08,77,40
2020-08-09,70,47
2020-08-10,73,44
2020-08-11,73,48
2020-08-12,81,46
2020-08-13,79,48
2020-08-14,79,48
2020-08-15,75,52
2020-08-16,73,54
2020-08-17,79,48
2020-08-18,83,44
2020-08-19,73,54
2020-08-20,88,39
2020-08-21,80,47
2020-08-22,77,44
2020-08-23,69,58
2020-08-24,74,53
2020-08-25,80,47
2020-08-26,82,45
2020-08-27,83,44
2020-08-28,73,54
2020-08-29,75,52
2020-08-30,72,55
2020-08-31,73,54
2020-09-01,79,48
2020-09-02,90,37
2020-09-03,92,35
2020-09-04,87,40
2020-09-05,81,46
2020-09-06,82,45
2020-09-07,80,47
2020-09-08,83,44
2020-09-09,78,49
2020-09-10,90,37
2020-09-11,95,32
2020-09-12,89,38
2020-09-13,88,39
2020-09-14,86,41
2020-09-15,89,38
2020-09-16,85,42
2020-09-17,87,40
2020-09-18,87,40
2020-09-19,87,40
2020-09-20,83,44
2020-09-21,86,41
2020-09-22,88,39
2020-09-23,83,44
2020-09-24,81,46
2020-09-25,82,45
2020-09-26,78,49
2020-09-27,76,51
2020-09-28,70,57
2020-09-29,74,53
2020-09-30,81,46
2020-10-01,87,40
2020-10-02,87,34
2020-10-03,81,40
2020-10-04,82,39
2020-10-05,72,55
2020-10-06,82,45
2020-10-07,82,45
2020-10-08,84,43
2020-10-09,84,43
2020-10-10,84,33
2020-10-11,71,40
2020-10-12,70,41
2020-10-13,67,50
2020-10-14,80,37
2020-10-15,72,45
2020-10-16,73,44
2020-10-17,76,41
2020-10-18,70,47
2020-10-19,70,47
2020-10-20,73,44
2020-10-21,76,41
2020-10-22,69,48
2020-10-23,82,35
2020-10-24,79,38
2020-10-25,69,48
2020-10-26,71,46
2020-10-27,88,29
2020-10-28,79,38
2020-10-29,81,36
2020-10-30,85,32
2020-10-31,84,33
2020-11-01,82,35
2020-11-02,74,43
2020-11-03,76,41
2020-11-04,77,40
2020-11-05,79,38
2020-11-06,81,36
2020-11-07,89,28
2020-11-08,81,36
2020-11-09,81,36
2020-11-10,68,43
2020-11-11,74,37
2020-11-12,78,33
2020-11-13,84,27
2020-11-14,84,27
2020-11-15,74,43
2020-11-16,74,37
2020-11-17,75,35
2020-11-18,70,41
2020-11-19,71,40
2020-11-20,78,33
2020-11-21,78,26
2020-11-22,71,34
2020-11-23,69,36
2020-11-24,74,31
2020-11-25,80,25
2020-11-26,82,23
2020-11-27,77,22
2020-11-28,77,22
2020-11-29,74,23
2020-11-30,74,19
2020-12-01,70,23
2020-12-02,79,16
2020-12-03,79,16
2020-12-04,76,19
2020-12-05,76,19
2020-12-06,74,21
2020-12-07,75,19
2020-12-08,80,14
2020-12-09,81,13
2020-12-10,83,12
2020-12-11,80,13
2020-12-12,79,12
2020-12-13,76,15
2020-12-14,79,13
2020-12-15,77,16
2020-12-16,74,19
2020-12-17,73,20
2020-12-18,80,14
2020-12-19,78,16
