date,betten_belegt,betten_frei
2020-04-24,80,11
2020-04-25,79,11
2020-04-26,78,15
2020-04-27,77,12
2020-04-28,75,13
2020-04-29,77,12
2020-04-30,85,20
2020-05-01,102,19
2020-05-02,105,15
2020-05-03,103,17
2020-05-04,101,18
2020-05-05,96,22
2020-05-06,101,18
2020-05-07,101,18
2020-05-08,102,18
2020-05-09,101,16
2020-05-10,101,17
2020-05-11,100,15
2020-05-12,99,16
2020-05-13,102,14
2020-05-14,97,17
2020-05-15,93,18
2020-05-16,89,18
2020-05-17,94,18
2020-05-18,94,19
2020-05-19,99,15
2020-05-20,97,19
2020-05-21,92,21
2020-05-22,98,16
2020-05-23,93,22
2020-05-24,93,22
2020-05-25,95,20
2020-05-26,94,23
2020-05-27,96,20
2020-05-28,100,17
2020-05-29,99,17
2020-05-30,95,19
2020-05-31,95,19
2020-06-01,90,26
2020-06-02,94,25
2020-06-03,100,21
2020-06-04,97,21
2020-06-05,103,16
2020-06-06,97,18
2020-06-07,95,20
2020-06-08,92,21
2020-06-09,93,22
2020-06-10,96,21
2020-06-11,96,24
2020-06-12,98,22
2020-06-13,100,16
2020-06-14,100,19
2020-06-15,100,17
2020-06-16,104,18
2020-06-17,102,16
2020-06-18,104,15
2020-06-19,103,17
2020-06-20,101,17
2020-06-21,102,15
2020-06-22,99,17
2020-06-23,97,18
2020-06-24,99,17
2020-06-25,99,17
2020-06-26,98,16
2020-06-27,101,17
2020-06-28,99,19
2020-06-29,101,17
2020-06-30,101,17
2020-07-01,104,16
2020-07-02,103,15
2020-07-03,101,16
2020-07-04,101,17
2020-07-05,99,16
2020-07-06,100,17
2020-07-07,99,17
2020-07-08,99,17
2020-07-09,104,16
2020-07-10,102,15
2020-07-11,98,21
2020-07-12,96,19
2020-07-13,95,19
2020-07-14,99,15
2020-07-15,96,14
2020-07-16,94,16
2020-07-17,95,13
2020-07-18,96,13
2020-07-19,98,15
2020-07-20,97,16
2020-07-21,94,21
2020-07-22,97,17
2020-07-23,98,16
2020-07-24,98,16
2020-07-25,93,20
2020-07-26,91,23
2020-07-27,89,23
2020-07-28,92,19
2020-07-29,96,22
2020-07-30,97,22
2020-07-31,99,21
2020-08-01,92,26
2020-08-02,95,22
2020-08-03,95,24
2020-08-04,95,13
2020-08-05,98,7
2020-08-06,98,12
2020-08-07,100,10
2020-08-08,103,5
2020-08-09,101,7
2020-08-10,99,9
2020-08-11,102,6
2020-08-12,99,9
2020-08-13,100,8
2020-08-14,105,3
2020-08-15,101,7
2020-08-16,99,9
2020-08-17,101,7
2020-08-18,96,12
2020-08-19,100,8
2020-08-20,102,6
2020-08-21,97,11
2020-08-22,96,11
2020-08-23,95,12
2020-08-24,94,13
2020-08-25,98,10
2020-08-26,97,11
2020-08-27,98,9
2020-08-28,95,12
2020-08-29,90,17
2020-08-30,91,16
2020-08-31,93,14
2020-09-01,92,15
2020-09-02,98,10
2020-09-03,94,14
2020-09-04,97,10
2020-09-05,100,7
2020-09-06,98,10
2020-09-07,97,10
2020-09-08,96,11
2020-09-09,95,12
2020-09-10,98,10
2020-09-11,94,13
2020-09-12,96,11
2020-09-13,94,13
2020-09-14,94,13
2020-09-15,97,10
2020-09-16,97,10
2020-09-17,98,9
2020-09-18,97,10
2020-09-19,96,12
2020-09-20,94,14
2020-09-21,90,16
2020-09-22,92,16
2020-09-23,95,13
2020-09-24,95,18
2020-09-25,100,13
2020-09-26,100,13
2020-09-27,98,9
2020-09-28,91,16
2020-09-29,93,13
2020-09-30,95,12
2020-10-01,95,12
2020-10-02,94,14
2020-10-03,93,12
2020-10-04,91,14
2020-10-05,99,7
2020-10-06,99,6
2020-10-07,92,15
2020-10-08,94,13
2020-10-09,92,15
2020-10-10,94,13
2020-10-11,93,14
2020-10-12,91,16
2020-10-13,93,13
2020-10-14,97,10
2020-10-15,92,15
2020-10-16,95,12
2020-10-17,91,13
2020-10-18,91,16
2020-10-19,87,21
2020-10-20,86,22
2020-10-21,92,16
2020-10-22,94,14
2020-10-23,95,12
2020-10-24,97,10
2020-10-25,96,12
2020-10-26,95,12
2020-10-27,96,11
2020-10-28,96,10
2020-10-29,101,6
2020-10-30,101,6
2020-10-31,97,10
2020-11-01,99,8
2020-11-02,92,15
2020-11-03,95,12
2020-11-04,97,13
2020-11-05,94,14
2020-11-06,95,13
2020-11-07,93,15
2020-11-08,91,17
2020-11-09,94,14
2020-11-10,94,14
2020-11-11,97,11
2020-11-12,96,12
2020-11-13,94,14
2020-11-14,95,11
2020-11-15,95,10
2020-11-16,92,13
2020-11-17,95,11
2020-11-18,98,7
2020-11-19,98,7
2020-11-20,97,9
2020-11-21,96,10
2020-11-22,92,14
2020-11-23,91,15
2020-11-24,92,14
2020-11-25,95,11
2020-11-26,92,14
2020-11-27,91,15
2020-11-28,89,17
2020-11-29,88,18
2020-11-30,89,17
2020-12-01,92,14
2020-12-02,92,14
2020-12-03,89,17
2020-12-04,91,15
2020-12-05,89,17
2020-12-06,91,15
2020-12-07,88,17
2020-12-08,84,20
2020-12-09,85,19
2020-12-10,84,20
2020-12-11,84,20
2020-12-12,87,17
2020-12-13,85,20
2020-12-14,87,18
2020-12-15,87,17
2020-12-16,84,20
2020-12-17,81,23
2020-12-18,88,16
2020-12-19,87,17
2020-12-20,87,17
2020-12-21,86,18
2020-12-22,98,18
2020-12-23,98,18
2020-12-24,100,16
2020-12-25,92,10
