date,betten_belegt,betten_frei
2020-04-24,28,13
2020-04-25,27,14
2020-04-26,24,17
2020-04-27,24,17
2020-04-28,24,17
2020-04-29,26,15
2020-04-30,24,17
2020-05-01,27,14
2020-05-02,27,14
2020-05-03,27,13
2020-05-04,28,23
2020-05-05,21,20
2020-05-06,25,16
2020-05-07,21,20
2020-05-08,23,18
2020-05-09,22,19
2020-05-10,22,19
2020-05-11,24,18
2020-05-12,24,17
2020-05-13,26,19
2020-05-14,24,21
2020-05-15,28,16
2020-05-16,24,17
2020-05-17,24,21
2020-05-18,23,22
2020-05-19,22,23
2020-05-20,23,22
2020-05-21,25,20
2020-05-22,24,21
2020-05-23,20,25
2020-05-24,24,21
2020-05-25,23,22
2020-05-26,26,19
2020-05-27,29,12
2020-05-28,23,18
2020-05-29,26,15
2020-05-30,22,19
2020-05-31,22,20
2020-06-01,24,19
2020-06-02,22,19
2020-06-03,20,21
2020-06-04,27,18
2020-06-05,29,16
2020-06-06,25,16
2020-06-07,27,14
2020-06-08,29,16
2020-06-09,28,17
2020-06-10,31,14
2020-06-11,29,12
2020-06-12,25,19
2020-06-13,26,17
2020-06-14,29,19
2020-06-15,35,12
2020-06-16,29,14
2020-06-17,29,19
2020-06-18,33,15
2020-06-19,33,14
2020-06-20,30,18
2020-06-21,26,23
2020-06-22,25,21
2020-06-23,29,18
2020-06-24,26,21
2020-06-25,27,16
2020-06-26,26,18
2020-06-27,31,13
2020-06-28,32,13
2020-06-29,27,14
2020-06-30,33,12
2020-07-01,30,15
2020-07-02,35,10
2020-07-03,32,13
2020-07-04,27,18
2020-07-05,33,12
2020-07-06,33,12
2020-07-07,30,15
2020-07-08,30,11
2020-07-09,33,12
2020-07-10,30,15
2020-07-11,34,11
2020-07-12,30,15
2020-07-13,25,20
2020-07-14,30,15
2020-07-15,31,15
2020-07-16,30,14
2020-07-17,29,16
2020-07-18,28,20
2020-07-19,26,22
2020-07-20,28,17
2020-07-21,28,17
2020-07-22,30,15
2020-07-23,28,17
2020-07-24,25,23
2020-07-25,22,26
2020-07-26,21,24
2020-07-27,16,32
2020-07-28,19,29
2020-07-29,19,26
2020-07-30,31,17
2020-07-31,24,24
2020-08-01,24,26
2020-08-02,25,27
2020-08-03,26,22
2020-08-04,20,16
2020-08-05,17,19
2020-08-06,22,14
2020-08-07,23,13
2020-08-08,23,13
2020-08-09,21,15
2020-08-10,21,15
2020-08-11,22,7
2020-08-12,22,14
2020-08-13,22,14
2020-08-14,21,15
2020-08-15,24,12
2020-08-16,22,14
2020-08-17,22,10
2020-08-18,26,10
2020-08-19,26,10
2020-08-20,28,8
2020-08-21,24,12
2020-08-22,23,9
2020-08-23,23,10
2020-08-24,22,14
2020-08-25,23,10
2020-08-26,27,5
2020-08-27,25,8
2020-08-28,16,16
2020-08-29,21,9
2020-08-30,17,18
2020-08-31,18,18
2020-09-01,24,12
2020-09-02,25,11
2020-09-03,26,10
2020-09-04,24,12
2020-09-05,19,17
2020-09-06,18,18
2020-09-07,19,17
2020-09-08,25,11
2020-09-09,21,15
2020-09-10,24,12
2020-09-11,23,13
2020-09-12,19,10
2020-09-13,22,7
2020-09-14,18,18
2020-09-15,20,16
2020-09-16,21,15
2020-09-17,23,13
2020-09-18,24,12
2020-09-19,20,9
2020-09-20,17,12
2020-09-21,24,12
2020-09-22,20,16
2020-09-23,20,16
2020-09-24,22,14
2020-09-25,16,20
2020-09-26,26,10
2020-09-27,22,14
2020-09-28,24,5
2020-09-29,23,13
2020-09-30,19,10
2020-10-01,26,3
2020-10-02,27,9
2020-10-03,22,11
2020-10-04,24,12
2020-10-05,24,8
2020-10-06,27,9
2020-10-07,25,11
2020-10-08,23,13
2020-10-09,26,10
2020-10-10,24,12
2020-10-11,20,16
2020-10-12,23,13
2020-10-13,21,15
2020-10-14,18,18
2020-10-15,22,14
2020-10-16,21,15
2020-10-17,23,13
2020-10-18,17,15
2020-10-19,19,17
2020-10-20,23,13
2020-10-21,18,18
2020-10-22,22,10
2020-10-23,19,13
2020-10-24,15,17
2020-10-25,16,16
2020-10-26,16,10
2020-10-27,14,12
2020-10-28,19,7
2020-10-29,19,7
2020-10-30,17,9
2020-10-31,17,9
2020-11-01,15,11
2020-11-02,12,14
2020-11-03,17,12
2020-11-04,15,13
2020-11-05,14,14
2020-11-06,14,12
2020-11-07,16,11
2020-11-08,15,12
2020-11-09,16,11
2020-11-10,17,10
2020-11-11,18,8
2020-11-12,18,9
2020-11-13,21,8
2020-11-14,19,9
2020-11-15,17,11
2020-11-16,21,7
2020-11-17,18,11
2020-11-18,20,9
2020-11-19,18,11
2020-11-20,18,9
