date,betten_belegt,betten_frei
2020-04-24,11,12
2020-04-25,11,12
2020-04-26,11,12
2020-04-27,10,14
2020-04-28,5,19
2020-04-29,7,17
2020-04-30,6,18
2020-05-01,8,16
2020-05-02,9,15
2020-05-03,6,18
2020-05-04,9,15
2020-05-05,15,9
2020-05-06,11,13
2020-05-07,22,25
2020-05-08,26,22
2020-05-09,20,28
2020-05-10,22,26
2020-05-11,23,25
2020-05-12,27,21
2020-05-13,23,25
2020-05-14,45,27
2020-05-15,48,24
2020-05-16,48,24
2020-05-17,48,24
2020-05-18,47,25
2020-05-19,46,26
2020-05-20,48,24
2020-05-21,46,26
2020-05-22,47,25
2020-05-23,38,34
2020-05-24,42,30
2020-05-25,46,26
2020-05-26,47,25
2020-05-27,48,24
2020-05-28,49,23
2020-05-29,50,22
2020-05-30,43,29
2020-05-31,44,28
2020-06-01,44,28
2020-06-02,44,28
2020-06-03,46,26
2020-06-04,44,28
2020-06-05,47,25
2020-06-06,51,22
2020-06-07,48,26
2020-06-08,46,26
2020-06-09,46,26
2020-06-10,49,23
2020-06-11,50,22
2020-06-12,48,24
2020-06-13,52,20
2020-06-14,51,21
2020-06-15,52,20
2020-06-16,51,21
2020-06-17,50,22
2020-06-18,50,22
2020-06-19,45,25
2020-06-20,46,26
2020-06-21,44,28
2020-06-22,45,27
2020-06-23,43,29
2020-06-24,46,26
2020-06-25,47,25
2020-06-26,47,25
2020-06-27,46,26
2020-06-28,46,26
2020-06-29,49,23
2020-06-30,50,22
2020-07-01,51,21
2020-07-02,43,29
2020-07-03,48,24
2020-07-04,49,23
2020-07-05,49,23
2020-07-06,50,22
2020-07-07,52,20
2020-07-08,55,17
2020-07-09,55,25
2020-07-10,58,22
2020-07-11,59,23
2020-07-12,53,29
2020-07-13,48,24
2020-07-14,49,23
2020-07-15,49,23
2020-07-16,49,23
2020-07-17,49,23
2020-07-18,49,23
2020-07-19,49,23
2020-07-20,49,23
2020-07-21,22,8
2020-07-22,51,21
2020-07-23,53,19
2020-07-24,49,23
2020-07-25,48,24
2020-07-26,49,23
2020-07-27,52,20
2020-07-28,51,21
2020-07-29,51,21
2020-07-30,53,19
2020-07-31,52,20
2020-08-01,52,20
2020-08-02,51,21
2020-08-03,53,19
2020-08-04,52,20
2020-08-05,50,22
2020-08-06,52,20
2020-08-07,48,34
2020-08-08,47,35
2020-08-09,46,36
2020-08-10,57,25
2020-08-11,53,29
2020-08-12,53,29
2020-08-13,52,30
2020-08-14,61,21
2020-08-15,59,23
2020-08-16,61,21
2020-08-17,61,21
2020-08-18,64,18
2020-08-19,65,17
2020-08-20,63,19
2020-08-21,62,20
2020-08-22,62,20
2020-08-23,61,21
2020-08-24,59,23
2020-08-25,59,23
2020-08-26,63,19
2020-08-27,63,19
2020-08-28,65,17
2020-08-29,63,19
2020-08-30,62,20
2020-08-31,67,15
2020-09-01,64,18
2020-09-02,66,16
2020-09-03,62,20
2020-09-04,61,21
2020-09-05,63,19
2020-09-06,61,21
2020-09-07,63,19
2020-09-08,63,19
2020-09-09,64,18
2020-09-10,63,19
2020-09-11,64,18
2020-09-12,62,20
2020-09-13,61,21
2020-09-14,63,19
2020-09-15,64,18
2020-09-16,64,18
2020-09-17,64,18
2020-09-18,63,19
2020-09-19,65,17
2020-09-20,64,18
2020-09-21,65,17
2020-09-22,63,19
2020-09-23,64,18
2020-09-24,68,14
2020-09-25,62,20
2020-09-26,61,21
2020-09-27,63,19
2020-09-28,65,17
2020-09-29,66,16
2020-09-30,65,17
2020-10-01,64,18
2020-10-02,64,18
2020-10-03,66,16
2020-10-04,65,17
2020-10-05,66,16
2020-10-06,64,18
2020-10-07,66,16
2020-10-08,67,15
2020-10-09,66,16
2020-10-10,66,16
2020-10-11,64,18
2020-10-12,67,15
2020-10-13,66,16
2020-10-14,66,16
2020-10-15,62,20
2020-10-16,62,20
2020-10-17,66,16
2020-10-18,64,18
2020-10-19,66,16
2020-10-20,63,19
2020-10-21,62,20
2020-10-22,59,23
2020-10-23,60,22
2020-10-24,62,20
2020-10-25,65,17
2020-10-26,66,16
2020-10-27,65,17
2020-10-28,62,20
2020-10-29,56,26
2020-10-30,59,23
2020-10-31,62,20
2020-11-01,61,21
2020-11-02,61,21
2020-11-03,64,18
2020-11-04,62,20
2020-11-05,58,24
2020-11-06,57,25
2020-11-07,60,22
2020-11-08,56,26
2020-11-09,58,24
2020-11-10,60,22
2020-11-11,63,19
2020-11-12,63,19
2020-11-13,64,18
2020-11-14,61,21
2020-11-15,65,17
2020-11-16,58,24
2020-11-17,64,18
2020-11-18,60,22
2020-11-19,59,23
2020-11-20,61,21
2020-11-21,63,19
2020-11-22,63,19
2020-11-23,61,21
2020-11-24,60,22
2020-11-25,62,20
2020-11-26,60,22
2020-11-27,60,22
2020-11-28,62,20
2020-11-29,61,21
2020-11-30,61,21
2020-12-01,61,21
2020-12-02,62,20
2020-12-03,62,20
2020-12-04,58,20
2020-12-05,54,24
2020-12-06,55,23
2020-12-07,58,20
2020-12-08,61,17
2020-12-09,60,18
2020-12-10,63,15
2020-12-11,64,14
2020-12-12,61,17
2020-12-13,61,17
2020-12-14,62,16
2020-12-15,63,15
2020-12-16,61,17
2020-12-17,59,19
2020-12-18,59,19
2020-12-19,58,20
2020-12-20,64,14
2020-12-21,55,23
2020-12-22,60,18
2020-12-23,62,16
2020-12-24,63,15
2020-12-25,55,23
2020-12-26,58,20
2020-12-27,59,19
2020-12-28,60,18
2020-12-29,58,20
2020-12-30,66,12
2020-12-31,66,12
2021-01-01,63,15
2021-01-02,66,12
2021-01-03,66,12
2021-01-04,65,13
2021-01-05,66,12
2021-01-06,66,12
2021-01-07,66,12
2021-01-08,63,15
2021-01-09,58,20
2021-01-10,60,18
2021-01-11,60,18
2021-01-12,58,20
2021-01-13,63,15
2021-01-14,57,21
2021-01-15,54,24
2021-01-16,59,19
2021-01-17,58,20
2021-01-18,57,21
2021-01-19,67,11
2021-01-20,56,22
2021-01-21,51,25
2021-01-22,65,11
2021-01-23,63,13
2021-01-24,61,15
2021-01-25,64,12
2021-01-26,67,9
2021-01-27,69,7
2021-01-28,69,7
2021-01-29,69,7
2021-01-30,61,15
2021-01-31,61,15
2021-02-01,64,12
2021-02-02,68,8
2021-02-03,66,10
2021-02-04,66,10
2021-02-05,66,10
2021-02-06,65,11
2021-02-07,65,11
2021-02-08,64,12
2021-02-09,64,12
2021-02-10,64,12
2021-02-11,63,13
2021-02-12,62,14
2021-02-13,63,13
2021-02-14,61,15
2021-02-15,62,14
2021-02-16,61,15
2021-02-17,55,21
2021-02-18,56,20
2021-02-19,57,19
2021-02-20,62,14
2021-02-21,62,14
2021-02-22,62,14
2021-02-23,65,11
2021-02-24,65,11
2021-02-25,64,12
2021-02-26,64,12
2021-02-27,65,11
2021-02-28,67,9
2021-03-01,66,10
2021-03-02,64,12
2021-03-03,67,9
2021-03-04,64,12
2021-03-05,68,8
2021-03-06,68,8
2021-03-07,68,8
2021-03-08,69,7
2021-03-09,65,11
2021-03-10,56,20
2021-03-11,56,20
2021-03-12,63,13
2021-03-13,66,10
2021-03-14,69,7
2021-03-15,69,7
2021-03-16,65,11
2021-03-17,60,16
2021-03-18,66,10
