date,betten_belegt,betten_frei
2020-04-24,37,67
2020-04-25,29,75
2020-04-26,27,77
2020-04-27,26,78
2020-04-28,40,64
2020-04-29,33,71
2020-04-30,37,67
2020-05-01,31,73
2020-05-02,33,71
2020-05-03,28,76
2020-05-04,30,73
2020-05-05,26,78
2020-05-06,28,76
2020-05-07,25,79
2020-05-08,26,78
2020-05-09,26,78
2020-05-10,28,76
2020-05-11,30,74
2020-05-12,35,69
2020-05-13,34,70
2020-05-14,32,72
2020-05-15,31,73
2020-05-16,33,40
2020-05-17,29,44
2020-05-18,31,42
2020-05-19,28,45
2020-05-20,29,44
2020-05-21,24,49
2020-05-22,26,47
2020-05-23,28,45
2020-05-24,33,40
2020-05-25,31,42
2020-05-26,31,42
2020-05-27,26,47
2020-05-28,24,49
2020-05-29,30,43
2020-05-30,33,40
2020-05-31,32,41
2020-06-01,32,41
2020-06-02,26,47
2020-06-03,33,38
2020-06-04,25,48
2020-06-05,29,44
2020-06-06,29,44
2020-06-07,26,47
2020-06-08,26,47
2020-06-09,31,42
2020-06-10,27,46
2020-06-11,26,43
2020-06-12,28,43
2020-06-13,26,47
2020-06-14,21,52
2020-06-15,24,49
2020-06-16,25,48
2020-06-17,22,51
2020-06-18,25,48
2020-06-19,25,48
2020-06-20,24,49
2020-06-21,21,52
2020-06-22,23,50
2020-06-23,24,49
2020-06-24,20,53
2020-06-25,28,45
2020-06-26,23,50
2020-06-27,29,44
2020-06-28,29,44
2020-06-29,25,48
2020-06-30,27,46
2020-07-01,22,51
2020-07-02,20,53
2020-07-03,24,48
2020-07-04,24,48
2020-07-05,19,53
2020-07-06,21,47
2020-07-07,20,52
2020-07-08,18,54
2020-07-09,23,51
2020-07-10,25,47
2020-07-11,20,52
2020-07-12,20,52
2020-07-13,22,50
2020-07-14,24,48
2020-07-15,23,49
2020-07-16,28,44
2020-07-17,24,48
2020-07-18,26,46
2020-07-19,25,48
2020-07-20,30,43
2020-07-21,30,42
2020-07-22,32,40
2020-07-23,25,47
2020-07-24,29,43
2020-07-25,31,41
2020-07-26,32,40
2020-07-27,26,46
2020-07-28,30,42
2020-07-29,29,43
2020-07-30,36,36
2020-07-31,33,39
2020-08-01,33,39
2020-08-02,29,43
2020-08-03,31,41
2020-08-04,45,34
2020-08-05,31,14
2020-08-06,29,16
2020-08-07,30,15
2020-08-08,30,15
2020-08-09,27,18
2020-08-10,27,18
2020-08-11,29,16
2020-08-12,27,18
2020-08-13,27,18
2020-08-14,26,9
2020-08-15,28,7
2020-08-16,29,6
2020-08-17,22,13
2020-08-18,23,12
2020-08-19,17,18
2020-08-20,19,16
2020-08-21,25,10
2020-08-22,24,11
2020-08-23,23,12
2020-08-24,22,13
2020-08-25,25,10
2020-08-26,26,9
2020-08-27,26,9
2020-08-28,19,16
2020-08-29,23,12
2020-08-30,24,11
2020-08-31,21,14
2020-09-01,24,11
2020-09-02,26,9
2020-09-03,27,8
2020-09-04,26,9
2020-09-05,28,7
2020-09-06,25,10
2020-09-07,25,10
2020-09-08,27,8
2020-09-09,23,12
2020-09-10,27,8
2020-09-11,28,7
2020-09-12,27,8
2020-09-13,26,9
2020-09-14,23,12
2020-09-15,22,13
2020-09-16,26,9
2020-09-17,25,10
2020-09-18,27,8
2020-09-19,24,11
2020-09-20,23,12
2020-09-21,19,16
2020-09-22,25,10
2020-09-23,25,10
2020-09-24,29,6
2020-09-25,25,10
2020-09-26,28,7
2020-09-27,23,12
2020-09-28,26,9
2020-09-29,31,4
2020-09-30,31,4
2020-10-01,29,6
2020-10-02,27,8
2020-10-03,27,8
2020-10-04,23,12
2020-10-05,20,15
2020-10-06,30,5
2020-10-07,29,6
2020-10-08,27,8
2020-10-09,24,11
2020-10-10,24,11
2020-10-11,31,4
2020-10-12,29,6
2020-10-13,30,5
2020-10-14,28,7
2020-10-15,24,11
2020-10-16,24,11
2020-10-17,28,7
2020-10-18,23,12
2020-10-19,22,13
2020-10-20,23,12
2020-10-21,21,13
2020-10-22,23,10
2020-10-23,26,7
2020-10-24,21,14
2020-10-25,17,18
2020-10-26,18,17
2020-10-27,25,12
2020-10-28,23,14
2020-10-29,26,45
2020-10-30,24,47
2020-10-31,21,50
2020-11-01,24,47
2020-11-02,30,41
2020-11-03,27,44
2020-11-04,31,40
2020-11-05,37,34
2020-11-06,36,35
2020-11-07,39,32
2020-11-08,40,31
2020-11-09,40,31
2020-11-10,42,29
2020-11-11,41,32
2020-11-12,46,65
2020-11-13,44,67
2020-11-14,51,60
2020-11-15,52,59
2020-11-16,47,64
2020-11-17,57,54
2020-11-18,55,56
2020-11-19,58,53
2020-11-20,57,54
2020-11-21,55,56
2020-11-22,47,64
2020-11-23,15,16
2020-11-24,16,15
2020-11-25,16,15
2020-11-26,17,14
2020-11-27,19,12
2020-11-28,15,16
2020-11-29,16,15
2020-11-30,17,14
2020-12-01,17,14
2020-12-02,22,9
2020-12-03,18,13
2020-12-04,18,13
2020-12-05,15,16
2020-12-06,16,15
2020-12-07,15,16
2020-12-08,15,16
2020-12-09,15,7
2020-12-10,14,8
2020-12-11,14,8
2020-12-12,13,9
2020-12-13,13,9
2020-12-14,12,10
2020-12-15,12,10
2020-12-16,16,6
2020-12-17,17,5
2020-12-18,17,5
2020-12-19,18,4
2020-12-20,17,5
2020-12-21,18,4
2020-12-22,17,5
2020-12-23,16,6
2020-12-24,15,7
2020-12-25,17,5
2020-12-26,17,5
2020-12-27,16,6
2020-12-28,15,2
2020-12-29,15,2
2020-12-30,15,2
2020-12-31,15,2
2021-01-01,15,2
2021-01-02,15,2
2021-01-03,15,2
2021-01-04,15,2
2021-01-05,15,2
2021-01-06,15,2
2021-01-07,14,3
2021-01-08,15,2
2021-01-09,13,4
2021-01-10,15,2
2021-01-11,15,2
2021-01-12,14,3
2021-01-13,14,3
2021-01-14,14,3
2021-01-15,14,3
2021-01-16,14,3
2021-01-17,15,2
2021-01-18,15,2
2021-01-19,15,2
2021-01-20,15,2
2021-01-21,15,2
2021-01-22,15,2
2021-01-23,14,3
2021-01-24,13,4
2021-01-25,15,2
2021-01-26,15,2
2021-01-27,14,2
2021-01-28,14,2
2021-01-29,13,3
2021-01-30,13,3
2021-01-31,14,2
2021-02-01,13,3
2021-02-02,14,2
2021-02-03,14,2
2021-02-04,14,2
2021-02-05,14,2
2021-02-06,13,3
2021-02-07,13,3
2021-02-08,13,3
2021-02-09,13,3
2021-02-10,13,3
2021-02-11,14,2
2021-02-12,14,2
2021-02-13,14,2
2021-02-14,14,2
2021-02-15,14,2
2021-02-16,14,2
2021-02-17,14,2
2021-02-18,14,2
2021-02-19,14,2
2021-02-20,13,3
2021-02-21,13,3
2021-02-22,14,2
2021-02-23,15,2
2021-02-24,15,2
2021-02-25,14,3
2021-02-26,15,2
2021-02-27,15,2
2021-02-28,15,2
2021-03-01,15,2
2021-03-02,14,3
2021-03-03,15,2
2021-03-04,14,3
2021-03-05,14,3
2021-03-06,14,3
2021-03-07,14,3
2021-03-08,14,3
2021-03-09,13,4
2021-03-10,15,2
2021-03-11,14,3
2021-03-12,13,4
2021-03-13,13,4
2021-03-14,14,3
2021-03-15,14,3
2021-03-16,14,3
2021-03-17,14,3
2021-03-18,14,3
2021-03-19,14,3
2021-03-20,14,3
2021-03-21,14,3
2021-03-22,15,2
2021-03-23,14,3
2021-03-24,14,3
2021-03-25,14,3
2021-03-26,14,3
2021-03-27,14,3
2021-03-28,14,3
2021-03-29,13,4
2021-03-30,14,3
2021-03-31,15,2
2021-04-01,15,2
2021-04-02,14,3
2021-04-03,13,4
2021-04-04,14,3
2021-04-05,14,3
2021-04-06,14,3
2021-04-07,15,2
2021-04-08,15,2
2021-04-09,14,3
2021-04-10,13,4
2021-04-11,15,2
2021-04-12,14,3
2021-04-13,15,2
2021-04-14,15,2
2021-04-15,15,2
2021-04-16,14,3
2021-04-17,14,3
2021-04-18,13,4
2021-04-19,13,4
2021-04-20,13,4
2021-04-21,15,2
2021-04-22,15,2
2021-04-23,14,3
2021-04-24,14,3
2021-04-25,14,3
2021-04-26,14,3
2021-04-27,15,2
2021-04-28,15,2
2021-04-29,15,2
2021-04-30,15,2
2021-05-01,15,2
2021-05-02,15,2
2021-05-03,15,2
2021-05-04,15,2
2021-05-05,15,2
2021-05-06,15,2
2021-05-07,15,2
2021-05-08,14,3
2021-05-09,15,2
2021-05-10,14,3
2021-05-11,13,4
2021-05-12,14,3
2021-05-13,15,2
2021-05-14,15,2
2021-05-15,14,3
2021-05-16,15,2
2021-05-17,15,2
2021-05-18,15,2
2021-05-19,15,2
2021-05-20,15,2
2021-05-21,15,2
2021-05-22,15,2
2021-05-23,15,2
2021-05-24,15,2
2021-05-25,15,2
2021-05-26,15,2
2021-05-27,15,2
2021-05-28,15,2
2021-05-29,15,2
2021-05-30,15,2
2021-05-31,14,3
2021-06-01,15,2
2021-06-02,14,3
2021-06-03,15,2
2021-06-04,14,3
2021-06-05,14,3
2021-06-06,14,3
2021-06-07,14,3
2021-06-08,14,3
2021-06-09,14,3
2021-06-10,14,3
2021-06-11,14,3
2021-06-12,14,3
2021-06-13,14,3
2021-06-14,14,3
2021-06-15,14,3
2021-06-16,14,3
2021-06-17,14,3
2021-06-18,14,3
2021-06-19,15,2
2021-06-20,15,2
2021-06-21,14,3
2021-06-22,15,2
2021-06-23,15,2
2021-06-24,15,2
2021-06-25,15,2
2021-06-26,14,3
2021-06-27,14,3
2021-06-28,14,3
2021-06-29,15,2
2021-06-30,15,2
2021-07-01,13,4
2021-07-02,15,2
2021-07-03,15,2
2021-07-04,15,2
2021-07-05,14,3
2021-07-06,15,2
2021-07-07,15,2
2021-07-08,15,2
2021-07-09,15,2
2021-07-10,15,2
2021-07-11,15,2
2021-07-12,15,2
2021-07-13,15,2
2021-07-14,15,2
2021-07-15,15,2
2021-07-16,15,2
2021-07-17,14,3
2021-07-18,13,4
2021-07-19,15,2
2021-07-20,14,3
2021-07-21,15,2
2021-07-22,15,2
2021-07-23,14,3
2021-07-24,14,3
2021-07-25,13,4
2021-07-26,13,4
2021-07-27,14,3
2021-07-28,14,3
2021-07-29,15,2
2021-07-30,15,2
2021-07-31,14,3
2021-08-01,14,3
2021-08-02,14,3
2021-08-03,14,3
2021-08-04,14,3
2021-08-05,15,2
2021-08-06,13,4
2021-08-07,13,4
2021-08-08,14,3
2021-08-09,13,4
2021-08-10,13,4
2021-08-11,13,4
2021-08-12,13,4
2021-08-13,13,4
2021-08-14,13,4
2021-08-15,13,4
2021-08-16,13,4
2021-08-17,13,4
2021-08-18,13,4
2021-08-19,13,4
2021-08-20,14,3
2021-08-21,13,4
2021-08-22,13,4
2021-08-23,13,4
2021-08-24,13,4
2021-08-25,14,3
2021-08-26,13,4
2021-08-27,14,3
2021-08-28,13,4
2021-08-29,13,4
2021-08-30,13,4
2021-08-31,14,3
2021-09-01,13,4
2021-09-02,13,4
2021-09-03,13,4
2021-09-04,13,4
2021-09-05,13,4
2021-09-06,13,4
2021-09-07,13,4
2021-09-08,13,4
2021-09-09,13,4
2021-09-10,13,4
2021-09-11,13,4
2021-09-12,13,4
2021-09-13,13,4
2021-09-14,15,2
2021-09-15,14,3
2021-09-16,15,2
2021-09-17,15,2
2021-09-18,14,3
2021-09-19,14,3
2021-09-20,14,3
2021-09-21,14,3
2021-09-22,15,2
2021-09-23,15,2
2021-09-24,15,2
2021-09-25,15,2
2021-09-26,15,2
2021-09-27,15,2
2021-09-28,14,3
2021-09-29,14,3
2021-09-30,13,4
2021-10-01,15,2
2021-10-02,13,4
2021-10-03,13,4
2021-10-04,15,2
2021-10-05,15,2
2021-10-06,14,3
2021-10-07,14,3
2021-10-08,15,2
2021-10-09,15,2
2021-10-10,14,3
2021-10-11,14,3
2021-10-12,14,3
2021-10-13,13,4
2021-10-14,14,3
2021-10-15,13,4
2021-10-16,13,4
2021-10-17,13,4
2021-10-18,13,4
2021-10-19,13,4
2021-10-20,13,4
2021-10-21,13,4
2021-10-22,14,3
2021-10-23,13,4
2021-10-24,13,4
2021-10-25,15,2
2021-10-26,13,4
2021-10-27,15,2
2021-10-28,13,4
2021-10-29,14,3
2021-10-30,13,4
2021-10-31,13,4
2021-11-01,13,4
2021-11-02,14,3
2021-11-03,14,3
2021-11-04,14,3
2021-11-05,13,4
2021-11-06,13,4
2021-11-07,13,4
2021-11-08,13,4
2021-11-09,14,3
2021-11-10,14,3
2021-11-11,13,4
2021-11-12,13,4
2021-11-13,13,4
2021-11-14,13,4
2021-11-15,13,4
2021-11-16,13,4
2021-11-17,13,4
2021-11-18,16,1
2021-11-19,16,1
2021-11-20,16,1
2021-11-21,17,0
2021-11-22,16,1
2021-11-23,16,1
2021-11-24,16,1
2021-11-25,16,1
2021-11-26,16,1
2021-11-27,15,2
2021-11-28,15,2
2021-11-29,15,2
2021-11-30,16,1
2021-12-01,16,1
2021-12-02,16,1
2021-12-03,16,1
2021-12-04,16,1
2021-12-05,16,1
2021-12-06,17,0
2021-12-07,16,1
2021-12-08,16,1
2021-12-09,16,1
2021-12-10,16,1
2021-12-11,15,2
2021-12-12,15,2
2021-12-13,15,2
2021-12-14,17,0
2021-12-15,16,1
2021-12-16,16,1
2021-12-17,17,0
2021-12-18,17,0
2021-12-19,16,1
2021-12-20,16,1
2021-12-21,15,2
2021-12-22,16,1
2021-12-23,16,1
2021-12-24,16,1
2021-12-25,16,1
2021-12-26,16,1
2021-12-27,17,0
2021-12-28,17,0
2021-12-29,17,0
2021-12-30,16,1
2021-12-31,15,2
2022-01-01,15,2
2022-01-02,15,2
2022-01-03,16,1
2022-01-04,16,1
2022-01-05,16,1
2022-01-06,16,1
2022-01-07,17,0
2022-01-08,17,0
2022-01-09,17,0
2022-01-10,16,1
2022-01-11,16,1
2022-01-12,16,1
2022-01-13,16,1
2022-01-14,17,0
2022-01-15,16,1
2022-01-16,16,1
2022-01-17,16,1
2022-01-18,16,1
2022-01-19,16,1
2022-01-20,16,1
2022-01-21,16,1
