date,betten_belegt,betten_frei
2020-04-24,12,27
2020-04-25,18,23
2020-04-26,20,21
2020-04-27,20,21
2020-04-28,19,20
2020-04-29,20,20
2020-04-30,16,23
2020-05-01,16,22
2020-05-02,17,23
2020-05-03,17,21
2020-05-04,17,20
2020-05-05,21,16
2020-05-06,21,14
2020-05-07,20,15
2020-05-08,17,22
2020-05-09,18,21
2020-05-10,17,22
2020-05-11,16,23
2020-05-12,14,25
2020-05-13,13,28
2020-05-14,19,27
2020-05-15,13,29
2020-05-16,15,29
2020-05-17,15,29
2020-05-18,13,28
2020-05-19,12,28
2020-05-20,10,29
2020-05-21,13,26
2020-05-22,14,26
2020-05-23,14,25
2020-05-24,15,24
2020-05-25,15,24
2020-05-26,14,25
2020-05-27,14,25
2020-05-28,15,24
2020-05-29,18,21
2020-05-30,19,18
2020-05-31,17,18
2020-06-01,16,21
2020-06-02,17,20
2020-06-03,19,20
2020-06-04,17,22
2020-06-05,17,23
2020-06-06,19,21
2020-06-07,16,24
2020-06-08,16,24
2020-06-09,17,27
2020-06-10,21,23
2020-06-11,16,26
2020-06-12,16,23
2020-06-13,13,26
2020-06-14,14,25
2020-06-15,18,21
2020-06-16,17,22
2020-06-17,23,16
2020-06-18,17,21
2020-06-19,17,21
2020-06-20,15,25
2020-06-21,16,23
2020-06-22,15,27
2020-06-23,18,20
2020-06-24,18,22
2020-06-25,15,25
2020-06-26,15,25
2020-06-27,15,25
2020-06-28,18,22
2020-06-29,19,21
2020-06-30,18,22
2020-07-01,21,19
2020-07-02,15,22
2020-07-03,13,26
2020-07-04,13,27
2020-07-05,15,25
2020-07-06,17,23
2020-07-07,17,23
2020-07-08,22,18
2020-07-09,21,19
2020-07-10,15,24
2020-07-11,14,25
2020-07-12,14,25
2020-07-13,16,23
2020-07-14,19,25
2020-07-15,20,20
2020-07-16,18,22
2020-07-17,16,24
2020-07-18,16,24
2020-07-19,16,24
2020-07-20,15,25
2020-07-21,14,26
2020-07-22,15,25
2020-07-23,15,30
2020-07-24,17,23
2020-07-25,19,21
2020-07-26,16,24
2020-07-27,18,22
2020-07-28,20,19
2020-07-29,21,19
2020-07-30,20,20
2020-07-31,21,19
2020-08-01,22,18
2020-08-02,24,16
2020-08-03,22,18
2020-08-04,25,6
2020-08-05,22,9
2020-08-06,23,8
2020-08-07,16,15
2020-08-08,18,13
2020-08-09,19,12
2020-08-10,22,9
2020-08-11,22,15
2020-08-12,24,13
2020-08-13,23,14
2020-08-14,23,14
2020-08-15,20,17
2020-08-16,18,19
2020-08-17,22,15
2020-08-18,16,21
2020-08-19,18,19
2020-08-20,22,15
2020-08-21,21,16
2020-08-22,18,19
2020-08-23,17,20
2020-08-24,17,20
2020-08-25,20,17
2020-08-26,26,11
2020-08-27,21,16
2020-08-28,19,18
2020-08-29,18,19
2020-08-30,19,18
2020-08-31,19,18
2020-09-01,14,23
2020-09-02,19,18
2020-09-03,19,18
2020-09-04,17,20
2020-09-05,16,21
2020-09-06,12,25
2020-09-07,13,24
2020-09-08,18,19
2020-09-09,18,19
2020-09-10,18,19
2020-09-11,15,22
2020-09-12,18,19
2020-09-13,19,18
2020-09-14,19,18
2020-09-15,17,20
2020-09-16,17,20
2020-09-17,19,18
2020-09-18,13,24
2020-09-19,13,24
2020-09-20,14,23
2020-09-21,15,22
2020-09-22,18,19
2020-09-23,19,18
2020-09-24,23,14
2020-09-25,18,19
2020-09-26,18,19
2020-09-27,16,21
2020-09-28,20,17
2020-09-29,17,20
2020-09-30,22,15
2020-10-01,20,17
2020-10-02,18,19
2020-10-03,16,21
2020-10-04,21,16
2020-10-05,18,19
2020-10-06,16,21
2020-10-07,18,19
2020-10-08,17,20
2020-10-09,19,18
2020-10-10,18,19
2020-10-11,19,18
2020-10-12,15,22
2020-10-13,17,20
2020-10-14,18,19
2020-10-15,20,17
2020-10-16,24,13
2020-10-17,19,18
2020-10-18,18,19
2020-10-19,17,20
2020-10-20,21,16
2020-10-21,24,13
2020-10-22,20,16
2020-10-23,17,17
2020-10-24,17,11
2020-10-25,14,14
2020-10-26,13,18
2020-10-27,19,12
2020-10-28,19,7
2020-10-29,18,11
2020-10-30,22,7
2020-10-31,21,8
2020-11-01,21,8
2020-11-02,20,9
2020-11-03,19,10
2020-11-04,24,5
2020-11-05,21,8
2020-11-06,20,9
2020-11-07,18,9
2020-11-08,17,10
2020-11-09,21,6
2020-11-10,19,7
2020-11-11,20,6
2020-11-12,20,7
2020-11-13,20,8
2020-11-14,19,8
2020-11-15,19,8
2020-11-16,17,10
2020-11-17,21,7
2020-11-18,20,8
2020-11-19,18,9
2020-11-20,20,8
2020-11-21,21,6
2020-11-22,22,5
2020-11-23,22,5
2020-11-24,20,7
2020-11-25,20,7
2020-11-26,19,8
2020-11-27,19,8
2020-11-28,20,7
2020-11-29,22,5
2020-11-30,21,6
2020-12-01,22,5
2020-12-02,23,4
2020-12-03,21,6
2020-12-04,22,5
2020-12-05,21,5
2020-12-06,17,9
2020-12-07,20,6
2020-12-08,22,5
2020-12-09,22,4
