date,betten_belegt,betten_frei
2020-04-24,40,32
2020-04-25,40,32
2020-04-26,41,31
2020-04-27,40,32
2020-04-28,44,28
2020-04-29,45,47
2020-04-30,39,52
2020-05-01,56,36
2020-05-02,44,48
2020-05-03,43,49
2020-05-04,45,47
2020-05-05,52,46
2020-05-06,165,42
2020-05-07,59,39
2020-05-08,57,41
2020-05-09,54,44
2020-05-10,51,47
2020-05-11,45,53
2020-05-12,46,46
2020-05-13,50,42
2020-05-14,52,40
2020-05-15,57,35
2020-05-16,53,39
2020-05-17,45,47
2020-05-18,48,44
2020-05-19,47,45
2020-05-20,55,37
2020-05-21,57,35
2020-05-22,53,39
2020-05-23,55,37
2020-05-24,48,44
2020-05-25,48,44
2020-05-26,56,36
2020-05-27,51,39
2020-05-28,56,36
2020-05-29,54,38
2020-05-30,53,39
2020-05-31,46,46
2020-06-01,47,45
2020-06-02,45,47
2020-06-03,48,44
2020-06-04,46,44
2020-06-05,46,44
2020-06-06,48,44
2020-06-07,46,46
2020-06-08,45,47
2020-06-09,43,49
2020-06-10,46,46
2020-06-11,50,42
2020-06-12,42,50
2020-06-13,46,46
2020-06-14,46,46
2020-06-15,49,42
2020-06-16,47,45
2020-06-17,47,45
2020-06-18,53,39
2020-06-19,58,34
2020-06-20,46,46
2020-06-21,42,50
2020-06-22,41,51
2020-06-23,46,42
2020-06-24,46,42
2020-06-25,45,43
2020-06-26,45,43
2020-06-27,45,43
2020-06-28,43,43
2020-06-29,46,42
2020-06-30,53,35
2020-07-01,57,31
2020-07-02,54,34
2020-07-03,55,33
2020-07-04,46,42
2020-07-05,49,39
2020-07-06,46,42
2020-07-07,54,34
2020-07-08,47,41
2020-07-09,46,42
2020-07-10,50,38
2020-07-11,56,32
2020-07-12,52,36
2020-07-13,46,42
2020-07-14,57,31
2020-07-15,53,35
2020-07-16,47,41
2020-07-17,58,30
2020-07-18,56,32
2020-07-19,51,37
2020-07-20,60,28
2020-07-21,58,30
2020-07-22,55,39
2020-07-23,53,39
2020-07-24,58,34
2020-07-25,51,41
2020-07-26,55,37
2020-07-27,54,38
2020-07-28,49,43
2020-07-29,56,36
2020-07-30,53,39
2020-07-31,54,38
2020-08-01,49,43
2020-08-02,42,50
2020-08-03,44,48
2020-08-04,51,41
2020-08-05,59,39
2020-08-06,59,40
2020-08-07,58,41
2020-08-08,51,48
2020-08-09,60,39
2020-08-10,52,47
2020-08-11,57,42
2020-08-12,63,36
2020-08-13,65,34
2020-08-14,63,36
2020-08-15,62,37
2020-08-16,59,40
2020-08-17,49,50
2020-08-18,62,37
2020-08-19,55,44
2020-08-20,60,39
2020-08-21,58,41
2020-08-22,54,45
2020-08-23,56,43
2020-08-24,54,45
2020-08-25,55,44
2020-08-26,52,47
2020-08-27,58,41
2020-08-28,58,41
2020-08-29,66,33
2020-08-30,63,36
2020-08-31,60,39
2020-09-01,64,35
2020-09-02,58,41
2020-09-03,54,45
2020-09-04,67,32
2020-09-05,65,34
2020-09-06,52,47
2020-09-07,50,49
2020-09-08,52,47
2020-09-09,67,32
2020-09-10,69,30
2020-09-11,63,36
2020-09-12,61,38
2020-09-13,57,42
2020-09-14,57,42
2020-09-15,57,42
2020-09-16,59,40
2020-09-17,58,41
2020-09-18,58,41
2020-09-19,54,45
2020-09-20,56,43
2020-09-21,47,52
2020-09-22,51,48
2020-09-23,57,42
2020-09-24,52,27
2020-09-25,54,25
2020-09-26,47,32
2020-09-27,44,35
2020-09-28,42,37
2020-09-29,45,34
2020-09-30,45,34
2020-10-01,47,32
2020-10-02,47,32
2020-10-03,60,19
2020-10-04,58,21
2020-10-05,61,18
2020-10-06,55,24
2020-10-07,59,20
2020-10-08,51,28
2020-10-09,58,21
2020-10-10,56,23
2020-10-11,51,28
2020-10-12,52,27
2020-10-13,49,30
2020-10-14,51,28
2020-10-15,47,32
2020-10-16,53,26
2020-10-17,43,36
2020-10-18,41,38
2020-10-19,51,28
2020-10-20,50,17
2020-10-21,48,19
2020-10-22,47,20
2020-10-23,53,14
2020-10-24,51,16
2020-10-25,51,16
2020-10-26,48,19
2020-10-27,52,15
2020-10-28,46,21
2020-10-29,48,19
2020-10-30,51,16
2020-10-31,56,12
2020-11-01,53,15
2020-11-02,45,23
2020-11-03,53,15
2020-11-04,55,13
2020-11-05,54,14
2020-11-06,53,15
2020-11-07,48,20
2020-11-08,48,20
2020-11-09,48,19
2020-11-10,58,9
2020-11-11,57,10
2020-11-12,52,16
2020-11-13,53,15
2020-11-14,51,17
2020-11-15,49,19
2020-11-16,49,19
2020-11-17,47,21
2020-11-18,52,15
