date,betten_belegt,betten_frei
2020-04-24,138,58
2020-04-25,142,55
2020-04-26,134,63
2020-04-27,130,67
2020-04-28,162,62
2020-04-29,159,66
2020-04-30,158,64
2020-05-01,166,59
2020-05-02,154,72
2020-05-03,147,78
2020-05-04,154,70
2020-05-05,154,75
2020-05-06,153,76
2020-05-07,158,70
2020-05-08,163,65
2020-05-09,160,65
2020-05-10,156,70
2020-05-11,153,73
2020-05-12,161,62
2020-05-13,165,60
2020-05-14,168,52
2020-05-15,168,54
2020-05-16,169,54
2020-05-17,154,69
2020-05-18,162,59
2020-05-19,161,62
2020-05-20,164,57
2020-05-21,158,64
2020-05-22,150,69
2020-05-23,159,61
2020-05-24,158,63
2020-05-25,157,72
2020-05-26,153,70
2020-05-27,163,60
2020-05-28,163,57
2020-05-29,166,52
2020-05-30,155,65
2020-05-31,157,62
2020-06-01,160,60
2020-06-02,157,64
2020-06-03,162,58
2020-06-04,167,57
2020-06-05,172,50
2020-06-06,165,55
2020-06-07,159,61
2020-06-08,163,61
2020-06-09,165,60
2020-06-10,162,63
2020-06-11,166,59
2020-06-12,166,63
2020-06-13,166,63
2020-06-14,160,68
2020-06-15,168,56
2020-06-16,167,57
2020-06-17,182,39
2020-06-18,179,42
2020-06-19,184,39
2020-06-20,176,48
2020-06-21,164,61
2020-06-22,163,61
2020-06-23,166,59
2020-06-24,171,54
2020-06-25,175,54
2020-06-26,174,49
2020-06-27,172,51
2020-06-28,168,59
2020-06-29,166,60
2020-06-30,175,50
2020-07-01,172,57
2020-07-02,168,61
2020-07-03,164,66
2020-07-04,166,59
2020-07-05,165,60
2020-07-06,163,60
2020-07-07,155,67
2020-07-08,155,68
2020-07-09,151,68
2020-07-10,162,64
2020-07-11,156,70
2020-07-12,152,75
2020-07-13,153,74
2020-07-14,154,72
2020-07-15,174,54
2020-07-16,173,48
2020-07-17,169,53
2020-07-18,166,57
2020-07-19,165,64
2020-07-20,166,59
2020-07-21,162,76
2020-07-22,168,59
2020-07-23,162,66
2020-07-24,161,58
2020-07-25,160,70
2020-07-26,160,63
2020-07-27,160,73
2020-07-28,162,66
2020-07-29,163,72
2020-07-30,159,79
2020-07-31,162,76
2020-08-01,166,72
2020-08-02,158,75
2020-08-03,158,74
2020-08-04,159,61
2020-08-05,167,57
2020-08-06,161,65
2020-08-07,167,59
2020-08-08,167,59
2020-08-09,174,52
2020-08-10,174,52
2020-08-11,166,60
2020-08-12,178,48
2020-08-13,171,55
2020-08-14,182,44
2020-08-15,176,50
2020-08-16,172,54
2020-08-17,167,59
2020-08-18,179,47
2020-08-19,174,52
2020-08-20,188,38
2020-08-21,178,48
2020-08-22,172,54
2020-08-23,168,58
2020-08-24,167,59
2020-08-25,173,53
2020-08-26,173,53
2020-08-27,163,63
2020-08-28,171,55
2020-08-29,163,63
2020-08-30,161,65
2020-08-31,155,71
2020-09-01,159,67
2020-09-02,171,55
2020-09-03,170,56
2020-09-04,175,51
2020-09-05,178,48
2020-09-06,167,59
2020-09-07,166,60
2020-09-08,174,52
2020-09-09,182,44
2020-09-10,178,48
2020-09-11,186,40
2020-09-12,177,49
2020-09-13,166,60
2020-09-14,167,59
2020-09-15,171,55
2020-09-16,176,50
2020-09-17,182,44
2020-09-18,176,50
2020-09-19,174,52
2020-09-20,167,59
2020-09-21,165,61
2020-09-22,174,52
2020-09-23,165,61
2020-09-24,165,61
2020-09-25,169,57
2020-09-26,166,60
2020-09-27,158,68
2020-09-28,174,52
2020-09-29,171,55
2020-09-30,176,50
2020-10-01,179,47
2020-10-02,178,48
2020-10-03,170,56
2020-10-04,169,57
2020-10-05,162,64
2020-10-06,164,62
2020-10-07,168,58
2020-10-08,173,53
2020-10-09,176,50
2020-10-10,174,52
2020-10-11,155,55
2020-10-12,155,55
2020-10-13,165,45
2020-10-14,167,43
2020-10-15,166,44
2020-10-16,167,43
2020-10-17,164,46
2020-10-18,155,55
2020-10-19,155,55
2020-10-20,152,58
2020-10-21,160,50
2020-10-22,149,61
2020-10-23,160,50
2020-10-24,158,52
2020-10-25,149,61
2020-10-26,158,52
2020-10-27,156,54
2020-10-28,157,53
2020-10-29,161,49
2020-10-30,161,49
2020-10-31,152,58
2020-11-01,162,48
2020-11-02,165,45
2020-11-03,161,44
2020-11-04,163,38
2020-11-05,165,36
2020-11-06,163,38
2020-11-07,153,48
2020-11-08,148,49
2020-11-09,152,47
2020-11-10,157,42
2020-11-11,162,37
2020-11-12,168,31
2020-11-13,162,37
2020-11-14,157,42
2020-11-15,157,40
2020-11-16,157,40
2020-11-17,158,37
2020-11-18,160,37
2020-11-19,155,42
2020-11-20,152,45
2020-11-21,151,46
2020-11-22,139,58
2020-11-23,141,56
2020-11-24,151,42
2020-11-25,150,43
2020-11-26,149,44
2020-11-27,158,37
2020-11-28,164,31
2020-11-29,157,38
2020-11-30,159,38
2020-12-01,155,42
2020-12-02,161,36
2020-12-03,160,37
2020-12-04,160,37
2020-12-05,158,37
2020-12-06,154,41
2020-12-07,153,42
2020-12-08,158,39
2020-12-09,155,42
2020-12-10,154,43
2020-12-11,154,43
2020-12-12,154,43
2020-12-13,151,46
2020-12-14,156,39
2020-12-15,159,38
2020-12-16,165,32
2020-12-17,162,35
2020-12-18,156,41
2020-12-19,152,45
2020-12-20,152,45
2020-12-21,151,46
2020-12-22,158,39
2020-12-23,158,39
2020-12-24,159,38
2020-12-25,155,42
2020-12-26,156,41
2020-12-27,154,41
2020-12-28,150,45
2020-12-29,155,41
2020-12-30,152,44
2020-12-31,153,43
2021-01-01,155,41
2021-01-02,165,29
2021-01-03,170,24
2021-01-04,165,29
2021-01-05,164,32
2021-01-06,159,38
2021-01-07,163,34
2021-01-08,161,36
2021-01-09,133,39
2021-01-10,131,41
2021-01-11,131,41
2021-01-12,144,42
2021-01-13,146,40
2021-01-14,146,40
2021-01-15,148,38
2021-01-16,146,38
2021-01-17,144,40
2021-01-18,142,44
2021-01-19,141,47
2021-01-20,146,42
2021-01-21,152,35
2021-01-22,148,31
2021-01-23,148,30
2021-01-24,154,30
2021-01-25,152,32
2021-01-26,155,29
2021-01-27,155,29
2021-01-28,157,26
2021-01-29,154,32
2021-01-30,155,31
2021-01-31,149,34
2021-02-01,154,29
2021-02-02,154,29
2021-02-03,151,32
2021-02-04,145,38
2021-02-05,151,33
2021-02-06,138,40
2021-02-07,130,48
2021-02-08,129,47
2021-02-09,128,46
2021-02-10,133,41
2021-02-11,137,37
2021-02-12,138,36
2021-02-13,131,43
2021-02-14,129,43
2021-02-15,134,38
2021-02-16,137,35
2021-02-17,137,37
2021-02-18,141,33
2021-02-19,133,33
2021-02-20,132,35
2021-02-21,137,30
2021-02-22,134,33
2021-02-23,136,36
2021-02-24,130,40
2021-02-25,132,40
2021-02-26,136,36
2021-02-27,126,28
2021-02-28,119,34
2021-03-01,119,37
2021-03-02,137,37
2021-03-03,144,30
2021-03-04,143,31
2021-03-05,141,33
2021-03-06,129,43
2021-03-07,126,46
2021-03-08,124,46
2021-03-09,123,49
2021-03-10,137,37
2021-03-11,144,30
2021-03-12,139,37
2021-03-13,130,46
2021-03-14,132,44
2021-03-15,137,39
2021-03-16,138,38
2021-03-17,143,33
2021-03-18,145,31
2021-03-19,144,32
2021-03-20,139,37
2021-03-21,141,35
2021-03-22,141,35
2021-03-23,142,34
2021-03-24,142,34
2021-03-25,142,34
2021-03-26,143,34
2021-03-27,144,31
2021-03-28,140,34
2021-03-29,139,37
2021-03-30,145,31
2021-03-31,141,35
2021-04-01,141,33
2021-04-02,131,26
2021-04-03,129,28
2021-04-04,131,26
2021-04-05,130,27
2021-04-06,146,29
2021-04-07,140,35
2021-04-08,146,29
2021-04-09,145,30
2021-04-10,148,27
2021-04-11,142,33
2021-04-12,142,33
2021-04-13,146,29
2021-04-14,141,34
2021-04-15,136,39
2021-04-16,145,30
2021-04-17,143,32
2021-04-18,141,32
2021-04-19,147,28
2021-04-20,146,29
2021-04-21,152,23
2021-04-22,140,35
2021-04-23,144,31
2021-04-24,142,33
2021-04-25,148,31
2021-04-26,147,32
2021-04-27,146,33
2021-04-28,145,34
2021-04-29,143,37
2021-04-30,143,37
2021-05-01,142,38
2021-05-02,142,38
2021-05-03,137,43
2021-05-04,142,38
2021-05-05,152,28
2021-05-06,144,36
2021-05-07,144,36
2021-05-08,144,36
2021-05-09,142,38
2021-05-10,148,32
2021-05-11,146,34
2021-05-12,155,29
2021-05-13,146,38
2021-05-14,142,42
2021-05-15,143,37
2021-05-16,138,42
2021-05-17,136,44
2021-05-18,138,42
2021-05-19,139,41
2021-05-20,144,36
2021-05-21,151,29
2021-05-22,150,30
2021-05-23,145,35
2021-05-24,142,38
2021-05-25,142,38
2021-05-26,141,39
2021-05-27,147,33
2021-05-28,145,35
2021-05-29,147,35
2021-05-30,138,37
2021-05-31,144,38
2021-06-01,144,38
2021-06-02,142,39
2021-06-03,150,29
2021-06-04,148,31
2021-06-05,146,33
2021-06-06,140,39
2021-06-07,143,36
2021-06-08,148,27
2021-06-09,149,26
2021-06-10,150,28
2021-06-11,154,25
2021-06-12,150,29
2021-06-13,146,37
2021-06-14,145,38
2021-06-15,141,38
2021-06-16,154,29
2021-06-17,153,32
2021-06-18,155,30
2021-06-19,154,31
2021-06-20,150,31
2021-06-21,146,35
2021-06-22,148,33
2021-06-23,148,33
2021-06-24,152,29
2021-06-25,152,29
2021-06-26,150,31
2021-06-27,149,32
2021-06-28,146,35
2021-06-29,144,37
2021-06-30,145,36
2021-07-01,145,36
2021-07-02,146,35
2021-07-03,140,41
2021-07-04,134,47
2021-07-05,134,47
2021-07-06,136,45
2021-07-07,143,35
2021-07-08,144,34
2021-07-09,142,36
2021-07-10,144,34
2021-07-11,139,39
2021-07-12,142,36
2021-07-13,141,37
2021-07-14,144,34
2021-07-15,137,41
2021-07-16,138,33
2021-07-17,139,32
2021-07-18,135,36
2021-07-19,124,47
2021-07-20,128,43
2021-07-21,133,38
2021-07-22,138,15
2021-07-23,140,13
2021-07-24,139,14
2021-07-25,132,21
2021-07-26,141,30
2021-07-27,139,32
2021-07-28,144,27
2021-07-29,141,30
2021-07-30,141,30
2021-07-31,138,33
2021-08-01,139,32
2021-08-02,137,41
2021-08-03,148,30
2021-08-04,146,32
2021-08-05,154,24
2021-08-06,158,20
2021-08-07,155,23
2021-08-08,155,23
2021-08-09,154,20
2021-08-10,147,27
2021-08-11,144,32
2021-08-12,152,24
2021-08-13,151,23
2021-08-14,151,23
2021-08-15,149,25
2021-08-16,150,24
2021-08-17,149,25
2021-08-18,139,35
2021-08-19,146,28
2021-08-20,146,28
2021-08-21,150,24
2021-08-22,146,28
2021-08-23,152,22
2021-08-24,150,24
2021-08-25,146,28
2021-08-26,158,16
2021-08-27,151,23
2021-08-28,153,23
2021-08-29,143,33
2021-08-30,148,28
2021-08-31,144,32
2021-09-01,157,19
2021-09-02,159,17
2021-09-03,156,20
2021-09-04,147,29
2021-09-05,151,25
2021-09-06,153,23
2021-09-07,156,20
2021-09-08,157,19
2021-09-09,155,21
2021-09-10,153,23
2021-09-11,150,26
2021-09-12,147,29
2021-09-13,152,24
2021-09-14,144,32
2021-09-15,154,22
2021-09-16,144,32
2021-09-17,155,21
2021-09-18,152,21
2021-09-19,151,22
2021-09-20,149,27
2021-09-21,149,27
2021-09-22,149,27
2021-09-23,143,33
2021-09-24,146,30
2021-09-25,147,27
2021-09-26,144,30
2021-09-27,141,33
2021-09-28,146,28
2021-09-29,150,26
2021-09-30,140,36
2021-10-01,135,38
2021-10-02,147,29
2021-10-03,142,34
2021-10-04,143,33
2021-10-05,136,40
2021-10-06,142,32
2021-10-07,149,25
2021-10-08,150,24
2021-10-09,148,26
2021-10-10,149,26
2021-10-11,144,30
2021-10-12,151,24
2021-10-13,152,23
2021-10-14,153,22
2021-10-15,157,18
2021-10-16,148,26
2021-10-17,154,20
2021-10-18,148,28
2021-10-19,152,24
2021-10-20,151,25
2021-10-21,151,26
2021-10-22,149,27
2021-10-23,152,22
2021-10-24,149,25
2021-10-25,140,36
2021-10-26,148,28
2021-10-27,156,20
2021-10-28,153,23
2021-10-29,156,22
2021-10-30,146,30
2021-10-31,147,29
2021-11-01,155,21
2021-11-02,154,22
2021-11-03,158,18
2021-11-04,155,21
2021-11-05,154,22
2021-11-06,151,25
2021-11-07,145,31
2021-11-08,144,32
2021-11-09,150,26
2021-11-10,157,19
2021-11-11,157,19
2021-11-12,152,24
2021-11-13,152,24
2021-11-14,148,26
2021-11-15,147,29
2021-11-16,153,23
2021-11-17,152,24
2021-11-18,153,23
2021-11-19,147,29
2021-11-20,144,32
2021-11-21,138,38
2021-11-22,144,32
2021-11-23,150,26
2021-11-24,150,26
2021-11-25,152,24
2021-11-26,149,27
2021-11-27,153,23
2021-11-28,147,27
2021-11-29,150,24
2021-11-30,153,26
2021-12-01,155,24
2021-12-02,158,21
2021-12-03,153,26
2021-12-04,150,29
2021-12-05,144,30
2021-12-06,140,34
2021-12-07,156,23
2021-12-08,156,23
2021-12-09,158,19
2021-12-10,157,22
2021-12-11,156,23
2021-12-12,155,19
2021-12-13,154,17
2021-12-14,158,15
2021-12-15,158,15
2021-12-16,160,13
2021-12-17,151,20
2021-12-18,150,26
2021-12-19,144,28
2021-12-20,151,21
2021-12-21,156,19
2021-12-22,148,25
2021-12-23,136,36
2021-12-24,137,35
2021-12-25,135,37
2021-12-26,140,32
2021-12-27,146,27
2021-12-28,144,30
2021-12-29,144,30
2021-12-30,151,23
2021-12-31,149,25
2022-01-01,146,28
2022-01-02,150,24
2022-01-03,148,27
2022-01-04,149,30
2022-01-05,159,20
2022-01-06,161,19
2022-01-07,169,12
2022-01-08,159,21
2022-01-09,156,18
2022-01-10,150,24
2022-01-11,148,31
2022-01-12,149,30
2022-01-13,149,30
2022-01-14,145,34
2022-01-15,149,25
2022-01-16,147,27
2022-01-17,142,32
2022-01-18,151,28
2022-01-19,156,23
2022-01-20,153,26
2022-01-21,153,26
2022-01-22,150,24
2022-01-23,149,25
2022-01-24,152,22
2022-01-25,152,27
2022-01-26,154,25
2022-01-27,146,33
2022-01-28,151,28
2022-01-29,146,33
2022-01-30,145,29
2022-01-31,145,29
2022-02-01,153,26
2022-02-02,157,22
2022-02-03,152,27
2022-02-04,154,25
2022-02-05,153,26
2022-02-06,147,27
2022-02-07,138,36
2022-02-08,146,33
2022-02-09,148,31
2022-02-10,150,27
2022-02-11,144,34
2022-02-12,146,32
