date,betten_belegt,betten_frei
2020-04-24,44,23
2020-04-25,37,27
2020-04-26,39,29
2020-04-27,39,28
2020-04-28,46,23
2020-04-29,42,23
2020-04-30,45,25
2020-05-01,35,34
2020-05-02,33,31
2020-05-03,36,28
2020-05-04,30,33
2020-05-05,38,26
2020-05-06,38,26
2020-05-07,45,23
2020-05-08,45,21
2020-05-09,49,19
2020-05-10,40,28
2020-05-11,42,26
2020-05-12,41,27
2020-05-13,40,26
2020-05-14,35,31
2020-05-15,33,35
2020-05-16,32,35
2020-05-17,30,38
2020-05-18,34,34
2020-05-19,34,35
2020-05-20,41,27
2020-05-21,45,23
2020-05-22,37,27
2020-05-23,38,25
2020-05-24,35,27
2020-05-25,40,24
2020-05-26,48,19
2020-05-27,39,29
2020-05-28,47,23
2020-05-29,45,23
2020-05-30,47,21
2020-05-31,44,24
2020-06-01,41,27
2020-06-02,51,17
2020-06-03,46,22
2020-06-04,44,24
2020-06-05,49,19
2020-06-06,47,21
2020-06-07,47,22
2020-06-08,45,23
2020-06-09,53,20
2020-06-10,53,15
2020-06-11,53,15
2020-06-12,41,25
2020-06-13,40,28
2020-06-14,41,27
2020-06-15,44,24
2020-06-16,53,16
2020-06-17,49,19
2020-06-18,49,19
2020-06-19,49,19
2020-06-20,47,21
2020-06-21,45,23
2020-06-22,46,23
2020-06-23,46,22
2020-06-24,46,22
2020-06-25,45,22
2020-06-26,54,15
2020-06-27,50,17
2020-06-28,46,22
2020-06-29,49,19
2020-06-30,49,19
2020-07-01,51,17
2020-07-02,44,24
2020-07-03,40,27
2020-07-04,47,21
2020-07-05,43,24
2020-07-06,46,21
2020-07-07,45,21
2020-07-08,39,28
2020-07-09,41,27
2020-07-10,40,28
2020-07-11,39,29
2020-07-12,46,22
2020-07-13,44,24
2020-07-14,44,24
2020-07-15,46,22
2020-07-16,41,27
2020-07-17,42,27
2020-07-18,40,28
2020-07-19,40,30
2020-07-20,42,26
2020-07-21,39,29
2020-07-22,39,29
2020-07-23,38,30
2020-07-24,38,30
2020-07-25,40,25
2020-07-26,39,26
2020-07-27,42,23
2020-07-28,46,22
2020-07-29,50,18
2020-07-30,45,26
2020-07-31,42,26
2020-08-01,44,24
2020-08-02,44,16
2020-08-03,40,28
2020-08-04,47,25
2020-08-05,55,17
2020-08-06,46,26
2020-08-07,53,19
2020-08-08,49,23
2020-08-09,52,20
2020-08-10,55,17
2020-08-11,49,23
2020-08-12,54,18
2020-08-13,53,19
2020-08-14,56,16
2020-08-15,57,18
2020-08-16,57,18
2020-08-17,55,20
2020-08-18,53,22
2020-08-19,53,22
2020-08-20,55,20
2020-08-21,56,19
2020-08-22,54,21
2020-08-23,51,24
2020-08-24,49,26
2020-08-25,60,15
2020-08-26,57,18
2020-08-27,48,27
2020-08-28,52,23
2020-08-29,47,28
2020-08-30,50,25
2020-08-31,49,26
2020-09-01,49,26
2020-09-02,45,30
2020-09-03,51,24
2020-09-04,52,23
2020-09-05,57,18
2020-09-06,57,18
2020-09-07,51,24
2020-09-08,47,28
2020-09-09,51,24
2020-09-10,53,22
2020-09-11,54,21
2020-09-12,53,22
2020-09-13,58,17
2020-09-14,56,19
2020-09-15,59,16
2020-09-16,59,16
2020-09-17,55,20
2020-09-18,58,14
2020-09-19,56,16
2020-09-20,53,19
2020-09-21,49,23
2020-09-22,53,19
2020-09-23,54,18
2020-09-24,51,21
2020-09-25,45,27
2020-09-26,49,23
2020-09-27,50,22
2020-09-28,50,22
2020-09-29,51,21
2020-09-30,53,19
2020-10-01,50,22
2020-10-02,44,28
2020-10-03,38,34
2020-10-04,41,31
2020-10-05,44,28
2020-10-06,50,22
2020-10-07,41,31
2020-10-08,42,30
2020-10-09,42,30
2020-10-10,33,39
2020-10-11,36,36
2020-10-12,45,27
2020-10-13,47,25
2020-10-14,49,23
2020-10-15,48,24
2020-10-16,43,29
2020-10-17,45,27
2020-10-18,43,29
2020-10-19,37,35
2020-10-20,38,34
2020-10-21,40,22
2020-10-22,39,23
2020-10-23,46,16
2020-10-24,50,12
2020-10-25,45,17
2020-10-26,45,17
2020-10-27,45,17
2020-10-28,55,7
2020-10-29,47,15
2020-10-30,51,11
2020-10-31,47,15
2020-11-01,42,20
2020-11-02,47,15
2020-11-03,48,14
2020-11-04,48,14
2020-11-05,41,21
2020-11-06,45,17
2020-11-07,40,22
2020-11-08,37,21
2020-11-09,38,20
2020-11-10,32,30
2020-11-11,37,25
2020-11-12,41,17
2020-11-13,39,23
2020-11-14,49,13
2020-11-15,42,20
2020-11-16,41,18
2020-11-17,43,16
2020-11-18,47,12
2020-11-19,44,15
2020-11-20,42,17
2020-11-21,39,20
2020-11-22,36,23
2020-11-23,36,23
2020-11-24,44,13
2020-11-25,44,12
2020-11-26,47,9
2020-11-27,41,18
2020-11-28,47,15
2020-11-29,40,22
2020-11-30,40,22
2020-12-01,48,14
2020-12-02,48,14
2020-12-03,49,13
2020-12-04,47,15
2020-12-05,49,13
2020-12-06,46,16
2020-12-07,45,17
2020-12-08,49,13
2020-12-09,50,12
2020-12-10,47,15
2020-12-11,49,13
2020-12-12,48,14
2020-12-13,41,21
2020-12-14,41,21
2020-12-15,45,17
2020-12-16,50,12
2020-12-17,46,16
2020-12-18,47,15
2020-12-19,50,12
2020-12-20,45,17
2020-12-21,42,20
2020-12-22,39,23
2020-12-23,43,19
2020-12-24,43,19
2020-12-25,45,17
2020-12-26,43,19
2020-12-27,44,18
2020-12-28,40,22
2020-12-29,45,17
2020-12-30,46,16
2020-12-31,46,16
2021-01-01,45,17
2021-01-02,43,19
2021-01-03,50,8
2021-01-04,50,8
2021-01-05,51,7
2021-01-06,48,10
2021-01-07,49,9
2021-01-08,52,6
2021-01-09,47,11
2021-01-10,47,11
2021-01-11,45,13
2021-01-12,49,9
2021-01-13,49,9
2021-01-14,50,8
2021-01-15,48,10
2021-01-16,47,11
2021-01-17,47,11
2021-01-18,45,13
2021-01-19,51,6
2021-01-20,49,7
2021-01-21,43,15
2021-01-22,47,11
2021-01-23,42,14
2021-01-24,45,11
2021-01-25,41,17
2021-01-26,39,19
2021-01-27,42,16
2021-01-28,42,16
2021-01-29,46,13
2021-01-30,51,8
2021-01-31,50,9
2021-02-01,46,12
2021-02-02,48,10
2021-02-03,51,7
2021-02-04,47,11
2021-02-05,48,11
2021-02-06,43,15
2021-02-07,48,11
2021-02-08,45,14
2021-02-09,47,12
2021-02-10,43,16
2021-02-11,42,17
2021-02-12,43,16
2021-02-13,46,13
2021-02-14,47,12
2021-02-15,44,15
2021-02-16,43,16
2021-02-17,42,17
2021-02-18,40,18
2021-02-19,43,14
2021-02-20,42,16
2021-02-21,40,18
2021-02-22,36,22
2021-02-23,45,13
2021-02-24,47,12
2021-02-25,43,16
2021-02-26,46,13
2021-02-27,40,20
2021-02-28,42,18
2021-03-01,42,17
2021-03-02,42,17
2021-03-03,37,22
2021-03-04,47,12
2021-03-05,55,4
2021-03-06,54,5
2021-03-07,52,7
2021-03-08,54,6
2021-03-09,54,5
2021-03-10,51,8
2021-03-11,50,8
2021-03-12,49,10
2021-03-13,53,6
2021-03-14,46,13
2021-03-15,45,14
2021-03-16,51,8
2021-03-17,51,8
2021-03-18,49,10
2021-03-19,50,9
2021-03-20,48,9
2021-03-21,45,11
2021-03-22,42,16
2021-03-23,52,6
2021-03-24,48,10
2021-03-25,42,16
2021-03-26,49,9
2021-03-27,51,7
2021-03-28,47,11
2021-03-29,45,13
2021-03-30,44,14
2021-03-31,42,16
2021-04-01,43,15
2021-04-02,40,18
2021-04-03,42,16
2021-04-04,45,13
2021-04-05,44,14
2021-04-06,48,10
2021-04-07,47,12
2021-04-08,46,13
2021-04-09,48,11
2021-04-10,51,8
2021-04-11,51,8
2021-04-12,52,7
2021-04-13,48,11
2021-04-14,49,10
2021-04-15,49,10
2021-04-16,36,9
2021-04-17,40,5
2021-04-18,37,8
2021-04-19,35,10
2021-04-20,52,7
2021-04-21,52,7
2021-04-22,47,12
2021-04-23,50,8
2021-04-24,52,6
2021-04-25,52,6
2021-04-26,50,9
2021-04-27,51,5
2021-04-28,43,13
2021-04-29,41,15
2021-04-30,47,10
2021-05-01,48,10
2021-05-02,45,13
2021-05-03,44,14
2021-05-04,49,9
2021-05-05,51,7
2021-05-06,49,9
2021-05-07,50,9
2021-05-08,51,8
2021-05-09,48,11
2021-05-10,50,9
2021-05-11,46,13
2021-05-12,37,22
