date,betten_belegt,betten_frei
2020-04-24,6,14
2020-04-25,6,14
2020-04-26,5,14
2020-04-27,5,14
2020-04-28,1,3
2020-04-29,1,3
2020-04-30,1,3
2020-05-01,1,3
2020-05-02,1,3
2020-05-03,1,3
2020-05-04,1,3
2020-05-05,4,14
2020-05-06,4,14
2020-05-07,4,14
2020-05-08,4,14
2020-05-09,4,14
2020-05-10,4,14
2020-05-11,3,14
2020-05-12,3,14
2020-05-13,3,14
2020-05-14,2,15
2020-05-15,1,15
2020-05-16,1,15
2020-05-17,1,15
2020-05-18,1,15
2020-05-19,0,15
2020-05-20,0,15
2020-05-21,0,15
2020-05-22,0,15
2020-05-23,2,14
2020-05-24,1,14
2020-05-25,0,15
2020-05-26,0,15
2020-05-27,0,15
2020-05-28,0,15
2020-05-29,0,15
2020-05-30,0,15
2020-05-31,0,15
2020-06-01,0,15
2020-06-02,1,15
2020-06-03,1,15
2020-06-04,1,15
2020-06-05,1,15
2020-06-06,1,15
2020-06-07,1,15
2020-06-08,1,15
2020-06-09,2,14
2020-06-10,1,15
2020-06-11,1,15
2020-06-12,1,15
2020-06-13,1,15
2020-06-14,1,15
2020-06-15,1,15
2020-06-16,1,15
2020-06-17,2,13
2020-06-18,0,15
2020-06-19,1,15
2020-06-20,0,15
2020-06-21,2,15
2020-06-22,1,15
2020-06-23,0,15
2020-06-24,1,15
2020-06-25,0,15
2020-06-26,1,14
2020-06-27,1,14
2020-06-28,0,15
2020-06-29,0,15
2020-06-30,0,15
2020-07-01,0,15
2020-07-02,0,15
2020-07-03,0,15
2020-07-04,0,15
2020-07-05,0,15
2020-07-06,0,15
2020-07-07,0,15
2020-07-08,0,15
2020-07-09,0,15
2020-07-10,0,15
2020-07-11,0,15
2020-07-12,0,15
2020-07-13,0,15
2020-07-14,0,15
2020-07-15,0,15
2020-07-16,0,15
2020-07-17,0,15
2020-07-18,0,15
2020-07-19,0,15
2020-07-20,0,15
2020-07-21,0,15
2020-07-22,0,15
2020-07-23,0,15
2020-07-24,0,15
2020-07-25,0,15
2020-07-26,0,15
2020-07-27,0,15
2020-07-28,0,15
2020-07-29,1,14
2020-07-30,1,14
2020-07-31,1,14
2020-08-01,1,14
2020-08-02,1,14
2020-08-03,1,14
2020-08-04,11,10
2020-08-05,11,10
2020-08-06,10,11
2020-08-07,9,12
2020-08-08,9,12
2020-08-09,11,10
2020-08-10,12,9
2020-08-11,13,8
2020-08-12,12,9
2020-08-13,12,9
2020-08-14,10,11
2020-08-15,10,11
2020-08-16,10,11
2020-08-17,10,11
2020-08-18,11,10
2020-08-19,11,10
2020-08-20,12,9
2020-08-21,12,9
2020-08-22,10,11
2020-08-23,9,12
2020-08-24,9,12
2020-08-25,10,11
2020-08-26,10,11
2020-08-27,10,11
2020-08-28,10,11
2020-08-29,10,11
2020-08-30,6,15
2020-08-31,7,14
2020-09-01,10,11
2020-09-02,9,12
2020-09-03,5,16
2020-09-04,5,16
2020-09-05,10,11
2020-09-06,8,13
2020-09-07,7,14
2020-09-08,6,15
2020-09-09,10,11
2020-09-10,10,11
2020-09-11,10,11
2020-09-12,10,11
2020-09-13,10,11
2020-09-14,9,12
2020-09-15,10,11
2020-09-16,10,11
2020-09-17,10,11
2020-09-18,9,12
2020-09-19,9,12
2020-09-20,6,15
2020-09-21,7,14
2020-09-22,8,13
2020-09-23,10,11
2020-09-24,10,11
2020-09-25,10,11
2020-09-26,10,11
2020-09-27,10,11
2020-09-28,10,11
2020-09-29,10,11
2020-09-30,10,11
2020-10-01,10,11
2020-10-02,10,11
2020-10-03,10,11
2020-10-04,8,13
2020-10-05,8,13
2020-10-06,7,14
2020-10-07,9,12
2020-10-08,9,12
2020-10-09,10,11
2020-10-10,10,11
2020-10-11,8,13
2020-10-12,8,13
2020-10-13,10,11
2020-10-14,12,9
2020-10-15,12,9
2020-10-16,13,8
2020-10-17,13,8
2020-10-18,8,13
2020-10-19,10,11
2020-10-20,14,7
2020-10-21,15,6
2020-10-22,15,6
2020-10-23,14,7
2020-10-24,13,8
2020-10-25,14,7
2020-10-26,14,7
2020-10-27,12,9
2020-10-28,13,8
2020-10-29,15,6
2020-10-30,15,6
2020-10-31,15,6
2020-11-01,14,7
2020-11-02,14,7
2020-11-03,14,7
2020-11-04,15,6
2020-11-05,13,8
2020-11-06,13,8
2020-11-07,12,9
2020-11-08,13,8
2020-11-09,13,8
2020-11-10,13,8
2020-11-11,13,8
2020-11-12,13,8
