date,betten_belegt,betten_frei
2020-04-24,73,54
2020-04-25,71,57
2020-04-26,75,51
2020-04-27,67,58
2020-04-28,70,55
2020-04-29,72,55
2020-04-30,70,57
2020-05-01,60,52
2020-05-02,72,53
2020-05-03,66,60
2020-05-04,65,61
2020-05-05,70,56
2020-05-06,71,55
2020-05-07,71,55
2020-05-08,70,56
2020-05-09,74,52
2020-05-10,69,57
2020-05-11,72,54
2020-05-12,83,43
2020-05-13,94,32
2020-05-14,94,32
2020-05-15,90,36
2020-05-16,89,37
2020-05-17,80,48
2020-05-18,83,43
2020-05-19,77,49
2020-05-20,77,47
2020-05-21,83,43
2020-05-22,82,45
2020-05-23,86,42
2020-05-24,85,43
2020-05-25,80,46
2020-05-26,83,41
2020-05-27,84,40
2020-05-28,89,35
2020-05-29,89,37
2020-05-30,87,39
2020-05-31,80,45
2020-06-01,79,43
2020-06-02,77,49
2020-06-03,83,43
2020-06-04,84,42
2020-06-05,88,38
2020-06-06,82,44
2020-06-07,79,47
2020-06-08,86,41
2020-06-09,90,32
2020-06-10,89,33
2020-06-11,87,40
2020-06-12,81,45
2020-06-13,82,44
2020-06-14,84,42
2020-06-15,86,40
2020-06-16,81,43
2020-06-17,82,44
2020-06-18,85,41
2020-06-19,89,37
2020-06-20,83,43
2020-06-21,77,49
2020-06-22,70,56
2020-06-23,76,50
2020-06-24,90,31
2020-06-25,83,38
2020-06-26,82,50
2020-06-27,84,48
2020-06-28,80,51
2020-06-29,79,52
2020-06-30,77,55
2020-07-01,81,51
2020-07-02,82,51
2020-07-03,78,55
2020-07-04,84,53
2020-07-05,84,53
2020-07-06,79,56
2020-07-07,89,48
2020-07-08,87,51
2020-07-09,87,51
2020-07-10,88,49
2020-07-11,84,54
2020-07-12,85,52
2020-07-13,79,58
2020-07-14,79,54
2020-07-15,81,54
2020-07-16,81,53
2020-07-17,87,47
2020-07-18,84,50
2020-07-19,88,46
2020-07-20,89,40
2020-07-21,83,47
2020-07-22,79,51
2020-07-23,86,43
2020-07-24,80,48
2020-07-25,85,42
2020-07-26,84,43
2020-07-27,80,45
2020-07-28,84,45
2020-07-29,82,47
2020-07-30,82,48
2020-07-31,80,50
2020-08-01,82,48
2020-08-02,82,49
2020-08-03,74,57
2020-08-04,79,48
2020-08-05,81,46
2020-08-06,83,44
2020-08-07,79,48
2020-08-08,79,48
2020-08-09,76,51
2020-08-10,73,54
2020-08-11,82,45
2020-08-12,84,43
2020-08-13,85,42
2020-08-14,84,43
2020-08-15,86,41
2020-08-16,85,39
2020-08-17,85,39
2020-08-18,83,41
2020-08-19,76,48
2020-08-20,82,40
2020-08-21,81,41
2020-08-22,78,49
2020-08-23,79,48
2020-08-24,79,48
2020-08-25,83,44
2020-08-26,87,40
2020-08-27,84,43
2020-08-28,86,41
2020-08-29,83,44
2020-08-30,80,47
2020-08-31,78,49
2020-09-01,82,45
2020-09-02,77,50
2020-09-03,74,53
2020-09-04,64,44
2020-09-05,66,42
2020-09-06,60,48
2020-09-07,61,47
2020-09-08,61,47
2020-09-09,68,40
2020-09-10,68,40
2020-09-11,71,37
2020-09-12,59,49
2020-09-13,62,46
2020-09-14,63,45
2020-09-15,62,46
2020-09-16,60,48
2020-09-17,55,53
2020-09-18,64,44
2020-09-19,62,46
2020-09-20,60,48
2020-09-21,59,49
2020-09-22,64,44
2020-09-23,58,50
2020-09-24,61,47
2020-09-25,62,46
2020-09-26,65,43
2020-09-27,63,45
2020-09-28,63,45
2020-09-29,66,42
2020-09-30,69,39
2020-10-01,69,39
2020-10-02,69,39
2020-10-03,68,40
2020-10-04,70,38
2020-10-05,65,43
2020-10-06,68,40
2020-10-07,71,37
2020-10-08,65,43
2020-10-09,59,49
2020-10-10,66,42
2020-10-11,67,43
2020-10-12,66,42
2020-10-13,67,41
2020-10-14,66,42
2020-10-15,66,42
2020-10-16,63,45
2020-10-17,64,40
2020-10-18,59,45
2020-10-19,55,49
2020-10-20,69,35
2020-10-21,64,40
2020-10-22,66,38
2020-10-23,61,43
2020-10-24,64,40
2020-10-25,58,46
2020-10-26,58,35
2020-10-27,64,29
2020-10-28,64,29
2020-10-29,60,33
2020-10-30,63,28
2020-10-31,61,30
2020-11-01,67,24
2020-11-02,58,33
2020-11-03,55,36
2020-11-04,61,32
2020-11-05,64,29
2020-11-06,70,23
2020-11-07,62,30
2020-11-08,65,27
2020-11-09,64,27
