date,betten_belegt,betten_frei
2020-04-24,19,45
2020-04-25,23,40
2020-04-26,27,38
2020-04-27,28,36
2020-04-28,28,36
2020-04-29,34,28
2020-04-30,35,27
2020-05-01,35,27
2020-05-02,36,26
2020-05-03,35,27
2020-05-04,32,30
2020-05-05,31,31
2020-05-06,24,38
2020-05-07,22,40
2020-05-08,24,37
2020-05-09,26,35
2020-05-10,30,30
2020-05-11,35,25
2020-05-12,30,32
2020-05-13,32,30
2020-05-14,20,42
2020-05-15,19,43
2020-05-16,23,39
2020-05-17,24,38
2020-05-18,30,31
2020-05-19,30,32
2020-05-20,27,33
2020-05-21,31,33
2020-05-22,33,29
2020-05-23,32,30
2020-05-24,31,31
2020-05-25,26,36
2020-05-26,25,37
2020-05-27,29,33
2020-05-28,30,32
2020-05-29,29,33
2020-05-30,26,36
2020-05-31,27,35
2020-06-01,23,39
2020-06-02,29,26
2020-06-03,25,30
2020-06-04,30,25
2020-06-05,34,28
2020-06-06,33,29
2020-06-07,34,28
2020-06-08,32,30
2020-06-09,32,29
2020-06-10,29,33
2020-06-11,27,35
2020-06-12,27,35
2020-06-13,30,32
2020-06-14,38,24
2020-06-15,39,18
2020-06-16,35,20
2020-06-17,31,31
2020-06-18,28,34
2020-06-19,30,32
2020-06-20,34,28
2020-06-21,34,28
2020-06-22,29,33
2020-06-23,31,31
2020-06-24,30,34
2020-06-25,22,33
2020-06-26,20,41
2020-06-27,24,47
2020-06-28,30,41
2020-06-29,27,41
2020-06-30,27,41
2020-07-01,30,44
2020-07-02,29,45
2020-07-03,35,38
2020-07-04,31,43
2020-07-05,33,43
2020-07-06,31,45
2020-07-07,36,39
2020-07-08,35,40
2020-07-09,32,40
2020-07-10,25,40
2020-07-11,29,36
2020-07-12,29,36
2020-07-13,24,41
2020-07-14,25,40
2020-07-15,23,42
2020-07-16,22,43
2020-07-17,25,40
2020-07-18,26,39
2020-07-19,23,42
2020-07-20,32,33
2020-07-21,31,34
2020-07-22,31,34
2020-07-23,29,36
2020-07-24,13,32
2020-07-25,27,38
2020-07-26,28,37
