date,betten_belegt,betten_frei
2020-04-24,99,32
2020-04-25,95,34
2020-04-26,92,37
2020-04-27,94,37
2020-04-28,94,39
2020-04-29,93,38
2020-04-30,89,42
2020-05-01,84,47
2020-05-02,89,42
2020-05-03,85,46
2020-05-04,89,42
2020-05-05,90,41
2020-05-06,94,36
2020-05-07,88,43
2020-05-08,94,37
2020-05-09,87,44
2020-05-10,88,43
2020-05-11,93,39
2020-05-12,87,44
2020-05-13,92,39
2020-05-14,94,37
2020-05-15,88,43
2020-05-16,91,40
2020-05-17,96,35
2020-05-18,99,32
2020-05-19,96,34
2020-05-20,94,37
2020-05-21,91,40
2020-05-22,93,40
2020-05-23,86,45
2020-05-24,92,39
2020-05-25,99,32
2020-05-26,101,30
2020-05-27,97,30
2020-05-28,101,31
2020-05-29,99,36
2020-05-30,100,35
2020-05-31,103,32
2020-06-01,102,33
2020-06-02,103,29
2020-06-03,102,29
2020-06-04,99,30
2020-06-05,105,26
2020-06-06,96,33
2020-06-07,89,42
2020-06-08,90,41
2020-06-09,92,39
2020-06-10,93,38
2020-06-11,98,33
2020-06-12,99,28
2020-06-13,96,33
2020-06-14,93,38
2020-06-15,93,38
2020-06-16,88,40
2020-06-17,86,41
2020-06-18,96,35
2020-06-19,86,45
2020-06-20,81,50
2020-06-21,89,41
2020-06-22,86,41
2020-06-23,80,51
2020-06-24,71,60
2020-06-25,81,50
2020-06-26,76,55
2020-06-27,76,54
2020-06-28,74,57
2020-06-29,69,62
2020-06-30,80,47
2020-07-01,80,51
2020-07-02,91,40
2020-07-03,88,43
2020-07-04,81,50
2020-07-05,82,49
2020-07-06,89,42
2020-07-07,86,45
2020-07-08,85,46
2020-07-09,84,47
2020-07-10,88,39
2020-07-11,82,43
2020-07-12,81,44
2020-07-13,76,55
2020-07-14,80,51
2020-07-15,89,42
2020-07-16,85,44
2020-07-17,87,42
2020-07-18,85,46
2020-07-19,83,48
2020-07-20,88,43
2020-07-21,88,43
2020-07-22,87,44
2020-07-23,83,48
2020-07-24,82,49
2020-07-25,77,54
2020-07-26,78,53
2020-07-27,79,52
2020-07-28,89,42
2020-07-29,82,49
2020-07-30,80,51
2020-07-31,85,46
2020-08-01,81,48
2020-08-02,82,47
2020-08-03,87,42
2020-08-04,84,45
2020-08-05,76,47
2020-08-06,72,51
2020-08-07,83,40
2020-08-08,78,45
2020-08-09,75,48
2020-08-10,85,38
2020-08-11,86,33
2020-08-12,80,39
2020-08-13,80,39
2020-08-14,90,29
2020-08-15,88,31
2020-08-16,88,31
2020-08-17,72,34
2020-08-18,77,44
2020-08-19,86,35
2020-08-20,85,36
2020-08-21,90,31
2020-08-22,82,39
2020-08-23,83,38
2020-08-24,90,31
2020-08-25,91,32
2020-08-26,90,33
2020-08-27,80,43
2020-08-28,95,28
2020-08-29,82,41
2020-08-30,87,36
2020-08-31,86,37
2020-09-01,90,31
2020-09-02,90,31
2020-09-03,88,33
2020-09-04,93,28
2020-09-05,85,36
2020-09-06,86,35
2020-09-07,87,34
2020-09-08,89,32
2020-09-09,87,34
2020-09-10,89,32
2020-09-11,89,32
2020-09-12,83,38
2020-09-13,84,37
2020-09-14,83,38
2020-09-15,96,25
2020-09-16,87,34
2020-09-17,96,25
2020-09-18,92,29
2020-09-19,81,40
2020-09-20,87,34
2020-09-21,82,39
2020-09-22,90,31
2020-09-23,89,32
2020-09-24,82,39
2020-09-25,77,44
2020-09-26,81,40
2020-09-27,86,35
2020-09-28,86,35
2020-09-29,85,36
2020-09-30,91,30
2020-10-01,86,35
2020-10-02,92,29
2020-10-03,81,40
2020-10-04,75,46
2020-10-05,83,38
2020-10-06,90,31
2020-10-07,97,24
2020-10-08,92,29
2020-10-09,91,30
2020-10-10,91,30
2020-10-11,85,36
2020-10-12,89,32
2020-10-13,94,27
2020-10-14,87,34
2020-10-15,94,27
2020-10-16,94,27
2020-10-17,83,38
2020-10-18,90,31
2020-10-19,86,32
2020-10-20,96,22
2020-10-21,89,29
2020-10-22,88,30
2020-10-23,83,35
2020-10-24,84,34
2020-10-25,74,44
2020-10-26,76,45
2020-10-27,85,36
2020-10-28,90,31
2020-10-29,87,34
2020-10-30,76,45
2020-10-31,79,42
2020-11-01,80,41
2020-11-02,84,37
2020-11-03,81,40
2020-11-04,83,38
2020-11-05,88,33
2020-11-06,90,31
2020-11-07,81,40
2020-11-08,78,43
2020-11-09,80,41
2020-11-10,81,40
2020-11-11,75,46
2020-11-12,79,42
2020-11-13,80,30
2020-11-14,72,40
2020-11-15,73,39
2020-11-16,79,33
2020-11-17,80,32
2020-11-18,81,31
2020-11-19,81,31
2020-11-20,84,28
2020-11-21,78,34
2020-11-22,82,30
2020-11-23,81,31
2020-11-24,91,21
2020-11-25,91,21
2020-11-26,88,24
2020-11-27,95,17
2020-11-28,88,24
2020-11-29,77,35
2020-11-30,83,29
2020-12-01,86,26
2020-12-02,83,29
2020-12-03,86,26
2020-12-04,80,32
2020-12-05,89,23
2020-12-06,84,28
2020-12-07,81,31
2020-12-08,89,23
2020-12-09,91,21
2020-12-10,91,21
2020-12-11,89,23
2020-12-12,91,21
2020-12-13,82,30
2020-12-14,85,27
2020-12-15,87,25
2020-12-16,92,18
2020-12-17,88,22
2020-12-18,84,26
2020-12-19,86,26
2020-12-20,82,25
2020-12-21,77,30
2020-12-22,85,22
2020-12-23,87,20
2020-12-24,77,31
2020-12-25,77,31
2020-12-26,74,29
2020-12-27,81,22
2020-12-28,78,25
2020-12-29,77,26
2020-12-30,76,27
2020-12-31,78,25
2021-01-01,76,26
2021-01-02,75,27
2021-01-03,82,20
2021-01-04,81,20
2021-01-05,84,17
2021-01-06,86,15
2021-01-07,83,19
2021-01-08,86,16
2021-01-09,89,13
2021-01-10,90,12
2021-01-11,88,14
2021-01-12,90,12
2021-01-13,90,14
2021-01-14,90,14
2021-01-15,94,13
2021-01-16,96,11
2021-01-17,91,16
2021-01-18,94,13
2021-01-19,96,16
2021-01-20,90,22
2021-01-21,92,20
2021-01-22,95,17
2021-01-23,90,22
2021-01-24,87,25
2021-01-25,85,27
2021-01-26,88,24
2021-01-27,93,19
2021-01-28,95,17
2021-01-29,97,13
2021-01-30,93,17
2021-01-31,92,18
2021-02-01,91,19
2021-02-02,91,19
2021-02-03,97,13
2021-02-04,97,13
2021-02-05,94,16
2021-02-06,85,25
2021-02-07,87,18
2021-02-08,88,17
2021-02-09,86,19
2021-02-10,92,18
2021-02-11,89,21
2021-02-12,87,23
2021-02-13,89,21
2021-02-14,94,16
2021-02-15,98,12
2021-02-16,98,12
2021-02-17,97,13
2021-02-18,92,18
2021-02-19,93,17
2021-02-20,86,19
2021-02-21,84,21
2021-02-22,94,16
2021-02-23,95,15
2021-02-24,91,19
2021-02-25,93,17
2021-02-26,96,14
2021-02-27,96,14
2021-02-28,91,17
2021-03-01,92,16
2021-03-02,97,13
2021-03-03,87,23
2021-03-04,91,19
2021-03-05,91,19
2021-03-06,95,15
2021-03-07,91,19
2021-03-08,88,22
2021-03-09,86,24
2021-03-10,95,15
2021-03-11,90,20
2021-03-12,98,12
2021-03-13,94,16
2021-03-14,91,19
2021-03-15,91,19
2021-03-16,96,14
2021-03-17,94,16
2021-03-18,96,14
2021-03-19,96,14
2021-03-20,89,21
2021-03-21,93,17
2021-03-22,100,10
2021-03-23,100,10
2021-03-24,101,9
2021-03-25,92,18
2021-03-26,91,19
2021-03-27,84,26
2021-03-28,89,21
2021-03-29,84,28
2021-03-30,87,25
2021-03-31,87,23
2021-04-01,73,28
2021-04-02,76,25
2021-04-03,73,26
2021-04-04,70,29
2021-04-05,74,25
2021-04-06,74,25
2021-04-07,79,20
2021-04-08,79,20
2021-04-09,83,17
2021-04-10,75,24
2021-04-11,79,20
2021-04-12,82,17
2021-04-13,85,14
2021-04-14,86,13
2021-04-15,87,12
2021-04-16,89,10
2021-04-17,88,11
2021-04-18,80,19
2021-04-19,79,20
2021-04-20,83,16
2021-04-21,83,16
2021-04-22,82,17
2021-04-23,84,15
2021-04-24,87,12
2021-04-25,85,14
2021-04-26,90,9
2021-04-27,86,13
2021-04-28,88,11
2021-04-29,90,9
2021-04-30,88,11
2021-05-01,84,15
2021-05-02,88,11
2021-05-03,86,13
2021-05-04,88,11
2021-05-05,87,12
2021-05-06,86,13
2021-05-07,85,14
2021-05-08,81,18
2021-05-09,82,17
2021-05-10,82,17
2021-05-11,82,17
2021-05-12,85,15
2021-05-13,83,17
2021-05-14,83,17
2021-05-15,88,12
2021-05-16,89,11
2021-05-17,78,22
2021-05-18,79,21
2021-05-19,79,20
2021-05-20,80,19
2021-05-21,79,20
2021-05-22,77,22
2021-05-23,78,21
2021-05-24,80,19
2021-05-25,81,19
2021-05-26,83,17
2021-05-27,84,16
2021-05-28,75,18
2021-05-29,74,19
2021-05-30,75,18
2021-05-31,77,16
2021-06-01,80,13
2021-06-02,85,8
2021-06-03,87,6
2021-06-04,81,12
2021-06-05,79,14
2021-06-06,77,16
2021-06-07,78,15
2021-06-08,78,15
2021-06-09,79,14
2021-06-10,69,24
2021-06-11,74,19
2021-06-12,73,20
2021-06-13,74,19
2021-06-14,73,20
2021-06-15,75,18
2021-06-16,78,15
2021-06-17,72,21
2021-06-18,77,16
2021-06-19,75,18
2021-06-20,74,19
2021-06-21,75,18
2021-06-22,73,20
2021-06-23,77,16
2021-06-24,79,14
2021-06-25,73,20
2021-06-26,72,21
2021-06-27,71,22
2021-06-28,71,22
2021-06-29,75,18
2021-06-30,74,19
2021-07-01,72,21
2021-07-02,77,16
2021-07-03,71,22
2021-07-04,73,20
2021-07-05,72,21
2021-07-06,72,21
2021-07-07,74,19
2021-07-08,68,25
2021-07-09,75,18
2021-07-10,72,21
2021-07-11,74,19
2021-07-12,69,24
2021-07-13,73,20
2021-07-14,74,19
2021-07-15,77,16
2021-07-16,77,16
2021-07-17,75,18
2021-07-18,75,18
2021-07-19,79,14
2021-07-20,82,11
2021-07-21,79,14
2021-07-22,78,15
2021-07-23,78,15
2021-07-24,76,17
