date,betten_belegt,betten_frei
2020-04-24,65,13
2020-04-25,68,10
2020-04-26,67,11
2020-04-27,67,11
2020-04-28,58,20
2020-04-29,64,14
2020-04-30,59,19
2020-05-01,63,15
2020-05-02,64,14
2020-05-03,68,10
2020-05-04,65,13
2020-05-05,52,16
2020-05-06,63,15
2020-05-07,57,21
2020-05-08,56,22
2020-05-09,51,17
2020-05-10,58,18
2020-05-11,60,18
2020-05-12,61,17
2020-05-13,61,17
2020-05-14,65,17
2020-05-15,65,17
2020-05-16,65,17
2020-05-17,59,21
2020-05-18,67,15
2020-05-19,65,17
2020-05-20,65,17
2020-05-21,62,20
2020-05-22,62,20
2020-05-23,63,19
2020-05-24,63,19
2020-05-25,50,20
2020-05-26,52,18
2020-05-27,54,16
2020-05-28,53,17
2020-05-29,53,17
2020-05-30,45,15
2020-05-31,54,16
2020-06-01,53,17
2020-06-02,54,16
2020-06-03,53,17
2020-06-04,53,17
2020-06-05,50,20
2020-06-06,48,22
2020-06-07,49,21
2020-06-08,49,21
2020-06-09,49,21
2020-06-10,49,21
2020-06-11,49,21
2020-06-12,48,22
2020-06-13,50,20
2020-06-14,48,22
2020-06-15,48,22
2020-06-16,48,22
2020-06-17,49,21
2020-06-18,55,15
2020-06-19,56,14
2020-06-20,55,15
2020-06-21,53,17
2020-06-22,52,18
2020-06-23,48,14
2020-06-24,47,15
2020-06-25,47,15
2020-06-26,44,18
2020-06-27,48,14
2020-06-28,50,12
2020-06-29,50,12
2020-06-30,50,14
2020-07-01,44,20
2020-07-02,55,15
2020-07-03,55,17
2020-07-04,53,17
2020-07-05,53,17
2020-07-06,58,12
2020-07-07,54,16
2020-07-08,54,16
2020-07-09,52,18
2020-07-10,52,18
2020-07-11,55,15
2020-07-12,52,18
2020-07-13,50,20
2020-07-14,51,19
2020-07-15,55,15
2020-07-16,53,17
2020-07-17,53,17
2020-07-18,54,16
2020-07-19,54,16
2020-07-20,55,15
2020-07-21,50,20
2020-07-22,58,12
2020-07-23,56,14
2020-07-24,50,20
2020-07-25,56,14
2020-07-26,52,18
2020-07-27,54,16
2020-07-28,54,16
2020-07-29,54,16
2020-07-30,54,16
2020-07-31,56,14
2020-08-01,55,15
2020-08-02,55,15
2020-08-03,50,20
2020-08-04,48,8
2020-08-05,48,8
2020-08-06,48,8
2020-08-07,50,6
2020-08-08,48,8
2020-08-09,45,11
2020-08-10,50,6
2020-08-11,49,7
2020-08-12,51,5
2020-08-13,50,6
2020-08-14,55,1
2020-08-15,51,5
2020-08-16,47,9
2020-08-17,50,6
2020-08-18,50,6
2020-08-19,49,7
2020-08-20,50,6
2020-08-21,51,5
2020-08-22,49,7
2020-08-23,51,5
2020-08-24,50,6
2020-08-25,49,7
2020-08-26,50,6
2020-08-27,50,6
2020-08-28,47,9
2020-08-29,49,7
2020-08-30,47,9
2020-08-31,47,9
2020-09-01,48,8
2020-09-02,44,12
2020-09-03,47,9
2020-09-04,46,10
2020-09-05,46,10
2020-09-06,45,11
2020-09-07,42,14
2020-09-08,46,10
2020-09-09,41,15
2020-09-10,39,17
2020-09-11,47,9
2020-09-12,44,12
2020-09-13,48,8
2020-09-14,45,11
2020-09-15,50,6
2020-09-16,49,7
2020-09-17,50,6
2020-09-18,49,7
2020-09-19,49,7
2020-09-20,47,9
2020-09-21,45,11
2020-09-22,50,6
2020-09-23,50,6
2020-09-24,50,6
2020-09-25,49,7
2020-09-26,49,7
2020-09-27,49,7
2020-09-28,48,8
2020-09-29,48,4
2020-09-30,50,4
2020-10-01,48,6
2020-10-02,48,6
2020-10-03,49,5
2020-10-04,51,3
2020-10-05,47,7
2020-10-06,49,5
2020-10-07,50,4
2020-10-08,52,2
2020-10-09,48,6
2020-10-10,48,6
2020-10-11,45,9
2020-10-12,44,10
2020-10-13,48,6
2020-10-14,51,3
2020-10-15,48,6
2020-10-16,47,7
2020-10-17,49,5
2020-10-18,46,8
2020-10-19,46,8
2020-10-20,49,5
2020-10-21,50,4
2020-10-22,52,2
2020-10-23,46,8
2020-10-24,50,4
2020-10-25,50,4
2020-10-26,48,6
2020-10-27,50,4
2020-10-28,50,4
2020-10-29,44,10
2020-10-30,51,4
2020-10-31,51,4
2020-11-01,45,10
2020-11-02,50,5
2020-11-03,52,3
2020-11-04,51,4
2020-11-05,51,4
2020-11-06,48,7
2020-11-07,47,8
2020-11-08,42,13
2020-11-09,47,8
2020-11-10,48,7
2020-11-11,48,7
2020-11-12,48,7
2020-11-13,47,8
2020-11-14,45,10
2020-11-15,49,6
2020-11-16,49,6
2020-11-17,49,8
2020-11-18,51,6
2020-11-19,48,9
2020-11-20,50,6
2020-11-21,48,8
2020-11-22,48,8
2020-11-23,46,10
2020-11-24,46,10
2020-11-25,49,6
2020-11-26,49,6
2020-11-27,52,12
2020-11-28,53,11
2020-11-29,52,11
2020-11-30,51,12
2020-12-01,55,8
2020-12-02,52,11
2020-12-03,55,8
2020-12-04,51,11
2020-12-05,53,9
2020-12-06,55,8
2020-12-07,54,9
2020-12-08,58,6
2020-12-09,56,8
2020-12-10,55,9
2020-12-11,60,4
2020-12-12,57,7
2020-12-13,54,9
2020-12-14,52,11
2020-12-15,50,13
2020-12-16,54,11
2020-12-17,55,10
2020-12-18,57,8
2020-12-19,54,11
2020-12-20,55,10
2020-12-21,55,10
2020-12-22,57,8
2020-12-23,56,7
2020-12-24,54,9
2020-12-25,53,11
2020-12-26,54,10
2020-12-27,55,9
2020-12-28,58,7
2020-12-29,60,5
2020-12-30,57,8
2020-12-31,56,9
2021-01-01,59,6
2021-01-02,57,7
2021-01-03,58,6
2021-01-04,56,8
2021-01-05,57,7
2021-01-06,57,7
2021-01-07,53,10
2021-01-08,49,14
2021-01-09,51,12
2021-01-10,49,14
2021-01-11,52,11
2021-01-12,51,12
2021-01-13,51,12
2021-01-14,53,10
2021-01-15,57,6
2021-01-16,55,8
2021-01-17,56,7
2021-01-18,56,7
2021-01-19,52,11
2021-01-20,51,12
2021-01-21,51,13
2021-01-22,55,9
2021-01-23,55,9
2021-01-24,55,9
2021-01-25,55,9
2021-01-26,59,6
2021-01-27,60,5
2021-01-28,57,8
2021-01-29,57,8
2021-01-30,58,7
2021-01-31,60,6
2021-02-01,57,8
2021-02-02,59,7
2021-02-03,58,8
2021-02-04,58,7
2021-02-05,59,5
2021-02-06,59,5
2021-02-07,59,5
2021-02-08,57,6
2021-02-09,59,5
2021-02-10,59,5
2021-02-11,57,7
2021-02-12,59,5
2021-02-13,58,6
2021-02-14,59,5
2021-02-15,59,5
2021-02-16,60,4
2021-02-17,58,6
2021-02-18,58,6
2021-02-19,60,4
2021-02-20,58,6
2021-02-21,57,7
2021-02-22,57,7
2021-02-23,53,10
2021-02-24,52,11
2021-02-25,54,9
2021-02-26,53,10
2021-02-27,58,6
2021-02-28,58,6
2021-03-01,58,7
2021-03-02,57,8
2021-03-03,56,8
2021-03-04,55,10
2021-03-05,55,10
2021-03-06,54,10
2021-03-07,53,11
2021-03-08,54,9
2021-03-09,55,9
2021-03-10,56,7
2021-03-11,56,8
2021-03-12,56,8
2021-03-13,56,8
2021-03-14,56,8
2021-03-15,56,8
2021-03-16,56,9
2021-03-17,57,8
2021-03-18,56,9
2021-03-19,55,10
2021-03-20,56,8
2021-03-21,55,9
