date,betten_belegt,betten_frei
2020-04-24,23,20
2020-04-25,24,20
2020-04-26,24,20
2020-04-27,22,22
2020-04-28,26,18
2020-04-29,25,19
2020-04-30,21,23
2020-05-01,24,20
2020-05-02,24,20
2020-05-03,25,19
2020-05-04,20,24
2020-05-05,21,23
2020-05-06,18,26
2020-05-07,24,20
2020-05-08,20,24
2020-05-09,20,24
2020-05-10,19,25
2020-05-11,21,23
2020-05-12,22,22
2020-05-13,23,21
2020-05-14,20,24
2020-05-15,23,21
2020-05-16,18,26
2020-05-17,23,21
2020-05-18,21,23
2020-05-19,25,19
2020-05-20,22,22
2020-05-21,18,26
2020-05-22,17,27
2020-05-23,20,24
2020-05-24,18,26
2020-05-25,20,24
2020-05-26,17,27
2020-05-27,21,23
2020-05-28,18,26
2020-05-29,18,27
2020-05-30,22,22
2020-05-31,19,25
2020-06-01,22,22
2020-06-02,19,25
2020-06-03,24,20
2020-06-04,23,21
2020-06-05,19,22
2020-06-06,21,21
2020-06-07,20,23
2020-06-08,19,23
2020-06-09,29,15
2020-06-10,28,16
2020-06-11,28,16
2020-06-12,23,21
2020-06-13,25,18
2020-06-14,27,16
2020-06-15,23,19
2020-06-16,26,18
2020-06-17,24,20
2020-06-18,18,26
2020-06-19,20,24
2020-06-20,20,24
2020-06-21,17,27
2020-06-22,21,23
2020-06-23,20,24
2020-06-24,15,29
2020-06-25,21,23
2020-06-26,19,25
2020-06-27,18,26
2020-06-28,16,28
2020-06-29,13,30
2020-06-30,17,27
2020-07-01,16,28
2020-07-02,17,27
2020-07-03,25,19
2020-07-04,21,23
2020-07-05,18,26
2020-07-06,16,28
2020-07-07,19,25
2020-07-08,18,26
2020-07-09,17,19
2020-07-10,22,14
2020-07-11,24,12
2020-07-12,19,17
2020-07-13,19,17
2020-07-14,20,16
2020-07-15,18,18
2020-07-16,21,15
2020-07-17,19,17
2020-07-18,22,14
2020-07-19,24,12
2020-07-20,22,14
2020-07-21,24,12
2020-07-22,21,15
2020-07-23,21,15
2020-07-24,27,9
2020-07-25,25,11
2020-07-26,20,16
2020-07-27,18,18
2020-07-28,22,14
2020-07-29,22,14
