date,betten_belegt,betten_frei
2020-04-24,12,5
2020-04-25,14,2
2020-04-26,10,6
2020-04-27,11,5
2020-04-28,12,4
2020-04-29,10,6
2020-04-30,13,3
2020-05-01,12,4
2020-05-02,10,6
2020-05-03,10,6
2020-05-04,9,7
2020-05-05,11,5
2020-05-06,11,5
2020-05-07,11,5
2020-05-08,12,4
2020-05-09,15,1
2020-05-10,13,3
2020-05-11,13,3
2020-05-12,11,5
2020-05-13,7,9
2020-05-14,9,7
2020-05-15,11,5
2020-05-16,8,8
2020-05-17,8,8
2020-05-18,7,9
2020-05-19,10,6
2020-05-20,11,5
2020-05-21,11,5
2020-05-22,12,4
2020-05-23,12,4
2020-05-24,11,5
2020-05-25,11,5
2020-05-26,9,7
2020-05-27,11,5
2020-05-28,10,6
2020-05-29,11,5
2020-05-30,9,7
2020-05-31,8,8
2020-06-01,10,6
2020-06-02,11,5
2020-06-03,12,4
2020-06-04,11,5
2020-06-05,12,4
2020-06-06,7,9
2020-06-07,10,6
2020-06-08,10,6
2020-06-09,12,4
2020-06-10,11,5
2020-06-11,11,5
2020-06-12,9,7
2020-06-13,9,7
2020-06-14,9,7
2020-06-15,8,8
2020-06-16,11,5
2020-06-17,9,7
2020-06-18,6,10
2020-06-19,9,7
2020-06-20,10,6
2020-06-21,8,8
2020-06-22,8,8
2020-06-23,12,4
2020-06-24,14,2
2020-06-25,12,4
2020-06-26,12,4
2020-06-27,10,6
2020-06-28,11,5
2020-06-29,9,7
2020-06-30,11,5
2020-07-01,13,3
2020-07-02,11,5
2020-07-03,12,4
2020-07-04,11,5
2020-07-05,11,5
2020-07-06,10,6
2020-07-07,11,5
2020-07-08,11,5
2020-07-09,11,5
2020-07-10,9,7
2020-07-11,11,5
2020-07-12,11,5
2020-07-13,13,3
2020-07-14,14,2
2020-07-15,10,6
2020-07-16,10,6
2020-07-17,11,5
2020-07-18,12,4
2020-07-19,10,6
2020-07-20,10,6
2020-07-21,13,3
2020-07-22,14,2
2020-07-23,14,2
2020-07-24,14,2
2020-07-25,11,5
2020-07-26,10,6
2020-07-27,10,6
2020-07-28,10,6
2020-07-29,13,3
2020-07-30,10,6
2020-07-31,9,7
2020-08-01,8,8
2020-08-02,12,4
2020-08-03,12,4
2020-08-04,15,1
2020-08-05,15,1
2020-08-06,13,3
2020-08-07,11,5
2020-08-08,10,6
2020-08-09,8,8
2020-08-10,9,7
2020-08-11,13,3
2020-08-12,15,1
2020-08-13,13,3
2020-08-14,9,7
2020-08-15,10,6
