date,betten_belegt,betten_frei
2020-04-24,16,23
2020-04-25,15,24
2020-04-26,15,24
2020-04-27,11,28
2020-04-28,16,23
2020-04-29,20,19
2020-04-30,24,15
2020-05-01,23,16
2020-05-02,23,16
2020-05-03,24,15
2020-05-04,27,12
2020-05-05,20,19
2020-05-06,22,17
2020-05-07,25,14
2020-05-08,24,21
2020-05-09,26,19
2020-05-10,21,24
2020-05-11,24,29
2020-05-12,25,28
2020-05-13,28,25
2020-05-14,24,29
2020-05-15,22,36
2020-05-16,22,36
2020-05-17,18,40
2020-05-18,18,40
2020-05-19,19,39
2020-05-20,18,40
2020-05-21,24,34
2020-05-22,18,40
2020-05-23,17,41
2020-05-24,12,46
2020-05-25,20,38
2020-05-26,24,34
2020-05-27,20,38
2020-05-28,19,39
2020-05-29,20,38
2020-05-30,19,39
2020-05-31,21,37
2020-06-01,25,33
2020-06-02,23,35
2020-06-03,21,37
2020-06-04,20,38
2020-06-05,24,34
2020-06-06,23,35
2020-06-07,19,39
2020-06-08,28,30
2020-06-09,26,32
2020-06-10,24,34
2020-06-11,30,28
2020-06-12,27,31
2020-06-13,30,28
2020-06-14,25,33
2020-06-15,23,35
2020-06-16,26,32
2020-06-17,27,31
2020-06-18,23,35
2020-06-19,23,35
2020-06-20,21,37
2020-06-21,16,42
2020-06-22,20,38
2020-06-23,21,37
2020-06-24,19,39
2020-06-25,19,39
2020-06-26,20,38
2020-06-27,22,36
2020-06-28,18,40
2020-06-29,17,41
2020-06-30,17,41
2020-07-01,17,41
2020-07-02,18,40
2020-07-03,14,44
2020-07-04,16,43
2020-07-05,20,37
2020-07-06,21,36
2020-07-07,25,34
2020-07-08,25,34
2020-07-09,27,32
2020-07-10,32,27
2020-07-11,26,33
2020-07-12,23,36
2020-07-13,22,37
2020-07-14,25,34
2020-07-15,20,39
2020-07-16,19,40
2020-07-17,28,31
2020-07-18,20,39
2020-07-19,17,42
2020-07-20,19,40
2020-07-21,21,38
2020-07-22,17,42
2020-07-23,21,38
2020-07-24,29,30
2020-07-25,25,34
2020-07-26,20,39
2020-07-27,19,40
2020-07-28,20,39
2020-07-29,26,33
2020-07-30,25,34
2020-07-31,28,31
2020-08-01,22,39
2020-08-02,24,35
2020-08-03,25,34
2020-08-04,25,19
2020-08-05,26,18
2020-08-06,24,20
2020-08-07,26,18
2020-08-08,21,23
2020-08-09,16,28
2020-08-10,16,28
2020-08-11,22,22
2020-08-12,26,18
2020-08-13,23,21
2020-08-14,20,24
2020-08-15,23,21
2020-08-16,20,24
2020-08-17,24,20
2020-08-18,25,19
2020-08-19,24,20
2020-08-20,26,18
2020-08-21,30,14
2020-08-22,19,25
2020-08-23,16,28
2020-08-24,17,27
2020-08-25,18,26
2020-08-26,22,22
2020-08-27,17,27
2020-08-28,21,23
2020-08-29,30,14
2020-08-30,22,22
2020-08-31,23,21
2020-09-01,22,22
2020-09-02,16,28
2020-09-03,21,23
2020-09-04,20,24
2020-09-05,25,19
2020-09-06,25,19
2020-09-07,21,23
2020-09-08,20,24
2020-09-09,17,27
2020-09-10,16,28
2020-09-11,22,22
2020-09-12,20,24
2020-09-13,19,25
2020-09-14,19,25
2020-09-15,16,28
2020-09-16,24,20
2020-09-17,22,22
2020-09-18,24,20
2020-09-19,25,19
2020-09-20,21,23
2020-09-21,18,26
2020-09-22,22,22
2020-09-23,23,21
2020-09-24,19,25
2020-09-25,25,19
2020-09-26,24,20
2020-09-27,21,23
2020-09-28,19,25
2020-09-29,22,22
2020-09-30,26,18
2020-10-01,28,16
2020-10-02,29,15
2020-10-03,22,22
2020-10-04,22,22
2020-10-05,21,23
2020-10-06,21,23
2020-10-07,25,19
2020-10-08,22,14
2020-10-09,24,12
2020-10-10,25,11
2020-10-11,24,12
2020-10-12,20,16
2020-10-13,20,16
2020-10-14,23,13
2020-10-15,24,12
2020-10-16,23,13
2020-10-17,23,13
2020-10-18,17,19
2020-10-19,17,19
2020-10-20,24,12
2020-10-21,24,12
2020-10-22,24,12
2020-10-23,22,14
2020-10-24,19,17
2020-10-25,21,15
2020-10-26,24,12
2020-10-27,25,11
2020-10-28,25,11
2020-10-29,26,10
2020-10-30,26,10
2020-10-31,25,11
2020-11-01,16,20
2020-11-02,16,20
2020-11-03,21,15
2020-11-04,22,14
2020-11-05,20,16
2020-11-06,21,15
2020-11-07,22,14
2020-11-08,23,13
2020-11-09,24,12
2020-11-10,24,12
2020-11-11,22,14
2020-11-12,23,13
2020-11-13,19,17
2020-11-14,24,12
2020-11-15,21,15
2020-11-16,18,18
2020-11-17,20,16
2020-11-18,24,12
2020-11-19,21,15
2020-11-20,25,11
2020-11-21,21,15
2020-11-22,23,13
2020-11-23,24,12
2020-11-24,23,13
2020-11-25,23,13
2020-11-26,24,12
2020-11-27,22,14
2020-11-28,22,14
2020-11-29,22,14
2020-11-30,22,14
2020-12-01,24,12
2020-12-02,25,11
2020-12-03,25,11
2020-12-04,24,12
2020-12-05,27,9
2020-12-06,23,13
2020-12-07,22,14
2020-12-08,26,10
2020-12-09,28,8
2020-12-10,27,9
2020-12-11,26,10
2020-12-12,23,13
2020-12-13,23,13
2020-12-14,23,13
2020-12-15,28,8
2020-12-16,26,10
2020-12-17,24,12
2020-12-18,20,16
2020-12-19,24,12
2020-12-20,21,15
2020-12-21,22,14
2020-12-22,24,12
2020-12-23,24,12
2020-12-24,25,11
2020-12-25,26,10
2020-12-26,24,12
2020-12-27,26,10
2020-12-28,24,12
2020-12-29,20,16
2020-12-30,20,16
2020-12-31,23,13
2021-01-01,22,14
2021-01-02,25,11
2021-01-03,24,12
2021-01-04,25,11
2021-01-05,24,12
2021-01-06,24,12
2021-01-07,24,8
2021-01-08,24,8
2021-01-09,25,7
2021-01-10,22,10
2021-01-11,23,9
2021-01-12,24,8
2021-01-13,22,10
2021-01-14,22,10
2021-01-15,25,7
2021-01-16,24,8
2021-01-17,22,10
2021-01-18,23,9
2021-01-19,26,6
2021-01-20,24,8
2021-01-21,26,6
2021-01-22,25,7
2021-01-23,22,10
2021-01-24,21,11
2021-01-25,21,11
2021-01-26,26,6
2021-01-27,28,5
2021-01-28,27,4
2021-01-29,30,3
2021-01-30,24,8
2021-01-31,26,6
2021-02-01,25,8
2021-02-02,30,4
2021-02-03,28,5
2021-02-04,28,5
2021-02-05,27,6
2021-02-06,28,4
2021-02-07,26,7
2021-02-08,25,8
2021-02-09,24,7
2021-02-10,25,5
2021-02-11,23,7
2021-02-12,25,5
2021-02-13,23,6
2021-02-14,21,8
2021-02-15,22,7
2021-02-16,24,5
2021-02-17,22,6
2021-02-18,21,7
2021-02-19,24,4
2021-02-20,24,8
2021-02-21,21,11
2021-02-22,21,11
2021-02-23,23,9
2021-02-24,23,9
2021-02-25,23,9
2021-02-26,21,11
2021-02-27,19,13
2021-02-28,18,14
2021-03-01,21,11
2021-03-02,20,12
2021-03-03,22,10
2021-03-04,22,10
2021-03-05,22,10
2021-03-06,25,7
2021-03-07,24,8
2021-03-08,24,8
2021-03-09,25,7
2021-03-10,23,9
2021-03-11,27,5
2021-03-12,28,4
2021-03-13,25,7
2021-03-14,24,8
2021-03-15,26,6
2021-03-16,27,5
2021-03-17,28,4
2021-03-18,29,3
2021-03-19,30,2
2021-03-20,26,6
2021-03-21,24,8
2021-03-22,24,8
2021-03-23,27,5
2021-03-24,26,6
2021-03-25,22,10
2021-03-26,23,9
2021-03-27,21,11
2021-03-28,21,11
2021-03-29,21,11
2021-03-30,20,12
2021-03-31,24,8
2021-04-01,27,5
2021-04-02,24,8
2021-04-03,20,12
2021-04-04,22,10
2021-04-05,22,10
2021-04-06,24,8
2021-04-07,28,4
2021-04-08,26,6
2021-04-09,23,9
2021-04-10,24,8
2021-04-11,23,9
2021-04-12,23,9
2021-04-13,25,7
2021-04-14,25,7
2021-04-15,26,6
2021-04-16,28,4
2021-04-17,25,7
2021-04-18,24,8
2021-04-19,25,7
2021-04-20,24,8
2021-04-21,24,8
2021-04-22,23,9
2021-04-23,26,6
2021-04-24,21,11
2021-04-25,21,11
2021-04-26,23,9
2021-04-27,26,6
2021-04-28,27,5
2021-04-29,27,5
2021-04-30,26,6
2021-05-01,26,6
2021-05-02,25,7
2021-05-03,25,7
2021-05-04,25,7
2021-05-05,25,7
2021-05-06,29,3
2021-05-07,28,4
2021-05-08,23,9
2021-05-09,22,10
2021-05-10,23,9
2021-05-11,24,8
2021-05-12,26,6
2021-05-13,25,7
2021-05-14,21,11
2021-05-15,25,7
2021-05-16,23,9
2021-05-17,22,10
2021-05-18,23,9
2021-05-19,24,8
2021-05-20,24,8
2021-05-21,24,8
2021-05-22,21,11
2021-05-23,23,9
2021-05-24,22,10
2021-05-25,21,11
2021-05-26,23,9
2021-05-27,26,6
2021-05-28,23,9
2021-05-29,21,11
2021-05-30,21,11
2021-05-31,25,7
2021-06-01,30,2
2021-06-02,28,4
2021-06-03,25,7
2021-06-04,25,7
2021-06-05,23,9
2021-06-06,21,11
2021-06-07,22,10
2021-06-08,23,9
2021-06-09,24,8
2021-06-10,21,11
2021-06-11,25,7
2021-06-12,26,6
2021-06-13,25,7
2021-06-14,28,4
2021-06-15,24,8
2021-06-16,24,8
2021-06-17,22,10
2021-06-18,20,12
2021-06-19,19,13
2021-06-20,20,12
2021-06-21,23,9
2021-06-22,24,8
2021-06-23,25,7
2021-06-24,21,11
2021-06-25,25,7
2021-06-26,25,7
2021-06-27,21,11
2021-06-28,21,11
2021-06-29,20,12
2021-06-30,21,11
2021-07-01,21,11
2021-07-02,20,12
2021-07-03,21,11
2021-07-04,19,13
2021-07-05,16,16
2021-07-06,20,12
2021-07-07,19,13
2021-07-08,21,11
2021-07-09,18,14
2021-07-10,19,13
2021-07-11,16,16
2021-07-12,22,10
2021-07-13,20,12
2021-07-14,20,12
2021-07-15,17,15
2021-07-16,21,11
2021-07-17,19,13
2021-07-18,18,14
2021-07-19,22,10
2021-07-20,23,9
2021-07-21,22,10
2021-07-22,23,9
2021-07-23,24,8
2021-07-24,20,12
2021-07-25,24,8
2021-07-26,22,10
2021-07-27,25,7
2021-07-28,21,11
2021-07-29,22,10
2021-07-30,22,10
2021-07-31,20,12
2021-08-01,21,11
2021-08-02,20,12
2021-08-03,20,12
2021-08-04,22,10
2021-08-05,23,9
2021-08-06,26,6
2021-08-07,20,12
2021-08-08,21,11
2021-08-09,24,8
2021-08-10,24,8
2021-08-11,20,12
2021-08-12,21,11
2021-08-13,18,14
2021-08-14,20,12
2021-08-15,21,11
2021-08-16,20,12
2021-08-17,21,11
2021-08-18,22,10
2021-08-19,22,10
2021-08-20,22,10
2021-08-21,21,11
2021-08-22,20,12
2021-08-23,19,13
2021-08-24,20,12
2021-08-25,23,9
2021-08-26,24,8
2021-08-27,22,10
2021-08-28,20,12
2021-08-29,22,10
2021-08-30,21,11
2021-08-31,20,12
2021-09-01,20,12
2021-09-02,21,11
2021-09-03,20,12
2021-09-04,20,12
2021-09-05,18,14
2021-09-06,21,11
2021-09-07,21,11
2021-09-08,29,3
2021-09-09,22,10
2021-09-10,27,5
2021-09-11,23,9
2021-09-12,22,8
2021-09-13,26,4
2021-09-14,25,5
2021-09-15,22,8
2021-09-16,23,9
2021-09-17,16,16
2021-09-18,16,16
2021-09-19,14,18
2021-09-20,14,18
2021-09-21,13,19
2021-09-22,25,7
2021-09-23,19,13
2021-09-24,24,8
2021-09-25,21,11
2021-09-26,18,14
2021-09-27,26,6
2021-09-28,24,8
2021-09-29,27,5
2021-09-30,24,8
2021-10-01,23,9
2021-10-02,22,10
2021-10-03,21,9
2021-10-04,24,6
2021-10-05,25,5
2021-10-06,25,5
2021-10-07,24,6
2021-10-08,19,11
2021-10-09,19,11
2021-10-10,18,12
2021-10-11,17,13
2021-10-12,22,8
2021-10-13,24,6
2021-10-14,24,6
2021-10-15,24,6
2021-10-16,22,8
2021-10-17,21,9
2021-10-18,22,8
2021-10-19,17,13
2021-10-20,20,10
2021-10-21,23,7
2021-10-22,23,7
2021-10-23,19,11
2021-10-24,16,14
2021-10-25,18,12
2021-10-26,17,13
2021-10-27,18,12
2021-10-28,18,12
2021-10-29,21,9
2021-10-30,18,12
2021-10-31,20,10
2021-11-01,20,10
2021-11-02,22,8
2021-11-03,22,8
2021-11-04,22,8
2021-11-05,27,3
2021-11-06,26,4
2021-11-07,22,8
2021-11-08,23,7
2021-11-09,23,7
2021-11-10,24,6
2021-11-11,22,8
2021-11-12,26,4
2021-11-13,24,4
2021-11-14,24,4
2021-11-15,28,1
2021-11-16,28,1
2021-11-17,27,2
2021-11-18,25,4
2021-11-19,24,5
2021-11-20,23,6
2021-11-21,24,5
2021-11-22,21,8
2021-11-23,25,4
2021-11-24,21,8
2021-11-25,25,4
2021-11-26,25,4
2021-11-27,21,8
2021-11-28,22,7
2021-11-29,27,2
2021-11-30,17,12
2021-12-01,21,8
2021-12-02,24,5
2021-12-03,23,6
2021-12-04,24,5
2021-12-05,20,9
2021-12-06,25,4
2021-12-07,24,5
2021-12-08,22,7
2021-12-09,20,9
2021-12-10,19,10
2021-12-11,18,11
2021-12-12,18,11
2021-12-13,22,7
2021-12-14,21,8
2021-12-15,19,10
2021-12-16,22,7
2021-12-17,24,5
2021-12-18,19,10
2021-12-19,18,11
2021-12-20,20,9
2021-12-21,24,5
2021-12-22,26,3
2021-12-23,27,2
2021-12-24,21,8
2021-12-25,24,5
2021-12-26,25,4
2021-12-27,25,4
2021-12-28,25,4
2021-12-29,23,6
2021-12-30,23,6
2021-12-31,22,7
2022-01-01,21,8
2022-01-02,23,6
2022-01-03,23,6
2022-01-04,21,8
2022-01-05,22,7
2022-01-06,23,6
2022-01-07,23,6
2022-01-08,23,6
2022-01-09,22,7
2022-01-10,18,11
2022-01-11,17,12
2022-01-12,19,10
2022-01-13,20,9
2022-01-14,19,10
2022-01-15,15,14
2022-01-16,19,10
2022-01-17,20,9
2022-01-18,21,8
2022-01-19,20,9
2022-01-20,24,5
2022-01-21,26,3
2022-01-22,23,6
2022-01-23,24,5
2022-01-24,25,4
2022-01-25,20,9
2022-01-26,23,6
2022-01-27,24,5
2022-01-28,22,7
2022-01-29,21,8
2022-01-30,24,5
2022-01-31,21,8
2022-02-01,19,10
2022-02-02,20,9
2022-02-03,22,7
2022-02-04,21,8
2022-02-05,18,11
2022-02-06,16,13
2022-02-07,22,7
2022-02-08,26,3
2022-02-09,21,8
2022-02-10,18,11
2022-02-11,22,7
2022-02-12,22,7
2022-02-13,20,9
2022-02-14,23,6
2022-02-15,23,6
2022-02-16,19,10
2022-02-17,20,9
2022-02-18,24,5
2022-02-19,23,6
2022-02-20,23,6
2022-02-21,20,9
2022-02-22,18,11
2022-02-23,22,7
2022-02-24,20,9
2022-02-25,18,11
2022-02-26,21,8
