date,betten_belegt,betten_frei
2020-04-24,86,79
2020-04-25,102,63
2020-04-26,103,62
2020-04-27,86,74
2020-04-28,94,69
2020-04-29,92,68
2020-04-30,98,61
2020-05-01,107,65
2020-05-02,91,74
2020-05-03,92,73
2020-05-04,95,73
2020-05-05,92,64
2020-05-06,95,62
2020-05-07,103,66
2020-05-08,102,69
2020-05-09,96,73
2020-05-10,87,81
2020-05-11,99,70
2020-05-12,95,72
2020-05-13,99,69
2020-05-14,101,66
2020-05-15,104,67
2020-05-16,111,57
2020-05-17,110,59
2020-05-18,107,63
2020-05-19,103,75
2020-05-20,111,69
2020-05-21,89,78
2020-05-22,87,80
2020-05-23,85,79
2020-05-24,94,71
2020-05-25,94,75
2020-05-26,93,75
2020-05-27,106,62
2020-05-28,113,56
2020-05-29,103,67
2020-05-30,105,65
2020-05-31,100,67
2020-06-01,101,66
2020-06-02,111,58
2020-06-03,113,70
2020-06-04,100,73
2020-06-05,92,64
2020-06-06,100,67
2020-06-07,96,70
2020-06-08,88,78
2020-06-09,103,73
2020-06-10,105,69
2020-06-11,94,76
2020-06-12,100,69
2020-06-13,106,63
2020-06-14,105,66
2020-06-15,100,69
2020-06-16,111,59
2020-06-17,107,62
2020-06-18,108,60
2020-06-19,100,68
2020-06-20,94,77
2020-06-21,93,78
2020-06-22,95,74
2020-06-23,104,64
2020-06-24,110,59
2020-06-25,92,78
2020-06-26,98,71
2020-06-27,98,70
2020-06-28,92,78
2020-06-29,99,70
2020-06-30,93,76
2020-07-01,97,72
2020-07-02,88,81
2020-07-03,100,70
2020-07-04,104,72
2020-07-05,92,82
2020-07-06,91,79
2020-07-07,106,63
2020-07-08,96,72
2020-07-09,92,76
2020-07-10,92,77
2020-07-11,84,85
2020-07-12,86,82
2020-07-13,95,74
2020-07-14,98,71
2020-07-15,85,75
2020-07-16,96,63
2020-07-17,102,67
2020-07-18,105,64
2020-07-19,101,68
2020-07-20,106,63
2020-07-21,102,64
2020-07-22,101,66
2020-07-23,99,67
2020-07-24,97,66
2020-07-25,90,83
2020-07-26,97,70
2020-07-27,92,75
2020-07-28,89,83
2020-07-29,102,66
2020-07-30,106,65
2020-07-31,107,61
2020-08-01,107,59
2020-08-02,101,67
2020-08-03,100,68
2020-08-04,103,64
2020-08-05,106,61
2020-08-06,104,63
2020-08-07,89,78
2020-08-08,90,77
2020-08-09,80,87
2020-08-10,80,89
2020-08-11,99,70
2020-08-12,101,68
2020-08-13,105,64
2020-08-14,109,60
2020-08-15,103,66
2020-08-16,103,66
2020-08-17,115,54
2020-08-18,115,58
2020-08-19,121,52
2020-08-20,114,57
2020-08-21,106,66
2020-08-22,106,66
2020-08-23,99,73
2020-08-24,100,73
2020-08-25,110,97
2020-08-26,102,105
2020-08-27,88,119
2020-08-28,89,118
2020-08-29,90,117
2020-08-30,88,119
2020-08-31,92,115
2020-09-01,101,106
2020-09-02,106,101
2020-09-03,92,115
2020-09-04,103,104
2020-09-05,99,108
2020-09-06,101,106
2020-09-07,110,95
2020-09-08,128,77
2020-09-09,115,92
2020-09-10,108,97
2020-09-11,98,109
2020-09-12,100,107
2020-09-13,102,105
2020-09-14,102,105
2020-09-15,101,106
2020-09-16,105,102
2020-09-17,114,93
2020-09-18,106,101
2020-09-19,93,112
2020-09-20,92,115
2020-09-21,100,107
2020-09-22,109,98
2020-09-23,107,100
2020-09-24,101,106
2020-09-25,99,108
2020-09-26,96,111
2020-09-27,97,110
2020-09-28,88,119
2020-09-29,101,106
2020-09-30,101,106
2020-10-01,98,109
2020-10-02,108,99
2020-10-03,111,95
2020-10-04,115,91
2020-10-05,105,102
2020-10-06,117,90
2020-10-07,125,82
2020-10-08,140,67
2020-10-09,138,69
2020-10-10,132,75
2020-10-11,122,83
2020-10-12,123,84
2020-10-13,103,104
2020-10-14,99,108
2020-10-15,102,105
2020-10-16,95,112
2020-10-17,97,110
2020-10-18,121,86
2020-10-19,103,104
2020-10-20,97,110
2020-10-21,103,104
2020-10-22,109,98
2020-10-23,105,102
2020-10-24,97,108
2020-10-25,96,109
2020-10-26,97,110
2020-10-27,100,105
2020-10-28,105,100
2020-10-29,106,96
2020-10-30,118,81
2020-10-31,118,82
2020-11-01,99,102
2020-11-02,101,100
2020-11-03,115,85
2020-11-04,108,94
2020-11-05,117,85
2020-11-06,102,42
2020-11-07,95,49
2020-11-08,91,51
2020-11-09,88,57
2020-11-10,104,39
2020-11-11,105,40
2020-11-12,101,44
2020-11-13,105,37
2020-11-14,98,44
2020-11-15,103,40
2020-11-16,99,44
2020-11-17,98,45
2020-11-18,105,40
2020-11-19,105,40
2020-11-20,103,43
2020-11-21,94,46
2020-11-22,95,45
2020-11-23,96,44
2020-11-24,108,33
2020-11-25,97,44
2020-11-26,101,40
2020-11-27,104,36
2020-11-28,105,33
2020-11-29,100,38
2020-11-30,104,30
2020-12-01,109,25
2020-12-02,110,26
2020-12-03,112,25
2020-12-04,107,30
2020-12-05,102,34
2020-12-06,103,32
2020-12-07,99,34
2020-12-08,108,26
2020-12-09,112,21
2020-12-10,113,21
2020-12-11,100,27
2020-12-12,90,33
2020-12-13,90,29
2020-12-14,100,26
2020-12-15,101,25
2020-12-16,107,19
2020-12-17,100,27
2020-12-18,106,23
2020-12-19,107,22
2020-12-20,101,28
2020-12-21,105,27
2020-12-22,97,35
2020-12-23,108,22
2020-12-24,99,36
2020-12-25,92,37
2020-12-26,95,34
2020-12-27,92,36
2020-12-28,95,39
2020-12-29,101,32
2020-12-30,99,35
2020-12-31,97,37
2021-01-01,106,27
2021-01-02,98,35
2021-01-03,93,40
2021-01-04,90,42
2021-01-05,89,44
2021-01-06,100,33
2021-01-07,106,29
2021-01-08,109,22
2021-01-09,109,24
2021-01-10,105,28
2021-01-11,102,30
2021-01-12,102,30
2021-01-13,106,25
2021-01-14,88,43
2021-01-15,87,44
2021-01-16,93,38
2021-01-17,87,44
2021-01-18,96,34
2021-01-19,93,35
2021-01-20,95,34
2021-01-21,107,22
2021-01-22,111,17
2021-01-23,109,21
2021-01-24,107,22
2021-01-25,95,30
2021-01-26,92,39
2021-01-27,102,28
2021-01-28,97,35
2021-01-29,103,31
2021-01-30,102,31
2021-01-31,92,45
2021-02-01,101,35
2021-02-02,106,33
2021-02-03,104,36
2021-02-04,103,36
2021-02-05,102,37
2021-02-06,92,47
2021-02-07,88,51
2021-02-08,83,50
2021-02-09,93,40
2021-02-10,97,35
2021-02-11,88,44
2021-02-12,97,36
2021-02-13,96,37
2021-02-14,95,36
2021-02-15,81,52
2021-02-16,91,41
2021-02-17,96,35
2021-02-18,92,40
2021-02-19,102,31
2021-02-20,104,31
2021-02-21,97,35
2021-02-22,103,31
2021-02-23,104,30
2021-02-24,101,34
2021-02-25,106,31
2021-02-26,103,34
2021-02-27,101,34
2021-02-28,92,45
2021-03-01,97,40
2021-03-02,87,46
2021-03-03,92,41
2021-03-04,87,46
2021-03-05,100,33
2021-03-06,97,38
2021-03-07,100,33
2021-03-08,103,29
2021-03-09,115,18
2021-03-10,108,25
2021-03-11,103,28
2021-03-12,107,27
2021-03-13,99,33
2021-03-14,95,37
2021-03-15,102,31
2021-03-16,99,34
2021-03-17,98,37
2021-03-18,98,35
2021-03-19,102,33
2021-03-20,113,23
2021-03-21,101,33
2021-03-22,104,30
2021-03-23,111,22
2021-03-24,106,27
2021-03-25,105,29
2021-03-26,103,30
2021-03-27,99,34
2021-03-28,92,41
2021-03-29,96,38
2021-03-30,97,36
2021-03-31,95,40
2021-04-01,98,35
2021-04-02,97,35
2021-04-03,82,51
2021-04-04,86,47
2021-04-05,96,37
2021-04-06,94,39
2021-04-07,105,28
2021-04-08,102,31
2021-04-09,103,30
