date,betten_belegt,betten_frei
2020-04-24,7,14
2020-04-25,6,16
2020-04-26,7,15
2020-04-27,19,17
2020-04-28,18,20
2020-04-29,19,20
2020-04-30,21,17
2020-05-01,21,16
2020-05-02,15,24
2020-05-03,16,22
2020-05-04,18,21
2020-05-05,14,22
2020-05-06,15,21
2020-05-07,12,29
2020-05-08,12,28
2020-05-09,15,24
2020-05-10,18,21
2020-05-11,21,18
2020-05-12,18,18
2020-05-13,18,17
2020-05-14,18,13
2020-05-15,20,19
2020-05-16,19,20
2020-05-17,20,19
2020-05-18,19,19
2020-05-19,15,23
2020-05-20,19,17
2020-05-21,16,22
2020-05-22,17,21
2020-05-23,22,16
2020-05-24,17,19
2020-05-25,15,16
2020-05-26,20,17
2020-05-27,19,17
2020-05-28,23,14
2020-05-29,23,14
2020-05-30,25,12
2020-05-31,20,15
2020-06-01,23,14
2020-06-02,25,12
2020-06-03,26,11
2020-06-04,23,13
2020-06-05,22,14
2020-06-06,24,14
2020-06-07,22,16
2020-06-08,19,20
2020-06-09,25,12
2020-06-10,20,19
2020-06-11,20,21
2020-06-12,19,22
2020-06-13,20,21
2020-06-14,17,22
2020-06-15,19,20
2020-06-16,25,14
2020-06-17,22,17
2020-06-18,20,19
2020-06-19,19,21
2020-06-20,23,15
2020-06-21,20,14
2020-06-22,20,16
2020-06-23,24,13
2020-06-24,20,17
2020-06-25,20,20
2020-06-26,20,18
2020-06-27,22,17
2020-06-28,24,14
2020-06-29,19,17
2020-06-30,17,17
2020-07-01,16,22
2020-07-02,19,18
2020-07-03,17,23
2020-07-04,20,21
2020-07-05,21,18
2020-07-06,16,23
2020-07-07,19,21
2020-07-08,18,21
2020-07-09,18,21
2020-07-10,18,19
2020-07-11,19,20
2020-07-12,20,19
2020-07-13,22,17
2020-07-14,22,17
2020-07-15,17,20
2020-07-16,19,21
2020-07-17,22,16
2020-07-18,22,16
2020-07-19,23,14
2020-07-20,25,12
2020-07-21,24,13
2020-07-22,24,17
2020-07-23,24,16
2020-07-24,27,12
2020-07-25,22,16
2020-07-26,22,16
2020-07-27,20,19
2020-07-28,20,19
2020-07-29,17,23
2020-07-30,20,20
2020-07-31,16,23
2020-08-01,18,20
2020-08-02,20,19
2020-08-03,20,18
2020-08-04,32,9
2020-08-05,31,10
2020-08-06,25,16
2020-08-07,24,17
2020-08-08,29,12
2020-08-09,29,12
2020-08-10,27,11
2020-08-11,24,17
2020-08-12,25,16
2020-08-13,23,18
2020-08-14,21,20
2020-08-15,27,14
2020-08-16,26,15
2020-08-17,25,16
2020-08-18,34,7
2020-08-19,32,9
2020-08-20,29,12
2020-08-21,34,7
2020-08-22,35,6
2020-08-23,31,10
2020-08-24,33,8
2020-08-25,33,8
2020-08-26,31,10
2020-08-27,29,12
2020-08-28,34,7
2020-08-29,30,11
2020-08-30,28,13
2020-08-31,30,11
2020-09-01,29,12
2020-09-02,26,15
2020-09-03,24,17
2020-09-04,28,13
2020-09-05,33,8
2020-09-06,27,14
2020-09-07,27,14
2020-09-08,31,10
2020-09-09,29,12
2020-09-10,29,12
2020-09-11,25,16
2020-09-12,31,10
2020-09-13,30,11
2020-09-14,30,11
2020-09-15,30,11
2020-09-16,33,8
2020-09-17,31,10
2020-09-18,30,11
2020-09-19,30,11
2020-09-20,29,12
2020-09-21,28,13
2020-09-22,26,15
2020-09-23,33,8
2020-09-24,29,12
2020-09-25,33,8
2020-09-26,34,7
2020-09-27,31,10
2020-09-28,33,8
2020-09-29,34,7
2020-09-30,34,7
2020-10-01,33,8
2020-10-02,31,10
2020-10-03,23,18
2020-10-04,26,15
2020-10-05,24,17
2020-10-06,29,12
2020-10-07,30,11
2020-10-08,31,10
2020-10-09,33,8
2020-10-10,33,8
2020-10-11,29,12
2020-10-12,22,19
2020-10-13,29,12
2020-10-14,32,9
2020-10-15,35,6
2020-10-16,32,9
2020-10-17,31,10
2020-10-18,30,11
2020-10-19,30,11
2020-10-20,28,13
2020-10-21,33,8
2020-10-22,32,5
2020-10-23,28,13
2020-10-24,28,9
2020-10-25,29,8
2020-10-26,25,12
2020-10-27,20,17
2020-10-28,22,15
2020-10-29,28,9
2020-10-30,31,6
2020-10-31,26,11
2020-11-01,26,11
2020-11-02,28,9
2020-11-03,29,8
2020-11-04,21,16
2020-11-05,24,13
2020-11-06,23,14
2020-11-07,23,14
2020-11-08,28,9
2020-11-09,27,10
2020-11-10,27,10
2020-11-11,27,10
2020-11-12,26,11
2020-11-13,21,16
2020-11-14,28,9
2020-11-15,27,10
2020-11-16,29,8
2020-11-17,28,9
2020-11-18,28,9
2020-11-19,29,8
2020-11-20,22,15
2020-11-21,28,9
2020-11-22,27,10
2020-11-23,25,12
2020-11-24,26,11
2020-11-25,25,12
2020-11-26,28,9
2020-11-27,27,10
2020-11-28,25,12
2020-11-29,27,10
2020-11-30,25,12
2020-12-01,26,11
2020-12-02,23,14
2020-12-03,26,11
2020-12-04,26,11
2020-12-05,28,9
2020-12-06,24,13
2020-12-07,23,14
2020-12-08,26,11
2020-12-09,25,12
2020-12-10,26,11
2020-12-11,29,8
2020-12-12,28,9
2020-12-13,27,10
2020-12-14,23,14
2020-12-15,23,14
2020-12-16,26,11
2020-12-17,27,10
2020-12-18,25,12
2020-12-19,22,15
2020-12-20,22,13
2020-12-21,22,11
2020-12-22,20,13
2020-12-23,19,14
2020-12-24,22,11
2020-12-25,18,15
2020-12-26,17,17
2020-12-27,22,11
2020-12-28,21,10
2020-12-29,22,10
2020-12-30,19,13
2020-12-31,18,15
2021-01-01,17,16
2021-01-02,17,16
2021-01-03,21,12
2021-01-04,20,13
2021-01-05,23,12
2021-01-06,19,16
2021-01-07,24,11
2021-01-08,25,10
2021-01-09,26,11
2021-01-10,23,14
2021-01-11,23,14
2021-01-12,29,8
2021-01-13,26,11
2021-01-14,24,10
2021-01-15,23,11
2021-01-16,21,14
2021-01-17,26,9
2021-01-18,21,14
2021-01-19,21,14
2021-01-20,22,13
2021-01-21,29,6
2021-01-22,25,10
2021-01-23,25,10
2021-01-24,21,12
2021-01-25,18,17
2021-01-26,21,14
2021-01-27,23,12
2021-01-28,23,12
2021-01-29,24,11
2021-01-30,22,11
2021-01-31,20,13
2021-02-01,23,10
2021-02-02,25,8
2021-02-03,26,7
2021-02-04,29,4
2021-02-05,26,5
2021-02-06,23,10
2021-02-07,26,7
2021-02-08,25,8
2021-02-09,24,9
2021-02-10,21,12
2021-02-11,24,9
2021-02-12,25,7
2021-02-13,23,8
2021-02-14,18,13
2021-02-15,22,9
2021-02-16,24,7
2021-02-17,21,10
2021-02-18,24,7
2021-02-19,24,6
2021-02-20,26,4
2021-02-21,24,6
2021-02-22,21,9
