date,betten_belegt,betten_frei
2020-04-24,86,64
2020-04-25,81,66
2020-04-26,78,71
2020-04-27,78,65
2020-04-28,83,64
2020-04-29,80,70
2020-04-30,86,50
2020-05-01,87,50
2020-05-02,82,56
2020-05-03,85,62
2020-05-04,86,58
2020-05-05,82,52
2020-05-06,89,46
2020-05-07,88,46
2020-05-08,88,49
2020-05-09,83,52
2020-05-10,79,52
2020-05-11,79,55
2020-05-12,82,46
2020-05-13,79,55
2020-05-14,85,49
2020-05-15,87,50
2020-05-16,79,53
2020-05-17,79,51
2020-05-18,81,49
2020-05-19,83,49
2020-05-20,83,50
2020-05-21,84,46
2020-05-22,80,52
2020-05-23,75,54
2020-05-24,75,54
2020-05-25,80,52
2020-05-26,79,52
2020-05-27,84,48
2020-05-28,88,44
2020-05-29,90,33
2020-05-30,81,39
2020-05-31,66,50
2020-06-01,63,49
2020-06-02,66,53
2020-06-03,83,36
2020-06-04,87,29
2020-06-05,86,33
2020-06-06,86,34
2020-06-07,80,37
2020-06-08,82,38
2020-06-09,85,32
2020-06-10,90,28
2020-06-11,88,30
2020-06-12,85,33
2020-06-13,80,34
2020-06-14,75,41
2020-06-15,78,37
2020-06-16,90,28
2020-06-17,91,30
2020-06-18,90,32
2020-06-19,84,37
2020-06-20,86,36
2020-06-21,78,39
2020-06-22,83,33
2020-06-23,86,35
2020-06-24,85,35
2020-06-25,83,34
2020-06-26,78,38
2020-06-27,78,38
2020-06-28,66,49
2020-06-29,69,47
2020-06-30,68,46
2020-07-01,74,40
2020-07-02,70,41
2020-07-03,75,35
2020-07-04,80,29
2020-07-05,74,35
2020-07-06,76,36
2020-07-07,72,39
2020-07-08,79,37
2020-07-09,77,41
2020-07-10,80,35
2020-07-11,81,30
2020-07-12,76,32
2020-07-13,75,32
2020-07-14,80,31
2020-07-15,85,31
2020-07-16,87,26
2020-07-17,75,32
2020-07-18,72,36
2020-07-19,78,28
2020-07-20,73,35
2020-07-21,76,33
2020-07-22,81,31
2020-07-23,75,32
2020-07-24,72,41
2020-07-25,79,30
2020-07-26,69,38
2020-07-27,74,36
2020-07-28,80,34
2020-07-29,86,29
2020-07-30,78,38
2020-07-31,71,41
2020-08-01,69,39
2020-08-02,70,38
2020-08-03,69,39
2020-08-04,78,29
2020-08-05,76,30
2020-08-06,77,25
2020-08-07,79,24
2020-08-08,71,30
2020-08-09,71,31
2020-08-10,73,35
2020-08-11,82,27
2020-08-12,84,25
2020-08-13,80,23
2020-08-14,81,21
2020-08-15,81,21
2020-08-16,76,27
2020-08-17,79,26
2020-08-18,82,24
2020-08-19,72,34
2020-08-20,75,26
2020-08-21,76,28
2020-08-22,63,34
2020-08-23,62,37
2020-08-24,61,40
2020-08-25,65,33
2020-08-26,69,32
2020-08-27,63,39
2020-08-28,66,35
2020-08-29,66,35
2020-08-30,67,34
2020-08-31,69,35
2020-09-01,76,28
2020-09-02,77,27
2020-09-03,75,29
2020-09-04,73,31
2020-09-05,69,32
2020-09-06,68,33
2020-09-07,66,37
2020-09-08,66,35
2020-09-09,68,33
2020-09-10,74,29
2020-09-11,75,28
2020-09-12,69,33
2020-09-13,64,38
2020-09-14,67,34
2020-09-15,70,31
2020-09-16,71,29
2020-09-17,72,28
2020-09-18,69,29
2020-09-19,67,33
2020-09-20,70,31
2020-09-21,72,30
2020-09-22,77,29
2020-09-23,80,23
2020-09-24,80,25
2020-09-25,77,30
2020-09-26,74,28
2020-09-27,66,37
2020-09-28,66,38
2020-09-29,70,31
2020-09-30,71,31
2020-10-01,75,27
2020-10-02,69,29
2020-10-03,69,29
2020-10-04,64,35
2020-10-05,67,31
2020-10-06,69,27
2020-10-07,75,24
2020-10-08,74,25
2020-10-09,70,26
2020-10-10,68,28
2020-10-11,66,31
2020-10-12,73,26
2020-10-13,70,29
2020-10-14,75,25
2020-10-15,78,22
2020-10-16,70,31
2020-10-17,68,34
2020-10-18,66,34
2020-10-19,64,36
2020-10-20,68,33
2020-10-21,74,27
2020-10-22,72,26
2020-10-23,71,25
2020-10-24,71,25
2020-10-25,71,25
2020-10-26,70,27
2020-10-27,73,26
2020-10-28,74,17
2020-10-29,74,17
2020-10-30,73,14
2020-10-31,71,17
2020-11-01,64,21
2020-11-02,71,18
2020-11-03,72,18
2020-11-04,76,15
2020-11-05,76,14
2020-11-06,73,16
2020-11-07,76,14
2020-11-08,66,24
2020-11-09,73,23
2020-11-10,76,22
2020-11-11,84,12
2020-11-12,82,16
2020-11-13,81,13
2020-11-14,74,18
2020-11-15,71,19
2020-11-16,74,20
2020-11-17,75,18
2020-11-18,77,14
2020-11-19,72,16
2020-11-20,72,20
2020-11-21,65,20
2020-11-22,63,24
2020-11-23,69,18
2020-11-24,72,21
2020-11-25,80,17
2020-11-26,77,17
2020-11-27,74,20
2020-11-28,74,20
2020-11-29,71,18
2020-11-30,71,21
2020-12-01,72,20
2020-12-02,74,16
2020-12-03,80,18
2020-12-04,74,23
2020-12-05,72,18
2020-12-06,73,19
2020-12-07,78,17
2020-12-08,77,16
2020-12-09,79,14
2020-12-10,79,14
2020-12-11,74,17
2020-12-12,68,18
2020-12-13,68,18
2020-12-14,69,15
2020-12-15,71,17
2020-12-16,78,12
2020-12-17,80,16
2020-12-18,80,14
2020-12-19,75,20
2020-12-20,75,16
2020-12-21,75,16
2020-12-22,80,17
2020-12-23,80,17
2020-12-24,82,9
2020-12-25,78,13
2020-12-26,87,11
2020-12-27,93,5
2020-12-28,94,5
2020-12-29,93,6
2020-12-30,98,4
2020-12-31,97,5
2021-01-01,100,6
2021-01-02,98,5
2021-01-03,100,7
2021-01-04,107,17
2021-01-05,108,14
2021-01-06,105,12
2021-01-07,100,14
2021-01-08,98,11
2021-01-09,96,12
2021-01-10,93,14
2021-01-11,94,13
2021-01-12,92,12
2021-01-13,100,10
2021-01-14,96,19
2021-01-15,97,18
2021-01-16,96,18
2021-01-17,96,17
2021-01-18,100,16
2021-01-19,99,16
2021-01-20,102,18
2021-01-21,104,18
2021-01-22,105,16
2021-01-23,96,24
2021-01-24,97,20
2021-01-25,104,19
2021-01-26,112,10
2021-01-27,107,7
2021-01-28,101,11
2021-01-29,102,11
2021-01-30,97,15
2021-01-31,98,14
2021-02-01,105,12
2021-02-02,106,13
2021-02-03,104,12
2021-02-04,101,17
2021-02-05,105,12
2021-02-06,104,17
2021-02-07,98,20
2021-02-08,104,13
2021-02-09,103,14
2021-02-10,103,14
2021-02-11,105,12
2021-02-12,109,12
2021-02-13,108,13
2021-02-14,103,16
2021-02-15,100,19
2021-02-16,102,16
2021-02-17,106,12
2021-02-18,110,10
2021-02-19,99,17
2021-02-20,96,19
2021-02-21,101,18
2021-02-22,99,19
2021-02-23,99,19
2021-02-24,104,14
2021-02-25,105,17
2021-02-26,104,10
2021-02-27,94,16
2021-02-28,95,15
2021-03-01,106,13
2021-03-02,108,13
2021-03-03,112,8
2021-03-04,108,10
2021-03-05,104,14
2021-03-06,102,17
2021-03-07,97,21
2021-03-08,100,17
2021-03-09,90,23
2021-03-10,97,16
2021-03-11,101,15
2021-03-12,97,19
2021-03-13,87,26
2021-03-14,91,22
2021-03-15,85,23
2021-03-16,90,18
2021-03-17,99,9
2021-03-18,94,14
2021-03-19,98,10
2021-03-20,90,18
2021-03-21,91,17
2021-03-22,95,13
2021-03-23,99,9
2021-03-24,98,9
2021-03-25,99,8
2021-03-26,97,9
2021-03-27,94,11
2021-03-28,81,17
2021-03-29,89,19
2021-03-30,90,16
2021-03-31,96,10
2021-04-01,93,13
2021-04-02,89,17
2021-04-03,89,15
2021-04-04,89,19
2021-04-05,84,17
2021-04-06,92,18
2021-04-07,89,20
2021-04-08,83,22
2021-04-09,91,18
2021-04-10,90,19
2021-04-11,89,15
2021-04-12,89,16
2021-04-13,93,13
2021-04-14,90,14
2021-04-15,88,14
2021-04-16,89,13
2021-04-17,91,11
2021-04-18,86,12
2021-04-19,83,18
2021-04-20,85,10
2021-04-21,89,5
2021-04-22,93,2
2021-04-23,92,2
2021-04-24,90,3
2021-04-25,90,4
2021-04-26,90,3
2021-04-27,91,4
2021-04-28,90,4
2021-04-29,88,8
2021-04-30,87,9
2021-05-01,92,10
2021-05-02,92,10
2021-05-03,98,7
2021-05-04,99,10
2021-05-05,97,11
2021-05-06,100,9
2021-05-07,98,9
2021-05-08,98,7
2021-05-09,94,10
2021-05-10,99,5
2021-05-11,95,11
2021-05-12,96,13
2021-05-13,99,10
2021-05-14,99,9
2021-05-15,99,9
2021-05-16,96,8
2021-05-17,98,10
2021-05-18,97,11
2021-05-19,98,10
2021-05-20,96,10
2021-05-21,95,10
2021-05-22,89,15
2021-05-23,89,15
2021-05-24,86,18
2021-05-25,84,21
2021-05-26,88,15
2021-05-27,89,12
2021-05-28,87,14
2021-05-29,82,18
2021-05-30,83,17
2021-05-31,85,15
2021-06-01,84,14
2021-06-02,84,14
2021-06-03,79,20
2021-06-04,83,15
2021-06-05,85,9
2021-06-06,83,11
2021-06-07,83,10
2021-06-08,80,16
2021-06-09,88,13
2021-06-10,85,16
2021-06-11,82,17
2021-06-12,86,13
2021-06-13,86,13
2021-06-14,82,15
2021-06-15,80,16
2021-06-16,81,15
2021-06-17,79,17
2021-06-18,83,12
2021-06-19,84,11
2021-06-20,84,11
2021-06-21,82,11
2021-06-22,84,10
2021-06-23,87,8
2021-06-24,88,7
2021-06-25,89,6
2021-06-26,85,9
2021-06-27,82,13
2021-06-28,79,16
2021-06-29,81,13
2021-06-30,86,6
2021-07-01,87,8
2021-07-02,86,8
2021-07-03,83,12
2021-07-04,83,10
2021-07-05,85,7
2021-07-06,83,11
2021-07-07,86,8
2021-07-08,86,3
2021-07-09,86,3
2021-07-10,85,4
2021-07-11,84,5
2021-07-12,87,4
2021-07-13,86,7
2021-07-14,81,10
2021-07-15,85,6
2021-07-16,83,8
2021-07-17,82,9
2021-07-18,83,11
2021-07-19,79,15
2021-07-20,80,13
2021-07-21,78,15
2021-07-22,86,7
2021-07-23,83,14
2021-07-24,78,20
2021-07-25,81,17
2021-07-26,84,14
2021-07-27,87,9
2021-07-28,88,10
2021-07-29,84,12
2021-07-30,83,15
2021-07-31,80,17
2021-08-01,84,13
2021-08-02,86,8
2021-08-03,84,15
2021-08-04,85,14
2021-08-05,82,17
2021-08-06,83,14
2021-08-07,85,12
2021-08-08,87,10
2021-08-09,80,16
2021-08-10,80,17
2021-08-11,80,16
2021-08-12,75,11
2021-08-13,74,10
2021-08-14,74,10
2021-08-15,74,10
2021-08-16,76,15
2021-08-17,74,18
2021-08-18,75,14
2021-08-19,77,12
2021-08-20,75,13
2021-08-21,76,12
2021-08-22,76,12
2021-08-23,74,14
2021-08-24,77,10
2021-08-25,80,12
2021-08-26,79,12
2021-08-27,79,13
2021-08-28,78,13
2021-08-29,79,12
2021-08-30,78,14
2021-08-31,79,15
2021-09-01,76,19
2021-09-02,77,18
2021-09-03,80,14
2021-09-04,82,13
2021-09-05,81,14
2021-09-06,82,16
2021-09-07,84,7
2021-09-08,84,6
2021-09-09,85,7
2021-09-10,86,4
2021-09-11,82,7
2021-09-12,81,8
2021-09-13,82,7
2021-09-14,83,6
2021-09-15,91,11
2021-09-16,89,11
2021-09-17,93,10
2021-09-18,91,12
2021-09-19,91,12
2021-09-20,90,14
2021-09-21,92,11
2021-09-22,90,13
2021-09-23,89,18
2021-09-24,88,18
2021-09-25,87,17
2021-09-26,85,20
2021-09-27,88,18
2021-09-28,89,19
2021-09-29,93,15
2021-09-30,97,9
2021-10-01,95,11
2021-10-02,93,13
2021-10-03,95,10
2021-10-04,94,11
2021-10-05,93,12
2021-10-06,99,6
2021-10-07,96,5
2021-10-08,96,8
2021-10-09,93,10
2021-10-10,94,10
2021-10-11,89,15
2021-10-12,90,13
2021-10-13,81,22
2021-10-14,84,17
2021-10-15,86,16
2021-10-16,78,26
2021-10-17,77,25
2021-10-18,83,19
2021-10-19,92,9
2021-10-20,90,10
2021-10-21,93,8
2021-10-22,92,8
2021-10-23,93,8
2021-10-24,95,7
2021-10-25,93,8
2021-10-26,97,6
2021-10-27,91,10
2021-10-28,92,10
2021-10-29,95,6
2021-10-30,95,6
2021-10-31,94,7
2021-11-01,95,7
2021-11-02,91,11
2021-11-03,94,8
2021-11-04,90,12
2021-11-05,93,8
2021-11-06,97,5
2021-11-07,98,5
2021-11-08,93,10
2021-11-09,94,7
2021-11-10,97,4
2021-11-11,92,10
2021-11-12,95,8
2021-11-13,95,7
2021-11-14,95,9
2021-11-15,96,8
2021-11-16,95,10
2021-11-17,93,11
2021-11-18,97,9
2021-11-19,93,8
2021-11-20,94,7
2021-11-21,95,7
2021-11-22,98,5
2021-11-23,102,1
2021-11-24,97,5
2021-11-25,95,5
2021-11-26,93,7
2021-11-27,94,5
2021-11-28,92,9
2021-11-29,94,7
2021-11-30,93,9
2021-12-01,95,7
2021-12-02,95,6
2021-12-03,96,5
2021-12-04,87,14
2021-12-05,86,15
2021-12-06,87,14
2021-12-07,87,7
2021-12-08,91,5
2021-12-09,89,7
2021-12-10,90,6
2021-12-11,88,8
2021-12-12,87,8
2021-12-13,87,9
2021-12-14,88,9
2021-12-15,93,9
2021-12-16,91,9
2021-12-17,94,7
2021-12-18,85,14
2021-12-19,85,13
