date,betten_belegt,betten_frei
2020-04-24,22,7
2020-04-25,25,7
2020-04-26,25,7
2020-04-27,22,9
2020-04-28,24,7
2020-04-29,28,3
2020-04-30,28,1
2020-05-01,26,3
2020-05-02,26,3
2020-05-03,26,3
2020-05-04,25,4
2020-05-05,27,3
2020-05-06,27,3
2020-05-07,23,4
2020-05-08,26,4
2020-05-09,0,7
2020-05-10,0,13
2020-05-11,23,9
2020-05-12,25,7
2020-05-13,16,13
2020-05-14,22,10
2020-05-15,22,10
2020-05-16,27,5
2020-05-17,28,4
2020-05-18,24,8
2020-05-19,24,8
2020-05-20,19,10
2020-05-21,18,14
2020-05-22,19,13
2020-05-23,22,10
2020-05-24,21,11
2020-05-25,21,11
2020-05-26,22,10
2020-05-27,21,11
2020-05-28,13,18
2020-05-29,20,12
2020-05-30,16,16
2020-05-31,13,19
2020-06-01,15,17
2020-06-02,22,10
2020-06-03,24,8
2020-06-04,23,9
2020-06-05,23,9
2020-06-06,24,8
2020-06-07,22,10
2020-06-08,18,14
2020-06-09,21,11
2020-06-10,24,12
2020-06-11,23,11
2020-06-12,21,13
2020-06-13,19,15
2020-06-14,21,13
2020-06-15,24,10
2020-06-16,25,9
2020-06-17,20,14
2020-06-18,21,13
2020-06-19,22,12
2020-06-20,22,12
2020-06-21,18,16
2020-06-22,21,13
2020-06-23,25,9
2020-06-24,23,11
2020-06-25,27,7
2020-06-26,26,8
2020-06-27,23,11
2020-06-28,20,14
2020-06-29,27,7
2020-06-30,30,4
2020-07-01,31,3
2020-07-02,31,3
2020-07-03,28,6
2020-07-04,26,8
2020-07-05,28,6
2020-07-06,24,10
2020-07-07,28,6
2020-07-08,23,11
2020-07-09,18,16
2020-07-10,19,13
2020-07-11,22,12
2020-07-12,18,16
2020-07-13,21,13
2020-07-14,21,13
2020-07-15,27,7
2020-07-16,27,7
2020-07-17,28,6
2020-07-18,29,5
2020-07-19,25,9
2020-07-20,26,8
2020-07-21,27,7
2020-07-22,25,9
2020-07-23,28,6
2020-07-24,23,11
2020-07-25,23,11
2020-07-26,23,11
2020-07-27,23,15
2020-07-28,21,17
2020-07-29,27,9
2020-07-30,18,17
2020-07-31,21,14
2020-08-01,26,14
2020-08-02,22,18
2020-08-03,25,17
2020-08-04,20,17
2020-08-05,21,16
2020-08-06,22,15
2020-08-07,26,11
2020-08-08,27,10
2020-08-09,27,10
2020-08-10,27,10
2020-08-11,30,10
2020-08-12,28,12
2020-08-13,28,12
2020-08-14,27,13
2020-08-15,32,8
2020-08-16,34,6
2020-08-17,30,10
2020-08-18,34,6
2020-08-19,34,6
2020-08-20,31,9
2020-08-21,30,10
2020-08-22,27,13
2020-08-23,29,11
2020-08-24,26,14
2020-08-25,24,16
2020-08-26,20,20
2020-08-27,22,18
2020-08-28,25,15
2020-08-29,25,15
2020-08-30,17,23
2020-08-31,20,20
2020-09-01,16,24
2020-09-02,19,21
2020-09-03,20,20
2020-09-04,17,23
2020-09-05,17,23
2020-09-06,16,24
2020-09-07,25,15
2020-09-08,25,15
2020-09-09,23,17
2020-09-10,22,18
2020-09-11,26,14
2020-09-12,28,12
2020-09-13,21,19
2020-09-14,25,15
2020-09-15,26,14
2020-09-16,30,10
2020-09-17,28,12
2020-09-18,30,10
2020-09-19,23,17
2020-09-20,27,13
2020-09-21,30,10
2020-09-22,29,11
2020-09-23,26,14
2020-09-24,21,19
2020-09-25,20,20
2020-09-26,16,24
2020-09-27,18,22
2020-09-28,19,21
2020-09-29,23,17
2020-09-30,22,18
2020-10-01,25,15
2020-10-02,26,14
2020-10-03,25,15
2020-10-04,25,15
2020-10-05,23,17
2020-10-06,26,14
2020-10-07,21,19
2020-10-08,19,13
2020-10-09,26,6
2020-10-10,29,3
2020-10-11,22,10
2020-10-12,24,16
2020-10-13,24,16
2020-10-14,26,14
2020-10-15,26,14
2020-10-16,27,13
2020-10-17,22,18
2020-10-18,24,16
2020-10-19,26,14
2020-10-20,26,6
2020-10-21,26,6
2020-10-22,21,11
2020-10-23,30,10
2020-10-24,30,10
2020-10-25,30,10
2020-10-26,26,14
2020-10-27,29,11
2020-10-28,24,16
2020-10-29,19,21
2020-10-30,26,14
2020-10-31,28,12
2020-11-01,33,7
2020-11-02,28,12
2020-11-03,25,15
2020-11-04,29,11
2020-11-05,24,16
2020-11-06,27,13
2020-11-07,27,13
2020-11-08,27,13
2020-11-09,25,15
2020-11-10,22,18
2020-11-11,22,18
2020-11-12,20,20
2020-11-13,20,20
2020-11-14,20,20
2020-11-15,21,19
2020-11-16,19,21
2020-11-17,20,20
2020-11-18,17,23
2020-11-19,14,26
2020-11-20,14,26
2020-11-21,23,17
2020-11-22,21,19
2020-11-23,21,19
2020-11-24,23,17
2020-11-25,21,19
2020-11-26,23,17
2020-11-27,26,14
2020-11-28,27,12
2020-11-29,27,12
2020-11-30,26,14
2020-12-01,26,14
2020-12-02,26,14
2020-12-03,26,14
2020-12-04,27,13
2020-12-05,27,13
2020-12-06,21,19
2020-12-07,21,24
2020-12-08,25,20
2020-12-09,26,19
2020-12-10,30,15
2020-12-11,27,18
2020-12-12,27,18
2020-12-13,26,19
2020-12-14,19,21
2020-12-15,28,12
2020-12-16,30,10
2020-12-17,27,13
2020-12-18,22,18
2020-12-19,22,18
2020-12-20,23,17
2020-12-21,26,14
2020-12-22,19,21
2020-12-23,27,13
2020-12-24,28,12
2020-12-25,25,15
2020-12-26,27,13
2020-12-27,33,7
2020-12-28,32,8
2020-12-29,28,12
2020-12-30,26,14
2020-12-31,24,16
2021-01-01,28,12
2021-01-02,23,17
2021-01-03,26,14
2021-01-04,25,15
2021-01-05,25,15
2021-01-06,27,13
2021-01-07,31,9
2021-01-08,29,11
2021-01-09,29,11
2021-01-10,27,13
2021-01-11,28,12
2021-01-12,30,10
2021-01-13,27,9
2021-01-14,27,9
2021-01-15,22,14
2021-01-16,30,9
2021-01-17,29,10
2021-01-18,26,12
2021-01-19,29,11
2021-01-20,32,8
2021-01-21,32,8
2021-01-22,33,7
2021-01-23,32,7
2021-01-24,28,11
2021-01-25,30,9
2021-01-26,33,7
2021-01-27,32,8
2021-01-28,28,8
2021-01-29,31,5
2021-01-30,30,6
2021-01-31,28,8
2021-02-01,31,7
2021-02-02,29,11
2021-02-03,25,15
2021-02-04,25,14
2021-02-05,25,14
2021-02-06,28,11
2021-02-07,30,10
2021-02-08,30,10
2021-02-09,31,9
2021-02-10,33,7
2021-02-11,34,4
2021-02-12,35,3
2021-02-13,35,3
2021-02-14,33,4
2021-02-15,31,8
2021-02-16,32,8
2021-02-17,34,5
2021-02-18,32,6
2021-02-19,35,5
2021-02-20,30,10
2021-02-21,32,8
2021-02-22,32,5
2021-02-23,29,7
2021-02-24,29,7
2021-02-25,30,7
2021-02-26,32,6
2021-02-27,27,11
2021-02-28,27,11
2021-03-01,27,11
2021-03-02,25,13
2021-03-03,21,16
2021-03-04,25,11
2021-03-05,26,10
2021-03-06,17,19
2021-03-07,20,20
2021-03-08,25,10
2021-03-09,33,5
2021-03-10,31,7
2021-03-11,29,8
2021-03-12,27,8
2021-03-13,23,12
2021-03-14,25,10
2021-03-15,23,12
2021-03-16,29,6
2021-03-17,29,7
2021-03-18,28,6
2021-03-19,25,8
2021-03-20,26,7
2021-03-21,31,4
2021-03-22,28,5
2021-03-23,30,2
2021-03-24,27,7
2021-03-25,25,7
2021-03-26,24,7
2021-03-27,23,8
2021-03-28,22,9
2021-03-29,23,8
2021-03-30,27,6
2021-03-31,28,5
2021-04-01,23,4
2021-04-02,22,5
2021-04-03,26,10
2021-04-04,26,10
2021-04-05,27,9
2021-04-06,24,7
2021-04-07,25,6
2021-04-08,26,5
2021-04-09,25,5
2021-04-10,22,8
2021-04-11,26,4
2021-04-12,23,5
2021-04-13,27,3
2021-04-14,25,5
2021-04-15,26,4
2021-04-16,24,6
2021-04-17,22,4
2021-04-18,19,7
2021-04-19,18,8
2021-04-20,20,6
2021-04-21,19,7
2021-04-22,21,5
2021-04-23,20,6
