date,betten_belegt,betten_frei
2020-04-24,27,33
2020-04-25,20,40
2020-04-26,19,41
2020-04-27,20,40
2020-04-28,21,39
2020-04-29,27,33
2020-04-30,25,35
2020-05-01,24,36
2020-05-02,25,35
2020-05-03,24,36
2020-05-04,27,33
2020-05-05,26,34
2020-05-06,25,35
2020-05-07,25,35
2020-05-08,26,34
2020-05-09,22,38
2020-05-10,19,41
2020-05-11,20,40
2020-05-12,22,38
2020-05-13,28,32
2020-05-14,22,38
2020-05-15,23,37
2020-05-16,29,31
2020-05-17,25,35
2020-05-18,24,36
2020-05-19,28,32
2020-05-20,30,30
2020-05-21,30,30
2020-05-22,29,31
2020-05-23,26,34
2020-05-24,24,34
2020-05-25,26,34
2020-05-26,30,30
2020-05-27,28,32
2020-05-28,29,31
2020-05-29,31,29
2020-05-30,31,29
2020-05-31,29,31
2020-06-01,29,31
2020-06-02,29,31
2020-06-03,32,28
2020-06-04,27,33
2020-06-05,31,29
2020-06-06,29,31
2020-06-07,25,35
2020-06-08,29,31
2020-06-09,30,30
2020-06-10,32,28
2020-06-11,33,27
2020-06-12,32,28
2020-06-13,31,29
2020-06-14,29,31
2020-06-15,29,31
2020-06-16,30,30
2020-06-17,26,34
2020-06-18,32,28
2020-06-19,31,29
2020-06-20,30,30
2020-06-21,30,30
2020-06-22,32,28
2020-06-23,33,27
2020-06-24,32,28
2020-06-25,28,32
2020-06-26,30,30
2020-06-27,29,31
2020-06-28,29,31
2020-06-29,28,32
2020-06-30,28,32
2020-07-01,31,29
2020-07-02,28,32
2020-07-03,26,34
2020-07-04,29,31
2020-07-05,26,34
2020-07-06,29,31
2020-07-07,26,34
2020-07-08,27,33
2020-07-09,32,28
2020-07-10,34,26
2020-07-11,28,32
2020-07-12,28,32
2020-07-13,26,34
2020-07-14,22,38
2020-07-15,28,32
2020-07-16,29,31
2020-07-17,27,33
2020-07-18,30,30
2020-07-19,25,35
2020-07-20,23,37
2020-07-21,22,38
2020-07-22,30,30
2020-07-23,27,33
2020-07-24,29,31
2020-07-25,30,30
2020-07-26,30,30
2020-07-27,24,36
2020-07-28,30,30
2020-07-29,28,32
2020-07-30,29,31
2020-07-31,27,33
2020-08-01,27,33
2020-08-02,26,34
2020-08-03,29,31
2020-08-04,31,19
2020-08-05,26,24
2020-08-06,28,22
2020-08-07,25,25
2020-08-08,24,28
2020-08-09,26,26
2020-08-10,24,28
2020-08-11,25,27
2020-08-12,24,28
2020-08-13,24,28
2020-08-14,24,28
2020-08-15,22,30
2020-08-16,22,30
2020-08-17,25,27
2020-08-18,25,27
2020-08-19,26,26
2020-08-20,23,29
2020-08-21,24,28
2020-08-22,27,25
2020-08-23,23,29
2020-08-24,21,31
2020-08-25,21,31
2020-08-26,27,25
2020-08-27,27,25
