date,betten_belegt,betten_frei
2020-04-24,6,7
2020-04-25,6,7
2020-04-26,6,7
2020-04-27,7,6
2020-04-28,8,5
2020-04-29,7,6
2020-04-30,5,8
2020-05-01,5,8
2020-05-02,3,10
2020-05-03,3,10
2020-05-04,3,10
2020-05-05,3,10
2020-05-06,3,10
2020-05-07,3,10
2020-05-08,3,10
2020-05-09,3,10
2020-05-10,3,10
2020-05-11,3,10
2020-05-12,3,10
2020-05-13,6,7
2020-05-14,5,8
2020-05-15,6,7
2020-05-16,7,5
2020-05-17,6,7
2020-05-18,8,5
2020-05-19,8,5
2020-05-20,8,5
2020-05-21,8,5
2020-05-22,8,5
2020-05-23,7,5
2020-05-24,8,5
2020-05-25,8,5
2020-05-26,5,7
2020-05-27,4,9
2020-05-28,6,7
2020-05-29,8,5
2020-05-30,7,6
2020-05-31,8,5
2020-06-01,6,7
2020-06-02,6,7
2020-06-03,7,6
2020-06-04,6,7
2020-06-05,8,5
2020-06-06,7,6
2020-06-07,7,6
2020-06-08,7,6
2020-06-09,8,5
2020-06-10,8,5
2020-06-11,8,5
2020-06-12,8,5
2020-06-13,5,8
2020-06-14,6,7
2020-06-15,6,7
2020-06-16,7,6
2020-06-17,7,6
2020-06-18,6,7
2020-06-19,7,6
2020-06-20,6,7
2020-06-21,6,7
2020-06-22,7,6
2020-06-23,7,6
2020-06-24,7,6
2020-06-25,5,8
2020-06-26,8,5
2020-06-27,2,11
2020-06-28,5,8
2020-06-29,6,7
2020-06-30,5,8
2020-07-01,4,9
2020-07-02,6,7
2020-07-03,6,7
2020-07-04,6,7
2020-07-05,5,8
2020-07-06,7,6
2020-07-07,8,5
2020-07-08,8,5
2020-07-09,7,7
2020-07-10,8,5
2020-07-11,6,7
2020-07-12,6,7
2020-07-13,6,8
2020-07-14,8,5
2020-07-15,8,9
2020-07-16,8,5
2020-07-17,7,6
2020-07-18,8,5
2020-07-19,8,5
2020-07-20,8,5
2020-07-21,7,4
2020-07-22,7,4
2020-07-23,8,3
2020-07-24,8,3
2020-07-25,8,3
2020-07-26,8,3
2020-07-27,8,3
2020-07-28,8,3
2020-07-29,8,3
2020-07-30,8,3
2020-07-31,8,3
2020-08-01,8,3
2020-08-02,8,3
2020-08-03,8,3
2020-08-04,8,0
2020-08-05,8,0
2020-08-06,8,0
2020-08-07,8,0
2020-08-08,8,0
2020-08-09,8,0
2020-08-10,8,0
2020-08-11,8,0
2020-08-12,7,1
2020-08-13,8,0
2020-08-14,8,0
2020-08-15,8,0
2020-08-16,6,2
2020-08-17,7,1
2020-08-18,6,2
2020-08-19,6,2
2020-08-20,7,1
2020-08-21,7,1
2020-08-22,6,2
2020-08-23,6,2
2020-08-24,8,0
2020-08-25,8,0
2020-08-26,7,1
2020-08-27,7,1
2020-08-28,7,1
2020-08-29,6,2
2020-08-30,7,1
2020-08-31,7,1
2020-09-01,7,1
2020-09-02,6,2
2020-09-03,6,2
2020-09-04,5,3
2020-09-05,5,3
2020-09-06,4,4
2020-09-07,3,5
2020-09-08,8,0
2020-09-09,4,4
2020-09-10,6,2
2020-09-11,7,1
2020-09-12,4,4
2020-09-13,5,3
2020-09-14,5,3
2020-09-15,7,1
2020-09-16,5,3
2020-09-17,3,5
2020-09-18,3,5
2020-09-19,5,3
2020-09-20,7,1
2020-09-21,7,1
2020-09-22,5,3
2020-09-23,7,1
2020-09-24,8,0
2020-09-25,8,0
2020-09-26,6,2
2020-09-27,7,1
2020-09-28,8,0
2020-09-29,7,1
2020-09-30,8,0
2020-10-01,8,0
2020-10-02,8,0
2020-10-03,7,1
2020-10-04,8,0
2020-10-05,7,1
2020-10-06,6,2
2020-10-07,5,3
2020-10-08,6,2
2020-10-09,6,2
2020-10-10,5,3
2020-10-11,5,3
2020-10-12,6,2
2020-10-13,7,1
2020-10-14,5,3
