date,betten_belegt,betten_frei
2020-04-24,24,24
2020-04-25,19,29
2020-04-26,19,29
2020-04-27,20,28
2020-04-28,19,29
2020-04-29,16,32
2020-04-30,22,26
2020-05-01,17,21
2020-05-02,17,21
2020-05-03,16,32
2020-05-04,21,27
2020-05-05,18,30
2020-05-06,15,33
2020-05-07,21,27
2020-05-08,21,27
2020-05-09,21,27
2020-05-10,15,33
2020-05-11,18,30
2020-05-12,19,29
2020-05-13,21,27
2020-05-14,25,23
2020-05-15,20,28
2020-05-16,19,29
2020-05-17,19,29
2020-05-18,21,27
2020-05-19,20,28
2020-05-20,17,31
2020-05-21,17,31
2020-05-22,15,33
2020-05-23,23,25
2020-05-24,20,28
2020-05-25,19,29
2020-05-26,20,28
2020-05-27,21,27
2020-05-28,21,27
2020-05-29,21,27
2020-05-30,18,30
2020-05-31,22,26
2020-06-01,23,25
2020-06-02,21,27
2020-06-03,29,19
2020-06-04,21,27
2020-06-05,23,25
2020-06-06,22,26
2020-06-07,16,30
2020-06-08,16,32
2020-06-09,20,28
2020-06-10,21,27
2020-06-11,19,29
2020-06-12,26,22
2020-06-13,23,25
2020-06-14,22,26
2020-06-15,16,32
2020-06-16,18,30
2020-06-17,15,33
2020-06-18,16,30
2020-06-19,20,28
2020-06-20,21,27
2020-06-21,23,25
2020-06-22,20,28
2020-06-23,17,31
2020-06-24,23,25
2020-06-25,21,27
2020-06-26,19,29
2020-06-27,20,28
2020-06-28,23,25
2020-06-29,23,25
2020-06-30,21,27
2020-07-01,17,31
2020-07-02,20,26
2020-07-03,23,25
2020-07-04,17,31
2020-07-05,19,29
2020-07-06,22,26
2020-07-07,23,11
2020-07-08,27,7
2020-07-09,24,10
2020-07-10,24,10
2020-07-11,24,10
2020-07-12,21,13
2020-07-13,25,9
2020-07-14,22,12
2020-07-15,21,13
2020-07-16,21,13
2020-07-17,25,9
2020-07-18,25,9
2020-07-19,20,14
2020-07-20,23,11
2020-07-21,21,13
2020-07-22,25,9
2020-07-23,23,11
2020-07-24,26,8
2020-07-25,17,17
2020-07-26,17,17
2020-07-27,27,7
2020-07-28,25,9
2020-07-29,25,9
2020-07-30,25,9
2020-07-31,30,4
2020-08-01,17,17
2020-08-02,18,16
2020-08-03,24,10
2020-08-04,27,7
2020-08-05,27,7
2020-08-06,24,10
2020-08-07,25,9
2020-08-08,24,10
2020-08-09,31,3
2020-08-10,26,8
2020-08-11,23,11
2020-08-12,21,13
2020-08-13,18,16
2020-08-14,21,13
2020-08-15,18,16
2020-08-16,15,19
2020-08-17,26,8
2020-08-18,24,10
2020-08-19,20,14
2020-08-20,25,9
2020-08-21,24,10
2020-08-22,24,10
2020-08-23,18,16
2020-08-24,24,10
2020-08-25,24,10
2020-08-26,28,6
2020-08-27,26,8
2020-08-28,28,6
2020-08-29,26,8
2020-08-30,20,14
2020-08-31,27,7
2020-09-01,22,12
2020-09-02,20,14
2020-09-03,20,14
2020-09-04,27,7
2020-09-05,28,6
2020-09-06,20,14
2020-09-07,26,8
2020-09-08,17,17
2020-09-09,28,6
2020-09-10,18,16
2020-09-11,26,8
2020-09-12,30,4
2020-09-13,30,4
2020-09-14,23,11
2020-09-15,30,6
2020-09-16,30,6
2020-09-17,31,5
2020-09-18,28,8
2020-09-19,19,17
2020-09-20,17,19
2020-09-21,26,10
2020-09-22,21,15
2020-09-23,26,10
2020-09-24,19,17
2020-09-25,20,16
2020-09-26,27,9
2020-09-27,27,9
2020-09-28,26,10
2020-09-29,26,10
2020-09-30,26,10
2020-10-01,23,13
2020-10-02,30,6
2020-10-03,25,11
2020-10-04,25,11
2020-10-05,27,9
2020-10-06,25,11
2020-10-07,23,13
2020-10-08,22,14
2020-10-09,24,12
2020-10-10,22,14
2020-10-11,20,16
2020-10-12,29,7
2020-10-13,32,4
2020-10-14,30,6
2020-10-15,30,6
2020-10-16,30,6
2020-10-17,30,6
2020-10-18,27,9
2020-10-19,25,11
2020-10-20,28,8
2020-10-21,28,8
2020-10-22,28,8
2020-10-23,26,10
2020-10-24,21,15
2020-10-25,21,15
2020-10-26,24,12
2020-10-27,29,7
2020-10-28,30,6
2020-10-29,28,8
2020-10-30,25,11
2020-10-31,26,10
2020-11-01,26,10
2020-11-02,26,10
2020-11-03,26,10
2020-11-04,24,12
2020-11-05,31,5
2020-11-06,31,5
2020-11-07,24,12
2020-11-08,23,13
2020-11-09,34,2
2020-11-10,29,7
2020-11-11,29,7
2020-11-12,27,9
2020-11-13,26,10
2020-11-14,24,12
2020-11-15,27,9
2020-11-16,24,12
2020-11-17,30,6
2020-11-18,25,11
2020-11-19,24,12
2020-11-20,26,10
2020-11-21,27,9
2020-11-22,29,7
2020-11-23,28,8
2020-11-24,26,10
2020-11-25,24,12
2020-11-26,25,11
2020-11-27,25,11
2020-11-28,25,11
2020-11-29,23,13
2020-11-30,26,10
2020-12-01,26,10
2020-12-02,24,12
2020-12-03,24,12
2020-12-04,31,5
2020-12-05,27,9
2020-12-06,25,11
2020-12-07,21,15
2020-12-08,23,13
2020-12-09,26,10
2020-12-10,28,8
2020-12-11,28,8
2020-12-12,29,5
2020-12-13,29,5
2020-12-14,24,12
2020-12-15,24,12
2020-12-16,29,7
2020-12-17,31,5
2020-12-18,28,8
2020-12-19,21,15
2020-12-20,24,12
2020-12-21,23,13
2020-12-22,21,7
2020-12-23,25,7
2020-12-24,26,7
2020-12-25,28,5
2020-12-26,28,5
2020-12-27,31,3
2020-12-28,26,8
2020-12-29,30,4
2020-12-30,31,3
2020-12-31,28,7
2021-01-01,28,7
2021-01-02,26,9
2021-01-03,27,8
2021-01-04,31,4
2021-01-05,29,6
2021-01-06,27,8
2021-01-07,28,5
2021-01-08,29,4
2021-01-09,29,4
2021-01-10,30,3
2021-01-11,21,12
2021-01-12,25,8
2021-01-13,23,10
2021-01-14,28,4
2021-01-15,29,3
2021-01-16,25,7
2021-01-17,24,8
2021-01-18,24,8
2021-01-19,27,6
2021-01-20,27,6
2021-01-21,27,6
2021-01-22,28,5
2021-01-23,26,7
2021-01-24,27,8
2021-01-25,28,7
2021-01-26,28,7
2021-01-27,29,6
2021-01-28,24,11
2021-01-29,27,8
2021-01-30,28,7
2021-01-31,28,7
2021-02-01,28,7
2021-02-02,27,8
2021-02-03,26,9
2021-02-04,22,13
2021-02-05,24,11
2021-02-06,22,13
2021-02-07,27,7
2021-02-08,27,7
2021-02-09,31,3
2021-02-10,31,3
2021-02-11,28,6
2021-02-12,30,4
2021-02-13,26,8
