date,betten_belegt,betten_frei
2020-04-24,105,104
2020-04-25,103,108
2020-04-26,101,134
2020-04-27,96,113
2020-04-28,98,111
2020-04-29,103,106
2020-04-30,106,103
2020-05-01,97,109
2020-05-02,98,111
2020-05-03,98,111
2020-05-04,101,106
2020-05-05,93,114
2020-05-06,100,104
2020-05-07,101,105
2020-05-08,109,96
2020-05-09,100,109
2020-05-10,98,112
2020-05-11,100,108
2020-05-12,104,105
2020-05-13,107,102
2020-05-14,99,110
2020-05-15,97,111
2020-05-16,95,109
2020-05-17,86,123
2020-05-18,85,124
2020-05-19,101,88
2020-05-20,104,85
2020-05-21,106,83
2020-05-22,100,89
2020-05-23,108,81
2020-05-24,102,85
2020-05-25,91,96
2020-05-26,96,93
2020-05-27,95,93
2020-05-28,100,86
2020-05-29,96,93
2020-05-30,109,80
2020-05-31,95,87
2020-06-01,97,88
2020-06-02,98,86
2020-06-03,111,74
2020-06-04,108,81
2020-06-05,98,90
2020-06-06,99,88
2020-06-07,95,92
2020-06-08,98,89
2020-06-09,112,74
2020-06-10,112,74
2020-06-11,108,78
2020-06-12,109,78
2020-06-13,103,85
2020-06-14,94,95
2020-06-15,93,92
2020-06-16,122,67
2020-06-17,113,75
2020-06-18,103,85
2020-06-19,105,84
2020-06-20,108,81
2020-06-21,108,80
2020-06-22,103,87
2020-06-23,106,80
2020-06-24,113,72
2020-06-25,107,79
2020-06-26,106,78
2020-06-27,118,71
2020-06-28,104,80
2020-06-29,106,78
2020-06-30,102,82
2020-07-01,111,74
2020-07-02,91,91
2020-07-03,104,79
2020-07-04,105,78
2020-07-05,100,83
2020-07-06,96,87
2020-07-07,103,79
2020-07-08,107,77
2020-07-09,102,77
2020-07-10,103,78
2020-07-11,104,77
2020-07-12,103,80
2020-07-13,101,85
2020-07-14,97,83
2020-07-15,107,74
2020-07-16,109,72
2020-07-17,111,63
2020-07-18,109,68
2020-07-19,109,67
2020-07-20,112,64
2020-07-21,111,65
2020-07-22,116,60
2020-07-23,110,63
2020-07-24,109,62
2020-07-25,103,67
2020-07-26,105,64
2020-07-27,100,66
2020-07-28,110,59
2020-07-29,118,71
2020-07-30,117,72
2020-07-31,123,63
2020-08-01,122,67
2020-08-02,114,69
2020-08-03,114,68
2020-08-04,106,56
2020-08-05,110,50
2020-08-06,108,52
2020-08-07,108,52
2020-08-08,119,41
2020-08-09,112,48
2020-08-10,108,52
2020-08-11,121,39
2020-08-12,116,44
2020-08-13,121,39
2020-08-14,127,35
2020-08-15,123,39
2020-08-16,107,55
2020-08-17,104,58
2020-08-18,105,57
2020-08-19,116,46
2020-08-20,118,44
2020-08-21,110,52
2020-08-22,113,49
2020-08-23,110,52
2020-08-24,110,52
2020-08-25,109,53
2020-08-26,116,46
2020-08-27,109,53
2020-08-28,112,50
2020-08-29,114,48
2020-08-30,113,49
2020-08-31,106,56
2020-09-01,108,54
2020-09-02,126,36
2020-09-03,120,42
2020-09-04,122,40
2020-09-05,121,41
2020-09-06,119,43
2020-09-07,122,40
2020-09-08,121,41
2020-09-09,115,47
2020-09-10,126,36
2020-09-11,130,32
2020-09-12,115,47
2020-09-13,110,52
2020-09-14,113,49
2020-09-15,121,41
2020-09-16,121,41
2020-09-17,124,38
2020-09-18,128,34
2020-09-19,118,44
2020-09-20,104,58
2020-09-21,101,61
2020-09-22,117,45
2020-09-23,120,42
2020-09-24,127,35
2020-09-25,127,35
2020-09-26,119,43
2020-09-27,107,55
2020-09-28,116,46
2020-09-29,123,39
2020-09-30,124,38
2020-10-01,118,44
2020-10-02,121,41
2020-10-03,117,45
2020-10-04,115,47
2020-10-05,107,55
2020-10-06,124,38
2020-10-07,128,34
2020-10-08,119,43
2020-10-09,116,46
2020-10-10,126,36
2020-10-11,131,31
2020-10-12,125,37
2020-10-13,126,36
2020-10-14,123,39
2020-10-15,126,36
2020-10-16,129,33
2020-10-17,110,52
2020-10-18,110,52
2020-10-19,110,52
2020-10-20,110,53
2020-10-21,114,49
2020-10-22,125,23
2020-10-23,120,28
2020-10-24,112,33
2020-10-25,112,33
2020-10-26,117,28
2020-10-27,114,34
2020-10-28,112,36
2020-10-29,126,22
2020-10-30,122,26
2020-10-31,120,28
2020-11-01,113,35
2020-11-02,109,39
2020-11-03,113,35
2020-11-04,119,29
2020-11-05,122,27
2020-11-06,123,25
