date,betten_belegt,betten_frei
2020-04-24,19,6
2020-04-25,20,4
2020-04-26,21,3
2020-04-27,17,8
2020-04-28,22,3
2020-04-29,19,6
2020-04-30,19,6
2020-05-01,14,11
2020-05-02,17,10
2020-05-03,16,11
2020-05-04,16,11
2020-05-05,21,5
2020-05-06,17,9
2020-05-07,15,13
2020-05-08,13,15
2020-05-09,16,12
2020-05-10,14,14
2020-05-11,17,13
2020-05-12,18,12
2020-05-13,16,14
2020-05-14,14,16
2020-05-15,16,14
2020-05-16,14,16
2020-05-17,16,14
2020-05-18,17,13
2020-05-19,23,7
2020-05-20,22,8
2020-05-21,21,9
2020-05-22,21,9
2020-05-23,20,10
2020-05-24,19,11
2020-05-25,22,8
2020-05-26,19,11
2020-05-27,18,12
2020-05-28,14,16
2020-05-29,16,14
2020-05-30,19,10
2020-05-31,19,10
2020-06-01,16,14
2020-06-02,19,11
2020-06-03,18,12
2020-06-04,14,16
2020-06-05,17,13
2020-06-06,11,19
2020-06-07,12,18
2020-06-08,12,18
2020-06-09,18,12
2020-06-10,21,9
2020-06-11,21,9
2020-06-12,19,11
2020-06-13,22,8
2020-06-14,20,10
2020-06-15,19,11
2020-06-16,19,11
2020-06-17,22,8
2020-06-18,23,7
2020-06-19,25,5
2020-06-20,23,7
2020-06-21,21,9
2020-06-22,18,12
2020-06-23,21,9
2020-06-24,23,7
2020-06-25,23,7
2020-06-26,22,8
2020-06-27,26,4
2020-06-28,26,4
2020-06-29,21,9
2020-06-30,21,9
2020-07-01,21,9
2020-07-02,20,10
2020-07-03,21,9
2020-07-04,23,7
2020-07-05,23,7
2020-07-06,22,8
2020-07-07,22,8
2020-07-08,21,9
2020-07-09,22,8
2020-07-10,16,14
2020-07-11,16,14
2020-07-12,13,17
2020-07-13,15,15
2020-07-14,14,16
2020-07-15,20,10
2020-07-16,25,5
2020-07-17,23,7
2020-07-18,26,4
2020-07-19,27,3
2020-07-20,27,3
2020-07-21,25,5
2020-07-22,18,12
2020-07-23,19,11
2020-07-24,22,8
2020-07-25,23,7
2020-07-26,22,8
2020-07-27,18,12
2020-07-28,20,10
2020-07-29,25,5
2020-07-30,23,7
2020-07-31,24,6
2020-08-01,19,11
2020-08-02,14,16
2020-08-03,16,14
2020-08-04,20,8
2020-08-05,22,6
2020-08-06,23,5
2020-08-07,25,3
2020-08-08,23,5
2020-08-09,23,5
2020-08-10,24,4
2020-08-11,25,3
2020-08-12,27,1
2020-08-13,25,3
2020-08-14,22,6
2020-08-15,24,4
2020-08-16,22,6
2020-08-17,28,0
2020-08-18,20,8
2020-08-19,20,8
2020-08-20,22,6
2020-08-21,24,4
2020-08-22,19,9
2020-08-23,20,8
2020-08-24,21,7
2020-08-25,19,9
2020-08-26,14,14
2020-08-27,19,9
2020-08-28,20,8
2020-08-29,22,6
2020-08-30,26,2
2020-08-31,22,6
2020-09-01,21,7
2020-09-02,21,7
2020-09-03,23,5
2020-09-04,24,4
2020-09-05,24,4
2020-09-06,21,7
2020-09-07,20,8
2020-09-08,17,11
2020-09-09,21,7
2020-09-10,20,8
2020-09-11,22,6
2020-09-12,16,12
2020-09-13,16,12
2020-09-14,17,11
2020-09-15,20,8
2020-09-16,17,11
2020-09-17,16,12
2020-09-18,24,4
2020-09-19,21,7
2020-09-20,22,6
2020-09-21,23,5
2020-09-22,24,4
2020-09-23,26,2
2020-09-24,24,4
2020-09-25,25,3
2020-09-26,14,14
2020-09-27,19,9
2020-09-28,17,11
2020-09-29,16,12
2020-09-30,24,4
2020-10-01,22,6
2020-10-02,21,7
2020-10-03,21,7
2020-10-04,20,8
2020-10-05,20,8
2020-10-06,22,6
2020-10-07,24,4
2020-10-08,24,4
2020-10-09,24,4
2020-10-10,22,6
2020-10-11,17,11
2020-10-12,16,12
2020-10-13,17,11
2020-10-14,22,6
2020-10-15,15,13
2020-10-16,18,10
2020-10-17,19,9
2020-10-18,21,7
2020-10-19,21,7
2020-10-20,25,3
2020-10-21,22,6
2020-10-22,25,3
2020-10-23,26,2
2020-10-24,28,0
2020-10-25,26,2
2020-10-26,25,3
2020-10-27,22,6
2020-10-28,24,4
2020-10-29,21,7
2020-10-30,24,4
2020-10-31,20,8
2020-11-01,23,5
2020-11-02,20,6
2020-11-03,21,5
2020-11-04,16,10
2020-11-05,20,6
2020-11-06,23,3
2020-11-07,24,2
2020-11-08,24,2
2020-11-09,21,5
2020-11-10,24,2
2020-11-11,24,2
2020-11-12,23,3
2020-11-13,20,6
2020-11-14,24,2
2020-11-15,24,2
2020-11-16,25,1
2020-11-17,25,1
2020-11-18,19,7
2020-11-19,17,9
2020-11-20,20,6
2020-11-21,19,7
2020-11-22,20,6
2020-11-23,17,7
2020-11-24,18,6
2020-11-25,21,3
2020-11-26,22,2
2020-11-27,19,7
2020-11-28,22,4
2020-11-29,19,7
2020-11-30,22,4
2020-12-01,20,6
2020-12-02,25,1
2020-12-03,24,2
2020-12-04,22,4
2020-12-05,21,3
2020-12-06,21,3
2020-12-07,21,3
2020-12-08,19,5
2020-12-09,20,6
2020-12-10,26,0
2020-12-11,22,4
2020-12-12,23,3
2020-12-13,24,2
2020-12-14,22,4
2020-12-15,21,5
2020-12-16,20,6
2020-12-17,17,9
2020-12-18,20,6
2020-12-19,23,3
2020-12-20,20,6
2020-12-21,20,6
2020-12-22,19,7
2020-12-23,21,5
2020-12-24,21,5
2020-12-25,21,5
2020-12-26,22,4
2020-12-27,22,4
2020-12-28,23,3
2020-12-29,19,7
2020-12-30,19,7
2020-12-31,22,4
2021-01-01,24,2
2021-01-02,23,3
2021-01-03,23,3
2021-01-04,21,5
2021-01-05,24,2
2021-01-06,24,2
2021-01-07,21,5
2021-01-08,22,4
2021-01-09,25,1
2021-01-10,23,3
2021-01-11,23,1
2021-01-12,23,3
2021-01-13,22,4
2021-01-14,23,3
2021-01-15,25,1
2021-01-16,21,3
2021-01-17,22,2
2021-01-18,20,6
2021-01-19,23,3
2021-01-20,24,2
2021-01-21,24,2
2021-01-22,23,3
2021-01-23,22,4
2021-01-24,21,5
2021-01-25,22,4
2021-01-26,23,3
2021-01-27,23,3
2021-01-28,24,2
2021-01-29,23,3
2021-01-30,23,3
2021-01-31,23,3
2021-02-01,23,3
2021-02-02,23,2
2021-02-03,22,3
2021-02-04,20,5
2021-02-05,24,1
2021-02-06,19,5
2021-02-07,19,5
2021-02-08,20,4
2021-02-09,22,2
2021-02-10,21,3
2021-02-11,21,3
2021-02-12,20,4
2021-02-13,23,2
2021-02-14,23,2
2021-02-15,22,3
2021-02-16,22,3
2021-02-17,19,6
2021-02-18,23,2
2021-02-19,15,10
2021-02-20,22,3
2021-02-21,24,1
2021-02-22,24,1
2021-02-23,22,3
2021-02-24,25,0
2021-02-25,20,5
2021-02-26,20,5
2021-02-27,23,2
2021-02-28,21,4
2021-03-01,19,6
2021-03-02,20,7
2021-03-03,19,8
2021-03-04,19,8
2021-03-05,17,10
2021-03-06,19,8
2021-03-07,18,9
2021-03-08,17,10
2021-03-09,16,11
2021-03-10,21,6
2021-03-11,21,6
2021-03-12,22,5
2021-03-13,18,9
2021-03-14,23,2
2021-03-15,21,4
2021-03-16,24,1
2021-03-17,20,5
2021-03-18,21,4
2021-03-19,20,5
2021-03-20,23,2
2021-03-21,21,4
2021-03-22,21,4
2021-03-23,21,4
2021-03-24,23,2
2021-03-25,24,1
2021-03-26,21,4
2021-03-27,19,6
2021-03-28,18,7
2021-03-29,22,3
2021-03-30,22,3
2021-03-31,19,6
2021-04-01,22,3
2021-04-02,19,6
2021-04-03,17,8
2021-04-04,18,7
2021-04-05,15,10
2021-04-06,18,7
2021-04-07,21,4
2021-04-08,20,5
2021-04-09,22,3
2021-04-10,21,4
2021-04-11,21,4
2021-04-12,20,5
2021-04-13,23,2
2021-04-14,25,0
2021-04-15,19,6
2021-04-16,19,6
2021-04-17,21,4
2021-04-18,18,7
2021-04-19,19,6
2021-04-20,24,3
2021-04-21,24,3
2021-04-22,24,2
2021-04-23,20,6
2021-04-24,21,5
2021-04-25,26,0
2021-04-26,25,1
2021-04-27,25,1
2021-04-28,23,3
2021-04-29,26,0
