date,betten_belegt,betten_frei
2020-04-24,75,40
2020-04-25,80,41
2020-04-26,77,42
2020-04-27,82,37
2020-04-28,81,38
2020-04-29,84,35
2020-04-30,81,39
2020-05-01,80,39
2020-05-02,81,38
2020-05-03,80,40
2020-05-04,83,36
2020-05-05,76,44
2020-05-06,78,43
2020-05-07,79,33
2020-05-08,84,32
2020-05-09,82,34
2020-05-10,82,34
2020-05-11,84,32
2020-05-12,84,32
2020-05-13,83,33
2020-05-14,85,31
2020-05-15,87,29
2020-05-16,82,34
2020-05-17,84,32
2020-05-18,84,32
2020-05-19,88,28
2020-05-20,75,35
2020-05-21,88,32
2020-05-22,83,33
2020-05-23,83,33
2020-05-24,85,31
2020-05-25,83,35
2020-05-26,84,34
2020-05-27,87,31
2020-05-28,82,36
2020-05-29,79,39
2020-05-30,78,40
2020-05-31,78,40
2020-06-01,73,45
2020-06-02,70,48
2020-06-03,86,32
2020-06-04,86,32
2020-06-05,85,33
2020-06-06,85,33
2020-06-07,77,41
2020-06-08,88,30
2020-06-09,88,29
2020-06-10,87,27
2020-06-11,86,32
2020-06-12,85,33
2020-06-13,86,32
2020-06-14,84,34
2020-06-15,77,43
2020-06-16,73,45
2020-06-17,74,44
2020-06-18,85,33
2020-06-19,83,35
2020-06-20,86,32
2020-06-21,85,34
2020-06-22,84,34
2020-06-23,86,32
2020-06-24,78,40
2020-06-25,91,27
2020-06-26,88,30
2020-06-27,84,32
2020-06-28,84,32
2020-06-29,84,34
2020-06-30,88,30
2020-07-01,89,29
2020-07-02,89,29
2020-07-03,98,20
2020-07-04,97,21
2020-07-05,97,21
2020-07-06,97,21
2020-07-07,93,25
2020-07-08,86,32
2020-07-09,88,30
2020-07-10,87,31
2020-07-11,86,32
2020-07-12,89,29
2020-07-13,85,33
2020-07-14,86,32
2020-07-15,85,33
2020-07-16,85,33
2020-07-17,86,32
2020-07-18,86,32
2020-07-19,84,34
2020-07-20,84,31
2020-07-21,83,35
2020-07-22,82,36
2020-07-23,76,40
2020-07-24,78,42
2020-07-25,79,41
2020-07-26,81,39
2020-07-27,68,52
2020-07-28,78,41
2020-07-29,84,36
2020-07-30,85,35
2020-07-31,80,40
2020-08-01,78,42
2020-08-02,78,42
2020-08-03,75,45
2020-08-04,67,39
2020-08-05,68,38
2020-08-06,78,28
2020-08-07,69,37
2020-08-08,74,32
2020-08-09,79,27
2020-08-10,74,32
2020-08-11,87,19
2020-08-12,93,13
2020-08-13,87,19
2020-08-14,79,27
2020-08-15,77,29
2020-08-16,77,29
2020-08-17,75,31
2020-08-18,72,34
2020-08-19,76,30
2020-08-20,80,26
2020-08-21,78,28
2020-08-22,80,26
2020-08-23,80,26
2020-08-24,81,25
2020-08-25,73,33
2020-08-26,84,22
2020-08-27,76,30
2020-08-28,85,21
2020-08-29,85,21
2020-08-30,86,20
2020-08-31,83,23
2020-09-01,86,20
2020-09-02,87,19
2020-09-03,78,28
2020-09-04,79,27
2020-09-05,72,34
2020-09-06,72,34
2020-09-07,70,36
2020-09-08,81,25
2020-09-09,81,25
2020-09-10,89,17
2020-09-11,86,20
2020-09-12,87,19
2020-09-13,80,26
2020-09-14,73,33
2020-09-15,79,27
2020-09-16,79,27
2020-09-17,77,29
2020-09-18,84,22
2020-09-19,81,25
2020-09-20,77,29
2020-09-21,80,26
2020-09-22,80,26
2020-09-23,79,27
2020-09-24,72,31
2020-09-25,69,34
2020-09-26,71,32
2020-09-27,71,31
2020-09-28,69,34
2020-09-29,78,25
2020-09-30,79,24
2020-10-01,83,20
2020-10-02,80,23
2020-10-03,75,27
2020-10-04,72,31
2020-10-05,73,30
2020-10-06,77,26
2020-10-07,81,22
2020-10-08,81,22
2020-10-09,83,23
2020-10-10,82,24
2020-10-11,79,27
2020-10-12,80,26
2020-10-13,88,18
2020-10-14,87,19
2020-10-15,92,14
2020-10-16,90,16
2020-10-17,82,24
2020-10-18,81,25
2020-10-19,80,26
2020-10-20,83,23
2020-10-21,80,26
2020-10-22,83,23
2020-10-23,86,20
2020-10-24,79,27
2020-10-25,84,22
2020-10-26,81,25
2020-10-27,83,23
2020-10-28,88,18
2020-10-29,90,16
2020-10-30,88,18
2020-10-31,90,16
2020-11-01,86,20
2020-11-02,84,22
2020-11-03,82,24
2020-11-04,86,20
2020-11-05,89,17
2020-11-06,83,23
2020-11-07,73,33
2020-11-08,79,27
2020-11-09,86,20
2020-11-10,90,16
2020-11-11,87,19
2020-11-12,93,13
2020-11-13,89,17
2020-11-14,86,20
2020-11-15,77,29
2020-11-16,84,22
2020-11-17,86,20
2020-11-18,89,17
2020-11-19,80,26
2020-11-20,80,26
2020-11-21,80,26
2020-11-22,82,24
2020-11-23,80,26
2020-11-24,86,20
2020-11-25,87,19
2020-11-26,87,19
2020-11-27,86,20
2020-11-28,86,20
2020-11-29,89,17
2020-11-30,87,19
2020-12-01,94,13
2020-12-02,95,14
2020-12-03,96,13
2020-12-04,95,14
2020-12-05,93,16
2020-12-06,88,21
2020-12-07,87,22
2020-12-08,93,16
2020-12-09,90,19
2020-12-10,86,23
2020-12-11,86,23
2020-12-12,89,20
2020-12-13,89,18
2020-12-14,88,21
2020-12-15,87,22
2020-12-16,89,20
2020-12-17,83,26
2020-12-18,84,23
2020-12-19,86,21
2020-12-20,87,20
2020-12-21,88,19
2020-12-22,89,18
2020-12-23,88,19
2020-12-24,89,18
2020-12-25,90,17
2020-12-26,87,20
2020-12-27,79,28
2020-12-28,83,24
2020-12-29,86,21
2020-12-30,90,17
2020-12-31,93,14
2021-01-01,94,13
2021-01-02,90,16
2021-01-03,94,12
2021-01-04,89,18
2021-01-05,95,12
2021-01-06,89,18
2021-01-07,89,18
2021-01-08,88,19
2021-01-09,89,18
2021-01-10,87,20
2021-01-11,86,21
2021-01-12,85,22
2021-01-13,88,19
2021-01-14,91,16
2021-01-15,86,19
2021-01-16,82,23
2021-01-17,84,21
2021-01-18,86,19
2021-01-19,88,18
2021-01-20,87,19
2021-01-21,84,22
2021-01-22,87,18
2021-01-23,88,17
2021-01-24,90,15
2021-01-25,88,17
2021-01-26,89,16
2021-01-27,86,19
2021-01-28,87,16
2021-01-29,85,20
2021-01-30,86,19
2021-01-31,82,23
2021-02-01,84,19
2021-02-02,89,14
2021-02-03,88,15
2021-02-04,88,15
2021-02-05,87,16
2021-02-06,88,15
2021-02-07,89,14
2021-02-08,87,16
2021-02-09,84,19
2021-02-10,81,22
2021-02-11,86,17
2021-02-12,87,16
2021-02-13,86,17
2021-02-14,85,18
2021-02-15,83,20
2021-02-16,83,20
2021-02-17,85,18
2021-02-18,87,16
2021-02-19,85,18
2021-02-20,83,20
2021-02-21,84,19
2021-02-22,87,16
2021-02-23,90,13
2021-02-24,88,15
2021-02-25,87,16
2021-02-26,85,17
2021-02-27,85,17
2021-02-28,84,18
2021-03-01,86,16
2021-03-02,85,17
2021-03-03,83,19
2021-03-04,82,20
2021-03-05,83,19
2021-03-06,84,18
2021-03-07,80,22
2021-03-08,89,14
2021-03-09,77,16
2021-03-10,78,14
2021-03-11,76,15
2021-03-12,74,17
2021-03-13,75,16
2021-03-14,74,17
2021-03-15,74,17
2021-03-16,75,17
2021-03-17,81,17
2021-03-18,88,14
2021-03-19,87,15
2021-03-20,87,14
2021-03-21,86,15
2021-03-22,88,14
2021-03-23,89,13
2021-03-24,88,14
2021-03-25,90,14
2021-03-26,87,15
2021-03-27,90,13
2021-03-28,88,15
2021-03-29,87,15
2021-03-30,81,20
2021-03-31,88,13
2021-04-01,89,12
2021-04-02,90,12
2021-04-03,84,18
2021-04-04,85,17
2021-04-05,84,18
2021-04-06,87,15
2021-04-07,85,17
2021-04-08,86,16
2021-04-09,88,14
2021-04-10,91,11
2021-04-11,92,10
2021-04-12,91,11
2021-04-13,88,14
2021-04-14,89,13
2021-04-15,94,8
2021-04-16,93,9
2021-04-17,92,10
2021-04-18,92,10
2021-04-19,90,12
2021-04-20,91,11
2021-04-21,90,12
2021-04-22,87,15
2021-04-23,88,13
2021-04-24,86,15
2021-04-25,87,14
2021-04-26,88,14
2021-04-27,90,12
2021-04-28,85,17
2021-04-29,91,12
2021-04-30,92,12
2021-05-01,94,9
2021-05-02,93,10
2021-05-03,94,8
2021-05-04,95,7
2021-05-05,93,9
2021-05-06,94,8
2021-05-07,92,10
2021-05-08,87,15
2021-05-09,90,12
2021-05-10,92,10
2021-05-11,90,13
2021-05-12,91,11
2021-05-13,92,10
2021-05-14,91,11
2021-05-15,89,13
2021-05-16,88,14
2021-05-17,90,12
2021-05-18,90,12
2021-05-19,88,14
2021-05-20,89,14
2021-05-21,90,13
2021-05-22,87,15
2021-05-23,87,15
2021-05-24,88,14
2021-05-25,88,14
2021-05-26,87,15
2021-05-27,88,14
2021-05-28,86,16
2021-05-29,76,26
2021-05-30,75,27
2021-05-31,79,23
2021-06-01,80,22
2021-06-02,85,17
2021-06-03,85,17
2021-06-04,85,17
2021-06-05,85,17
2021-06-06,86,16
2021-06-07,85,17
2021-06-08,82,20
2021-06-09,84,18
2021-06-10,86,17
2021-06-11,82,20
2021-06-12,78,24
2021-06-13,81,21
2021-06-14,83,19
2021-06-15,86,16
2021-06-16,83,19
2021-06-17,82,20
2021-06-18,80,22
2021-06-19,79,23
2021-06-20,80,22
2021-06-21,79,23
2021-06-22,78,24
2021-06-23,83,19
2021-06-24,81,21
2021-06-25,83,19
2021-06-26,79,23
2021-06-27,80,22
2021-06-28,80,22
2021-06-29,83,19
2021-06-30,85,17
2021-07-01,85,16
2021-07-02,81,20
2021-07-03,85,16
2021-07-04,86,15
2021-07-05,79,22
2021-07-06,81,20
2021-07-07,82,19
2021-07-08,83,18
2021-07-09,83,18
2021-07-10,79,22
2021-07-11,80,21
2021-07-12,82,19
2021-07-13,84,17
2021-07-14,86,15
2021-07-15,83,18
2021-07-16,83,18
2021-07-17,78,23
2021-07-18,73,28
2021-07-19,80,21
2021-07-20,82,19
2021-07-21,80,21
2021-07-22,81,20
2021-07-23,84,17
2021-07-24,79,22
2021-07-25,81,20
2021-07-26,80,21
2021-07-27,82,19
2021-07-28,76,25
2021-07-29,78,23
2021-07-30,75,26
2021-07-31,69,32
2021-08-01,75,26
2021-08-02,74,27
2021-08-03,77,24
2021-08-04,78,23
2021-08-05,80,21
2021-08-06,79,22
2021-08-07,78,23
2021-08-08,77,24
2021-08-09,78,23
2021-08-10,73,28
2021-08-11,71,30
2021-08-12,68,33
2021-08-13,71,30
2021-08-14,72,29
2021-08-15,74,27
2021-08-16,74,27
2021-08-17,70,31
2021-08-18,76,25
2021-08-19,74,27
2021-08-20,70,31
2021-08-21,73,28
2021-08-22,72,29
2021-08-23,72,29
2021-08-24,75,27
2021-08-25,76,25
2021-08-26,77,24
2021-08-27,77,24
2021-08-28,80,21
2021-08-29,79,22
2021-08-30,81,20
2021-08-31,74,27
2021-09-01,73,28
2021-09-02,75,26
2021-09-03,80,21
