date,betten_belegt,betten_frei
2020-04-24,19237,12270
2020-04-25,19100,12290
2020-04-26,18617,12694
2020-04-27,18803,12537
2020-04-28,19345,12207
2020-04-29,19613,12144
2020-04-30,19570,12194
2020-05-01,19642,12295
2020-05-02,19007,12911
2020-05-03,19130,12774
2020-05-04,19053,12717
2020-05-05,19670,12141
2020-05-06,20068,11843
2020-05-07,20039,11806
2020-05-08,20010,11654
2020-05-09,19789,11883
2020-05-10,19231,12302
2020-05-11,19391,12124
2020-05-12,20276,11922
2020-05-13,20210,11575
2020-05-14,20119,11746
2020-05-15,20456,11419
2020-05-16,20096,11609
2020-05-17,19563,12175
2020-05-18,19532,12138
2020-05-19,20128,11388
2020-05-20,20386,11320
2020-05-21,20382,11353
2020-05-22,19825,11905
2020-05-23,20016,11894
2020-05-24,19527,12241
2020-05-25,19613,12290
2020-05-26,20164,11639
2020-05-27,20454,11269
2020-05-28,20537,11143
2020-05-29,20466,11152
2020-05-30,20353,11283
2020-05-31,19689,11875
2020-06-01,19617,11956
2020-06-02,19694,11854
2020-06-03,20416,11186
2020-06-04,20732,10838
2020-06-05,20797,10746
2020-06-06,20537,10992
2020-06-07,19947,11551
2020-06-08,19809,11690
2020-06-09,20658,10941
2020-06-10,20823,10819
2020-06-11,20753,10863
2020-06-12,20260,11298
2020-06-13,20204,11281
2020-06-14,19807,11650
2020-06-15,19874,11689
2020-06-16,20589,11012
2020-06-17,20903,10715
2020-06-18,21038,10681
2020-06-19,21127,10578
2020-06-20,20819,10832
2020-06-21,20236,11407
2020-06-22,20254,11573
2020-06-23,20885,10936
2020-06-24,20978,10909
2020-06-25,20976,10866
2020-06-26,21104,10659
2020-06-27,20908,10853
2020-06-28,20406,11330
2020-06-29,20347,11477
2020-06-30,20920,10955
2020-07-01,21312,10658
2020-07-02,21414,10554
2020-07-03,21180,10499
2020-07-04,20802,10974
2020-07-05,20251,11470
2020-07-06,20339,11530
2020-07-07,20888,11064
2020-07-08,21111,10833
2020-07-09,21151,10720
2020-07-10,21231,10609
2020-07-11,20976,10836
2020-07-12,20358,11290
2020-07-13,20208,11508
2020-07-14,20951,10829
2020-07-15,21363,10479
2020-07-16,21407,10467
2020-07-17,21455,10475
2020-07-18,21055,10745
2020-07-19,20547,11179
2020-07-20,20703,11218
2020-07-21,21123,10872
2020-07-22,21410,10729
2020-07-23,21459,10851
2020-07-24,21590,10725
2020-07-25,21315,10930
2020-07-26,20827,11410
2020-07-27,20729,11567
2020-07-28,21374,11034
2020-07-29,21683,10886
2020-07-30,21555,11069
2020-07-31,21569,11031
2020-08-01,21320,11228
2020-08-02,20838,11664
2020-08-03,20841,11752
2020-08-04,21383,9543
2020-08-05,21632,9155
2020-08-06,21614,9120
2020-08-07,21648,9048
2020-08-08,21380,9195
2020-08-09,20953,9596
2020-08-10,20954,9498
2020-08-11,21598,8861
2020-08-12,21785,8770
2020-08-13,21865,8601
2020-08-14,21988,8540
2020-08-15,21675,8757
2020-08-16,21190,9220
2020-08-17,21221,9295
2020-08-18,21741,8864
2020-08-19,21895,8736
2020-08-20,22052,8668
2020-08-21,22054,8659
2020-08-22,21603,8954
2020-08-23,21096,9419
2020-08-24,20935,9654
2020-08-25,21616,9086
2020-08-26,21789,8917
2020-08-27,21674,8998
2020-08-28,21652,8952
2020-08-29,21523,8972
2020-08-30,21009,9431
2020-08-31,21001,9572
2020-09-01,21633,9035
2020-09-02,21782,8936
2020-09-03,21790,8917
2020-09-04,21712,8950
2020-09-05,21563,8956
2020-09-06,20988,9505
2020-09-07,21053,9507
2020-09-08,21730,8879
2020-09-09,21841,8773
2020-09-10,22017,8670
2020-09-11,22079,8577
2020-09-12,21704,8823
2020-09-13,21228,9269
2020-09-14,21076,9500
2020-09-15,21798,8803
2020-09-16,22103,8612
2020-09-17,22273,8467
2020-09-18,22062,8600
2020-09-19,21596,8939
2020-09-20,21158,9340
2020-09-21,21117,9459
2020-09-22,21730,8848
2020-09-23,21858,8693
2020-09-24,21893,8655
2020-09-25,21963,8571
2020-09-26,21722,8731
2020-09-27,21077,9333
2020-09-28,21060,9529
2020-09-29,21808,8892
2020-09-30,21950,8701
2020-10-01,21811,8702
2020-10-02,21779,8675
2020-10-03,21499,8805
2020-10-04,20965,9279
2020-10-05,20890,9435
2020-10-06,21479,8847
2020-10-07,21810,8473
2020-10-08,21768,8473
2020-10-09,21728,8513
2020-10-10,21450,8799
2020-10-11,20875,9311
2020-10-12,20897,9328
2020-10-13,21320,8939
2020-10-14,21488,8703
2020-10-15,21503,8713
2020-10-16,21546,8657
2020-10-17,21244,8810
2020-10-18,20665,9355
2020-10-19,20712,9441
2020-10-20,21303,8870
2020-10-21,21415,8478
2020-10-22,21473,8184
2020-10-23,21736,7784
2020-10-24,21421,7937
2020-10-25,20908,8386
2020-10-26,21025,8403
2020-10-27,21718,7681
2020-10-28,21790,7546
2020-10-29,21785,7554
2020-10-30,21681,7540
2020-10-31,21306,7726
2020-11-01,20953,7967
2020-11-02,20921,7893
2020-11-03,21483,7237
2020-11-04,21693,7062
2020-11-05,21718,6885
2020-11-06,21539,7007
2020-11-07,21256,7064
2020-11-08,20749,7488
2020-11-09,20967,7450
2020-11-10,21576,6803
2020-11-11,21785,6607
2020-11-12,21929,6468
2020-11-13,21947,6267
2020-11-14,21627,6420
2020-11-15,21227,6763
2020-11-16,21353,6814
2020-11-17,21817,6391
2020-11-18,22056,6093
2020-11-19,21938,6141
2020-11-20,22068,5961
2020-11-21,21747,6060
2020-11-22,21295,6490
2020-11-23,21333,6498
2020-11-24,21925,5899
2020-11-25,22044,5718
2020-11-26,22134,5547
2020-11-27,22305,5298
2020-11-28,21918,5506
2020-11-29,21536,5860
2020-11-30,21629,5892
2020-12-01,22166,5433
2020-12-02,22275,5245
2020-12-03,22287,5198
2020-12-04,22425,4996
2020-12-05,22100,5089
2020-12-06,21659,5502
2020-12-07,21842,5426
2020-12-08,22305,4919
2020-12-09,22476,4829
2020-12-10,22534,4725
2020-12-11,22489,4616
2020-12-12,22144,4866
2020-12-13,21780,5173
2020-12-14,22018,5047
2020-12-15,22458,4652
2020-12-16,22522,4515
2020-12-17,22447,4618
2020-12-18,22425,4583
2020-12-19,22066,4753
2020-12-20,21658,5044
2020-12-21,21973,4847
2020-12-22,22039,4759
2020-12-23,21922,4813
2020-12-24,21543,5005
2020-12-25,21197,5297
2020-12-26,21268,5250
2020-12-27,21384,5130
2020-12-28,21650,5018
2020-12-29,22022,4722
2020-12-30,21974,4705
2020-12-31,21827,4737
2021-01-01,21640,4828
2021-01-02,21774,4751
2021-01-03,21891,4651
2021-01-04,21998,4689
2021-01-05,22364,4502
2021-01-06,22478,4443
2021-01-07,22460,4468
2021-01-08,22567,4352
2021-01-09,22272,4535
2021-01-10,21788,4917
2021-01-11,22015,4778
2021-01-12,22436,4551
2021-01-13,22571,4399
2021-01-14,22623,4356
2021-01-15,22577,4371
2021-01-16,22350,4511
2021-01-17,21890,4932
2021-01-18,22116,4843
2021-01-19,22610,4408
2021-01-20,22751,4312
2021-01-21,22847,4218
2021-01-22,22904,4132
2021-01-23,22504,4379
2021-01-24,22062,4750
2021-01-25,22139,4785
2021-01-26,22571,4415
2021-01-27,22770,4199
2021-01-28,22616,4340
2021-01-29,22646,4307
2021-01-30,22348,4496
2021-01-31,21990,4805
2021-02-01,22200,4706
2021-02-02,22549,4460
2021-02-03,22842,4253
2021-02-04,22739,4335
2021-02-05,22673,4340
2021-02-06,22272,4610
2021-02-07,21741,5062
2021-02-08,21972,4893
2021-02-09,22372,4609
2021-02-10,22468,4523
2021-02-11,22402,4573
2021-02-12,22357,4620
2021-02-13,22070,4741
2021-02-14,21582,5090
2021-02-15,21797,4985
2021-02-16,22289,4614
2021-02-17,22350,4542
2021-02-18,22328,4577
2021-02-19,22317,4497
2021-02-20,22036,4653
2021-02-21,21622,4981
2021-02-22,21831,4945
2021-02-23,22305,4573
2021-02-24,22486,4424
2021-02-25,22433,4498
2021-02-26,22326,4545
2021-02-27,21915,4796
2021-02-28,21451,5167
2021-03-01,21713,5090
2021-03-02,22317,4629
2021-03-03,22303,4660
2021-03-04,22294,4631
2021-03-05,22312,4579
2021-03-06,21921,4869
2021-03-07,21486,5232
2021-03-08,21696,5164
2021-03-09,22109,4886
2021-03-10,22360,4641
2021-03-11,22425,4562
2021-03-12,22463,4490
2021-03-13,22034,4746
2021-03-14,21584,5080
2021-03-15,21774,5036
2021-03-16,22298,4606
2021-03-17,22411,4496
2021-03-18,22469,4400
2021-03-19,22442,4366
2021-03-20,22021,4616
2021-03-21,21550,5032
2021-03-22,21892,4881
2021-03-23,22448,4412
2021-03-24,22611,4301
2021-03-25,22610,4277
2021-03-26,22665,4140
2021-03-27,22377,4277
2021-03-28,21804,4751
2021-03-29,21989,4724
2021-03-30,22441,4388
2021-03-31,22640,4164
2021-04-01,22511,4177
2021-04-02,22199,4399
2021-04-03,21723,4774
2021-04-04,21684,4796
2021-04-05,21726,4657
2021-04-06,22223,4330
2021-04-07,22643,4024
2021-04-08,22754,3884
2021-04-09,22773,3817
2021-04-10,22441,4048
2021-04-11,22070,4358
2021-04-12,22372,4223
2021-04-13,22914,3810
2021-04-14,22965,3769
2021-04-15,22879,3854
2021-04-16,22903,3804
2021-04-17,22540,4017
2021-04-18,22122,4296
2021-04-19,22362,4262
2021-04-20,22885,3852
2021-04-21,23006,3729
2021-04-22,23022,3734
2021-04-23,23002,3713
2021-04-24,22718,3848
2021-04-25,22418,4097
2021-04-26,22636,4034
2021-04-27,22958,3761
2021-04-28,23124,3613
2021-04-29,23132,3656
2021-04-30,23193,3594
2021-05-01,22764,3785
2021-05-02,22430,4034
2021-05-03,22534,4081
2021-05-04,22874,3763
2021-05-05,23017,3625
2021-05-06,22865,3733
2021-05-07,22879,3634
2021-05-08,22401,3945
2021-05-09,22065,4192
2021-05-10,22407,3978
2021-05-11,22736,3709
2021-05-12,22816,3673
2021-05-13,22432,3885
2021-05-14,21977,4264
2021-05-15,21934,4210
2021-05-16,21666,4420
2021-05-17,21940,4313
2021-05-18,22351,3966
2021-05-19,22476,3824
2021-05-20,22417,3868
2021-05-21,22318,3896
2021-05-22,21966,4110
2021-05-23,21412,4569
2021-05-24,21253,4710
2021-05-25,21480,4622
2021-05-26,21958,4228
2021-05-27,21907,4249
2021-05-28,21748,4320
2021-05-29,21356,4563
2021-05-30,21017,4809
2021-05-31,21283,4708
2021-06-01,21809,4434
2021-06-02,21805,4303
2021-06-03,21643,4413
2021-06-04,21440,4570
2021-06-05,21282,4632
2021-06-06,20953,4867
2021-06-07,21097,4874
