# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Batchcode Search Term
# 20230211-20230411
# ----------------------------------------

Land,United States,Germany,Canada,Italy,United Kingdom,Japan,Brazil,Australia,Poland,Austria,Hungary,Netherlands,Romania,France,Switzerland,Spain,Sweden,Philippines,New Zealand,Mexico,Gesamt
Batchcode Search Term,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl
,91212,44334,15467,12676,12212,9473,9418,5175,4801,4562,3965,3925,3414,2845,2602,2456,1506,1335,1096,1037,250479,Gesamtwert
(not set),64950,30018,10694,8150,8908,6636,5864,3731,3300,3021,2795,2777,2488,2136,1793,1691,1120,785,705,758,174273
,12900,8094,2419,2735,1824,2060,2053,820,1012,936,715,766,670,442,478,419,252,349,168,171,42218
FC3095,0,183,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,190
F,44,37,23,0,9,0,7,10,0,3,0,0,0,0,0,8,0,0,1,0,171
E,48,19,7,0,2,45,41,0,0,0,0,0,0,0,0,0,0,0,0,0,169
FD7958,0,138,0,1,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,146
EX3599,4,132,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,144
FE6975,0,116,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,120
ER8737,109,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,112
FD0810,12,1,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,112
FD9234,0,97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,104
EX8679,0,96,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,102
015M20A,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
EW0150,91,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
EN6201,84,2,1,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,93
018B21A,55,5,11,1,1,0,0,2,8,1,0,1,0,0,0,0,0,0,0,0,86
FD7204,3,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86
