# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230407-20230407
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,7189,Grand total
#EP7534,United States,1
#ER8737,United States,1
-,Germany,1
000057A,Canada,1
000057A,Germany,1
000057A,United States,1
006B21A,United States,1
007M20A,United States,1
010M20A,United States,1
011D21A,United States,1
011J20A,Austria,1
011M20A,United States,1
012A21A,United States,1
012F21A,United States,1
01UB21A,Germany,1
01W20A,Germany,1
022F21A,Mexico,1
023C21A,United States,1
025620A,United States,1
025B21A,United States,1
025L20A,United States,1
026L20A,United Kingdom,1
026L20A,United States,1
030AZ1A,United States,1
030B21A,United States,1
030L20A,Germany,1
033030BD,United States,1
038B21A,United States,1
039K20A,Germany,1
039K20A,Italy,1
039K20A,United States,1
042A21A,United States,1
043A21A,United States,1
048B21A,United States,1
058H21A,United States,1
071R21A,Germany,1
1805018,United States,1
1805022,Brazil,1
1805029,Brazil,1
1805031,Brazil,1
1808980,Germany,1
1855194,United States,1
1D017A,Germany,1
1DO20A,Germany,1
1E021A,Germany,1
1F030A,Germany,1
1G040A,Germany,1
1H049A,Germany,1
201A21A,United States,1
203A21A,United States,1
205A21A,United States,1
205A2IA,United States,1
205AZIA,United States,1
206A21A,Brazil,1
212C21A,Canada,1
212C21A,Germany,1
212C21A,Philippines,1
212C21A,Romania,1
212C21A,Spain,1
213C21A,Germany,1
214006,Spain,1
214006 (30/12/2,Spain,1
21C18-05,Romania,1
3002538,Canada,1
3002614,Spain,1
3004674,United Kingdom,1
33030BD,United States,1
4120Z002,United Kingdom,1
9LOT FA7842,Germany,1
9N6203,Germany,1
9N6206,Germany,1
ABV2856,Romania,1
ABV5443,United States,1
ABV7764,Germany,1
ACB4692,Germany,1
ACC1336,Germany,1
AS7164B,United States,1
BACC1336,Germany,1
CH-B: ET3045,Germany,1
CH. -B.:P3L944V,Germany,1
CH.-B.: 1F030A,Germany,1
CH.-B.: 1H049A,Germany,1
CH.-B.: SCRP9,Germany,1
CH.-B.:FE6975,Germany,1
EE8493,Slovakia,1
EJ0724,Australia,1
EK1768,United Kingdom,1
EK4176,United States,1
EK9788,Germany,1
EK9788,Slovakia,1
EL1283,United States,1
EL1284,Germany,1
EL3246,United States,1
EL3249,United States,1
EL9261,Germany,1
EL9261,United States,1
EM9870,Germany,1
EN1185,Slovakia,1
EN5318,Germany,1
EN6200,Brazil,1
EN6200,Germany,1
EN6201,Germany,1
"EN6201, EN6208",United States,1
EN6202,Colombia,1
EN6202,Slovakia,1
EN6203,United States,1
EN6203-EP7534,United States,1
EN6208,Brazil,1
EN6208,United States,1
EN9581,Slovakia,1
EP2166,Italy,1
ER1749,United Kingdom,1
ER2613,United States,1
ER7449,United Kingdom,1
ER7812,Slovakia,1
ER8731,United States,1
ER8732,United States,1
ER8733,Brazil,1
ER8733,United States,1
ER8736 AND EP69,United States,1
ER8736 ER40168,United States,1
"ER8736, EW0177",United States,1
"ER8736, EXP 7/3",United States,1
ER9470,Slovakia,1
ET6956,Hungary,1
ET6956 / FA4598,Hungary,1
"ET6956, FE3065,",Hungary,1
ET7205,Hungary,1
EW0170,United States,1
EW0176,United States,1
EW0176   8/21,United States,1
EW0176 8121,United States,1
EW0178,United States,1
EW0179,Australia,1
EW0182,United States,1
EW0191,United States,1
EWO187/ER8736,United States,1
EX6539,Hungary,1
EX6564,United Kingdom,1
EX8679,Germany,1
EX8680,Germany,1
EY0574,Brazil,1
EY0583,Japan,1
F5B438,United States,1
FA4632,Spain,1
FA4632.,Spain,1
FA8721,Canada,1
FA9099,Canada,1
FC0681,United Kingdom,1
FC2473,United States,1
FC3181,United States,1
FC3181 10121,United States,1
FC3558,Hungary,1
FC3558,Spain,1
FC3661,Germany,1
FD0168,Romania,1
FD0785,Hungary,1
FD0785,Netherlands,1
FD0809,United States,1
FD0810,Canada,1
FD1921,Austria,1
FD1921,Italy,1
FD4555,Denmark,1
FD4555,Hungary,1
FD6840,Austria,1
FD6840,Colombia,1
FD6840,Czechia,1
FD6840,Germany,1
FD6840,United Kingdom,1
FD6840 / FE6208,Czechia,1
FD7208,Canada,1
FD7958,Germany,1
FE2625,Italy,1
FE3592,Colombia,1
FE6208,Australia,1
FE6208,Colombia,1
FE6208,Greece,1
FE6208,Netherlands,1
