# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230602-20230603
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,9856,Grand total
#030M20A,United States,1
#EL9262,United States,1
#EW0187,United States,1
000009A,Australia,1
000017A,Japan,1
000022A,United Kingdom,1
000033A,Germany,1
000063A,Italy,1
000075A,United Kingdom,1
000087A,Germany,1
000096A,Australia,1
000261A,Japan,1
000393A,Germany,1
001B21A,United States,1
002A21A,United States,1
002M20A,United States,1
0033B21A,United States,1
003A21A,Mexico,1
004F21A,United States,1
005C21A,United States,1
007CZ1A,United States,1
008B21-A,United States,1
008B212A,United States,1
008C21A,United States,1
011021A,United States,1
011FZ1A,United States,1
011L20A,United States,1
013A21A,United States,1
013F21A,United States,1
014M20A,United States,1
017C21A,United States,1
0181321A,United States,1
018F21A,United States,1
019J21A,Canada,1
020B21A,United States,1
020F21A,United States,1
0211321A,United States,1
021B21A-1,United States,1
022321A,United States,1
022C21A,United States,1
024C21A,United States,1
024M20A,United States,1
025L20A,United States,1
025L21B,United States,1
026020A,United States,1
026B21A,United States,1
026L2OA,United States,1
027621A,United States,1
027A21A,United States,1
027C21A,United States,1
027L20A,United States,1
028K21A,United States,1
028L2OA,United States,1
030G21A,Italy,1
030LZ0A,United States,1
030M208,United States,1
030M21-2A_11105,United States,1
031B21A,United States,1
032F21A,United States,1
032H21A,United States,1
032L20A,United States,1
033FZ1A,United States,1
036B21A,United States,1
037K20A,United States,1
038A20A,United States,1
039421A,United States,1
039K20A,South Korea,1
039K20A,United States,1
04021A,United States,1
040821A,United States,1
040B21A,United States,1
041B21A,United States,1
041J21A,United States,1
041JZ1A,United States,1
041LZ0A,United States,1
042A21A,United States,1
042B21A,United States,1
042D21A,Canada,1
044D21A,Canada,1
045321A,United States,1
045B21A,United States,1
045C21A,United States,1
045D21A,Canada,1
046C21A,United States,1
047A21A,United States,1
047C21A,United States,1
0481321A,United States,1
048B21A,United States,1
048F21A,United States,1
049C21A,United States,1
054A22A,United States,1
054C21A,United States,1
058H21A,United States,1
060F22A,United States,1
061F22A,United States,1
076C21A,United States,1
085D21A,Canada,1
1110-20-016M20A,United States,1
1111-20-EW0172,United States,1
1111-20-FD0810,Canada,1
1119349007,Czechia,1
1234,United States,1
12345,United States,1
13827,France,1
1805020,United States,1
1805025,United States,1
1807068,United States,1
1808609,United States,1
1808982,United States,1
1808986,United States,1
1821286,United States,1
1822809,United States,1
1855194,United States,1
1: EW4815,Austria,1
1C008A,Germany,1
1C010A,Germany,1
1D015A,Brazil,1
1D015A,Germany,1
1D016A,Germany,1
1D020A,Germany,1
1DO14A,Romania,1
1DO20A,Germany,1
1E024A,Germany,1
1E028A,Brazil,1
1F036A,Germany,1
1F1020A,Italy,1
1F1028A,New Zealand,1
1G040A,Germany,1
1I061A_1101224-,United States,1
1K078A,Malaysia,1
200009A,Australia,1
20121A,United States,1
202F21A,United States,1
20321A,France,1
204A21A,United States,1
204B21A,United States,1
2054214,United States,1
205A21A,United States,1
212A21A,Colombia,1
212C21A,Germany,1
213D21A,United States,1
214012,Germany,1
216037,Italy,1
216038,United States,1
216045,Germany,1
21C16-01,Germany,1
21C18-03,Germany,1
21C18-04,Germany,1
21C18-05,Germany,1
2D-DOC,France,1
300042460,Canada,1
300042698,Canada,1
300042698/30004,Canada,1
300042721-05-01,Canada,1
300042722,Canada,1
3000489,Canada,1
3000493,Canada,1
3001530,Canada,1
3002186,Switzerland,1
3002537,Japan,1
3002538,Canada,1
3002539,Japan,1
3002545,Netherlands,1
3002614,United States,1
3002918,Switzerland,1
3003604,Netherlands,1
3003657,Japan,1
3004218,Germany,1
3004219,Switzerland,1
3004500,Germany,1
3004669,Italy,1
3004730,Germany,1
3005686,Singapore,1
3005686,United Kingdom,1
3005690,Germany,1
3005888,United States,1
3006277,Japan,1
3006321,Italy,1
3006325,Germany,1
301308A,United States,1
30135BA,United States,1
301558A,United States,1
31100TB,Italy,1
3230BD,United States,1
33030BD,United States,1
33130BA,United States,1
3313OBA,United States,1
343008D,Germany,1
35040BD,United States,1
41202003,United Kingdom,1
4120Z001,United Kingdom,1
4301MF010,Australia,1
59267-1000-02,United States,1
939676-CDC,United States,1
939901,United States,1
939902,United States,1
939905,United States,1
939909,United States,1
AA1234,United States,1
