# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230125-20230325
# ----------------------------------------

Country,United States,Germany,Canada,United Kingdom,Italy,Totals
Clicked Batchcode,Event count,Event count,Event count,Event count,Event count,Event count
,30727,19444,6264,5352,4274,90835,Grand total
(not set),29864,19131,6167,5274,4155,88215
FE6208,38,18,7,1,5,103
039K20A,22,2,1,0,3,39
EN6201,19,4,4,2,0,39
FD6840,7,8,0,0,0,23
011J20A,7,1,1,0,1,15
FD0168,4,2,1,1,2,15
026L20A,7,1,0,0,0,14
FF8848,0,0,0,0,0,14
212C21A,6,2,0,1,0,13
ER2613,8,1,0,0,2,13
EY3014,1,0,0,0,0,13
FT5177,0,0,0,0,0,13
EM0477,4,1,0,1,0,12
EK5730,7,0,0,0,1,11
EK9231,8,0,0,0,0,11
FD4555,2,4,0,0,1,11
012L20A,5,1,0,0,0,9
EN5318,4,3,1,0,0,9
EN6205,7,1,0,0,1,9
EW0195,0,0,0,0,0,9
EX3599,0,8,0,0,0,9
013L20A,4,0,0,0,0,8
053E21A,8,0,0,0,0,8
3002187,0,0,2,0,0,8
EN6198,2,3,0,0,0,8
EN6207,6,1,0,0,0,8
EX3014,0,2,0,0,0,8
FD1921,1,1,0,0,4,8
FF0680,3,1,1,0,0,8
FF2589,8,0,0,0,0,8
043A21A,1,0,0,0,0,7
213C21A,0,1,0,0,0,7
EJ6796,0,1,0,0,0,7
EN6208,5,0,0,0,0,7
FD7958,0,7,0,0,0,7
FF2595,0,0,6,0,0,7
FF3319,0,0,0,7,0,7
0099WPDD00JHFTR,0,0,0,0,0,6
1805025,3,0,0,0,0,6
3000000,0,0,0,0,0,6
3000489,0,0,0,0,0,6
ER8733,6,0,0,0,0,6
EW0182,3,0,0,0,0,6
EW0187,0,0,0,0,3,6
EW8904,0,4,0,0,0,6
FA6780,5,0,0,0,0,6
FA8721,0,0,6,0,0,6
FA9095,0,0,0,0,0,6
FA9099,0,0,5,0,0,6
FC0681,0,0,0,0,0,6
FC3095,0,5,0,0,0,6
FC3180,5,0,0,0,0,6
FC3182,5,1,0,0,0,6
FC3661,2,2,0,0,1,6
FD7204,0,0,6,0,0,6
FF3318,0,4,0,0,0,6
016E21A,0,0,2,0,0,5
018F22A,0,0,0,0,0,5
042A21A,3,0,0,0,0,5
091D21A,5,0,0,0,0,5
1805031,0,0,0,0,0,5
1822809,3,0,0,0,0,5
1855190,3,1,0,0,0,5
205A21A,1,0,0,0,0,5
210A21A,0,0,0,0,0,5
300042722,0,0,2,0,0,5
3001530,0,0,0,0,0,5
EH9899,2,0,0,0,0,5
EL9262,4,0,0,0,0,5
EN6202,3,0,0,1,0,5
EN6206,4,0,0,1,0,5
EW0176,5,0,0,0,0,5
EX8680,0,3,0,0,0,5
EY086,0,0,0,0,0,5
FC5435,0,0,0,0,5,5
FD0809,5,0,0,0,0,5
FD7222,0,0,0,0,0,5
FD9234,0,2,0,0,1,5
FE6975,0,4,0,0,0,5
FF5109,0,0,4,0,0,5
NOT AVAILABLE,0,0,0,0,0,5
QC13-684567B,0,0,0,0,0,5
UNK,0,0,0,0,0,5
XE393,0,0,0,0,0,5
003C21A,4,0,0,0,0,4
009L21A,0,0,0,0,0,4
011L20A,2,0,0,0,0,4
013M20A,4,0,0,0,0,4
020E21A,0,0,0,0,0,4
022M20A,3,0,0,0,0,4
037K20A,3,1,0,0,0,4
042D21A,0,0,0,0,0,4
044D21A,0,0,0,0,0,4
052C21A,1,0,1,0,0,4
092D21A,0,0,2,0,0,4
1821288,0,0,0,0,0,4
1F1022A,0,4,0,0,0,4
206A21A,0,0,0,0,0,4
300042460,0,0,0,0,0,4
300042689,0,0,0,0,0,4
3001176 OR 6001,0,0,0,0,0,4
30016527,0,0,0,0,0,4
3001945,0,0,0,0,0,4
3002186,0,0,0,0,0,4
30135BA,3,0,0,0,0,4
330308D,4,0,0,0,0,4
4302MF023,3,0,0,0,1,4
939902,4,0,0,0,0,4
ACB8491,0,0,0,0,4,4
C1E4E4,0,0,0,0,0,4
CH.-B.: 1F1022A,0,4,0,0,0,4
CH.-B.: FD7958,0,4,0,0,0,4
CH.-B.:FC3095,0,4,0,0,0,4
EL3248,2,2,0,0,0,4
EL9261,2,1,1,0,0,4
EP6955,3,0,0,0,0,4
ER8727,4,0,0,0,0,4
ER8730,4,0,0,0,0,4
EW0153,3,0,0,0,0,4
EW0162,4,0,0,0,0,4
EW0171,2,0,0,0,1,4
EW0199,0,1,1,0,0,4
EW0217,3,0,0,0,0,4
EW4815,0,0,0,0,0,4
EX0904,0,0,3,0,0,4
EX2405,0,0,0,0,0,4
EX3510,0,3,0,0,0,4
EX7823,0,4,0,0,0,4
EY0585,0,0,3,0,0,4
FA7812,0,0,0,0,0,4
FA9091,0,1,2,0,0,4
FC3181,4,0,0,0,0,4
FC3184,4,0,0,0,0,4
FC3558,0,0,0,0,0,4
FD0810,0,0,4,0,0,4
FD7206,0,0,2,0,0,4
FD8448,4,0,0,0,0,4
FE1573,0,0,0,0,0,4
FE3592,2,0,0,0,0,4
FE9174,0,1,0,1,0,4
FF2587,3,0,0,0,0,4
FG3530,0,0,0,0,0,4
FG3533,0,0,0,0,0,4
FG6273,0,0,0,0,1,4
FK9706,0,0,0,2,0,4
FM2958,0,1,0,0,0,4
GE3043,0,0,0,4,0,4
LOT216045,0,4,0,0,0,4
SCRW2,0,2,0,0,0,4
XD985,0,3,0,0,0,4
000057A,0,1,0,0,1,3
002A21A,3,0,0,0,0,3
002B21A,3,0,0,0,0,3
004F21A,3,0,0,0,0,3
016M20A,1,0,0,0,1,3
017E21A,3,0,0,0,0,3
020J21A,0,0,0,0,0,3
029L20A,3,0,0,0,0,3
031L20A,2,0,0,0,0,3
032L20A,0,0,0,0,0,3
040AZ1A,3,0,0,0,0,3
042B21A,3,0,0,0,0,3
043021A,0,0,0,0,0,3
055K21A,0,0,0,0,0,3
063H21A,0,0,2,0,0,3
070H21A,3,0,0,0,0,3
092B21A,0,0,0,0,0,3
092F21A,0,3,0,0,0,3
18 TO 49 YEARS,0,0,0,0,0,3
1805018,0,0,0,0,0,3
