# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230702-20230702
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,9070,Grand total
#046A21A,Australia,1
#EN5318,United States,1
#EN6204,United States,1
#EW0173,United States,1
#FC3180,United States,1
00004A,Malaysia,1
000105A,Germany,1
000130A,Germany,1
002A214,United States,1
002A21A,United States,1
002B12A,United States,1
004021A,United States,1
0044A21A,United States,1
004M20A,United States,1
004MZ0A,United States,1
006821A,Germany,1
007M20A,United States,1
008B212A,United States,1
009C21A,United States,1
010A21A,United States,1
011A21A,United States,1
011M20A,United States,1
012A21A,United States,1
012H21B-MODERNA,United States,1
012L2OA,United States,1
013120A,United States,1
013H21B,United States,1
013H22A,United States,1
013MZOA,United States,1
014M20A.,United States,1
015M20A,United States,1
016E21A,Canada,1
018F21A,Canada,1
018J21A,Colombia,1
019821A,United States,1
019J21A,Canada,1
020J21A,Canada,1
021B21A,United States,1
022C21A,United States,1
023C21A,United States,1
024C21A,United States,1
024M2OA,United States,1
025A21A,United States,1
025J20A,United States,1
026C21A,United States,1
026D21A,United States,1
026L20A,United States,1
027B21A,United States,1
029A21A,United States,1
029L20A,United States,1
029L2OA,United States,1
030B21A,United States,1
030M020A,United States,1
030M21-2A_11105,United States,1
030M21A,United States,1
030M2OA,United States,1
030MZ0A,United States,1
031A21A,United States,1
031H21A,United States,1
032H21A,United States,1
032L20,United States,1
032M20A,United States,1
033K21-2A,United States,1
034F21A,United States,1
036A21A,United States,1
038C21A,United States,1
039F21A,United States,1
039FZ1A,United States,1
039K20-2A,United States,1
0401321A,Thailand,1
040821A,United States,1
040A21A,United States,1
040D21A,United States,1
04121A,Canada,1
042821A,United States,1
042A12A,United States,1
042A21A,United States,1
042D21A,Canada,1
044A211A,United States,1
044AZ1A,United States,1
045D21A,Canada,1
046A21A,Australia,1
046A21A,United States,1
046AZ1A,Australia,1
046AZIA,Australia,1
046CZ1A,United States,1
047B21A,United States,1
049C21A,United States,1
050C21A,United States,1
050E21A,United States,1
051F21A,United States,1
052E21A,United States,1
054C,United States,1
055F22B,United States,1
057A22A,United States,1
058H21A,United States,1
058H2IA,Bahamas,1
060H21A,United States,1
067F21A,United States,1
067H21A-MODERNA,Canada,1
068H21A,United States,1
070H21A,United States,1
088D21A,United States,1
091B21A,United States,1
091D21A,United States,1
092F21A,Slovenia,1
093D21A,Canada,1
1110-20-030M20A,United States,1
1111-20-EW0179,United States,1
1111-20-FC3184,United States,1
1111-20-FF2593,United States,1
1111-FG3527,United States,1
123456,Australia,1
123456,United Kingdom,1
16044A,United States,1
180502,Canada,1
1805020,United States,1
1805022,Canada,1
1805031,United States,1
180529,United States,1
1808982,United States,1
1821286,United States,1
"1822809, 211A21",United States,1
1855190,United States,1
1855191,United States,1
1855794,United States,1
1B003A,United States,1
1C009A,Germany,1
1C011A,Germany,1
1D013A,Germany,1
1D017A,Germany,1
1E021A,Germany,1
1E023-1A,United States,1
1E026A,United Kingdom,1
1F036A,Denmark,1
1F036A,Germany,1
1F1003A,France,1
1F1007A,Poland,1
1F1021A,Spain,1
1F1022A,Germany,1
1F1023A,Germany,1
1F1054A,Malaysia,1
1G044A,United States,1
1K078A,Malaysia,1
202A21A,United States,1
203A21A,United States,1
203A2A,United States,1
204121A,Canada,1
2041321A,Canada,1
206AZIA,United States,1
207A21,United States,1
2100685,United States,1
2100685_1110305,United States,1
210101,Germany,1
211A21A,United States,1
212A21A,United States,1
213D21A,United States,1
214023,Germany,1
216037,Italy,1
2A088A,United States,1
300042698,Canada,1
300042722,Canada,1
3000489,Canada,1
3000489,Germany,1
3000495,Germany,1
3001941,Germany,1
3001944,Germany,1
3002182,Canada,1
3002187,Canada,1
3002331,Romania,1
3002912,Germany,1
3002914,Canada,1
3003606,Austria,1
3003609,Germany,1
3004215,Switzerland,1
3004228,United Kingdom,1
3004500,United Kingdom,1
3004734,United Kingdom,1
3005237,United Kingdom,1
3005238,Austria,1
3005287,United Kingdom,1
3005686,United States,1
3005688,Italy,1
3005690,Italy,1
3005697,Italy,1
3006321 (10/05/,Italy,1
3006323,Italy,1
3006324,Italy,1
3006325,Italy,1
3006327,Italy,1
30125BA,Hong Kong,1
301458,United States,1
3014584,United States,1
301458B,United States,1
301558A,United States,1
3203080,United States,1
33025BD,United States,1
33030BD,United States,1
330368D,United States,1
33036BD,United States,1
3303BD,United States,1
33130BA,United States,1
33233TB,Germany,1
41202001,Malaysia,1
41202001,United Kingdom,1
4120Z002,United Kingdom,1
6202,United States,1
80777027315,United States,1
939902,United States,1
939904,United States,1
939906,United States,1
939909,United States,1
940877,Saudi Arabia,1
A205A21A,United States,1
AB75320,Germany,1
ABV5300,Greece,1
ABW3644,Germany,1
ABX3519,Germany,1
ABX5182,Germany,1
ABZ5320,Germany,1
ACB5318,Germany,1
ACB7542,Germany,1
ACB7737,United States,1
ACC0306,Germany,1
ACC0681,Denmark,1
B1F1024A,Germany,1
BEW8904,Germany,1
BEW8904,Poland,1
CH-B:ER7812,Germany,1
CH-B:SCTD6,Germany,1
CH.-B.: 1F1023A,Germany,1
CH.-B.: EX8680,Germany,1
