# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20231005-20231005
# ----------------------------------------

Clicked Batchcode,Country,Region,City,Event count
,,,,6158,Grand total
#EL9262,United States,California,San Diego,1
#EL9262,United States,Florida,Belleview,1
#EN6198,United States,Oklahoma,Antlers,1
#ER2613,United States,Pennsylvania,Paxtonia,1
(not set),Canada,Quebec,Lac-Etchemin,1
(not set),France,Brittany,56930,1
(not set),Germany,Hessen,Frankenberg (Eder),1
(not set),Germany,North Rhine-Westphalia,Winterberg,1
(not set),Hungary,Pest County,(not set),1
(not set),Mexico,Jalisco,Guadalajara,1
(not set),Mexico,Zacatecas,Fresnillo,1
(not set),Netherlands,Gelderland,Doetinchem,1
(not set),United States,California,Kingsburg,1
(not set),United States,Florida,Jacksonville Beach,1
(not set),United States,Florida,Winter Haven,1
(not set),United States,Georgia,Blakely,1
(not set),United States,Idaho,(not set),1
(not set),United States,Minnesota,Andover,1
(not set),United States,Oregon,Coos Bay,1
(not set),United States,Pennsylvania,Red Lion,1
(not set),United States,Wisconsin,Tomahawk,1
0000114A,Germany,North Rhine-Westphalia,Aachen,1
000057A,Belgium,Flanders,Sint-Pieters-Leeuw,1
000081A,United Kingdom,England,Birmingham,1
000086A,Germany,Bavaria,Munich,1
000086A,Germany,Hamburg,Hamburg,1
000088A,Germany,Lower Saxony,Bremervorde,1
000106A,Germany,Saxony,Limbach-Oberfrohna,1
000123A,United States,Georgia,Augusta,1
000130A,Germany,Bavaria,Rosenheim,1
000135A,Germany,Saxony-Anhalt,(not set),1
000136A,Germany,Bavaria,Rosenheim,1
000190A,Poland,Masovian Voivodeship,Warsaw,1
000310A,United States,Wisconsin,Prairie du Chien,1
001A21A,United States,Ohio,Kingsville Township,1
001B21A,United States,Connecticut,Seymour,1
001B21A,United States,Kentucky,Campbellsville,1
003K21-2A,United States,Minnesota,Karlstad,1
004M20A,United States,California,San Jose,1
006021A,United States,Texas,Dallas,1
008B21-2A,Guatemala,Guatemala Department,Guatemala City,1
00F21A,United States,California,Los Angeles,1
010A21A,United States,Utah,Moab,1
010M20A,United States,Florida,Lakeland,1
011F21A,United States,Virginia,Mount Vernon,1
011L20A,United States,California,Cottonwood,1
012L20A,United States,Florida,Lakeland,1
013L20A,United States,California,Turlock,1
014F21A,United States,Arizona,Phoenix,1
014F21A,United States,Florida,Lakeland,1
016B21A,United States,Texas,Amarillo,1
018B21A,United States,Connecticut,Trumbull,1
018B21A,United States,North Carolina,Sanford,1
01DE,Germany,Bavaria,Erlangen,1
01DE/A90001668/,Germany,Thuringia,Erfurt,1
024M20A,United States,Minnesota,Minneapolis,1
025620A,United States,Utah,Moab,1
025L20A,United States,Utah,Moab,1
026D21A,United States,Connecticut,Seymour,1
026L20A,United States,Illinois,Chicago,1
030A21A,United States,New Jersey,North Bergen,1
031H21A,United States,New York,Collins,1
031L20A,United States,Georgia,Blakely,1
031M20A,United States,Alaska,(not set),1
031M20A,United States,Connecticut,Seymour,1
031M20A,United States,New Jersey,North Bergen,1
031M21A,United States,Connecticut,Seymour,1
031M2DA,United States,Connecticut,Seymour,1
031MZOA,United States,Connecticut,Seymour,1
032M20A,United States,New York,Saratoga Springs,1
032M2OA,United States,New York,Saratoga Springs,1
033C21A,United States,Florida,Lakeland,1
035C21A,United States,California,Sacramento,1
035C21A,United States,Florida,Lakeland,1
035C21A,United States,Oregon,Cave Junction,1
036B21A,United States,New York,Fairport,1
036B21A,United States,New York,Saratoga Springs,1
037K20A,United States,Mississippi,Madison,1
037K2OA,United States,Michigan,Orion Township,1
039K20A,United States,Massachusetts,Boston,1
040D21A,United States,California,Los Angeles,1
041B21A,United States,Washington,Seattle,1
041L20A,United States,Mississippi,Madison,1
0421A21A,Mexico,State of Mexico,Toluca,1
042A21A,Mexico,State of Mexico,Toluca,1
042L201A,United States,California,El Cajon,1
042L20A,United States,Minnesota,Minneapolis,1
043A21A,United States,Georgia,(not set),1
044B21A,Bulgaria,Sofia City Province,Sofia,1
044D21A,Canada,Alberta,Sylvan Lake,1
045B21A,Guatemala,Guatemala Department,Guatemala City,1
045C21A,United States,Utah,Moab,1
047B21A,United States,District of Columbia,Washington,1
048A21A,United States,Alaska,(not set),1
048B21A,United States,California,San Jose,1
048C21A,United States,Texas,Dallas,1
056A22A,United States,Connecticut,Seymour,1
056D21A,Colombia,Bogota,Bogota,1
059A22A,United States,Connecticut,Trumbull,1
059F22A,United States,Connecticut,Seymour,1
061E21A,United States,South Carolina,Hilton Head Island,1
062EZIA,United States,California,Los Angeles,1
063B22A,United States,Connecticut,Trumbull,1
085D21A,Canada,Ontario,Hamilton,1
092F21A,Germany,Bavaria,Pfaffenhofen an der Ilm,1
092F21A,Germany,Hessen,Frankfurt,1
092F21A,Germany,North Rhine-Westphalia,Cologne,1
093D21A,Canada,Alberta,Sylvan Lake,1
093F21A,Spain,La Rioja,Logrono,1
1111-20-EN6198,United States,Oklahoma,Antlers,1
1111-20-FC3183,United States,Kentucky,Russell Springs,1
1111-20-FF2590,United States,Washington,Everett,1
1111-FJ1611,United States,Kentucky,Russell Springs,1
122204,Netherlands,(not set),(not set),1
1234,Australia,Queensland,Brisbane,1
123456,Germany,Bavaria,Aichach,1
1805020,United States,California,Sacramento,1
1805022,United States,South Carolina,Hilton Head Island,1
1808982,United States,Ohio,Wapakoneta,1
1C008A,Germany,Schleswig-Holstein,Lubeck,1
1C011A,Germany,Baden-Wurttemberg,Pforzheim,1
1D012A,Germany,North Rhine-Westphalia,Kalkar,1
1D013A,Germany,Schleswig-Holstein,Itzehoe,1
1D013A,Türkiye,Ankara,Ankara,1
1D014A,Germany,Bremen,Bremen,1
1D014A,Germany,Thuringia,Schmalkalden,1
1D015A,Germany,Bavaria,Munich,1
1D020A,Belgium,Flanders,Essen,1
1D020A,Germany,Mecklenburg-Vorpommern,Waren,1
1D020A,Germany,Schleswig-Holstein,Ahrensburg,1
1DO12A,Germany,Lower Saxony,Achim,1
1DO15A,Germany,Hessen,Frankfurt,1
1E021A,Germany,North Rhine-Westphalia,Oberhausen,1
1E026A,Germany,Schleswig-Holstein,Ahrensburg,1
1E026A,Iceland,(not set),Reykjavik,1
1E028A,Germany,Bavaria,(not set),1
1F030A,Germany,Hessen,Frankfurt,1
1F030A,Germany,North Rhine-Westphalia,(not set),1
1F1004A,Germany,Bavaria,Ingolstadt,1
1F1007A,Austria,Styria,Graz,1
1F1010A,Germany,Bremen,Bremen,1
1F1010A,Germany,Hessen,Frankfurt,1
1F1021A,Germany,Bavaria,Berg,1
1F1021A,Germany,Bavaria,Rosenheim,1
1F1021A,Germany,Hessen,Frankfurt,1
1F1022A,Germany,North Rhine-Westphalia,Bergisch Gladbach,1
1F1022A,Germany,Saxony,Grimma,1
1F1023A,Germany,Bavaria,Rosenheim,1
1F1027A,Germany,Schleswig-Holstein,Ahrensburg,1
1F1042A,Germany,Bavaria,(not set),1
1G040A,Germany,Bavaria,(not set),1
1H048A,Germany,Bavaria,Berg,1
200009A,United Kingdom,England,Sheffield,1
201AZIA,Colombia,Bogota,Bogota,1
202108101,Canada,Quebec,Nicolet,1
204AZIA,Colombia,Bogota,Bogota,1
205A21A,United States,Georgia,(not set),1
205A21A,United States,Oregon,Coos Bay,1
205C21A,Venezuela,Capital District,Caracas,1
214019,Italy,Abruzzo,Lanciano,1
216044,Germany,Baden-Wurttemberg,Stuttgart,1
21C18-04,United Kingdom,England,London,1
300042698,Canada,Ontario,Hamilton,1
3000489,Canada,Ontario,Hamilton,1
3000495,Germany,Baden-Wurttemberg,Nagold,1
3001176,Canada,British Columbia,Prince George,1
3001415,Iceland,(not set),Reykjavik,1
3002182,Germany,Baden-Wurttemberg,Mannheim,1
3002183,Germany,Saxony,Limbach-Oberfrohna,1
3002188,Austria,Vienna,Vienna,1
3002188,Hungary,Zala County,Zalaegerszeg,1
3002542,Iceland,(not set),Reykjavik,1
3002543,Iceland,(not set),Reykjavik,1
3002545,Italy,Lombardy,Milan,1
30025TB,Germany,Bavaria,Neuburg an der Donau,1
30025TB,Germany,Hessen,Frankfurt,1
3002913,Germany,Saxony,Limbach-Oberfrohna,1
3002916,Hungary,Zala County,Zalaegerszeg,1
3003183,Germany,North Rhine-Westphalia,Aachen,1
3003603,Belgium,Flanders,Essen,1
3003603,Germany,Baden-Wurttemberg,(not set),1
3003603,Germany,Baden-Wurttemberg,Mannheim,1
3003603,Germany,Bavaria,Gunzenhausen,1
3003603,Germany,Bavaria,Munich,1
3003608,United Kingdom,England,Birmingham,1
3004217,Germany,Lower Saxony,Cloppenburg,1
3004219,Hungary,Budapest,Budapest,1
3004219,Hungary,Pest County,(not set),1
3004223,United Kingdom,England,Birmingham,1
3004500,Norway,(not set),(not set),1
3004670,Austria,Vienna,Vienna,1
3004730,Denmark,Region of Southern Denmark,Give,1
3004951,Germany,Bavaria,Munich,1
3004954,Germany,Bavaria,Munich,1
3005242,Denmark,Region of Southern Denmark,Give,1
3005290,Germany,Rhineland-Palatinate,Wittlich-Land,1
3005291,Germany,Mecklenburg-Vorpommern,Schwerin,1
3005887,Italy,Lombardy,Milan,1
30380777700688,Hungary,Pest County,(not set),1
31101TB,Germany,Bavaria,Kempten,1
320308D,United States,New Jersey,(not set),1
32030BD,United States,Florida,Belleview,1
33020BD,Colombia,Bogota,Bogota,1
33130 BA,United States,Arizona,Gilbert,1
34397TB,Germany,Bavaria,Berg,1
34397TB,Germany,North Rhine-Westphalia,Gutersloh,1
41202001,United Kingdom,England,Leeds,1
4120Z003,United Kingdom,England,London,1
59267100002,United States,Pennsylvania,Philadelphia,1
939903,United States,California,Los Angeles,1
AB0011,United Kingdom,England,(not set),1
ABV2856,Germany,Schleswig-Holstein,Lubeck,1
ABV4048,Germany,Saxony,Grimma,1
ABV4048,Germany,Schleswig-Holstein,Kiel,1
ABV5297,Germany,Rhineland-Palatinate,Wittlich-Land,1
ABV5443,Germany,North Rhine-Westphalia,(not set),1
ABV5652,Germany,Saxony,Grimma,1
ABW4330,Germany,Saxony-Anhalt,(not set),1
ABW7197,Poland,Masovian Voivodeship,Warsaw,1
ACB3738,Germany,Hessen,Frankfurt,1
ACB4447,Germany,Baden-Wurttemberg,Stuttgart,1
ACB4447,Germany,North Rhine-Westphalia,Krefeld,1
ACB4692,Germany,Saxony,(not set),1
ACB4694,Germany,Baden-Wurttemberg,Stuttgart,1
ACB4694,Germany,Rhineland-Palatinate,(not set),1
ACB4694,Germany,Saxony,(not set),1
ACB5317,Germany,Hessen,Frankfurt,1
ACB7737,Germany,Schleswig-Holstein,Lubeck,1
ACB8491,Italy,Emilia-Romagna,Bologna,1
ACB8967,Germany,Bavaria,Ingolstadt,1
ACB8967,Germany,North Rhine-Westphalia,Bad Oeynhausen,1
ACB9148,Germany,Baden-Wurttemberg,(not set),1
ACB9148,Germany,Bavaria,(not set),1
ACB9148,Germany,Bavaria,Bindlach,1
ACB9148,Germany,Hessen,(not set),1
ACB9148,Germany,Thuringia,Ilmenau,1
ACC1336,Germany,Baden-Wurttemberg,Stuttgart,1
BD0810,Canada,Quebec,Nicolet,1
BNT162B2,Canada,Alberta,Calgary,1
BNT162B2,Iceland,(not set),Reykjavik,1
CH.-B.: 1F1023A,Germany,Hessen,Frankenberg (Eder),1
CH.-B.: 1F1023A,Germany,North Rhine-Westphalia,Olsberg,1
CH.-B.: EX3510,Germany,North Rhine-Westphalia,Olsberg,1
CH.-B.: EX8680,Germany,North Rhine-Westphalia,Olsberg,1
CH.-B.: FC8889,Germany,North Rhine-Westphalia,Olsberg,1
CH.-B.: FD7958,Germany,Mecklenburg-Vorpommern,Waren,1
CH.-B.: FE6975,Germany,Bavaria,(not set),1
CH.-B.: FE6975,Germany,Hessen,Herborn,1
CH.-B.: FE6975,Germany,North Rhine-Westphalia,Bergisch Gladbach,1
CH.-B.: FE6975,Germany,North Rhine-Westphalia,Cologne,1
CH.-B.: SCWF3,Germany,North Rhine-Westphalia,Euskirchen,1
CH.-B.: SCWF3,Germany,North Rhine-Westphalia,Olsberg,1
CH.-B.:ACB9148,Germany,Baden-Wurttemberg,(not set),1
CH.-B.:FC3095,Germany,Baden-Wurttemberg,Stuttgart,1
CH.-B.:FC3095,Germany,Hessen,Herborn,1
CH.-B.:FD7958,Germany,Hessen,Gudensberg,1
CH.-B.:FE6975,Germany,North Rhine-Westphalia,Bergisch Gladbach,1
CH.-B.:FE6975,Germany,North Rhine-Westphalia,Cologne,1
CH.-B.:FE6975,Germany,North Rhine-Westphalia,Olsberg,1
CH.-B.:FE6975,Germany,Saxony-Anhalt,(not set),1
CH.-B: FF0900,Germany,Berlin,Berlin,1
CH.B EX3510,Türkiye,Ankara,Ankara,1
CH.B.:EX3599,Germany,Berlin,Berlin,1
CTMAV532,Malaysia,Negeri Sembilan,Port Dickson,1
CVX207,Belgium,Brussels,Brussels,1
E13246,United States,Georgia,Atlanta,1
EH9889,United States,South Dakota,Rapid City,1
EJ0553,United Kingdom,Northern Ireland,Lisburn,1
EJ0553/V0003,United Kingdom,Northern Ireland,Lisburn,1
EJ1685,United States,Washington,Seattle,1
EJ6136,Germany,Lower Saxony,Vechelde,1
EJ6790,Czechia,Hradec Kralove Region,Nove Mesto nad Metuji,1
EJ6790,Germany,Lower Saxony,Vechelde,1
EK3750,Austria,Tyrol,Lienz,1
EK4176,United States,Arkansas,Pocahontas,1
EK4176,United States,Washington,Seattle,1
EK5730,United States,Washington,Seattle,1
EK9231,United States,New York,(not set),1
EL 9262,United States,Nebraska,Albion,1
EL 9267,United States,Nebraska,Albion,1
EL0739-L494,United Kingdom,England,London,1
EL1283,United States,California,San Diego,1
EL3249,United States,New York,(not set),1
EL9262,United States,California,San Diego,1
EL9262,United States,Florida,Belleview,1
EN 6208,United States,Washington,Snohomish,1
EN1196,Canada,Alberta,Calgary,1
EN1198,Canada,British Columbia,Prince George,1
EN6189,United States,Pennsylvania,North East,1
EN6198,United States,Kansas,Peabody,1
EN6198,United States,Nebraska,Hastings,1
EN6198,United States,Oklahoma,Antlers,1
EN6199,United States,California,San Jose,1
EN6200,United States,Florida,Belleview,1
EN6201,Belgium,Wallonia,Walcourt,1
EN6201,United States,California,(not set),1
EN6205,United States,Iowa,Cedar Falls,1
EN6205,United States,Virginia,Mount Vernon,1
EN6207,United States,Kentucky,Covington,1
EN6208,United States,California,San Jose,1
EN9581,United States,Wisconsin,Racine,1
EP6775,Mexico,Mexico City,Mexico City,1
EP6955,United States,Arizona,Phoenix,1
EP6955,United States,Pennsylvania,North East,1
EP9598,Germany,Lower Saxony,Vechelde,1
ER1742,Canada,British Columbia,Burnaby,1
ER1749-L584,United Kingdom,England,London,1
ER2613,Finland,Uusimaa,Espoo,1
ER2613,United States,Iowa,Cedar Falls,1
ER7449,Australia,New South Wales,Forbes,1
ER7812,Germany,Hessen,Frankfurt,1
ER7934,Mexico,Mexico City,Mexico City,1
ER8729,Canada,Ontario,Toronto,1
ER8729,New Zealand,Auckland,Auckland,1
ER8731,United States,New York,(not set),1
ER8732,United States,Virginia,Cape Charles,1
ER8733,New Zealand,Auckland,Auckland,1
ER8733,United States,Kentucky,Covington,1
ER8733,United States,Massachusetts,Boston,1
ER8734,Finland,Uusimaa,Espoo,1
ER8734,United States,California,San Jose,1
ER8735,United Kingdom,England,London,1
ER8736,United States,Illinois,Oak Lawn,1
ER8736,United States,New York,Hauppauge,1
ER8736,United States,Pennsylvania,Wayne,1
ER8737,United States,New York,Collins,1
ER9480,Germany,Bavaria,Burglengenfeld,1
ER9480,Germany,Berlin,Berlin,1
ER9480,Germany,North Rhine-Westphalia,Oberhausen,1
ER9480,Norway,(not set),(not set),1
ET1831,Austria,Vienna,Vienna,1
ET1831,Czechia,Hradec Kralove Region,Nove Mesto nad Metuji,1
ET3045,Germany,Lower Saxony,Melle,1
ET3045,Germany,North Rhine-Westphalia,Hurth,1
ET6924,United States,California,Los Angeles,1
EW0151,Canada,Quebec,Matane,1
EW0151,United States,Washington,Snohomish,1
EW0153,Canada,Quebec,Matane,1
EW0153,United States,Washington,Snohomish,1
EW0158,Canada,Quebec,Matane,1
EW0158,United States,Arizona,Phoenix,1
EW0158,United States,Connecticut,South Windsor,1
EW0160,United States,New York,Hauppauge,1
EW0162,Canada,Quebec,Matane,1
EW0162,United States,Connecticut,Trumbull,1
EW0162,United States,New York,Hauppauge,1
EW0164,Canada,Quebec,Matane,1
EW0164,United States,New York,Hauppauge,1
EW0168,United States,Maine,Rumford,1
EW0168,United States,New York,(not set),1
EW0172,Canada,Quebec,Matane,1
EW0175,United States,Oklahoma,Wellston,1
EW0179,Canada,Quebec,Matane,1
EW0180,Canada,Quebec,Matane,1
EW0180,United States,New York,(not set),1
EW0181,United States,Washington,Seattle,1
EW0182,United States,Arizona,Gilbert,1
EW0183,Canada,Quebec,Matane,1
EW0183,United States,Maine,Rumford,1
EW0186,United States,Michigan,Ann Arbor,1
EW0187,Canada,Quebec,Matane,1
EW0187,United States,Connecticut,South Windsor,1
EW0187,United States,Maryland,Severn,1
EW0190,United States,Texas,Houston,1
EW0191,United States,Illinois,Oak Lawn,1
EW0195,Mexico,Jalisco,Guadalajara,1
EW0195,Mexico,Zacatecas,Fresnillo,1
EW0196,United States,Michigan,Ann Arbor,1
EW0202,Canada,Quebec,Matane,1
EW0216,Peru,(not set),(not set),1
EW0317,Canada,Quebec,Matane,1
EW0717,United States,Texas,Pearland,1
EW1064,United States,Colorado,Englewood,1
EW2235,Germany,Hamburg,Hamburg,1
EW2239,Germany,Hamburg,Hamburg,1
EW2243,Poland,Lower Silesian Voivodeship,Wroclaw,1
EW2243,Poland,Masovian Voivodeship,(not set),1
EW2246,Germany,Hamburg,Hamburg,1
EW2246,Spain,Community of Madrid,Las Rozas de Madrid,1
EW2248,Germany,Hamburg,Hamburg,1
EW4811,Japan,Tokyo,(not set),1
EW4811,Japan,Tokyo,Shinjuku City,1
EW4815,Sweden,Stockholm County,Stockholm,1
EWO162,United States,Connecticut,Trumbull,1
EWO217,Canada,Quebec,Matane,1
EX 8680,Sweden,Stockholm County,Stockholm,1
EX2405,Australia,New South Wales,Forbes,1
EX3510,Denmark,Region of Southern Denmark,Ribe,1
EX3510,Germany,Baden-Wurttemberg,Pforzheim,1
EX3510,Germany,Baden-Wurttemberg,Stuttgart,1
EX3510,Germany,Hessen,Frankfurt,1
EX3510,Germany,Schleswig-Holstein,Lubeck,1
EX3599,Germany,Baden-Wurttemberg,Goppingen,1
EX3599,Germany,Bavaria,Burglengenfeld,1
EX3599,Germany,Schleswig-Holstein,Lubeck,1
EX7823,Germany,Bavaria,Kitzingen,1
EX7823,Germany,Berlin,Berlin,1
EX7823,Germany,North Rhine-Westphalia,Bad Oeynhausen,1
EX7823,Germany,North Rhine-Westphalia,Oberhausen,1
EX8679,Germany,Bavaria,Munich,1
EX8679,Germany,Hamburg,Hamburg,1
EX8679,Germany,Hessen,Frankfurt,1
EX8679,Germany,North Rhine-Westphalia,Rahden,1
EX8679,Germany,Thuringia,Schmalkalden,1
EX8680,Germany,North Rhine-Westphalia,Bad Oeynhausen,1
EY0578,Canada,Ontario,Hamilton,1
EY0578,Canada,Ontario,Toronto,1
EY0579,Colombia,Bogota,Bogota,1
EY0586,Peru,(not set),(not set),1
EY0779,Japan,Tokyo,(not set),1
EY0779,Japan,Tokyo,Shinjuku City,1
EY2172,Germany,North Rhine-Westphalia,Krefeld,1
EY3014,Austria,Salzburg,Mittersill,1
EY3014,Spain,Community of Madrid,Las Rozas de Madrid,1
EY5456,United States,California,Los Angeles,1
EY7015,Austria,Vienna,Vienna,1
F63527,United States,Nebraska,Albion,1
FA 4598,Austria,Upper Austria,Bad Schallerbach,1
FA1027,United Kingdom,Wales,Bangor,1
FA4632,Denmark,Capital Region of Denmark,Copenhagen,1
FA5715,Poland,Lower Silesian Voivodeship,Wroclaw,1
FA5831,Italy,Lombardy,Milan,1
FA7484,United States,Florida,Winter Haven,1
FA7485,United States,Colorado,Highlands Ranch,1
FA8016,Sweden,Stockholm County,Stockholm,1
FA9090,Canada,Alberta,Edson,1
FA9090,Mexico,Nuevo Leon,San Pedro Garza Garcia,1
FA9091,Mexico,Baja California,Ensenada,1
FA9100,Australia,Western Australia,Perth,1
FC 3098,Italy,Emilia-Romagna,Bologna,1
FC 3558,South Africa,Western Cape,Cape Town,1
FC0681,Austria,Upper Austria,Bad Schallerbach,1
FC1433,Poland,Masovian Voivodeship,Warsaw,1
