# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20240913-20241031
# ----------------------------------------

Clicked Batchcode,Country,Region,Town/City,Event count
,,,,163813,Grand total
(not set),Australia,New South Wales,Grafton,1
(not set),Brazil,State of Minas Gerais,(not set),1
(not set),Brazil,State of Santa Catarina,Braco do Norte,1
(not set),Canada,Nova Scotia,New Glasgow,1
(not set),Canada,Ontario,Bancroft,1
(not set),Canada,Quebec,Gaspe,1
(not set),Canada,Quebec,Sainte-Marie,1
(not set),Canada,Quebec,Salaberry-de-Valleyfield,1
(not set),France,Bourgogne-Franche-Comte,25770,1
(not set),France,Ile-de-France,Colombes,1
(not set),France,Nouvelle-Aquitaine,Mauleon-Licharre,1
(not set),France,Provence-Alpes-Cote d'Azur,Courthezon,1
(not set),Germany,Lower Saxony,Auetal,1
(not set),Germany,North Rhine-Westphalia,Bedburg-Hau,1
(not set),Japan,Ehime,Niihama,1
(not set),Japan,Hokkaido,Otofuke,1
(not set),Malaysia,Sabah,Ranau,1
(not set),Netherlands,Limburg,6262,1
(not set),Peru,Loreto,(not set),1
(not set),Portugal,Lisbon,Amadora,1
(not set),Russia,Nizhny Novgorod Oblast,Nizhny Novgorod,1
(not set),United Kingdom,England,Downham Market,1
(not set),United Kingdom,England,New Milton,1
(not set),United Kingdom,England,Yeovil,1
(not set),United States,Arizona,Payson,1
(not set),United States,California,Barstow,1
(not set),United States,California,Ceres,1
(not set),United States,Delaware,Ocean View,1
(not set),United States,Florida,Alachua,1
(not set),United States,Florida,Palm Bay,1
(not set),United States,Georgia,Hartwell,1
(not set),United States,Georgia,Reidsville,1
(not set),United States,Georgia,Tifton,1
(not set),United States,Idaho,Glenns Ferry,1
(not set),United States,Idaho,McCall,1
(not set),United States,Idaho,Plummer,1
(not set),United States,Illinois,Pontiac,1
(not set),United States,Illinois,Shelbyville,1
(not set),United States,Indiana,Jasper,1
(not set),United States,Iowa,Cherokee,1
(not set),United States,Kansas,Abilene,1
(not set),United States,Kansas,Eureka,1
(not set),United States,Kansas,Smith Center,1
(not set),United States,Maryland,Hagerstown,1
(not set),United States,Maryland,Walkersville,1
(not set),United States,Michigan,Carson City,1
(not set),United States,Michigan,Hancock,1
(not set),United States,Michigan,Lewiston,1
(not set),United States,Minnesota,Sherburn,1
(not set),United States,Mississippi,Ellisville,1
(not set),United States,Missouri,Butler,1
(not set),United States,Missouri,Cameron,1
(not set),United States,Missouri,Fort Leonard Wood,1
(not set),United States,Missouri,Houston,1
(not set),United States,Nebraska,Grand Island,1
(not set),United States,Ohio,Fairfield,1
(not set),United States,Oregon,Heppner,1
(not set),United States,South Carolina,Ridgeville,1
(not set),United States,Tennessee,Erwin,1
