# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Selected Country
# 20230208-20230408
# ----------------------------------------

Country,United States,Germany,Canada,United Kingdom,Italy,Japan,Romania,Australia,Austria,France,Poland,Hungary,Netherlands,Switzerland,Brazil,Spain,Sweden,Argentina,Portugal,Singapore,Totals
Item ID,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users,Active users
,2030,659,318,260,171,109,132,82,65,61,61,57,47,33,20,32,33,23,23,4,4554,Grand total
Global,2024,654,315,260,171,108,132,82,65,61,61,56,47,33,16,32,33,23,23,4,4534
United States,388,5,3,3,4,3,0,1,3,1,0,0,1,1,0,1,0,1,0,1,419
Germany,0,163,0,1,6,1,0,0,8,1,2,2,1,1,0,2,0,0,1,1,194
Canada,3,1,76,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,85
Australia,0,2,1,0,1,1,0,24,1,0,1,1,0,0,0,0,0,0,0,0,34
Japan,0,2,0,0,2,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32
Unknown Country,3,2,0,10,2,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,25
Switzerland,1,3,1,2,1,0,0,0,0,1,0,0,0,13,0,0,1,0,0,1,24
Israel,0,2,1,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,18
Brazil,0,4,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,0,13
New Zealand,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,13
Argentina,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,10
Philippines,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10
China,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
India,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8
Afghanistan,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
Albania,1,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7
Norway,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7
Thailand,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,7
Costa Rica,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6
Mexico,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
"Venezuela, Bolivarian Republic of",2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"Iran, Islamic Republic of",0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
Malaysia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
Peru,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
Ukraine,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
Uruguay,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5
Andorra,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
Bahamas,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Cayman Islands,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Chile,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
French Polynesia,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
Hong Kong,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Viet Nam,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
